tournament,date,player_a,player_b,country_a,country_b,score_a,score_b,game_scores,round,tier,sub_event,event_id,stage,player_a_raw,player_b_raw,player_x_raw,player_y_raw,result_raw,games_raw,winner_raw,year_raw
2022 China Table Tennis Super League (Men's Finals),2022-12-11,Ma Long/YUAN LiCen,Xu Xin/Fan Zhendong,CHN,CHN,3,2,"11,11,8,6,12|4,5,11,11,10",Final,CN_NATIONAL_LEAGUE,MD,,Main Draw,Ma Long (CHN) / YUAN LiCen (CHN),Xu Xin (CHN) / Fan Zhendong (CHN),YUAN LiCen (CHN),Fan Zhendong (CHN),3 - 2,11:4 11:5 8:11 6:11 12:10,Ma Long,2022
2022 China Table Tennis Super League (Men's Finals),2022-12-11,XU Yingbin,ZHOU Kai,CHN,CHN,3,2,,Final,CN_NATIONAL_LEAGUE,MS,,Main Draw,XU Yingbin (CHN),ZHOU Kai (CHN),,,3 - 2,,XU Yingbin,2022
2022 China Table Tennis Super League (Men's Finals),2022-12-11,Ma Long,Fan Zhendong,CHN,CHN,1,3,"11,6,6,6|8,11,11,11",Final,CN_NATIONAL_LEAGUE,MS,,Main Draw,Ma Long (CHN),Fan Zhendong (CHN),,,1 - 3,11:8 6:11 6:11 6:11,Ma Long,2022
2022 China Table Tennis Super League (Men's Finals),2022-12-11,XU Yingbin,Xu Xin,CHN,CHN,1,3,,Final,CN_NATIONAL_LEAGUE,MS,,Main Draw,XU Yingbin (CHN),Xu Xin (CHN),,,1 - 3,,XU Yingbin,2022
2022 China Table Tennis Super League (Men's Finals),2022-12-11,YUAN LiCen,ZHOU Kai,CHN,CHN,3,1,"11,11,10,11|9,6,12,7",Final,CN_NATIONAL_LEAGUE,MS,,Main Draw,YUAN LiCen (CHN),ZHOU Kai (CHN),,,3 - 1,11:9 11:6 10:12 11:7,YUAN LiCen,2022
2022 China Table Tennis Super League (Women's Finals),2022-12-11,Chen Xingtong/QIAN TianYi,Chen Meng/SUN Yizhen,CHN,CHN,3,0,"11,11,11|9,4,8",Final,CN_NATIONAL_LEAGUE,WD,,Main Draw,Chen Xingtong (CHN) / QIAN TianYi (CHN),Chen Meng (CHN) / SUN Yizhen (CHN),QIAN TianYi (CHN),SUN Yizhen (CHN),3 - 0,11:9 11:4 11:8,Chen Xingtong,2022
2022 China Table Tennis Super League (Women's Finals),2022-12-11,Wang Manyu,Sun Yingsha,CHN,CHN,1,3,"4,9,11,9|11,11,8,11",Final,CN_NATIONAL_LEAGUE,WS,,Main Draw,Wang Manyu (CHN),Sun Yingsha (CHN),,,1 - 3,4:11 9:11 11:8 9:11,Wang Manyu,2022
2022 China Table Tennis Super League (Women's Finals),2022-12-11,Chen Xingtong,Chen Meng,CHN,CHN,3,1,"16,12,9,11|14,10,11,7",Final,CN_NATIONAL_LEAGUE,WS,,Main Draw,Chen Xingtong (CHN),Chen Meng (CHN),,,3 - 1,16:14 12:10 9:11 11:7,Chen Xingtong,2022
2022 China Table Tennis Super League (Women's Finals),2022-12-11,QIAN TianYi,Sun Yingsha,CHN,CHN,0,3,"5,2,1|11,11,11",Final,CN_NATIONAL_LEAGUE,WS,,Main Draw,QIAN TianYi (CHN),Sun Yingsha (CHN),,,0 - 3,5:11 2:11 1:11,QIAN TianYi,2022
2022 China Table Tennis Super League (Women's Finals),2022-12-11,Wang Manyu,SUN Yizhen,CHN,CHN,3,0,"11,11,11|7,3,8",Final,CN_NATIONAL_LEAGUE,WS,,Main Draw,Wang Manyu (CHN),SUN Yizhen (CHN),,,3 - 0,11:7 11:3 11:8,Wang Manyu,2022
