tournament,date,player_a,player_b,country_a,country_b,score_a,score_b,game_scores,round,tier,sub_event,event_id,stage,player_a_raw,player_b_raw,player_x_raw,player_y_raw,result_raw,games_raw,winner_raw,year_raw
2026 China Table Tennis Super League (Men's Regular Season),2026-07-24,XUE Fei/Yan An,NIU Guankai/TANG Yiren,CHN,CHN,3,0,"11,11,11|9,6,7",GROUP,CN_NATIONAL_LEAGUE,MD,,Main Draw,XUE Fei (CHN) / Yan An (CHN),NIU Guankai (CHN) / TANG Yiren (CHN),Yan An (CHN),TANG Yiren (CHN),3 - 0,11:9 11:6 11:7,XUE Fei,2026
2026 China Table Tennis Super League (Men's Regular Season),2026-07-24,Xiang Peng,XU Yingbin,CHN,CHN,2,1,"9,12,11|11,10,9",GROUP,CN_NATIONAL_LEAGUE,MS,,Main Draw,Xiang Peng (CHN),XU Yingbin (CHN),,,2 - 1,9:11 12:10 11:9,Xiang Peng,2026
2026 China Table Tennis Super League (Men's Regular Season),2026-07-24,HUANG YouZheng,WEN Ruibo,CHN,CHN,2,1,"11,6,4|2,11,11",GROUP,CN_NATIONAL_LEAGUE,MS,,Main Draw,HUANG YouZheng (CHN),WEN Ruibo (CHN),,,2 - 1,11:2 6:11 4:11,HUANG YouZheng,2026
2026 China Table Tennis Super League (Men's Regular Season),2026-07-24,XU Yingbin/HUANG YouZheng,WEN Ruibo/Xiang Peng,CHN,CHN,3,0,"8,10,11|11,12,13",GROUP,CN_NATIONAL_LEAGUE,MD,,Main Draw,XU Yingbin (CHN) / HUANG YouZheng (CHN),WEN Ruibo (CHN) / Xiang Peng (CHN),HUANG YouZheng (CHN),Xiang Peng (CHN),3 - 0,8:11 10:12 11:13,XU Yingbin,2026
2026 China Table Tennis Super League (Men's Regular Season),2026-07-24,XUE Fei,NIU Guankai,CHN,CHN,2,0,"11,11|6,9",GROUP,CN_NATIONAL_LEAGUE,MS,,Main Draw,XUE Fei (CHN),NIU Guankai (CHN),,,2 - 0,11:6 11:9,XUE Fei,2026
2026 China Table Tennis Super League (Men's Regular Season),2026-07-25,ZHOU Qihao/LI Hechen,XUE Fei/Yan An,CHN,CHN,2,1,"11,11,7|5,13,11",GROUP,CN_NATIONAL_LEAGUE,MD,,Main Draw,ZHOU Qihao (CHN) / LI Hechen (CHN),XUE Fei (CHN) / Yan An (CHN),LI Hechen (CHN),Yan An (CHN),2 - 1,11:5 11:13 7:11,ZHOU Qihao,2026
2026 China Table Tennis Super League (Men's Regular Season),2026-07-25,Wang Chuqin,Xiang Peng,CHN,CHN,2,1,"6,11,11|11,9,9",GROUP,CN_NATIONAL_LEAGUE,MS,,Main Draw,Wang Chuqin (CHN),Xiang Peng (CHN),,,2 - 1,6:11 11:9 11:9,Wang Chuqin,2026
2026 China Table Tennis Super League (Men's Regular Season),2026-07-25,Liang Jingkun,WEN Ruibo,CHN,CHN,2,1,"11,11,7|6,8,11",GROUP,CN_NATIONAL_LEAGUE,MS,,Main Draw,Liang Jingkun (CHN),WEN Ruibo (CHN),,,2 - 1,11:6 11:8 7:11,Liang Jingkun,2026
2026 China Table Tennis Super League (Men's Regular Season),2026-07-25,WEN Ruibo/Xiang Peng,Wang Chuqin/Liang Jingkun,CHN,CHN,2,1,"9,7|11,11",GROUP,CN_NATIONAL_LEAGUE,MD,,Main Draw,WEN Ruibo (CHN) / Xiang Peng (CHN),Wang Chuqin (CHN) / Liang Jingkun (CHN),Xiang Peng (CHN),Liang Jingkun (CHN),2 - 1,9:11 7:11,WEN Ruibo,2026
2026 China Table Tennis Super League (Men's Regular Season),2026-07-25,ZHOU Qihao,XUE Fei,CHN,CHN,1,0,,GROUP,CN_NATIONAL_LEAGUE,MS,,Main Draw,ZHOU Qihao (CHN),XUE Fei (CHN),,,1 - 0,,ZHOU Qihao,2026
2026 China Table Tennis Super League (Men's Regular Season),2026-07-26,Liang Jingkun/LI Hechen,LUO Zheng/ZHOU Jinquan,CHN,CHN,2,1,"11,10,11|6,12,3",GROUP,CN_NATIONAL_LEAGUE,MD,,Main Draw,Liang Jingkun (CHN) / LI Hechen (CHN),LUO Zheng (CHN) / ZHOU Jinquan (CHN),LI Hechen (CHN),ZHOU Jinquan (CHN),2 - 1,11:6 10:12 11:3,Liang Jingkun,2026
2026 China Table Tennis Super League (Men's Regular Season),2026-07-26,Wang Chuqin,HUANG Xunan,CHN,CHN,2,1,"11,11,11|4,6,13",GROUP,CN_NATIONAL_LEAGUE,MS,,Main Draw,Wang Chuqin (CHN),HUANG Xunan (CHN),,,2 - 1,11:4 11:6 11:13,Wang Chuqin,2026
2026 China Table Tennis Super League (Men's Regular Season),2026-07-26,ZHOU Qihao,WU Yifei,CHN,CHN,3,0,"11,11,11|4,9,1",GROUP,CN_NATIONAL_LEAGUE,MS,,Main Draw,ZHOU Qihao (CHN),WU Yifei (CHN),,,3 - 0,11:4 11:9 11:1,ZHOU Qihao,2026
2026 China Table Tennis Super League (Men's Regular Season),2026-07-26,Wang Chuqin/ZHOU Qihao,WU Yifei/HUANG Xunan,CHN,CHN,1,0,11|9,GROUP,CN_NATIONAL_LEAGUE,MD,,Main Draw,Wang Chuqin (CHN) / ZHOU Qihao (CHN),WU Yifei (CHN) / HUANG Xunan (CHN),ZHOU Qihao (CHN),HUANG Xunan (CHN),1 - 0,11:9,Wang Chuqin,2026
2026 China Table Tennis Super League (Men's Regular Season),2026-07-29,Liang Jingkun/ZHOU Qihao,ZHAO Zihao/ZHAO ZhaoYan,CHN,CHN,2,1,"9,13,11|11,11,7",GROUP,CN_NATIONAL_LEAGUE,MD,,Main Draw,Liang Jingkun (CHN) / ZHOU Qihao (CHN),ZHAO Zihao (CHN) / ZHAO ZhaoYan (CHN),ZHOU Qihao (CHN),ZHAO ZhaoYan (CHN),2 - 1,9:11 13:11 11:7,Liang Jingkun,2026
