tournament,date,player_a,player_b,score_a,score_b,game_scores,round,tier,sub_event,event_id,stage,player_a_raw,player_b_raw
Pro Tour Grand Finals Beijing 2004,2004-12-10,WANG Liqin,SAIVE Jean-Michel,4,2,"6,11,12,11,11,12|11,8,10,7,13,10",R16,GRAND_SLAM,MS,1716,Main Draw,WANG Liqin (CHN),SAIVE Jean-Michel (BEL)
Pro Tour Grand Finals Beijing 2004,2004-12-10,CHEN Qi,LEUNG Chu Yan,4,2,"11,5,11,11,10,11|7,11,8,7,12,7",R16,GRAND_SLAM,MS,1716,Main Draw,CHEN Qi (CHN),LEUNG Chu Yan (HKG)
Pro Tour Grand Finals Beijing 2004,2004-12-10,SCHLAGER Werner,KONG Linghui,4,3,"11,7,4,10,11,11,14|9,11,11,12,5,4,12",R16,GRAND_SLAM,MS,1716,Main Draw,SCHLAGER Werner (AUT),KONG Linghui (CHN)
Pro Tour Grand Finals Beijing 2004,2004-12-10,WANG Hao,KREANGA Kalinikos,4,2,"9,9,12,11,11,11|11,11,10,4,7,4",R16,GRAND_SLAM,MS,1716,Main Draw,WANG Hao (CHN),KREANGA Kalinikos (GRE)
Pro Tour Grand Finals Beijing 2004,2004-12-10,MA Lin,KARLSSON Peter,4,1,"11,9,11,11,11|7,11,3,8,6",R16,GRAND_SLAM,MS,1716,Main Draw,MA Lin (CHN),KARLSSON Peter (SWE)
Pro Tour Grand Finals Beijing 2004,2004-12-10,MAZE Michael,CHEN Weixing,4,3,"11,11,11,8,12,9,11|5,8,9,11,14,11,9",R16,GRAND_SLAM,MS,1716,Main Draw,MAZE Michael (DEN),CHEN Weixing (AUT)
Pro Tour Grand Finals Beijing 2004,2004-12-10,SAMSONOV Vladimir,CHUANG Chih-Yuan,4,1,"11,13,11,8,11|7,11,9,11,1",R16,GRAND_SLAM,MS,1716,Main Draw,SAMSONOV Vladimir (BLR),CHUANG Chih-Yuan (TPE)
Pro Tour Grand Finals Beijing 2004,2004-12-10,BOLL Timo,BLASZCZYK Lucjan,4,2,"7,9,11,11,11,11|11,11,7,8,7,7",R16,GRAND_SLAM,MS,1716,Main Draw,BOLL Timo (GER),BLASZCZYK Lucjan (POL)
Pro Tour Grand Finals Beijing 2004,2004-12-10,WANG Liqin,CHEN Qi,4,2,"8,14,14,11,5,11|11,12,12,9,11,8",QF,GRAND_SLAM,MS,1716,Main Draw,WANG Liqin (CHN),CHEN Qi (CHN)
Pro Tour Grand Finals Beijing 2004,2004-12-10,WANG Hao,SCHLAGER Werner,4,3,"11,8,4,9,11,11,11|9,11,11,11,4,9,6",QF,GRAND_SLAM,MS,1716,Main Draw,WANG Hao (CHN),SCHLAGER Werner (AUT)
Pro Tour Grand Finals Beijing 2004,2004-12-10,MA Lin,MAZE Michael,4,2,"11,11,9,11,8,11|4,6,11,8,11,9",QF,GRAND_SLAM,MS,1716,Main Draw,MA Lin (CHN),MAZE Michael (DEN)
Pro Tour Grand Finals Beijing 2004,2004-12-10,BOLL Timo,SAMSONOV Vladimir,4,1,"11,11,4,11,11|7,8,11,7,8",QF,GRAND_SLAM,MS,1716,Main Draw,BOLL Timo (GER),SAMSONOV Vladimir (BLR)
Pro Tour Grand Finals Beijing 2004,2004-12-10,WANG Liqin,WANG Hao,4,0,"11,11,13,13|5,9,11,11",SF,GRAND_SLAM,MS,1716,Main Draw,WANG Liqin (CHN),WANG Hao (CHN)
Pro Tour Grand Finals Beijing 2004,2004-12-10,MA Lin,BOLL Timo,4,3,"11,7,8,6,11,11,14|7,11,11,11,5,7,12",SF,GRAND_SLAM,MS,1716,Main Draw,MA Lin (CHN),BOLL Timo (GER)
Pro Tour Grand Finals Beijing 2004,2004-12-10,WANG Liqin,MA Lin,4,1,"11,11,3,11,11|8,8,11,9,4",F,GRAND_SLAM,MS,1716,Main Draw,WANG Liqin (CHN),MA Lin (CHN)
Pro Tour Grand Finals Beijing 2004,2004-12-10,ZHANG Yining,PAVLOVICH Viktoria,4,1,"10,13,11,13,11|12,11,2,11,8",R16,GRAND_SLAM,WS,1716,Main Draw,ZHANG Yining (CHN),PAVLOVICH Viktoria (BLR)
Pro Tour Grand Finals Beijing 2004,2004-12-10,WANG Nan,LEE Eunsil,4,2,"9,11,11,11,9,11|11,4,4,4,11,9",R16,GRAND_SLAM,WS,1716,Main Draw,WANG Nan (CHN),LEE Eunsil (KOR)
Pro Tour Grand Finals Beijing 2004,2004-12-10,GUO Yue,LI Jiawei,4,0,"11,11,12,11|5,6,10,3",R16,GRAND_SLAM,WS,1716,Main Draw,GUO Yue (CHN),LI Jiawei (SGP)
Pro Tour Grand Finals Beijing 2004,2004-12-10,KIM Kyungah,SONG Ah Sim,4,3,"11,11,9,11,11,9,11|9,8,11,13,9,11,5",R16,GRAND_SLAM,WS,1716,Main Draw,KIM Kyungah (KOR),SONG Ah Sim (HKG)
Pro Tour Grand Finals Beijing 2004,2004-12-10,LIU Jia,ZHANG Rui,4,2,"11,13,11,8,11,11|8,15,9,11,5,6",R16,GRAND_SLAM,WS,1716,Main Draw,LIU Jia (AUT),ZHANG Rui (HKG)
