tournament,date,player_a,player_b,score_a,score_b,game_scores,round,tier,sub_event,event_id,stage,player_a_raw,player_b_raw,winner_raw
China Smash 2024 Presented by Zhonghui Life,2024-09-26,ALTINKAYA Sibel,SCHREINER Franziska,3,0,"12,13,11|10,11,8",QR1,GRAND_SLAM,WS,2942,Qualification,ALTINKAYA Sibel (TUR),SCHREINER Franziska (GER),ALTINKAYA Sibel
China Smash 2024 Presented by Zhonghui Life,2024-09-26,CHEN Yuanyu,MADRID Marcos,3,0,"11,11,13|8,8,11",QR1,GRAND_SLAM,MS,2942,Qualification,CHEN Yuanyu (CHN),MADRID Marcos (MEX),CHEN Yuanyu
China Smash 2024 Presented by Zhonghui Life,2024-09-26,YU Fu,VEGA Paulina,3,2,"8,9,11,11,11|11,11,8,6,5",QR1,GRAND_SLAM,WS,2942,Qualification,YU Fu (POR),VEGA Paulina (CHI),YU Fu
China Smash 2024 Presented by Zhonghui Life,2024-09-26,LI Yake,LEE Ho Ching,3,0,"11,11,11|6,4,8",QR1,GRAND_SLAM,WS,2942,Qualification,LI Yake (CHN),LEE Ho Ching (HKG),LI Yake
China Smash 2024 Presented by Zhonghui Life,2024-09-26,GACINA Andrej,DELA PENA Alfred,3,0,"11,11,11|8,3,5",QR1,GRAND_SLAM,MS,2942,Qualification,GACINA Andrej (CRO),DELA PENA Alfred (NZL),GACINA Andrej
China Smash 2024 Presented by Zhonghui Life,2024-09-26,HABESOHN Daniel,GERALDO Joao,3,0,"13,13,11|11,11,7",QR1,GRAND_SLAM,MS,2942,Qualification,HABESOHN Daniel (AUT),GERALDO Joao (POR),HABESOHN Daniel
China Smash 2024 Presented by Zhonghui Life,2024-09-26,XUE Fei,PISTEJ Lubomir,3,0,"11,11,11|3,4,9",QR1,GRAND_SLAM,MS,2942,Qualification,XUE Fei (CHN),PISTEJ Lubomir (SVK),XUE Fei
China Smash 2024 Presented by Zhonghui Life,2024-09-26,LUTZ Camille,LUTZ Charlotte,3,2,"7,11,11,5,12|11,9,8,11,10",QR1,GRAND_SLAM,WS,2942,Qualification,LUTZ Camille (FRA),LUTZ Charlotte (FRA),LUTZ Camille
China Smash 2024 Presented by Zhonghui Life,2024-09-26,MA Jinbao,SURAVAJJULA Snehit,3,1,"6,11,11,11|11,7,3,3",QR1,GRAND_SLAM,MS,2942,Qualification,MA Jinbao (USA),SURAVAJJULA Snehit (IND),MA Jinbao
China Smash 2024 Presented by Zhonghui Life,2024-09-26,XU Yi,ORTEGA Daniela,3,2,"9,11,11,7,11|11,9,7,11,3",QR1,GRAND_SLAM,WS,2942,Qualification,XU Yi (CHN),ORTEGA Daniela (CHI),XU Yi
China Smash 2024 Presented by Zhonghui Life,2024-09-26,LAM Siu Hang,DRINKHALL Paul,3,0,"11,11,11|9,4,4",QR1,GRAND_SLAM,MS,2942,Qualification,LAM Siu Hang (HKG),DRINKHALL Paul (ENG),LAM Siu Hang
China Smash 2024 Presented by Zhonghui Life,2024-09-26,MATELOVA Hana,LABOSOVA Ema,3,0,"11,11,13|7,3,11",QR1,GRAND_SLAM,WS,2942,Qualification,MATELOVA Hana (CZE),LABOSOVA Ema (SVK),MATELOVA Hana
China Smash 2024 Presented by Zhonghui Life,2024-09-26,MUKHERJEE Sutirtha,MARCHETTI Nathalie,3,0,"11,12,11|4,10,7",QR1,GRAND_SLAM,WS,2942,Qualification,MUKHERJEE Sutirtha (IND),MARCHETTI Nathalie (BEL),MUKHERJEE Sutirtha
