tournament,date,player_a,player_b,score_a,score_b,game_scores,round,tier,sub_event,event_id,stage,player_a_raw,player_b_raw,winner_raw
World Team Table Tennis Championships Tokyo 2014,2014-04-28,BJARNADOTTIR Kolfinna,RADITLOKO Oabona,3,1,"9,11,11,11|11,7,4,6",,WORLD_CHAMPIONSHIPS,WT,277,Main Draw,BJARNADOTTIR Kolfinna (ISL),RADITLOKO Oabona (BOT),BJARNADOTTIR Kolfinna
World Team Table Tennis Championships Tokyo 2014,2014-04-28,TOMASDOTTIR Sigrun Ebba,BUTALE Boitshwarelo,3,1,"5,11,11,11|11,5,8,9",,WORLD_CHAMPIONSHIPS,WT,277,Main Draw,TOMASDOTTIR Sigrun Ebba (ISL),BUTALE Boitshwarelo (BOT),TOMASDOTTIR Sigrun Ebba
World Team Table Tennis Championships Tokyo 2014,2014-04-28,LARUSDOTTIR Aldis Run,REBATENNE Tshepiso,3,2,"11,11,5,9,11|6,5,11,11,4",,WORLD_CHAMPIONSHIPS,WT,277,Main Draw,LARUSDOTTIR Aldis Run (ISL),REBATENNE Tshepiso (BOT),LARUSDOTTIR Aldis Run
World Team Table Tennis Championships Tokyo 2014,2014-04-28,BOFFA Chiara,SHAREEF Aminath,3,0,"11,11,11|9,2,9",,WORLD_CHAMPIONSHIPS,WT,277,Main Draw,BOFFA Chiara (SMR),SHAREEF Aminath (MDV),BOFFA Chiara
World Team Table Tennis Championships Tokyo 2014,2014-04-28,MOHAMED Mueena,GIARDI Letizia,3,1,"11,3,11,13|9,11,6,11",,WORLD_CHAMPIONSHIPS,WT,277,Main Draw,GIARDI Letizia (SMR),MOHAMED Mueena (MDV),MOHAMED Mueena
World Team Table Tennis Championships Tokyo 2014,2014-04-28,NISA Aishath,MORETTI Gloria,3,1,"11,8,11,11|7,11,4,9",,WORLD_CHAMPIONSHIPS,WT,277,Main Draw,MORETTI Gloria (SMR),NISA Aishath (MDV),NISA Aishath
World Team Table Tennis Championships Tokyo 2014,2014-04-28,BOFFA Chiara,MOHAMED Mueena,3,2,"8,12,6,12,11|11,10,11,10,5",,WORLD_CHAMPIONSHIPS,WT,277,Main Draw,BOFFA Chiara (SMR),MOHAMED Mueena (MDV),BOFFA Chiara
World Team Table Tennis Championships Tokyo 2014,2014-04-28,GIARDI Letizia,SHAREEF Aminath,3,2,"11,9,11,10,11|3,11,3,12,9",,WORLD_CHAMPIONSHIPS,WT,277,Main Draw,GIARDI Letizia (SMR),SHAREEF Aminath (MDV),GIARDI Letizia
World Team Table Tennis Championships Tokyo 2014,2014-04-28,REID Angela,CARNEY Kaydian,3,0,"11,11,11|4,7,5",,WORLD_CHAMPIONSHIPS,WT,277,Main Draw,REID Angela (BAR),CARNEY Kaydian (JAM),REID Angela
World Team Table Tennis Championships Tokyo 2014,2014-04-28,HARVEY Krystle,FOSTER Yvonne,3,1,"11,5,11,11|8,11,4,8",,WORLD_CHAMPIONSHIPS,WT,277,Main Draw,HARVEY Krystle (BAR),FOSTER Yvonne (JAM),HARVEY Krystle
World Team Table Tennis Championships Tokyo 2014,2014-04-28,FELIX Sherrice,CLARE Shenique,3,1,"9,11,11,11|11,7,2,5",,WORLD_CHAMPIONSHIPS,WT,277,Main Draw,FELIX Sherrice (BAR),CLARE Shenique (JAM),FELIX Sherrice
World Team Table Tennis Championships Tokyo 2014,2014-04-28,MORETTI Gloria,ROJAS Sol,3,0,,,WORLD_CHAMPIONSHIPS,WT,277,Main Draw,ROJAS Sol (CRC),MORETTI Gloria (SMR),MORETTI Gloria
World Team Table Tennis Championships Tokyo 2014,2014-04-28,GIARDI Letizia,ROJAS Stefanny,3,0,"11,11,11|2,3,5",,WORLD_CHAMPIONSHIPS,WT,277,Main Draw,ROJAS Stefanny (CRC),GIARDI Letizia (SMR),GIARDI Letizia
