tournament,date,player_a,player_b,score_a,score_b,game_scores,round,tier,sub_event,event_id,stage,player_a_raw,player_b_raw,winner_raw
11th African Games Brazzaville 2015,2015-09-10,INGIL Miguel,ALASSANI Soudes,4,0,"12,11,11,11|10,1,7,7",R128,OTHER,MS,250,Main Draw,ALASSANI Soudes (TOG),INGIL Miguel (MRI),INGIL Miguel
11th African Games Brazzaville 2015,2015-09-10,SAM Bernard,DJAMAL Ahmed,4,0,"11,11,11,11|5,7,8,7",R128,OTHER,MS,250,Main Draw,SAM Bernard (GHA),DJAMAL Ahmed (DJI),SAM Bernard
11th African Games Brazzaville 2015,2015-09-10,MABOTE Bonolo,BARNABAS Charles,4,0,"11,11,12,12|7,5,10,10",R128,OTHER,MS,250,Main Draw,MABOTE Bonolo (BOT),BARNABAS Charles (SLE),MABOTE Bonolo
11th African Games Brazzaville 2015,2015-09-10,NATIVEL Jonathan,GREEN Wayne Marlon,4,0,"11,11,11,11|3,0,3,2",R128,OTHER,MS,250,Main Draw,GREEN Wayne Marlon (NAM),NATIVEL Jonathan (MAD),NATIVEL Jonathan
11th African Games Brazzaville 2015,2015-09-10,WANG Jianan,MOHED Osama,4,1,"11,11,11,7,11|8,6,5,11,2",R128,OTHER,MS,250,Main Draw,WANG Jianan (CGO),MOHED Osama (SUD),WANG Jianan
11th African Games Brazzaville 2015,2015-09-10,BOURIAH Larbi,ABDOULKADER Mohamed,4,0,"11,11,11,11|2,7,1,3",R128,OTHER,MS,250,Main Draw,ABDOULKADER Mohamed (DJI),BOURIAH Larbi (ALG),BOURIAH Larbi
11th African Games Brazzaville 2015,2015-09-10,SOW Hamidou,SALAH Mohamed,4,0,"13,11,11,11|11,4,7,8",R128,OTHER,MS,250,Main Draw,SALAH Mohamed (SUD),SOW Hamidou (SEN),SOW Hamidou
11th African Games Brazzaville 2015,2015-09-10,BIENATIKI Christ,ALI Kazia,4,0,"11,11,11,11|5,5,8,9",R128,OTHER,MS,250,Main Draw,ALI Kazia (KEN),BIENATIKI Christ (CGO),BIENATIKI Christ
11th African Games Brazzaville 2015,2015-09-10,HU Bin,MATLHATSI Thobo,4,0,"11,11,11,11|6,3,2,4",R128,OTHER,MS,250,Main Draw,MATLHATSI Thobo (BOT),HU Bin (CGO),HU Bin
11th African Games Brazzaville 2015,2015-09-10,SEBASTIAO Hermenegildo,CREA Mick,4,0,"11,11,11,11|6,2,6,3",R128,OTHER,MS,250,Main Draw,CREA Mick (SEY),SEBASTIAO Hermenegildo (ANG),SEBASTIAO Hermenegildo
11th African Games Brazzaville 2015,2015-09-10,FARAH Abdourazack,FREZER Meshesha,4,2,"6,11,12,8,11,11|11,3,10,11,5,4",R128,OTHER,MS,250,Main Draw,FARAH Abdourazack (DJI),FREZER Meshesha (ETH),FARAH Abdourazack
