tournament,date,player_a,player_b,score_a,score_b,game_scores,round,tier,sub_event,event_id,stage,player_a_raw,player_b_raw,winner_raw
ITTF Challenge Brazil Open Sao Paulo 2017,2017-05-03,VEGA Paulina,TAKAHASHI Giulia,4,0,"11,11,11,11|1,7,6,7",,OLYMPICS,WS,466,Qualification,VEGA Paulina (CHI),TAKAHASHI Giulia (BRA),VEGA Paulina
ITTF Challenge Brazil Open Sao Paulo 2017,2017-05-03,KATSUMATA Luana,MARQUES Amanda,4,1,"11,11,6,11,11|8,5,11,9,6",,OLYMPICS,WS,466,Qualification,KATSUMATA Luana (BRA),MARQUES Amanda (BRA),KATSUMATA Luana
ITTF Challenge Brazil Open Sao Paulo 2017,2017-05-03,VEGA Paulina,MARQUES Amanda,4,0,"11,11,11,11|6,8,6,5",,OLYMPICS,WS,466,Qualification,VEGA Paulina (CHI),MARQUES Amanda (BRA),VEGA Paulina
ITTF Challenge Brazil Open Sao Paulo 2017,2017-05-03,KATSUMATA Luana,TAKAHASHI Giulia,4,2,"9,11,11,11,6,11|11,6,9,7,11,8",,OLYMPICS,WS,466,Qualification,KATSUMATA Luana (BRA),TAKAHASHI Giulia (BRA),KATSUMATA Luana
ITTF Challenge Brazil Open Sao Paulo 2017,2017-05-03,VEGA Paulina,KATSUMATA Luana,4,0,"11,11,11,11|8,7,3,3",,OLYMPICS,WS,466,Qualification,VEGA Paulina (CHI),KATSUMATA Luana (BRA),VEGA Paulina
ITTF Challenge Brazil Open Sao Paulo 2017,2017-05-03,MARQUES Amanda,TAKAHASHI Giulia,4,1,"11,11,12,5,11|7,9,10,11,4",,OLYMPICS,WS,466,Qualification,MARQUES Amanda (BRA),TAKAHASHI Giulia (BRA),MARQUES Amanda
ITTF Challenge Brazil Open Sao Paulo 2017,2017-05-03,MORALES Judith,FUKASE Tamyres,4,0,"11,11,11,11|5,6,7,8",,OLYMPICS,WS,466,Qualification,MORALES Judith (CHI),FUKASE Tamyres (BRA),MORALES Judith
ITTF Challenge Brazil Open Sao Paulo 2017,2017-05-03,LIMA Livia,AMARAL Brenda,4,0,"11,11,11,11|4,1,5,5",,OLYMPICS,WS,466,Qualification,LIMA Livia (BRA),AMARAL Brenda (BRA),LIMA Livia
ITTF Challenge Brazil Open Sao Paulo 2017,2017-05-03,MORALES Judith,AMARAL Brenda,4,1,"11,9,11,11,11|9,11,5,9,4",,OLYMPICS,WS,466,Qualification,MORALES Judith (CHI),AMARAL Brenda (BRA),MORALES Judith
ITTF Challenge Brazil Open Sao Paulo 2017,2017-05-03,LIMA Livia,FUKASE Tamyres,4,3,"11,9,11,8,11,10,13|7,11,5,11,6,12,11",,OLYMPICS,WS,466,Qualification,LIMA Livia (BRA),FUKASE Tamyres (BRA),LIMA Livia
