tournament,date,player_a,player_b,score_a,score_b,game_scores,round,tier,sub_event,event_id,stage,player_a_raw,player_b_raw,winner_raw
ITTF Challenge Brazil Open Sao Paulo 2017,2017-05-03,FLORITZ Philipp,MATSUMOTO Cazuo,4,2,"11,11,4,11,6,11|9,6,11,9,11,1",R16,OLYMPICS,MS,466,Main Draw,MATSUMOTO Cazuo (BRA),FLORITZ Philipp (BUL),FLORITZ Philipp
ITTF Challenge Brazil Open Sao Paulo 2017,2017-05-03,BAUM Patrick,ANJOS Luiz,4,0,"11,11,11,11|7,3,8,7",R16,OLYMPICS,MS,466,Main Draw,ANJOS Luiz (BRA),BAUM Patrick (GER),BAUM Patrick
ITTF Challenge Brazil Open Sao Paulo 2017,2017-05-03,CALDERANO Hugo,LANDRIEU Andrea,4,2,"6,11,8,11,11,11|11,8,11,7,5,9",QF,OLYMPICS,MS,466,Main Draw,CALDERANO Hugo (BRA),LANDRIEU Andrea (FRA),CALDERANO Hugo
ITTF Challenge Brazil Open Sao Paulo 2017,2017-05-03,TSUBOI Gustavo,JOUTI Eric,4,0,"11,11,11,11|5,5,9,9",QF,OLYMPICS,MS,466,Main Draw,TSUBOI Gustavo (BRA),JOUTI Eric (BRA),TSUBOI Gustavo
ITTF Challenge Brazil Open Sao Paulo 2017,2017-05-03,ANTHONY Amalraj,SZOCS Hunor,4,0,"11,13,11,11|6,11,8,7",QF,OLYMPICS,MS,466,Main Draw,SZOCS Hunor (ROU),ANTHONY Amalraj (IND),ANTHONY Amalraj
ITTF Challenge Brazil Open Sao Paulo 2017,2017-05-03,FLORITZ Philipp,BAUM Patrick,4,1,"11,11,8,11,11|9,4,11,9,7",QF,OLYMPICS,MS,466,Main Draw,FLORITZ Philipp (BUL),BAUM Patrick (GER),FLORITZ Philipp
ITTF Challenge Brazil Open Sao Paulo 2017,2017-05-03,CALDERANO Hugo,TSUBOI Gustavo,4,1,"11,11,6,11,11|3,6,11,6,8",SF,OLYMPICS,MS,466,Main Draw,CALDERANO Hugo (BRA),TSUBOI Gustavo (BRA),CALDERANO Hugo
ITTF Challenge Brazil Open Sao Paulo 2017,2017-05-03,ANTHONY Amalraj,FLORITZ Philipp,4,3,"6,6,11,11,8,11,11|11,11,9,9,11,9,9",SF,OLYMPICS,MS,466,Main Draw,ANTHONY Amalraj (IND),FLORITZ Philipp (BUL),ANTHONY Amalraj
ITTF Challenge Brazil Open Sao Paulo 2017,2017-05-03,CALDERANO Hugo,ANTHONY Amalraj,4,1,"14,9,11,11,11|12,11,7,7,5",F,OLYMPICS,MS,466,Main Draw,CALDERANO Hugo (BRA),ANTHONY Amalraj (IND),CALDERANO Hugo
ITTF Challenge Brazil Open Sao Paulo 2017,2017-05-03,LIMA Livia,TAKAHASHI Giulia,3,2,"11,11,9,5,11|7,9,11,11,1",QF,OLYMPICS,U21WS,466,Main Draw,TAKAHASHI Giulia (BRA),LIMA Livia (BRA),LIMA Livia
ITTF Challenge Brazil Open Sao Paulo 2017,2017-05-03,KIMOTO Beatriz,UCIMA Vitoria,3,1,"14,10,11,11|12,12,5,8",QF,OLYMPICS,U21WS,466,Main Draw,UCIMA Vitoria (BRA),KIMOTO Beatriz (BRA),KIMOTO Beatriz
ITTF Challenge Brazil Open Sao Paulo 2017,2017-05-03,KODAMA Fernanda,KOHATSU Martina,3,1,"11,9,11,11|6,11,6,9",QF,OLYMPICS,U21WS,466,Main Draw,KODAMA Fernanda (BRA),KOHATSU Martina (BRA),KODAMA Fernanda
ITTF Challenge Brazil Open Sao Paulo 2017,2017-05-03,TAKAHASHI Bruna,LIMA Livia,3,2,"11,8,11,6,11|8,11,7,11,6",SF,OLYMPICS,U21WS,466,Main Draw,TAKAHASHI Bruna (BRA),LIMA Livia (BRA),TAKAHASHI Bruna
ITTF Challenge Brazil Open Sao Paulo 2017,2017-05-03,KODAMA Fernanda,KIMOTO Beatriz,3,0,"11,11,11|2,8,3",SF,OLYMPICS,U21WS,466,Main Draw,KIMOTO Beatriz (BRA),KODAMA Fernanda (BRA),KODAMA Fernanda
ITTF Challenge Brazil Open Sao Paulo 2017,2017-05-03,TAKAHASHI Bruna,KODAMA Fernanda,3,0,"12,11,11|10,7,7",F,OLYMPICS,U21WS,466,Main Draw,TAKAHASHI Bruna (BRA),KODAMA Fernanda (BRA),TAKAHASHI Bruna
ITTF Challenge Brazil Open Sao Paulo 2017,2017-05-03,KOHATSU Martina,TAKAHASHI Giulia,3,1,"7,11,11,12|11,9,8,10",,OLYMPICS,U21WS,466,Qualification,KOHATSU Martina (BRA),TAKAHASHI Giulia (BRA),KOHATSU Martina
ITTF Challenge Brazil Open Sao Paulo 2017,2017-05-03,KATSUMATA Luana,AMARAL Brenda,3,0,"11,11,11|3,2,8",,OLYMPICS,U21WS,466,Qualification,KATSUMATA Luana (BRA),AMARAL Brenda (BRA),KATSUMATA Luana
ITTF Challenge Brazil Open Sao Paulo 2017,2017-05-03,KOHATSU Martina,KATSUMATA Luana,3,2,"9,3,11,11,11|11,11,7,6,9",,OLYMPICS,U21WS,466,Qualification,KOHATSU Martina (BRA),KATSUMATA Luana (BRA),KOHATSU Martina
ITTF Challenge Brazil Open Sao Paulo 2017,2017-05-03,TAKAHASHI Giulia,AMARAL Brenda,3,0,"11,11,11|4,6,5",,OLYMPICS,U21WS,466,Qualification,TAKAHASHI Giulia (BRA),AMARAL Brenda (BRA),TAKAHASHI Giulia
ITTF Challenge Brazil Open Sao Paulo 2017,2017-05-03,KOHATSU Martina,AMARAL Brenda,3,1,"11,11,7,11|3,7,11,6",,OLYMPICS,U21WS,466,Qualification,KOHATSU Martina (BRA),AMARAL Brenda (BRA),KOHATSU Martina
ITTF Challenge Brazil Open Sao Paulo 2017,2017-05-03,TAKAHASHI Giulia,KATSUMATA Luana,3,0,"11,11,11|9,8,7",,OLYMPICS,U21WS,466,Qualification,KATSUMATA Luana (BRA),TAKAHASHI Giulia (BRA),TAKAHASHI Giulia
ITTF Challenge Brazil Open Sao Paulo 2017,2017-05-03,LIMA Livia,KIMOTO Beatriz,3,0,"11,11,11|8,7,5",,OLYMPICS,U21WS,466,Qualification,KIMOTO Beatriz (BRA),LIMA Livia (BRA),LIMA Livia
ITTF Challenge Brazil Open Sao Paulo 2017,2017-05-03,FUKASE Tamyres,KODAMA Fernanda,3,2,"11,8,11,13,11|13,11,9,11,9",,OLYMPICS,U21WS,466,Qualification,KODAMA Fernanda (BRA),FUKASE Tamyres (BRA),FUKASE Tamyres
ITTF Challenge Brazil Open Sao Paulo 2017,2017-05-03,KIMOTO Beatriz,FUKASE Tamyres,3,0,"12,12,11|10,10,8",,OLYMPICS,U21WS,466,Qualification,KIMOTO Beatriz (BRA),FUKASE Tamyres (BRA),KIMOTO Beatriz
ITTF Challenge Brazil Open Sao Paulo 2017,2017-05-03,LIMA Livia,KODAMA Fernanda,3,2,"9,12,11,8,12|11,10,9,11,10",,OLYMPICS,U21WS,466,Qualification,LIMA Livia (BRA),KODAMA Fernanda (BRA),LIMA Livia
ITTF Challenge Brazil Open Sao Paulo 2017,2017-05-03,KOHATSU Martina/KUMAHARA Luca,FUKASE Tamyres/YANO Daniela,3,1,"6,11,11,11|11,6,9,2",QF,OLYMPICS,WD,466,Main Draw,KOHATSU Martina (BRA) / KUMAHARA Luca (BRA),FUKASE Tamyres (BRA) / YANO Daniela (BRA),KOHATSU Martina
ITTF Challenge Brazil Open Sao Paulo 2017,2017-05-03,GUI Lin/TAKAHASHI Bruna,KATSUMATA Luana/UCIMA Vitoria,3,0,"13,11,11|11,5,8",QF,OLYMPICS,WD,466,Main Draw,GUI Lin (BRA) / TAKAHASHI Bruna (BRA),KATSUMATA Luana (BRA) / UCIMA Vitoria (BRA),GUI Lin
ITTF Challenge Brazil Open Sao Paulo 2017,2017-05-03,MORALES Judith/VEGA Paulina,KIMOTO Beatriz/LIMA Livia,3,2,"9,11,11,8,11|11,5,8,11,7",QF,OLYMPICS,WD,466,Main Draw,MORALES Judith (CHI) / VEGA Paulina (CHI),KIMOTO Beatriz (BRA) / LIMA Livia (BRA),MORALES Judith
ITTF Challenge Brazil Open Sao Paulo 2017,2017-05-03,GUI Lin/TAKAHASHI Bruna,MORALES Judith/VEGA Paulina,3,0,"11,11,20|4,7,18",SF,OLYMPICS,WD,466,Main Draw,GUI Lin (BRA) / TAKAHASHI Bruna (BRA),MORALES Judith (CHI) / VEGA Paulina (CHI),GUI Lin
ITTF Challenge Brazil Open Sao Paulo 2017,2017-05-03,JOUTI Eric/MATSUMOTO Cazuo,ALMEIDA Siddharta/ANJOS Luiz,3,2,"11,9,9,11,11|4,11,11,3,5",R16,OLYMPICS,MD,466,Main Draw,JOUTI Eric (BRA) / MATSUMOTO Cazuo (BRA),ALMEIDA Siddharta (BRA) / ANJOS Luiz (BRA),JOUTI Eric
ITTF Challenge Brazil Open Sao Paulo 2017,2017-05-03,CALDERANO Hugo/TSUBOI Gustavo,FLORITZ Philipp/SZOCS Hunor,3,0,"11,12,13|9,10,11",QF,OLYMPICS,MD,466,Main Draw,CALDERANO Hugo (BRA) / TSUBOI Gustavo (BRA),FLORITZ Philipp (BUL) / SZOCS Hunor (ROU),CALDERANO Hugo
ITTF Challenge Brazil Open Sao Paulo 2017,2017-05-03,JOUTI Eric/MATSUMOTO Cazuo,LANDRIEU Andrea/RODRIGUEZ Alejandro,3,0,"13,13,11|11,11,6",QF,OLYMPICS,MD,466,Main Draw,JOUTI Eric (BRA) / MATSUMOTO Cazuo (BRA),LANDRIEU Andrea (FRA) / RODRIGUEZ Alejandro (CHI),JOUTI Eric
ITTF Challenge Brazil Open Sao Paulo 2017,2017-05-03,CALDERANO Hugo/TSUBOI Gustavo,JOUTI Eric/MATSUMOTO Cazuo,3,0,"11,11,11|8,9,5",SF,OLYMPICS,MD,466,Main Draw,CALDERANO Hugo (BRA) / TSUBOI Gustavo (BRA),JOUTI Eric (BRA) / MATSUMOTO Cazuo (BRA),CALDERANO Hugo
ITTF Challenge Brazil Open Sao Paulo 2017,2017-05-03,CALDERANO Hugo/TSUBOI Gustavo,BAUM Patrick/KEINATH Thomas,3,0,"11,11,11|8,7,9",F,OLYMPICS,MD,466,Main Draw,CALDERANO Hugo (BRA) / TSUBOI Gustavo (BRA),BAUM Patrick (GER) / KEINATH Thomas (SVK),CALDERANO Hugo
ITTF Challenge Brazil Open Sao Paulo 2017,2017-05-03,GOMEZ Gustavo/LAMADRID Juan,KOHATSU Massao/TOMA Danilo,3,0,"11,13,11|5,11,6",QF,OLYMPICS,MD,466,Main Draw,GOMEZ Gustavo (CHI) / LAMADRID Juan (CHI),KOHATSU Massao (BRA) / TOMA Danilo (BRA),GOMEZ Gustavo
ITTF Challenge Brazil Open Sao Paulo 2017,2017-05-03,BAUM Patrick/KEINATH Thomas,GOMEZ Gustavo/LAMADRID Juan,3,2,"7,2,11,12,11|11,11,6,10,7",SF,OLYMPICS,MD,466,Main Draw,BAUM Patrick (GER) / KEINATH Thomas (SVK),GOMEZ Gustavo (CHI) / LAMADRID Juan (CHI),BAUM Patrick
ITTF Challenge Brazil Open Sao Paulo 2017,2017-05-03,SZOCS Bernadette/ZARIF Audrey,KODAMA Fernanda/TAKAHASHI Giulia,3,0,"12,11,11|10,6,3",QF,OLYMPICS,WD,466,Main Draw,SZOCS Bernadette (ROU) / ZARIF Audrey (FRA),KODAMA Fernanda (BRA) / TAKAHASHI Giulia (BRA),SZOCS Bernadette
ITTF Challenge Brazil Open Sao Paulo 2017,2017-05-03,SZOCS Bernadette/ZARIF Audrey,KOHATSU Martina/KUMAHARA Luca,3,0,"11,11,11|6,8,5",SF,OLYMPICS,WD,466,Main Draw,SZOCS Bernadette (ROU) / ZARIF Audrey (FRA),KOHATSU Martina (BRA) / KUMAHARA Luca (BRA),SZOCS Bernadette
ITTF Challenge Brazil Open Sao Paulo 2017,2017-05-03,SZOCS Bernadette/ZARIF Audrey,GUI Lin/TAKAHASHI Bruna,3,0,"13,12,11|11,10,8",F,OLYMPICS,WD,466,Main Draw,SZOCS Bernadette (ROU) / ZARIF Audrey (FRA),GUI Lin (BRA) / TAKAHASHI Bruna (BRA),SZOCS Bernadette
ITTF Challenge Brazil Open Sao Paulo 2017,2017-05-03,BAUM Patrick/KEINATH Thomas,TEODORO Guilherme/TURRINI Rafael,3,1,"11,11,10,11|5,6,12,6",R16,OLYMPICS,MD,466,Main Draw,BAUM Patrick (GER) / KEINATH Thomas (SVK),TEODORO Guilherme (BRA) / TURRINI Rafael (BRA),BAUM Patrick
ITTF Challenge Brazil Open Sao Paulo 2017,2017-05-03,BAUM Patrick/KEINATH Thomas,ANTHONY Amalraj/GHOSH Soumyajit,3,1,"11,4,11,13|4,11,8,11",QF,OLYMPICS,MD,466,Main Draw,BAUM Patrick (GER) / KEINATH Thomas (SVK),ANTHONY Amalraj (IND) / GHOSH Soumyajit (IND),BAUM Patrick
