tournament,date,player_a,player_b,score_a,score_b,game_scores,round,tier,sub_event,event_id,stage,player_a_raw,player_b_raw,winner_raw
JOOLA European Nations League Premier 2011,2011-09-05,INDEHERBERG Julien,RECH DALDOSSO Marco,3,0,,GROUP,OTHER,MT,1971,Main Draw,INDEHERBERG Julien (BEL),RECH DALDOSSO Marco (ITA),INDEHERBERG Julien
JOOLA European Nations League Premier 2011,2011-09-05,JAKAB Janos,ROBINOT Quentin,3,0,,GROUP,OTHER,MT,1971,Main Draw,JAKAB Janos (HUN),ROBINOT Quentin (FRA),JAKAB Janos
JOOLA European Nations League Premier 2011,2011-09-05,PATTANTYUS Adam,GAUZY Simon,3,0,,GROUP,OTHER,MT,1971,Main Draw,PATTANTYUS Adam (HUN),GAUZY Simon (FRA),PATTANTYUS Adam
JOOLA European Nations League Premier 2011,2011-09-05,KOSIBA Daniel,LORENTZ Romain,3,0,,GROUP,OTHER,MT,1971,Main Draw,KOSIBA Daniel (HUN),LORENTZ Romain (FRA),KOSIBA Daniel
JOOLA European Nations League Premier 2011,2011-09-05,JEVTOVIC Marko,KOVAC Borna,3,0,,GROUP,OTHER,MT,1971,Main Draw,JEVTOVIC Marko (SRB),KOVAC Borna (CRO),JEVTOVIC Marko
JOOLA European Nations League Premier 2011,2011-09-05,KOLAREK Tomislav,CREPULJA Bojan,3,0,,GROUP,OTHER,MT,1971,Main Draw,KOLAREK Tomislav (CRO),CREPULJA Bojan (SRB),KOLAREK Tomislav
JOOLA European Nations League Premier 2011,2011-09-05,PETO Zoltan,KOJIC Frane,3,0,,GROUP,OTHER,MT,1971,Main Draw,PETO Zoltan (SRB),KOJIC Frane (CRO),PETO Zoltan
JOOLA European Nations League Premier 2011,2011-09-05,KOLAREK Tomislav,JEVTOVIC Marko,3,0,,GROUP,OTHER,MT,1971,Main Draw,KOLAREK Tomislav (CRO),JEVTOVIC Marko (SRB),KOLAREK Tomislav
JOOLA European Nations League Premier 2011,2011-09-05,GALONJA Marija,QUACH Michelle,3,0,,GROUP,OTHER,WT,1971,Main Draw,GALONJA Marija (SRB),QUACH Michelle (SWE),GALONJA Marija
JOOLA European Nations League Premier 2011,2011-09-05,JONSSON Jennifer,TODOROVIC Andrea,3,0,,GROUP,OTHER,WT,1971,Main Draw,JONSSON Jennifer (SWE),TODOROVIC Andrea (SRB),JONSSON Jennifer
JOOLA European Nations League Premier 2011,2011-09-05,KNEZEVIC Monika,MOSKOVITS Daniela,3,0,,GROUP,OTHER,WT,1971,Main Draw,KNEZEVIC Monika (SRB),MOSKOVITS Daniela (SWE),KNEZEVIC Monika
JOOLA European Nations League Premier 2011,2011-09-05,QUACH Michelle,TODOROVIC Andrea,3,0,,GROUP,OTHER,WT,1971,Main Draw,QUACH Michelle (SWE),TODOROVIC Andrea (SRB),QUACH Michelle
JOOLA European Nations League Premier 2011,2011-09-05,PARTYKA Natalia,SIBLEY Kelly,3,0,,GROUP,OTHER,WT,1971,Main Draw,PARTYKA Natalia (POL),SIBLEY Kelly (ENG),PARTYKA Natalia
JOOLA European Nations League Premier 2011,2011-09-05,GRZYBOWSKA-FRANC Katarzyna,DRINKHALL Joanna,3,0,,GROUP,OTHER,WT,1971,Main Draw,GRZYBOWSKA-FRANC Katarzyna (POL),DRINKHALL Joanna (ENG),GRZYBOWSKA-FRANC Katarzyna
JOOLA European Nations League Premier 2011,2011-09-05,KUSINSKA Klaudia,HICKS Hannah,3,0,,GROUP,OTHER,WT,1971,Main Draw,KUSINSKA Klaudia (POL),HICKS Hannah (ENG),KUSINSKA Klaudia
JOOLA European Nations League Premier 2011,2011-09-05,GRUNDISCH Carole,PAVLOVICH Veronika,3,0,,GROUP,OTHER,WT,1971,Main Draw,GRUNDISCH Carole (FRA),PAVLOVICH Veronika (BLR),GRUNDISCH Carole
JOOLA European Nations League Premier 2011,2011-09-05,PAVLOVICH Viktoria,XIAN Yifang,3,0,,GROUP,OTHER,WT,1971,Main Draw,PAVLOVICH Viktoria (BLR),XIAN Yifang (FRA),PAVLOVICH Viktoria
JOOLA European Nations League Premier 2011,2011-09-05,DESSAINT Aurore,DUBKOVA Elena,3,0,,GROUP,OTHER,WT,1971,Main Draw,DESSAINT Aurore (FRA),DUBKOVA Elena (BLR),DESSAINT Aurore
JOOLA European Nations League Premier 2011,2011-09-05,PAVLOVICH Viktoria,GRUNDISCH Carole,3,0,,GROUP,OTHER,WT,1971,Main Draw,PAVLOVICH Viktoria (BLR),GRUNDISCH Carole (FRA),PAVLOVICH Viktoria
JOOLA European Nations League Premier 2011,2011-09-05,SAMSONOV Vladimir,TORNKVIST Andreas,3,0,,GROUP,OTHER,MT,1971,Main Draw,SAMSONOV Vladimir (BLR),TORNKVIST Andreas (SWE),SAMSONOV Vladimir
JOOLA European Nations League Premier 2011,2011-09-05,NEKHVEDOVICH Vitaly,ANDERSSON Harald,3,0,,GROUP,OTHER,MT,1971,Main Draw,NEKHVEDOVICH Vitaly (BLR),ANDERSSON Harald (SWE),NEKHVEDOVICH Vitaly
