tournament,date,player_a,player_b,score_a,score_b,game_scores,round,tier,sub_event,event_id,stage,player_a_raw,player_b_raw
ITTF Latin American Cup Guatemala City 2016,2016-06-03,SILVA Yadira,VEGA Paulina,4,1,"11,11,11,11,11|4,3,1,13,6",SemiFinal,OTHER,WS,187,Main Draw,VEGA Paulina (CHI),SILVA Yadira (MEX)
ITTF Latin American Cup Guatemala City 2016,2016-06-03,RUANO Lady,SILVA Yadira,4,3,"8,6,7,11,11,11,11|11,11,11,8,7,8,8",Final,OTHER,WS,187,Main Draw,RUANO Lady (COL),SILVA Yadira (MEX)
ITTF Latin American Cup Guatemala City 2016,2016-06-03,VEGA Paulina,ARVELO Gremlis,4,1,"11,9,11,11,11|7,11,2,9,8",2,OTHER,WS,187,Position Draw,ARVELO Gremlis (VEN),VEGA Paulina (CHI)
ITTF Latin American Cup Guatemala City 2016,2016-06-03,CALDERANO Hugo,DONADO Josue,4,1,"11,11,9,11,11|4,5,11,6,5",QuarterFinal,OTHER,MS,187,Main Draw,CALDERANO Hugo (BRA),DONADO Josue (ESA)
ITTF Latin American Cup Guatemala City 2016,2016-06-03,MINO Alberto,GUTIERREZ Allan,4,0,"11,11,11,11|7,2,9,3",QuarterFinal,OTHER,MS,187,Main Draw,GUTIERREZ Allan (GUA),MINO Alberto (ECU)
ITTF Latin American Cup Guatemala City 2016,2016-06-03,JOUTI Eric,CAMPOS Jorge,4,1,"11,11,11,6,11|5,2,8,11,4",QuarterFinal,OTHER,MS,187,Main Draw,JOUTI Eric (BRA),CAMPOS Jorge (CUB)
ITTF Latin American Cup Guatemala City 2016,2016-06-03,MADRID Marcos,PEREIRA Andy,4,2,"6,10,11,11,11,11|11,12,6,4,9,7",QuarterFinal,OTHER,MS,187,Main Draw,PEREIRA Andy (CUB),MADRID Marcos (MEX)
ITTF Latin American Cup Guatemala City 2016,2016-06-03,CALDERANO Hugo,MINO Alberto,4,1,"10,11,11,11,11|12,4,9,7,3",SemiFinal,OTHER,MS,187,Main Draw,CALDERANO Hugo (BRA),MINO Alberto (ECU)
ITTF Latin American Cup Guatemala City 2016,2016-06-03,MADRID Marcos,JOUTI Eric,4,3,"7,11,8,11,11,11,11|11,8,11,7,13,6,6",SemiFinal,OTHER,MS,187,Main Draw,JOUTI Eric (BRA),MADRID Marcos (MEX)
ITTF Latin American Cup Guatemala City 2016,2016-06-03,CALDERANO Hugo,MADRID Marcos,4,1,"9,11,11,11,11|11,8,9,8,7",Final,OTHER,MS,187,Main Draw,CALDERANO Hugo (BRA),MADRID Marcos (MEX)
ITTF Latin American Cup Guatemala City 2016,2016-06-03,MINO Alberto,JOUTI Eric,4,0,"11,11,11,11|3,9,8,6",2,OTHER,MS,187,Position Draw,MINO Alberto (ECU),JOUTI Eric (BRA)
