tournament,date,player_a,player_b,score_a,score_b,game_scores,round,tier,sub_event,event_id,stage,player_a_raw,player_b_raw,winner_raw
Volkswagen Pro Tour Grand Finals Macao 2008,2008-12-11,FREITAS Marcos,LEBESSON Emmanuel,4,3,"10,11,8,11,10,12,12|12,8,11,3,12,10,10",3,GRAND_SLAM,U21MS,805,Qualification,FREITAS Marcos (POR),LEBESSON Emmanuel (FRA),FREITAS Marcos
Volkswagen Pro Tour Grand Finals Macao 2008,2008-12-11,MA Liang,CHIANG Hung-Chieh,4,2,"11,11,8,8,14,11|8,6,11,11,12,8",QR4,GRAND_SLAM,U21MS,805,Qualification,MA Liang (SGP),CHIANG Hung-Chieh (TPE),MA Liang
Volkswagen Pro Tour Grand Finals Macao 2008,2008-12-11,LEBESSON Emmanuel,MA Liang,4,0,"11,11,11,11|3,9,9,9",6,GRAND_SLAM,U21MS,805,Qualification,LEBESSON Emmanuel (FRA),MA Liang (SGP),LEBESSON Emmanuel
Volkswagen Pro Tour Grand Finals Macao 2008,2008-12-11,SKACHKOV Kirill,JANCARIK Lubomir,4,1,"11,11,5,11,11|6,6,11,4,6",,GRAND_SLAM,U21MS,805,Qualification,SKACHKOV Kirill (RUS),JANCARIK Lubomir (CZE),SKACHKOV Kirill
Volkswagen Pro Tour Grand Finals Macao 2008,2008-12-11,MATTENET Adrien,LIU Zhongze,4,1,"11,7,11,12,11|9,11,9,10,5",QR2,GRAND_SLAM,U21MS,805,Qualification,MATTENET Adrien (FRA),LIU Zhongze (SGP),MATTENET Adrien
Volkswagen Pro Tour Grand Finals Macao 2008,2008-12-11,SKACHKOV Kirill,LIU Zhongze,4,1,"11,6,11,11,11|5,11,5,9,8",3,GRAND_SLAM,U21MS,805,Qualification,SKACHKOV Kirill (RUS),LIU Zhongze (SGP),SKACHKOV Kirill
Volkswagen Pro Tour Grand Finals Macao 2008,2008-12-11,MATTENET Adrien,JANCARIK Lubomir,4,1,"12,12,11,5,11|10,10,7,11,9",QR4,GRAND_SLAM,U21MS,805,Qualification,MATTENET Adrien (FRA),JANCARIK Lubomir (CZE),MATTENET Adrien
Volkswagen Pro Tour Grand Finals Macao 2008,2008-12-11,SKACHKOV Kirill,MATTENET Adrien,4,1,"11,11,8,11,11|6,9,11,6,9",5,GRAND_SLAM,U21MS,805,Qualification,SKACHKOV Kirill (RUS),MATTENET Adrien (FRA),SKACHKOV Kirill
Volkswagen Pro Tour Grand Finals Macao 2008,2008-12-11,JANCARIK Lubomir,LIU Zhongze,4,0,"11,17,11,11|8,15,5,4",6,GRAND_SLAM,U21MS,805,Qualification,JANCARIK Lubomir (CZE),LIU Zhongze (SGP),JANCARIK Lubomir
Volkswagen Pro Tour Grand Finals Macao 2008,2008-12-11,KIM Kyungah,LI Xiaoxia,4,2,"9,11,8,12,11,11|11,9,11,10,8,6",R16,GRAND_SLAM,WS,805,Main Draw,KIM Kyungah (KOR),LI Xiaoxia (CHN),KIM Kyungah
