tournament,date,player_a,player_b,score_a,score_b,game_scores,round,tier,sub_event,event_id,stage,player_a_raw,player_b_raw,winner_raw
World Tour Australian Open Gold Coast 2017,2017-07-02,CHO Seungmin,SHETTY Sanil,4,0,"11,11,11,11|9,3,6,7",R16,GRAND_SLAM,MS,460,Main Draw,SHETTY Sanil (IND),CHO Seungmin (KOR),CHO Seungmin
World Tour Australian Open Gold Coast 2017,2017-07-02,GAUZY Simon,GNANASEKARAN Sathiyan,4,3,"11,11,7,7,11,8,11|7,7,11,11,7,11,8",R16,GRAND_SLAM,MS,460,Main Draw,GAUZY Simon (FRA),GNANASEKARAN Sathiyan (IND),GAUZY Simon
World Tour Australian Open Gold Coast 2017,2017-07-02,YOSHIDA Masaki,KARLSSON Mattias,4,2,"11,11,5,11,8,14|9,9,11,9,11,12",R16,GRAND_SLAM,MS,460,Main Draw,KARLSSON Mattias (SWE),YOSHIDA Masaki (JPN),YOSHIDA Masaki
World Tour Australian Open Gold Coast 2017,2017-07-02,SAMSONOV Vladimir,GAO Ning,4,1,"6,11,11,11,19|11,7,2,9,17",R16,GRAND_SLAM,MS,460,Main Draw,SAMSONOV Vladimir (BLR),GAO Ning (SGP),SAMSONOV Vladimir
World Tour Australian Open Gold Coast 2017,2017-07-02,MATSUDAIRA Kenta,LIM Jonghoon,4,3,"13,8,3,6,11,11,13|11,11,11,11,7,6,11",R16,GRAND_SLAM,MS,460,Main Draw,LIM Jonghoon (KOR),MATSUDAIRA Kenta (JPN),MATSUDAIRA Kenta
World Tour Australian Open Gold Coast 2017,2017-07-02,OSHIMA Yuya,FREITAS Marcos,4,0,"11,12,11,11|7,10,8,5",R16,GRAND_SLAM,MS,460,Main Draw,FREITAS Marcos (POR),OSHIMA Yuya (JPN),OSHIMA Yuya
World Tour Australian Open Gold Coast 2017,2017-07-02,DRINKHALL Paul,FLORE Tristan,4,2,"11,6,6,13,11,11|9,11,11,11,8,8",R16,GRAND_SLAM,MS,460,Main Draw,DRINKHALL Paul (ENG),FLORE Tristan (FRA),DRINKHALL Paul
World Tour Australian Open Gold Coast 2017,2017-07-02,CHO Seungmin,MIZUTANI Jun,4,3,"11,8,11,11,6,8,11|9,11,5,7,11,11,4",QF,GRAND_SLAM,MS,460,Main Draw,MIZUTANI Jun (JPN),CHO Seungmin (KOR),CHO Seungmin
World Tour Australian Open Gold Coast 2017,2017-07-02,GAUZY Simon,YOSHIDA Masaki,4,0,"11,11,11,11|5,9,9,4",QF,GRAND_SLAM,MS,460,Main Draw,GAUZY Simon (FRA),YOSHIDA Masaki (JPN),GAUZY Simon
World Tour Australian Open Gold Coast 2017,2017-07-02,SAMSONOV Vladimir,MATSUDAIRA Kenta,4,1,"11,11,8,11,11|8,9,11,8,9",QF,GRAND_SLAM,MS,460,Main Draw,SAMSONOV Vladimir (BLR),MATSUDAIRA Kenta (JPN),SAMSONOV Vladimir
World Tour Australian Open Gold Coast 2017,2017-07-02,DRINKHALL Paul,OSHIMA Yuya,4,2,"11,7,11,7,11,11|8,11,8,11,4,8",QF,GRAND_SLAM,MS,460,Main Draw,OSHIMA Yuya (JPN),DRINKHALL Paul (ENG),DRINKHALL Paul
World Tour Australian Open Gold Coast 2017,2017-07-02,GAUZY Simon,CHO Seungmin,4,2,"11,11,11,9,10,15|5,6,6,11,12,13",SF,GRAND_SLAM,MS,460,Main Draw,CHO Seungmin (KOR),GAUZY Simon (FRA),GAUZY Simon
World Tour Australian Open Gold Coast 2017,2017-07-02,SAMSONOV Vladimir,DRINKHALL Paul,4,1,"11,11,11,7,11|8,4,6,11,7",SF,GRAND_SLAM,MS,460,Main Draw,SAMSONOV Vladimir (BLR),DRINKHALL Paul (ENG),SAMSONOV Vladimir
World Tour Australian Open Gold Coast 2017,2017-07-02,SAMSONOV Vladimir,GAUZY Simon,4,1,"11,11,11,11,11|13,8,5,8,8",F,GRAND_SLAM,MS,460,Main Draw,GAUZY Simon (FRA),SAMSONOV Vladimir (BLR),SAMSONOV Vladimir
World Tour Australian Open Gold Coast 2017,2017-07-02,ZHU Yuling,KIM Kyungah,4,0,"11,11,11,11|3,6,2,8",R32,GRAND_SLAM,WS,460,Main Draw,ZHU Yuling (MAC),KIM Kyungah (KOR),ZHU Yuling
World Tour Australian Open Gold Coast 2017,2017-07-02,KATO Miyu,HUANG Yi-Hua,4,1,"11,11,11,9,11|6,8,4,11,9",R32,GRAND_SLAM,WS,460,Main Draw,HUANG Yi-Hua (TPE),KATO Miyu (JPN),KATO Miyu
World Tour Australian Open Gold Coast 2017,2017-07-02,SHIOMI Maki,ZENG Jian,4,3,"2,11,13,7,10,11,11|11,5,11,11,12,7,7",R32,GRAND_SLAM,WS,460,Main Draw,ZENG Jian (SGP),SHIOMI Maki (JPN),SHIOMI Maki
World Tour Australian Open Gold Coast 2017,2017-07-02,CHOI Hyojoo,CHENG I-Ching,4,0,"11,11,11,11|5,0,0,0",R32,GRAND_SLAM,WS,460,Main Draw,CHOI Hyojoo (KOR),CHENG I-Ching (TPE),CHOI Hyojoo
World Tour Australian Open Gold Coast 2017,2017-07-02,WANG Manyu,SATO Hitomi,4,0,"11,11,11,11|2,4,4,4",R32,GRAND_SLAM,WS,460,Main Draw,SATO Hitomi (JPN),WANG Manyu (CHN),WANG Manyu
World Tour Australian Open Gold Coast 2017,2017-07-02,LEE Eunhye,LAY Jian Fang,4,1,"11,11,7,13,11|8,4,11,11,9",R32,GRAND_SLAM,WS,460,Main Draw,LEE Eunhye (KOR),LAY Jian Fang (AUS),LEE Eunhye
World Tour Australian Open Gold Coast 2017,2017-07-02,YU Mengyu,MORI Sakura,4,1,"11,11,11,11,13|8,13,7,3,11",R32,GRAND_SLAM,WS,460,Main Draw,YU Mengyu (SGP),MORI Sakura (JPN),YU Mengyu
World Tour Australian Open Gold Coast 2017,2017-07-02,CHEN Xingtong,ISHIKAWA Kasumi,4,1,"11,7,11,12,12|7,11,7,10,10",R32,GRAND_SLAM,WS,460,Main Draw,CHEN Xingtong (CHN),ISHIKAWA Kasumi (JPN),CHEN Xingtong
World Tour Australian Open Gold Coast 2017,2017-07-02,CHEN Meng,CHENG Hsien-Tzu,4,0,"11,11,12,11|5,9,10,9",R32,GRAND_SLAM,WS,460,Main Draw,CHEN Meng (CHN),CHENG Hsien-Tzu (TPE),CHEN Meng
World Tour Australian Open Gold Coast 2017,2017-07-02,HAYATA Hina,ZHOU Yihan,4,1,"6,13,11,11,11|11,11,8,7,6",R32,GRAND_SLAM,WS,460,Main Draw,ZHOU Yihan (SGP),HAYATA Hina (JPN),HAYATA Hina
World Tour Australian Open Gold Coast 2017,2017-07-02,MAEDA Miyu,JEON Jihee,4,3,"11,9,8,11,7,11,13|9,11,11,9,11,2,11",R32,GRAND_SLAM,WS,460,Main Draw,JEON Jihee (KOR),MAEDA Miyu (JPN),MAEDA Miyu
World Tour Australian Open Gold Coast 2017,2017-07-02,ZHANG Qiang,ITO Mima,4,1,"8,12,11,11,11|11,10,5,7,7",R32,GRAND_SLAM,WS,460,Main Draw,ZHANG Qiang (CHN),ITO Mima (JPN),ZHANG Qiang
World Tour Australian Open Gold Coast 2017,2017-07-02,GU Yuting,HIRANO Miu,4,2,"11,11,9,11,11,11|13,7,11,7,5,7",R32,GRAND_SLAM,WS,460,Main Draw,HIRANO Miu (JPN),GU Yuting (CHN),GU Yuting
World Tour Australian Open Gold Coast 2017,2017-07-02,HASHIMOTO Honoka,LI Yu-Jhun,4,0,"11,11,11,11|6,1,4,9",R32,GRAND_SLAM,WS,460,Main Draw,LI Yu-Jhun (TPE),HASHIMOTO Honoka (JPN),HASHIMOTO Honoka
World Tour Australian Open Gold Coast 2017,2017-07-02,HAMAMOTO Yui,LIN Ye,4,2,"8,11,11,2,11,11|11,8,7,11,6,8",R32,GRAND_SLAM,WS,460,Main Draw,HAMAMOTO Yui (AUT),LIN Ye (CAN),HAMAMOTO Yui
World Tour Australian Open Gold Coast 2017,2017-07-02,SHIBATA Saki,FENG Tianwei,4,2,"6,6,11,12,11,11|11,11,8,10,9,6",R32,GRAND_SLAM,WS,460,Main Draw,SHIBATA Saki (JPN),FENG Tianwei (SGP),SHIBATA Saki
World Tour Australian Open Gold Coast 2017,2017-07-02,ZHU Yuling,KATO Miyu,4,0,"11,11,12,11|9,9,10,2",R16,GRAND_SLAM,WS,460,Main Draw,ZHU Yuling (MAC),KATO Miyu (JPN),ZHU Yuling
World Tour Australian Open Gold Coast 2017,2017-07-02,SHIOMI Maki,CHOI Hyojoo,4,1,"11,10,11,12,11|6,12,9,10,8",R16,GRAND_SLAM,WS,460,Main Draw,SHIOMI Maki (JPN),CHOI Hyojoo (KOR),SHIOMI Maki
World Tour Australian Open Gold Coast 2017,2017-07-02,WANG Manyu,LEE Eunhye,4,1,"8,11,11,11,12|11,9,9,8,7",R16,GRAND_SLAM,WS,460,Main Draw,WANG Manyu (CHN),LEE Eunhye (KOR),WANG Manyu
World Tour Australian Open Gold Coast 2017,2017-07-02,CHEN Xingtong,YU Mengyu,4,0,"11,11,11,11|6,4,4,7",R16,GRAND_SLAM,WS,460,Main Draw,YU Mengyu (SGP),CHEN Xingtong (CHN),CHEN Xingtong
World Tour Australian Open Gold Coast 2017,2017-07-02,CHEN Meng,HAYATA Hina,4,0,"11,11,11,11|7,6,7,9",R16,GRAND_SLAM,WS,460,Main Draw,CHEN Meng (CHN),HAYATA Hina (JPN),CHEN Meng
World Tour Australian Open Gold Coast 2017,2017-07-02,ZHANG Qiang,MAEDA Miyu,4,1,"9,11,12,11,11|11,5,10,8,4",R16,GRAND_SLAM,WS,460,Main Draw,MAEDA Miyu (JPN),ZHANG Qiang (CHN),ZHANG Qiang
World Tour Australian Open Gold Coast 2017,2017-07-02,GU Yuting,HASHIMOTO Honoka,4,2,"11,11,10,10,11,12|8,9,12,12,8,10",R16,GRAND_SLAM,WS,460,Main Draw,GU Yuting (CHN),HASHIMOTO Honoka (JPN),GU Yuting
World Tour Australian Open Gold Coast 2017,2017-07-02,SHIBATA Saki,HAMAMOTO Yui,4,0,"11,11,11,11|8,4,3,5",R16,GRAND_SLAM,WS,460,Main Draw,HAMAMOTO Yui (AUT),SHIBATA Saki (JPN),SHIBATA Saki
World Tour Australian Open Gold Coast 2017,2017-07-02,ZHU Yuling,SHIOMI Maki,4,0,"11,15,11,11|3,13,4,3",QF,GRAND_SLAM,WS,460,Main Draw,ZHU Yuling (MAC),SHIOMI Maki (JPN),ZHU Yuling
World Tour Australian Open Gold Coast 2017,2017-07-02,WANG Manyu,CHEN Xingtong,4,0,"11,11,11,11|8,4,5,8",QF,GRAND_SLAM,WS,460,Main Draw,WANG Manyu (CHN),CHEN Xingtong (CHN),WANG Manyu
World Tour Australian Open Gold Coast 2017,2017-07-02,CHEN Meng,ZHANG Qiang,4,0,"11,11,11,11|7,6,5,8",QF,GRAND_SLAM,WS,460,Main Draw,CHEN Meng (CHN),ZHANG Qiang (CHN),CHEN Meng
World Tour Australian Open Gold Coast 2017,2017-07-02,GU Yuting,SHIBATA Saki,4,0,"11,11,11,11|7,9,5,9",QF,GRAND_SLAM,WS,460,Main Draw,GU Yuting (CHN),SHIBATA Saki (JPN),GU Yuting
World Tour Australian Open Gold Coast 2017,2017-07-02,WANG Manyu,ZHU Yuling,4,0,"11,11,11,11|8,7,4,4",SF,GRAND_SLAM,WS,460,Main Draw,ZHU Yuling (MAC),WANG Manyu (CHN),WANG Manyu
World Tour Australian Open Gold Coast 2017,2017-07-02,CHEN Meng,GU Yuting,4,0,"11,11,12,11|7,6,10,7",SF,GRAND_SLAM,WS,460,Main Draw,CHEN Meng (CHN),GU Yuting (CHN),CHEN Meng
