tournament,date,player_a,player_b,score_a,score_b,game_scores,round,tier,sub_event,event_id,stage,player_a_raw,player_b_raw,winner_raw
World Tour Australian Open Gold Coast 2017,2017-07-02,ZHANG Qiang,CHEN Szu-Yu,4,0,"13,12,11,12|11,10,7,10",,GRAND_SLAM,WS,460,Qualification,CHEN Szu-Yu (TPE),ZHANG Qiang (CHN),ZHANG Qiang
World Tour Australian Open Gold Coast 2017,2017-07-02,CHEN Szu-Yu,TAPPER Melissa,4,0,"11,11,11,11|1,7,3,3",,GRAND_SLAM,WS,460,Qualification,CHEN Szu-Yu (TPE),TAPPER Melissa (AUS),CHEN Szu-Yu
World Tour Australian Open Gold Coast 2017,2017-07-02,SAHASRABUDHE Pooja,TOWNSEND Danni Elle,4,0,"11,11,11,11|6,3,3,2",,GRAND_SLAM,WS,460,Qualification,SAHASRABUDHE Pooja (IND),TOWNSEND Danni Elle (AUS),SAHASRABUDHE Pooja
World Tour Australian Open Gold Coast 2017,2017-07-02,WANG Manyu,TOWNSEND Danni Elle,4,0,"11,11,11,11|4,2,3,1",,GRAND_SLAM,WS,460,Qualification,WANG Manyu (CHN),TOWNSEND Danni Elle (AUS),WANG Manyu
World Tour Australian Open Gold Coast 2017,2017-07-02,WANG Manyu,SAHASRABUDHE Pooja,4,0,"11,11,11,11|2,2,5,5",,GRAND_SLAM,WS,460,Qualification,WANG Manyu (CHN),SAHASRABUDHE Pooja (IND),WANG Manyu
World Tour Australian Open Gold Coast 2017,2017-07-02,MUKHERJEE Sutirtha,KAUR Parleen,4,0,"11,11,11,11|4,0,9,6",,GRAND_SLAM,WS,460,Qualification,MUKHERJEE Sutirtha (IND),KAUR Parleen (AUS),MUKHERJEE Sutirtha
World Tour Australian Open Gold Coast 2017,2017-07-02,ZHOU Yihan,KAUR Parleen,4,0,"11,11,11,11|5,2,6,2",,GRAND_SLAM,WS,460,Qualification,ZHOU Yihan (SGP),KAUR Parleen (AUS),ZHOU Yihan
World Tour Australian Open Gold Coast 2017,2017-07-02,ZHOU Yihan,MUKHERJEE Sutirtha,4,1,"10,11,11,11,12|12,4,8,5,10",,GRAND_SLAM,WS,460,Qualification,ZHOU Yihan (SGP),MUKHERJEE Sutirtha (IND),ZHOU Yihan
World Tour Australian Open Gold Coast 2017,2017-07-02,CAREY Charlotte,FENG Chunyi,4,3,"8,11,11,8,11,10,11|11,8,7,11,9,12,6",,GRAND_SLAM,WS,460,Qualification,CAREY Charlotte (WAL),FENG Chunyi (AUS),CAREY Charlotte
World Tour Australian Open Gold Coast 2017,2017-07-02,KIM Kyungah,FENG Chunyi,4,0,"11,11,11,11|1,6,2,7",,GRAND_SLAM,WS,460,Qualification,KIM Kyungah (KOR),FENG Chunyi (AUS),KIM Kyungah
World Tour Australian Open Gold Coast 2017,2017-07-02,KIM Kyungah,CAREY Charlotte,4,0,"11,11,11,11|8,5,4,6",,GRAND_SLAM,WS,460,Qualification,KIM Kyungah (KOR),CAREY Charlotte (WAL),KIM Kyungah
World Tour Australian Open Gold Coast 2017,2017-07-02,NAGAO Takako,ALEXANDERSSON Matilda,4,1,"9,11,11,11,11|11,3,1,4,4",,GRAND_SLAM,WS,460,Qualification,NAGAO Takako (JPN),ALEXANDERSSON Matilda (AUS),NAGAO Takako
World Tour Australian Open Gold Coast 2017,2017-07-02,CHOI Hyojoo,ALEXANDERSSON Matilda,4,0,"11,11,11,11|4,4,1,4",,GRAND_SLAM,WS,460,Qualification,CHOI Hyojoo (KOR),ALEXANDERSSON Matilda (AUS),CHOI Hyojoo
World Tour Australian Open Gold Coast 2017,2017-07-02,CHOI Hyojoo,NAGAO Takako,4,0,"11,14,11,11|6,12,4,6",,GRAND_SLAM,WS,460,Qualification,CHOI Hyojoo (KOR),NAGAO Takako (JPN),CHOI Hyojoo
World Tour Australian Open Gold Coast 2017,2017-07-02,FANG Sih-Han,CHEN Yilan,4,0,"11,11,11,11|4,8,6,9",,GRAND_SLAM,WS,460,Qualification,FANG Sih-Han (TPE),CHEN Yilan (AUS),FANG Sih-Han
World Tour Australian Open Gold Coast 2017,2017-07-02,SHIBATA Saki,CHEN Yilan,4,0,"11,13,11,12|4,11,6,10",,GRAND_SLAM,WS,460,Qualification,SHIBATA Saki (JPN),CHEN Yilan (AUS),SHIBATA Saki
World Tour Australian Open Gold Coast 2017,2017-07-02,SHIBATA Saki,FANG Sih-Han,4,0,"11,11,11,11|5,4,6,7",,GRAND_SLAM,WS,460,Qualification,SHIBATA Saki (JPN),FANG Sih-Han (TPE),SHIBATA Saki
World Tour Australian Open Gold Coast 2017,2017-07-02,HUANG Hsin,PATKAR Madhurika,4,2,"11,11,11,3,12,11|13,9,4,11,10,7",,GRAND_SLAM,WS,460,Qualification,PATKAR Madhurika (IND),HUANG Hsin (TPE),HUANG Hsin
World Tour Australian Open Gold Coast 2017,2017-07-02,CHEN Xingtong,HUANG Hsin,4,0,"11,11,11,11|7,7,5,5",,GRAND_SLAM,WS,460,Qualification,CHEN Xingtong (CHN),HUANG Hsin (TPE),CHEN Xingtong
World Tour Australian Open Gold Coast 2017,2017-07-02,CHEN Xingtong,PATKAR Madhurika,4,0,"11,12,11,11|4,10,2,5",,GRAND_SLAM,WS,460,Qualification,CHEN Xingtong (CHN),PATKAR Madhurika (IND),CHEN Xingtong
World Tour Australian Open Gold Coast 2017,2017-07-02,WANG Yi-Ju,STANLEY Rebekah,4,0,"11,11,11,11|5,1,1,9",,GRAND_SLAM,WS,460,Qualification,WANG Yi-Ju (TPE),STANLEY Rebekah (AUS),WANG Yi-Ju
World Tour Australian Open Gold Coast 2017,2017-07-02,GU Yuting,STANLEY Rebekah,4,0,"11,11,11,11|4,3,3,7",,GRAND_SLAM,WS,460,Qualification,GU Yuting (CHN),STANLEY Rebekah (AUS),GU Yuting
World Tour Australian Open Gold Coast 2017,2017-07-02,GU Yuting,WANG Yi-Ju,4,0,"11,11,11,11|5,7,2,3",,GRAND_SLAM,WS,460,Qualification,GU Yuting (CHN),WANG Yi-Ju (TPE),GU Yuting
World Tour Australian Open Gold Coast 2017,2017-07-02,LIU Yu-Hsin,WU Michelle,4,0,"11,11,11,11|3,7,3,5",,GRAND_SLAM,WS,460,Qualification,LIU Yu-Hsin (TPE),WU Michelle (AUS),LIU Yu-Hsin
World Tour Australian Open Gold Coast 2017,2017-07-02,SHIOMI Maki,WU Michelle,4,0,"11,11,11,11|1,5,5,7",,GRAND_SLAM,WS,460,Qualification,SHIOMI Maki (JPN),WU Michelle (AUS),SHIOMI Maki
World Tour Australian Open Gold Coast 2017,2017-07-02,SHIOMI Maki,LIU Yu-Hsin,4,3,"11,11,7,11,9,4,13|5,7,11,7,11,11,11",,GRAND_SLAM,WS,460,Qualification,SHIOMI Maki (JPN),LIU Yu-Hsin (TPE),SHIOMI Maki
World Tour Australian Open Gold Coast 2017,2017-07-02,LIN Chia-Chih,JEE Minhyung,4,2,"11,11,11,6,9,11|3,3,6,11,11,3",,GRAND_SLAM,WS,460,Qualification,LIN Chia-Chih (TPE),JEE Minhyung (AUS),LIN Chia-Chih
World Tour Australian Open Gold Coast 2017,2017-07-02,MAEDA Miyu,JEE Minhyung,4,0,"11,11,11,12|5,8,7,10",,GRAND_SLAM,WS,460,Qualification,MAEDA Miyu (JPN),JEE Minhyung (AUS),MAEDA Miyu
World Tour Australian Open Gold Coast 2017,2017-07-02,MAEDA Miyu,LIN Chia-Chih,4,2,"5,12,11,7,11,11|11,10,3,11,7,6",,GRAND_SLAM,WS,460,Qualification,MAEDA Miyu (JPN),LIN Chia-Chih (TPE),MAEDA Miyu
World Tour Australian Open Gold Coast 2017,2017-07-02,SUZUKI Rika,BROMLEY Michelle,4,0,"11,11,11,11|7,6,7,9",,GRAND_SLAM,WS,460,Qualification,SUZUKI Rika (JPN),BROMLEY Michelle (AUS),SUZUKI Rika
World Tour Australian Open Gold Coast 2017,2017-07-02,HUANG Yi-Hua,BROMLEY Michelle,4,3,"10,11,7,9,12,11,11|12,6,11,11,10,9,5",,GRAND_SLAM,WS,460,Qualification,HUANG Yi-Hua (TPE),BROMLEY Michelle (AUS),HUANG Yi-Hua
World Tour Australian Open Gold Coast 2017,2017-07-02,HUANG Yi-Hua,SUZUKI Rika,4,2,"9,9,12,12,11,11|11,11,10,10,5,5",,GRAND_SLAM,WS,460,Qualification,HUANG Yi-Hua (TPE),SUZUKI Rika (JPN),HUANG Yi-Hua
World Tour Australian Open Gold Coast 2017,2017-07-02,JUNG Yumi,PENG Kai,4,0,"11,11,11,11|8,6,6,6",,GRAND_SLAM,WS,460,Qualification,JUNG Yumi (KOR),PENG Kai (AUS),JUNG Yumi
World Tour Australian Open Gold Coast 2017,2017-07-02,CHENG Hsien-Tzu,PENG Kai,4,0,"11,11,11,11|1,3,7,8",,GRAND_SLAM,WS,460,Qualification,CHENG Hsien-Tzu (TPE),PENG Kai (AUS),CHENG Hsien-Tzu
World Tour Australian Open Gold Coast 2017,2017-07-02,CHENG Hsien-Tzu,JUNG Yumi,4,0,"11,11,11,13|7,8,5,11",,GRAND_SLAM,WS,460,Qualification,CHENG Hsien-Tzu (TPE),JUNG Yumi (KOR),CHENG Hsien-Tzu
World Tour Australian Open Gold Coast 2017,2017-07-02,LIU Hsing-Yin,ZHU Fiona,4,1,"11,11,11,8,11|6,5,3,11,3",,GRAND_SLAM,WS,460,Qualification,LIU Hsing-Yin (TPE),ZHU Fiona (AUS),LIU Hsing-Yin
World Tour Australian Open Gold Coast 2017,2017-07-02,LIN Ye,ZHU Fiona,4,0,"11,11,11,11|4,5,1,3",,GRAND_SLAM,WS,460,Qualification,LIN Ye (CAN),ZHU Fiona (AUS),LIN Ye
World Tour Australian Open Gold Coast 2017,2017-07-02,LIN Ye,LIU Hsing-Yin,4,3,"13,11,11,8,11,6,11|11,13,7,11,5,11,7",,GRAND_SLAM,WS,460,Qualification,LIN Ye (CAN),LIU Hsing-Yin (TPE),LIN Ye
World Tour Australian Open Gold Coast 2017,2017-07-02,BATRA Manika,CHIU Ssu-Hua,4,3,"7,11,11,8,11,11,12|11,13,2,11,6,7,10",,GRAND_SLAM,WS,460,Qualification,BATRA Manika (IND),CHIU Ssu-Hua (TPE),BATRA Manika
World Tour Australian Open Gold Coast 2017,2017-07-02,LEE Eunhye,CHIU Ssu-Hua,4,0,"11,11,11,11|7,9,2,9",,GRAND_SLAM,WS,460,Qualification,LEE Eunhye (KOR),CHIU Ssu-Hua (TPE),LEE Eunhye
World Tour Australian Open Gold Coast 2017,2017-07-02,LEE Eunhye,BATRA Manika,4,2,"8,12,11,9,11,11|11,10,6,11,6,2",,GRAND_SLAM,WS,460,Qualification,LEE Eunhye (KOR),BATRA Manika (IND),LEE Eunhye
World Tour Australian Open Gold Coast 2017,2017-07-02,LIANG Bob,AMOR Kelsey,4,0,"11,11,11,11|5,1,7,3",,GRAND_SLAM,MS,460,Qualification,AMOR Kelsey (NZL),LIANG Bob (AUS),LIANG Bob
World Tour Australian Open Gold Coast 2017,2017-07-02,GAO Ning,LIANG Bob,4,0,"11,11,11,11|7,5,7,9",,GRAND_SLAM,MS,460,Qualification,GAO Ning (SGP),LIANG Bob (AUS),GAO Ning
World Tour Australian Open Gold Coast 2017,2017-07-02,GAO Ning,AMOR Kelsey,4,0,"11,11,11,11|1,6,3,3",,GRAND_SLAM,MS,460,Qualification,GAO Ning (SGP),AMOR Kelsey (NZL),GAO Ning
World Tour Australian Open Gold Coast 2017,2017-07-02,TOWNSEND Wade,CHENG Zhiyang,4,0,"11,11,11,11|6,8,4,5",,GRAND_SLAM,MS,460,Qualification,TOWNSEND Wade (AUS),CHENG Zhiyang (NZL),TOWNSEND Wade
World Tour Australian Open Gold Coast 2017,2017-07-02,DRINKHALL Paul,CHENG Zhiyang,4,0,"11,11,11,11|2,4,4,5",,GRAND_SLAM,MS,460,Qualification,DRINKHALL Paul (ENG),CHENG Zhiyang (NZL),DRINKHALL Paul
World Tour Australian Open Gold Coast 2017,2017-07-02,DRINKHALL Paul,TOWNSEND Wade,4,0,"11,11,11,14|5,6,1,12",,GRAND_SLAM,MS,460,Qualification,DRINKHALL Paul (ENG),TOWNSEND Wade (AUS),DRINKHALL Paul
World Tour Australian Open Gold Coast 2017,2017-07-02,CARTER Trent,SHU Dean,4,2,"5,11,11,11,9,11|11,7,3,3,11,6",,GRAND_SLAM,MS,460,Qualification,SHU Dean (NZL),CARTER Trent (AUS),CARTER Trent
World Tour Australian Open Gold Coast 2017,2017-07-02,YOSHIDA Masaki,CARTER Trent,4,0,"11,11,11,11|6,5,9,2",,GRAND_SLAM,MS,460,Qualification,YOSHIDA Masaki (JPN),CARTER Trent (AUS),YOSHIDA Masaki
World Tour Australian Open Gold Coast 2017,2017-07-02,YOSHIDA Masaki,SHU Dean,4,0,"11,11,11,11|5,1,4,5",,GRAND_SLAM,MS,460,Qualification,YOSHIDA Masaki (JPN),SHU Dean (NZL),YOSHIDA Masaki
World Tour Australian Open Gold Coast 2017,2017-07-02,HUANG Dominic,ZHAO Anthony,4,0,"11,11,11,11|5,6,6,5",,GRAND_SLAM,MS,460,Qualification,HUANG Dominic (AUS),ZHAO Anthony (AUS),HUANG Dominic
World Tour Australian Open Gold Coast 2017,2017-07-02,FLORE Tristan,ZHAO Anthony,4,0,"11,11,11,11|2,4,4,3",,GRAND_SLAM,MS,460,Qualification,FLORE Tristan (FRA),ZHAO Anthony (AUS),FLORE Tristan
World Tour Australian Open Gold Coast 2017,2017-07-02,FLORE Tristan,HUANG Dominic,4,0,"11,12,11,11|5,10,8,4",,GRAND_SLAM,MS,460,Qualification,FLORE Tristan (FRA),HUANG Dominic (AUS),FLORE Tristan
World Tour Australian Open Gold Coast 2017,2017-07-02,LIU Tengteng,HU Heming,4,2,"11,6,11,11,7,11|8,11,8,9,11,7",,GRAND_SLAM,MS,460,Qualification,HU Heming (AUS),LIU Tengteng (NZL),LIU Tengteng
World Tour Australian Open Gold Coast 2017,2017-07-02,DUDA Benedikt,LIU Tengteng,4,0,"11,11,11,11|3,4,4,6",,GRAND_SLAM,MS,460,Qualification,DUDA Benedikt (GER),LIU Tengteng (NZL),DUDA Benedikt
World Tour Australian Open Gold Coast 2017,2017-07-02,DUDA Benedikt,HU Heming,4,0,"11,11,11,11|5,6,5,9",,GRAND_SLAM,MS,460,Qualification,DUDA Benedikt (GER),HU Heming (AUS),DUDA Benedikt
World Tour Australian Open Gold Coast 2017,2017-07-02,TOWNSEND Kane,LIANG Mike,4,0,"11,11,11,11|8,7,8,8",,GRAND_SLAM,MS,460,Qualification,TOWNSEND Kane (AUS),LIANG Mike (AUS),TOWNSEND Kane
World Tour Australian Open Gold Coast 2017,2017-07-02,LIM Jonghoon,LIANG Mike,4,0,"11,11,11,11|3,5,5,4",,GRAND_SLAM,MS,460,Qualification,LIM Jonghoon (KOR),LIANG Mike (AUS),LIM Jonghoon
World Tour Australian Open Gold Coast 2017,2017-07-02,LIM Jonghoon,TOWNSEND Kane,4,0,"11,11,11,11|3,9,4,8",,GRAND_SLAM,MS,460,Qualification,LIM Jonghoon (KOR),TOWNSEND Kane (AUS),LIM Jonghoon
World Tour Australian Open Gold Coast 2017,2017-07-02,TANAKA Yuta,LIN Xuqi,4,1,"11,11,11,7,11|4,4,6,11,5",,GRAND_SLAM,MS,460,Qualification,TANAKA Yuta (JPN),LIN Xuqi (AUS),TANAKA Yuta
World Tour Australian Open Gold Coast 2017,2017-07-02,LIAO Cheng-Ting,LIN Xuqi,4,0,"11,11,11,11|5,8,4,9",,GRAND_SLAM,MS,460,Qualification,LIAO Cheng-Ting (TPE),LIN Xuqi (AUS),LIAO Cheng-Ting
World Tour Australian Open Gold Coast 2017,2017-07-02,LIAO Cheng-Ting,TANAKA Yuta,4,1,"8,12,11,17,11|11,10,3,15,9",,GRAND_SLAM,MS,460,Qualification,LIAO Cheng-Ting (TPE),TANAKA Yuta (JPN),LIAO Cheng-Ting
World Tour Australian Open Gold Coast 2017,2017-07-02,PANG Xue Jie,YAN Xin,4,1,"9,11,11,12,11|11,8,8,10,8",,GRAND_SLAM,MS,460,Qualification,PANG Xue Jie (SGP),YAN Xin (AUS),PANG Xue Jie
World Tour Australian Open Gold Coast 2017,2017-07-02,UEDA Jin,YAN Xin,4,0,"11,11,16,11|9,4,14,3",,GRAND_SLAM,MS,460,Qualification,UEDA Jin (JPN),YAN Xin (AUS),UEDA Jin
World Tour Australian Open Gold Coast 2017,2017-07-02,UEDA Jin,PANG Xue Jie,4,0,"11,11,11,11|4,2,7,5",,GRAND_SLAM,MS,460,Qualification,UEDA Jin (JPN),PANG Xue Jie (SGP),UEDA Jin
World Tour Australian Open Gold Coast 2017,2017-07-02,RUMGAY Gavin,LITTLER Richard,4,0,"11,11,11,11|6,3,5,6",,GRAND_SLAM,MS,460,Qualification,RUMGAY Gavin (SCO),LITTLER Richard (AUS),RUMGAY Gavin
World Tour Australian Open Gold Coast 2017,2017-07-02,DESAI Harmeet,LITTLER Richard,4,0,"11,11,11,11|7,2,6,2",,GRAND_SLAM,MS,460,Qualification,DESAI Harmeet (IND),LITTLER Richard (AUS),DESAI Harmeet
World Tour Australian Open Gold Coast 2017,2017-07-02,DESAI Harmeet,RUMGAY Gavin,4,0,"12,11,11,11|10,7,3,4",,GRAND_SLAM,MS,460,Qualification,DESAI Harmeet (IND),RUMGAY Gavin (SCO),DESAI Harmeet
World Tour Australian Open Gold Coast 2017,2017-07-02,LEE Chia-Sheng,CHAMBERS Dillon,4,0,"11,11,11,11|8,6,4,4",,GRAND_SLAM,MS,460,Qualification,LEE Chia-Sheng (TPE),CHAMBERS Dillon (AUS),LEE Chia-Sheng
World Tour Australian Open Gold Coast 2017,2017-07-02,CHO Seungmin,CHAMBERS Dillon,4,0,"11,11,11,11|6,7,8,2",,GRAND_SLAM,MS,460,Qualification,CHO Seungmin (KOR),CHAMBERS Dillon (AUS),CHO Seungmin
World Tour Australian Open Gold Coast 2017,2017-07-02,CHO Seungmin,LEE Chia-Sheng,4,1,"11,11,11,9,11|9,8,8,11,9",,GRAND_SLAM,MS,460,Qualification,CHO Seungmin (KOR),LEE Chia-Sheng (TPE),CHO Seungmin
World Tour Australian Open Gold Coast 2017,2017-07-02,SHETTY Sanil,XU Fred,4,1,"11,11,11,8,11|1,6,6,11,9",,GRAND_SLAM,MS,460,Qualification,SHETTY Sanil (IND),XU Fred (AUS),SHETTY Sanil
World Tour Australian Open Gold Coast 2017,2017-07-02,OLAH Benedek,XU Fred,4,0,"11,11,11,11|4,9,5,2",,GRAND_SLAM,MS,460,Qualification,OLAH Benedek (FIN),XU Fred (AUS),OLAH Benedek
World Tour Australian Open Gold Coast 2017,2017-07-02,SHETTY Sanil,OLAH Benedek,4,1,"11,11,11,11,11|13,5,8,9,1",,GRAND_SLAM,MS,460,Qualification,OLAH Benedek (FIN),SHETTY Sanil (IND),SHETTY Sanil
World Tour Australian Open Gold Coast 2017,2017-07-02,CHEW Clarence,TAYLOR Benjamin,4,0,"11,11,11,11|7,7,2,6",,GRAND_SLAM,MS,460,Qualification,CHEW Clarence (SGP),TAYLOR Benjamin (AUS),CHEW Clarence
World Tour Australian Open Gold Coast 2017,2017-07-02,GNANASEKARAN Sathiyan,TAYLOR Benjamin,4,0,"11,11,11,11|6,5,2,4",,GRAND_SLAM,MS,460,Qualification,GNANASEKARAN Sathiyan (IND),TAYLOR Benjamin (AUS),GNANASEKARAN Sathiyan
World Tour Australian Open Gold Coast 2017,2017-07-02,GNANASEKARAN Sathiyan,CHEW Clarence,4,1,"11,13,8,11,11|5,11,11,8,5",,GRAND_SLAM,MS,460,Qualification,GNANASEKARAN Sathiyan (IND),CHEW Clarence (SGP),GNANASEKARAN Sathiyan
World Tour Australian Open Gold Coast 2017,2017-07-02,KEINATH Thomas,DAHL Olav,4,0,"11,11,11,11|1,2,3,1",,GRAND_SLAM,MS,460,Qualification,DAHL Olav (AUS),KEINATH Thomas (SVK),KEINATH Thomas
World Tour Australian Open Gold Coast 2017,2017-07-02,CHIANG Hung-Chieh,CHAN Stanley,4,0,"11,11,11,11|1,2,4,3",,GRAND_SLAM,MS,460,Qualification,CHIANG Hung-Chieh (TPE),CHAN Stanley (AUS),CHIANG Hung-Chieh
World Tour Australian Open Gold Coast 2017,2017-07-02,CHIANG Hung-Chieh,KEINATH Thomas,4,1,"11,5,11,11,11|5,11,3,7,6",,GRAND_SLAM,MS,460,Qualification,CHIANG Hung-Chieh (TPE),KEINATH Thomas (SVK),CHIANG Hung-Chieh
World Tour Australian Open Gold Coast 2017,2017-07-02,KEINATH Thomas,CHAN Stanley,4,0,"11,11,11,11|4,1,5,4",,GRAND_SLAM,MS,460,Qualification,KEINATH Thomas (SVK),CHAN Stanley (AUS),KEINATH Thomas
World Tour Australian Open Gold Coast 2017,2017-07-02,SUN Chia-Hung,ZHANG Shaoping,4,2,"11,11,10,11,7,11|2,5,12,8,11,5",,GRAND_SLAM,MS,460,Qualification,ZHANG Shaoping (AUS),SUN Chia-Hung (TPE),SUN Chia-Hung
World Tour Australian Open Gold Coast 2017,2017-07-02,SEO Hyundeok,HOUGHTON Benjamin,4,0,"11,11,11,11|3,6,5,3",,GRAND_SLAM,MS,460,Qualification,SEO Hyundeok (KOR),HOUGHTON Benjamin (AUS),SEO Hyundeok
World Tour Australian Open Gold Coast 2017,2017-07-02,SEO Hyundeok,SUN Chia-Hung,4,0,"11,11,13,11|9,9,11,9",,GRAND_SLAM,MS,460,Qualification,SEO Hyundeok (KOR),SUN Chia-Hung (TPE),SEO Hyundeok
World Tour Australian Open Gold Coast 2017,2017-07-02,ZHANG Shaoping,HOUGHTON Benjamin,4,2,"11,11,8,9,11,11|6,7,11,11,6,4",,GRAND_SLAM,MS,460,Qualification,ZHANG Shaoping (AUS),HOUGHTON Benjamin (AUS),ZHANG Shaoping
World Tour Australian Open Gold Coast 2017,2017-07-02,SEO Hyundeok,ZHANG Shaoping,4,0,"11,11,13,14|1,9,11,12",,GRAND_SLAM,MS,460,Qualification,SEO Hyundeok (KOR),ZHANG Shaoping (AUS),SEO Hyundeok
World Tour Australian Open Gold Coast 2017,2017-07-02,SUN Chia-Hung,HOUGHTON Benjamin,4,0,"11,11,11,11|5,7,2,3",,GRAND_SLAM,MS,460,Qualification,SUN Chia-Hung (TPE),HOUGHTON Benjamin (AUS),SUN Chia-Hung
World Tour Australian Open Gold Coast 2017,2017-07-02,KIM Minhyeok,LYU Zhe,4,0,"11,11,11,11|3,2,4,4",,GRAND_SLAM,MS,460,Qualification,LYU Zhe (AUS),KIM Minhyeok (KOR),KIM Minhyeok
World Tour Australian Open Gold Coast 2017,2017-07-02,ANTHONY Amalraj,HUANG Sida,4,0,"11,11,11,11|6,5,5,8",,GRAND_SLAM,MS,460,Qualification,ANTHONY Amalraj (IND),HUANG Sida (AUS),ANTHONY Amalraj
World Tour Australian Open Gold Coast 2017,2017-07-02,ANTHONY Amalraj,KIM Minhyeok,4,2,"11,11,3,11,11,11|9,13,11,9,9,5",,GRAND_SLAM,MS,460,Qualification,ANTHONY Amalraj (IND),KIM Minhyeok (KOR),ANTHONY Amalraj
World Tour Australian Open Gold Coast 2017,2017-07-02,LYU Zhe,HUANG Sida,4,1,"11,6,14,11,11|7,11,12,8,5",,GRAND_SLAM,MS,460,Qualification,LYU Zhe (AUS),HUANG Sida (AUS),LYU Zhe
World Tour Australian Open Gold Coast 2017,2017-07-02,ANTHONY Amalraj,LYU Zhe,4,0,"11,11,13,11|8,8,11,3",,GRAND_SLAM,MS,460,Qualification,ANTHONY Amalraj (IND),LYU Zhe (AUS),ANTHONY Amalraj
World Tour Australian Open Gold Coast 2017,2017-07-02,KIM Minhyeok,HUANG Sida,4,0,"11,11,13,11|6,5,11,1",,GRAND_SLAM,MS,460,Qualification,KIM Minhyeok (KOR),HUANG Sida (AUS),KIM Minhyeok
World Tour Australian Open Gold Coast 2017,2017-07-02,BAGGALEY Andrew,TSAO Erny,4,0,"14,11,11,11|12,7,9,4",,GRAND_SLAM,MS,460,Qualification,TSAO Erny (AUS),BAGGALEY Andrew (ENG),BAGGALEY Andrew
World Tour Australian Open Gold Coast 2017,2017-07-02,PARK Ganghyeon,LEE Seonghun,4,0,"11,11,11,11|3,3,3,9",,GRAND_SLAM,MS,460,Qualification,PARK Ganghyeon (KOR),LEE Seonghun (AUS),PARK Ganghyeon
World Tour Australian Open Gold Coast 2017,2017-07-02,PARK Ganghyeon,BAGGALEY Andrew,4,2,"10,11,10,11,11,13|12,3,12,2,5,11",,GRAND_SLAM,MS,460,Qualification,PARK Ganghyeon (KOR),BAGGALEY Andrew (ENG),PARK Ganghyeon
World Tour Australian Open Gold Coast 2017,2017-07-02,TSAO Erny,LEE Seonghun,4,1,"11,11,11,13,11|9,5,13,11,4",,GRAND_SLAM,MS,460,Qualification,TSAO Erny (AUS),LEE Seonghun (AUS),TSAO Erny
World Tour Australian Open Gold Coast 2017,2017-07-02,PARK Ganghyeon,TSAO Erny,4,0,"11,11,11,11|2,2,6,7",,GRAND_SLAM,MS,460,Qualification,PARK Ganghyeon (KOR),TSAO Erny (AUS),PARK Ganghyeon
World Tour Australian Open Gold Coast 2017,2017-07-02,BAGGALEY Andrew,LEE Seonghun,4,0,"11,11,11,11|9,8,4,6",,GRAND_SLAM,MS,460,Qualification,BAGGALEY Andrew (ENG),LEE Seonghun (AUS),BAGGALEY Andrew
World Tour Australian Open Gold Coast 2017,2017-07-02,CHOI Hyojoo/JUNG Yumi,BROMLEY Michelle/TAPPER Melissa,3,0,"11,11,11|4,7,4",R16,GRAND_SLAM,WD,460,Main Draw,CHOI Hyojoo (KOR) / JUNG Yumi (KOR),BROMLEY Michelle (AUS) / TAPPER Melissa (AUS),CHOI Hyojoo
World Tour Australian Open Gold Coast 2017,2017-07-02,LAY Jian Fang/MIAO Miao,CHENG Hsien-Tzu/LIU Yu-Hsin,3,0,"11,11,11|9,8,8",R16,GRAND_SLAM,WD,460,Main Draw,LAY Jian Fang (AUS) / MIAO Miao (AUS),CHENG Hsien-Tzu (TPE) / LIU Yu-Hsin (TPE),LAY Jian Fang
World Tour Australian Open Gold Coast 2017,2017-07-02,MUKHERJEE Sutirtha/SAHASRABUDHE Pooja,LAY Jian Fang/MIAO Miao,3,1,"9,14,11,11|11,12,8,9",QF,GRAND_SLAM,WD,460,Main Draw,MUKHERJEE Sutirtha (IND) / SAHASRABUDHE Pooja (IND),LAY Jian Fang (AUS) / MIAO Miao (AUS),MUKHERJEE Sutirtha
World Tour Australian Open Gold Coast 2017,2017-07-02,CHEN Xingtong/WANG Manyu,HAMAMOTO Yui/ISHIKAWA Kasumi,3,0,"17,11,11|15,8,8",R16,GRAND_SLAM,WD,460,Main Draw,CHEN Xingtong (CHN) / WANG Manyu (CHN),HAMAMOTO Yui (AUT) / ISHIKAWA Kasumi (JPN),CHEN Xingtong
World Tour Australian Open Gold Coast 2017,2017-07-02,CHEN Meng/ZHU Yuling,CHOI Hyojoo/JUNG Yumi,3,0,"13,11,13|11,7,11",QF,GRAND_SLAM,WD,460,Main Draw,CHEN Meng (CHN) / ZHU Yuling (MAC),CHOI Hyojoo (KOR) / JUNG Yumi (KOR),CHEN Meng
World Tour Australian Open Gold Coast 2017,2017-07-02,CHEN Meng/ZHU Yuling,MUKHERJEE Sutirtha/SAHASRABUDHE Pooja,3,0,"11,11,11|4,6,2",SF,GRAND_SLAM,WD,460,Main Draw,CHEN Meng (CHN) / ZHU Yuling (MAC),MUKHERJEE Sutirtha (IND) / SAHASRABUDHE Pooja (IND),CHEN Meng
