tournament,date,player_a,player_b,score_a,score_b,game_scores,round,tier,sub_event,event_id,stage,player_a_raw,player_b_raw
WTT Contender Tunis 2023 Presented by KIA,2023-06-21,ZELINKA Jakub,SHETTY Sanil,3,0,"13,11,11|11,8,8",,WTT_CONTENDER,MS,2691,Qualification,ZELINKA Jakub (SVK),SHETTY Sanil (IND)
WTT Contender Tunis 2023 Presented by KIA,2023-06-21,JIN Takuya,ROLLAND Jules,3,2,"13,8,6,11,11|11,11,11,8,6",,WTT_CONTENDER,MS,2691,Qualification,JIN Takuya (JPN),ROLLAND Jules (FRA)
WTT Contender Tunis 2023 Presented by KIA,2023-06-21,AKULA Sreeja,PAVLOVIC Andrea,3,0,"11,11,11|4,7,6",,WTT_CONTENDER,WS,2691,Qualification,AKULA Sreeja (IND),PAVLOVIC Andrea (CRO)
WTT Contender Tunis 2023 Presented by KIA,2023-06-21,CHEN Yuanyu,PARK Ganghyeon,3,2,"11,11,5,11,11|13,8,11,8,9",,WTT_CONTENDER,MS,2691,Qualification,CHEN Yuanyu (CHN),PARK Ganghyeon (KOR)
WTT Contender Tunis 2023 Presented by KIA,2023-06-21,GUO Yuhan,MANTZ Chantal,3,1,"9,11,11,11|11,8,9,2",,WTT_CONTENDER,WS,2691,Qualification,GUO Yuhan (CHN),MANTZ Chantal (GER)
WTT Contender Tunis 2023 Presented by KIA,2023-06-21,HODAEI Amir Hossein,BOULOUSSA Mehdi,3,2,"6,11,11,7,11|11,6,5,11,9",,WTT_CONTENDER,MS,2691,Qualification,HODAEI Amir Hossein (IRI),BOULOUSSA Mehdi (ALG)
WTT Contender Tunis 2023 Presented by KIA,2023-06-21,WANG Xiaotong,SUH Hyo Won,3,1,"11,11,7,11|4,8,11,7",,WTT_CONTENDER,WS,2691,Qualification,WANG Xiaotong (CHN),SUH Hyo Won (KOR)
WTT Contender Tunis 2023 Presented by KIA,2023-06-21,LAM Yee Lok,BARBOSA Ariel,3,0,"11,11,11|4,5,1",,WTT_CONTENDER,WS,2691,Qualification,LAM Yee Lok (HKG),BARBOSA Ariel (LUX)
WTT Contender Tunis 2023 Presented by KIA,2023-06-21,AIDA Satoshi,TSCHANZ Cedric,3,0,"11,11,11|7,3,8",,WTT_CONTENDER,MS,2691,Qualification,AIDA Satoshi (JPN),TSCHANZ Cedric (SUI)
WTT Contender Tunis 2023 Presented by KIA,2023-06-21,CHO Seungmin/LEE Zion,LIAO Cheng-Ting/LIU Hsing-Yin,3,1,"4,11,11,11|11,8,5,8",,WTT_CONTENDER,XD,2691,Qualification,CHO Seungmin/LEE Zion (KOR),LIAO Cheng-Ting/LIU Hsing-Yin (TPE)
WTT Contender Tunis 2023 Presented by KIA,2023-06-21,LIU Dingshuo/HE Zhuojia,SHAH Manush Utpalbhai/AKULA Sreeja,3,0,"13,11,11|11,7,2",,WTT_CONTENDER,XD,2691,Qualification,LIU Dingshuo/HE Zhuojia (CHN),SHAH Manush Utpalbhai/AKULA Sreeja (IND)
WTT Contender Tunis 2023 Presented by KIA,2023-06-21,XUE Fei/FAN Siqi,YIGENLER Abdullah/HARAC Ece,3,0,"11,11,11|7,7,4",,WTT_CONTENDER,XD,2691,Qualification,XUE Fei/FAN Siqi (CHN),YIGENLER Abdullah/HARAC Ece (TUR)
WTT Contender Tunis 2023 Presented by KIA,2023-06-21,LY Edward/COK Isa,CHAICHI Abdelbasset/NASRI Malissa,3,0,"11,11,11|6,7,3",,WTT_CONTENDER,XD,2691,Qualification,LY Edward/COK Isa (CAN/FRA),CHAICHI Abdelbasset/NASRI Malissa (ALG)
WTT Contender Tunis 2023 Presented by KIA,2023-06-22,CHO Seungmin/CHO Daeseong,AIDA Satoshi/JIN Takuya,3,2,"7,11,9,11,11|11,8,11,9,2",R16,WTT_CONTENDER,MD,2691,Main Draw,CHO Seungmin/CHO Daeseong (KOR),AIDA Satoshi/JIN Takuya (JPN)
WTT Contender Tunis 2023 Presented by KIA,2023-06-22,SASAO Asuka,ARLIA Nicole,3,0,"12,11,11|10,4,5",R32,WTT_CONTENDER,WS,2691,Main Draw,SASAO Asuka (JPN),ARLIA Nicole (ITA)
WTT Contender Tunis 2023 Presented by KIA,2023-06-22,HIRANO Miu,LEE Eunhye,3,0,"11,11,11|2,9,4",R32,WTT_CONTENDER,WS,2691,Main Draw,HIRANO Miu (JPN),LEE Eunhye (KOR)
WTT Contender Tunis 2023 Presented by KIA,2023-06-22,AN Jaehyun/LIM Jonghoon,XU Haidong/SUN Wen,3,1,"11,11,8,11|5,7,11,6",R16,WTT_CONTENDER,MD,2691,Main Draw,AN Jaehyun/LIM Jonghoon (KOR),XU Haidong/SUN Wen (CHN)
WTT Contender Tunis 2023 Presented by KIA,2023-06-22,FALCK Mattias/KALLBERG Anton,ACHANTA Sharath Kamal/DESAI Harmeet,3,1,"11,2,11,13|9,11,7,11",R16,WTT_CONTENDER,MD,2691,Main Draw,FALCK Mattias/KALLBERG Anton (SWE),ACHANTA Sharath Kamal/DESAI Harmeet (IND)
WTT Contender Tunis 2023 Presented by KIA,2023-06-22,CHEN Szu-Yu,ZHU Chengzhu,3,1,"11,11,9,13|8,6,11,11",R32,WTT_CONTENDER,WS,2691,Main Draw,CHEN Szu-Yu (TPE),ZHU Chengzhu (HKG)
WTT Contender Tunis 2023 Presented by KIA,2023-06-22,JEON Jihee,LEE Zion,3,1,"9,11,14,11|11,9,12,9",R32,WTT_CONTENDER,WS,2691,Main Draw,JEON Jihee (KOR),LEE Zion (KOR)
WTT Contender Tunis 2023 Presented by KIA,2023-06-22,LIAO Cheng-Ting/HUANG Yan-Cheng,ALKHADRAWI Ali/SHULAYBI Abdulaziz BU,3,2,"4,11,8,11,11|11,5,11,2,6",R16,WTT_CONTENDER,MD,2691,Main Draw,LIAO Cheng-Ting/HUANG Yan-Cheng (TPE),ALKHADRAWI Ali/SHULAYBI Abdulaziz BU (KSA)
WTT Contender Tunis 2023 Presented by KIA,2023-06-22,LI Yake/WANG Xiaotong,AKULA Sreeja/CHITALE Diya Parag,3,0,"11,11,11|7,9,8",R16,WTT_CONTENDER,WD,2691,Main Draw,LI Yake/WANG Xiaotong (CHN),AKULA Sreeja/CHITALE Diya Parag (IND)
WTT Contender Tunis 2023 Presented by KIA,2023-06-22,SUN Wen,GNANASEKARAN Sathiyan,3,2,"6,7,11,11,11|11,11,6,5,6",R32,WTT_CONTENDER,MS,2691,Main Draw,SUN Wen (CHN),GNANASEKARAN Sathiyan (IND)
WTT Contender Tunis 2023 Presented by KIA,2023-06-22,MUKHERJEE Sutirtha/MUKHERJEE Ayhika,WANG Amy/SUNG Rachel,3,1,"11,11,10,11|5,8,12,4",R16,WTT_CONTENDER,WD,2691,Main Draw,MUKHERJEE Sutirtha/MUKHERJEE Ayhika (IND),WANG Amy/SUNG Rachel (USA)
WTT Contender Tunis 2023 Presented by KIA,2023-06-22,OIKAWA Mizuki,MEISSNER Cedric,3,0,"11,11,11|3,7,9",R32,WTT_CONTENDER,MS,2691,Main Draw,OIKAWA Mizuki (JPN),MEISSNER Cedric (GER)
WTT Contender Tunis 2023 Presented by KIA,2023-06-22,KIM Nayeong/RYU Hanna,GUISNEL Oceane/LOEUILLETTE Stephanie,3,2,"11,11,3,9,11|8,5,11,11,6",R16,WTT_CONTENDER,WD,2691,Main Draw,KIM Nayeong/RYU Hanna (KOR),GUISNEL Oceane/LOEUILLETTE Stephanie (FRA)
WTT Contender Tunis 2023 Presented by KIA,2023-06-22,HIRANO Miu/NAGASAKI Miyu,LEE Eunhye/YANG Ha Eun,3,0,"11,12,11|8,10,9",R16,WTT_CONTENDER,WD,2691,Main Draw,HIRANO Miu/NAGASAKI Miyu (JPN),LEE Eunhye/YANG Ha Eun (KOR)
WTT Contender Tunis 2023 Presented by KIA,2023-06-22,LIU Dingshuo,LAMBIET Florent,3,1,"11,11,7,11|9,5,11,5",R32,WTT_CONTENDER,MS,2691,Main Draw,LIU Dingshuo (CHN),LAMBIET Florent (BEL)
WTT Contender Tunis 2023 Presented by KIA,2023-06-22,AKKUZU Can,XIANG Peng,3,2,"6,11,7,11,11|11,8,11,1,9",R32,WTT_CONTENDER,MS,2691,Main Draw,AKKUZU Can (FRA),XIANG Peng (CHN)
WTT Contender Tunis 2023 Presented by KIA,2023-06-22,APOLONIA Tiago,JIN Takuya,3,1,"11,11,7,11|9,8,11,7",R32,WTT_CONTENDER,MS,2691,Main Draw,APOLONIA Tiago (POR),JIN Takuya (JPN)
WTT Contender Tunis 2023 Presented by KIA,2023-06-22,AN Jaehyun,LIN Shidong,3,1,"11,14,2,11|9,12,11,6",R32,WTT_CONTENDER,MS,2691,Main Draw,AN Jaehyun (KOR),LIN Shidong (CHN)
WTT Contender Tunis 2023 Presented by KIA,2023-06-22,SHIN Yubin,WAN Yuan,3,0,"11,11,11|9,7,9",R32,WTT_CONTENDER,WS,2691,Main Draw,SHIN Yubin (KOR),WAN Yuan (GER)
WTT Contender Tunis 2023 Presented by KIA,2023-06-22,HARIMOTO Miwa,HANFFOU Sarah,3,0,"11,11,11|7,7,2",R32,WTT_CONTENDER,WS,2691,Main Draw,HARIMOTO Miwa (JPN),HANFFOU Sarah (CMR)
WTT Contender Tunis 2023 Presented by KIA,2023-06-22,LI Yu-Jhun,BATRA Manika,3,2,"11,11,11,9,11|13,8,3,11,8",R32,WTT_CONTENDER,WS,2691,Main Draw,LI Yu-Jhun (TPE),BATRA Manika (IND)
WTT Contender Tunis 2023 Presented by KIA,2023-06-22,TAKAHASHI Bruna,WANG Amy,3,2,"11,8,11,9,11|8,11,8,11,4",R32,WTT_CONTENDER,WS,2691,Main Draw,TAKAHASHI Bruna (BRA),WANG Amy (USA)
WTT Contender Tunis 2023 Presented by KIA,2023-06-22,HUANG Yan-Cheng,ACHANTA Sharath Kamal,3,0,"11,13,11|7,11,5",R32,WTT_CONTENDER,MS,2691,Main Draw,HUANG Yan-Cheng (TPE),ACHANTA Sharath Kamal (IND)
WTT Contender Tunis 2023 Presented by KIA,2023-06-22,FRANZISKA Patrick,GERASSIMENKO Kirill,3,1,"11,11,7,12|6,6,11,10",R32,WTT_CONTENDER,MS,2691,Main Draw,FRANZISKA Patrick (GER),GERASSIMENKO Kirill (KAZ)
WTT Contender Tunis 2023 Presented by KIA,2023-06-22,THAKKAR Manav Vikash/SHAH Manush Utpalbhai,LIN Shidong/YUAN Licen,3,2,"14,12,10,11,14|12,14,12,6,12",R16,WTT_CONTENDER,MD,2691,Main Draw,THAKKAR Manav Vikash/SHAH Manush Utpalbhai (IND),LIN Shidong/YUAN Licen (CHN)
WTT Contender Tunis 2023 Presented by KIA,2023-06-22,YANG Yiyun,COK Isa,3,0,"12,11,11|10,5,3",R32,WTT_CONTENDER,WS,2691,Main Draw,YANG Yiyun (CHN),COK Isa (FRA)
WTT Contender Tunis 2023 Presented by KIA,2023-06-22,YANG Ha Eun,KIM Nayeong,3,2,"2,11,13,11,11|11,8,11,13,5",R32,WTT_CONTENDER,WS,2691,Main Draw,YANG Ha Eun (KOR),KIM Nayeong (KOR)
WTT Contender Tunis 2023 Presented by KIA,2023-06-22,CHASSELIN Pauline,LIU Hsing-Yin,3,0,"11,11,11|9,5,8",R32,WTT_CONTENDER,WS,2691,Main Draw,CHASSELIN Pauline (FRA),LIU Hsing-Yin (TPE)
WTT Contender Tunis 2023 Presented by KIA,2023-06-22,JANG Woojin/PARK Ganghyeon,LAKATOS Tamas/HODAEI Amir Hossein,3,0,"11,11,11|9,8,7",R16,WTT_CONTENDER,MD,2691,Main Draw,JANG Woojin/PARK Ganghyeon (KOR),LAKATOS Tamas/HODAEI Amir Hossein (HUN/IRI)
WTT Contender Tunis 2023 Presented by KIA,2023-06-22,LI Yake,YOON Hyobin,3,1,"11,8,11,11|6,11,7,9",R32,WTT_CONTENDER,WS,2691,Main Draw,LI Yake (CHN),YOON Hyobin (KOR)
WTT Contender Tunis 2023 Presented by KIA,2023-06-22,XIANG Peng/CAO Wei,JOUTI Eric/ISHIY Vitor,3,0,"11,13,12|6,11,10",R16,WTT_CONTENDER,MD,2691,Main Draw,XIANG Peng/CAO Wei (CHN),JOUTI Eric/ISHIY Vitor (BRA)
WTT Contender Tunis 2023 Presented by KIA,2023-06-22,ALLEGRO Martin/LAMBIET Florent,OIKAWA Mizuki/MATSUSHIMA Sora,3,2,"4,12,11,11,12|11,14,5,9,10",R16,WTT_CONTENDER,MD,2691,Main Draw,ALLEGRO Martin/LAMBIET Florent (BEL),OIKAWA Mizuki/MATSUSHIMA Sora (JPN)
WTT Contender Tunis 2023 Presented by KIA,2023-06-22,DESAI Harmeet,LIM Jonghoon,3,2,"11,7,7,11,11|9,11,11,7,9",R32,WTT_CONTENDER,MS,2691,Main Draw,DESAI Harmeet (IND),LIM Jonghoon (KOR)
WTT Contender Tunis 2023 Presented by KIA,2023-06-22,CHEN Szu-Yu/HUANG Yi-Hua,LI Ching Wan/ZHU Chengzhu,3,1,"12,11,13,11|14,8,11,7",R16,WTT_CONTENDER,WD,2691,Main Draw,CHEN Szu-Yu/HUANG Yi-Hua (TPE),LI Ching Wan/ZHU Chengzhu (HKG)
WTT Contender Tunis 2023 Presented by KIA,2023-06-22,ZHOU Qihao,XU Haidong,3,0,"12,11,11|10,7,5",R32,WTT_CONTENDER,MS,2691,Main Draw,ZHOU Qihao (CHN),XU Haidong (CHN)
WTT Contender Tunis 2023 Presented by KIA,2023-06-22,KIHARA Miyuu/HARIMOTO Miwa,LUTZ Camille/ZARIF Audrey,3,0,"12,11,11|10,9,4",R16,WTT_CONTENDER,WD,2691,Main Draw,KIHARA Miyuu/HARIMOTO Miwa (JPN),LUTZ Camille/ZARIF Audrey (FRA)
WTT Contender Tunis 2023 Presented by KIA,2023-06-22,FALCK Mattias,CHO Seungmin,3,2,"7,11,6,11,11|11,9,11,4,8",R32,WTT_CONTENDER,MS,2691,Main Draw,FALCK Mattias (SWE),CHO Seungmin (KOR)
WTT Contender Tunis 2023 Presented by KIA,2023-06-22,LIN Yun-Ju,CHO Daeseong,3,1,"11,9,11,12|8,11,4,10",R32,WTT_CONTENDER,MS,2691,Main Draw,LIN Yun-Ju (TPE),CHO Daeseong (KOR)
WTT Contender Tunis 2023 Presented by KIA,2023-06-22,JEON Jihee/SHIN Yubin,WAN Yuan/MANTZ Chantal,3,2,"11,6,11,3,11|4,11,9,11,6",R16,WTT_CONTENDER,WD,2691,Main Draw,JEON Jihee/SHIN Yubin (KOR),WAN Yuan/MANTZ Chantal (GER)
WTT Contender Tunis 2023 Presented by KIA,2023-06-22,LIU Weishan/GUO Yuhan,HE Zhuojia/FAN Siqi,3,1,"11,11,8,11|6,8,11,6",R16,WTT_CONTENDER,WD,2691,Main Draw,LIU Weishan/GUO Yuhan (CHN),HE Zhuojia/FAN Siqi (CHN)
WTT Contender Tunis 2023 Presented by KIA,2023-06-22,NAGASAKI Miyu,WINTER Sabine,3,2,"12,11,6,6,11|10,2,11,11,7",R32,WTT_CONTENDER,WS,2691,Main Draw,NAGASAKI Miyu (JPN),WINTER Sabine (GER)
WTT Contender Tunis 2023 Presented by KIA,2023-06-22,CALDERANO Hugo,DIAW Ibrahima,3,1,"5,11,11,11|11,9,5,9",R32,WTT_CONTENDER,MS,2691,Main Draw,CALDERANO Hugo (BRA),DIAW Ibrahima (SEN)
WTT Contender Tunis 2023 Presented by KIA,2023-06-22,GAUZY Simon,YUAN Licen,3,1,"11,9,11,11|8,11,8,9",R32,WTT_CONTENDER,MS,2691,Main Draw,GAUZY Simon (FRA),YUAN Licen (CHN)
WTT Contender Tunis 2023 Presented by KIA,2023-06-22,KALLBERG Anton,AIDA Satoshi,3,1,"11,8,11,11|9,11,8,5",R32,WTT_CONTENDER,MS,2691,Main Draw,KALLBERG Anton (SWE),AIDA Satoshi (JPN)
WTT Contender Tunis 2023 Presented by KIA,2023-06-22,MUKHERJEE Ayhika,WANG Xiaotong,3,0,"11,11,11|8,3,2",R32,WTT_CONTENDER,WS,2691,Main Draw,MUKHERJEE Ayhika (IND),WANG Xiaotong (CHN)
WTT Contender Tunis 2023 Presented by KIA,2023-06-22,LIM Jonghoon/SHIN Yubin,LIU Dingshuo/HE Zhuojia,3,2,"5,11,11,8,13|11,7,7,11,11",R16,WTT_CONTENDER,XD,2691,Main Draw,LIM Jonghoon/SHIN Yubin (KOR),LIU Dingshuo/HE Zhuojia (CHN)
WTT Contender Tunis 2023 Presented by KIA,2023-06-22,HUANG Yi-Hua,AKULA Sreeja,3,2,"6,11,5,11,11|11,4,11,2,7",R32,WTT_CONTENDER,WS,2691,Main Draw,HUANG Yi-Hua (TPE),AKULA Sreeja (IND)
WTT Contender Tunis 2023 Presented by KIA,2023-06-22,LIANG Yanning,KANG Dongsoo,3,0,"11,11,11|7,3,8",R32,WTT_CONTENDER,MS,2691,Main Draw,LIANG Yanning (CHN),KANG Dongsoo (KOR)
WTT Contender Tunis 2023 Presented by KIA,2023-06-22,KIHARA Miyuu,CHITALE Diya Parag,3,1,"9,11,11,11|11,7,2,1",R32,WTT_CONTENDER,WS,2691,Main Draw,KIHARA Miyuu (JPN),CHITALE Diya Parag (IND)
WTT Contender Tunis 2023 Presented by KIA,2023-06-22,ISHIY Vitor/TAKAHASHI Bruna,NARESH Nandan/SUNG Rachel,3,2,"8,11,19,8,11|11,9,17,11,4",R16,WTT_CONTENDER,XD,2691,Main Draw,ISHIY Vitor/TAKAHASHI Bruna (BRA),NARESH Nandan/SUNG Rachel (USA)
WTT Contender Tunis 2023 Presented by KIA,2023-06-22,GNANASEKARAN Sathiyan/BATRA Manika,CHAICHI Abdelbasset/NASRI Malissa,3,0,"11,11,11|3,3,6",R16,WTT_CONTENDER,XD,2691,Main Draw,GNANASEKARAN Sathiyan/BATRA Manika (IND),CHAICHI Abdelbasset/NASRI Malissa (ALG)
WTT Contender Tunis 2023 Presented by KIA,2023-06-22,LIU Yebo/LIU Weishan,XUE Fei/FAN Siqi,3,2,"12,13,7,6,11|10,11,11,11,7",R16,WTT_CONTENDER,XD,2691,Main Draw,LIU Yebo/LIU Weishan (CHN),XUE Fei/FAN Siqi (CHN)
WTT Contender Tunis 2023 Presented by KIA,2023-06-22,MEISSNER Cedric/WAN Yuan,ESSID Wassim/ZOGHLAMI Maram,3,0,"11,11,11|7,5,3",R16,WTT_CONTENDER,XD,2691,Main Draw,MEISSNER Cedric/WAN Yuan (GER),ESSID Wassim/ZOGHLAMI Maram (TUN)
WTT Contender Tunis 2023 Presented by KIA,2023-06-22,JANG Woojin/JEON Jihee,LY Edward/COK Isa,3,1,"11,9,11,11|5,11,6,7",R16,WTT_CONTENDER,XD,2691,Main Draw,JANG Woojin/JEON Jihee (KOR),LY Edward/COK Isa (CAN/FRA)
WTT Contender Tunis 2023 Presented by KIA,2023-06-22,LIN Yun-Ju/CHEN Szu-Yu,LIANG Jishan/WANG Amy,3,0,"11,11,11|4,6,5",R16,WTT_CONTENDER,XD,2691,Main Draw,LIN Yun-Ju/CHEN Szu-Yu (TPE),LIANG Jishan/WANG Amy (USA)
WTT Contender Tunis 2023 Presented by KIA,2023-06-22,CHO Seungmin/LEE Zion,KHEROUF Sami/LOGHRAIBI Lynda,3,0,"11,11,11|6,8,7",R16,WTT_CONTENDER,XD,2691,Main Draw,CHO Seungmin/LEE Zion (KOR),KHEROUF Sami/LOGHRAIBI Lynda (ALG)
WTT Contender Tunis 2023 Presented by KIA,2023-06-23,LIN Yun-Ju/CHEN Szu-Yu,LIU Yebo/LIU Weishan,3,0,"11,11,11|5,9,8",SF,WTT_CONTENDER,XD,2691,Main Draw,LIN Yun-Ju/CHEN Szu-Yu (TPE),LIU Yebo/LIU Weishan (CHN)
WTT Contender Tunis 2023 Presented by KIA,2023-06-23,LIM Jonghoon/SHIN Yubin,GNANASEKARAN Sathiyan/BATRA Manika,3,0,"11,11,11|7,8,9",SF,WTT_CONTENDER,XD,2691,Main Draw,LIM Jonghoon/SHIN Yubin (KOR),GNANASEKARAN Sathiyan/BATRA Manika (IND)
WTT Contender Tunis 2023 Presented by KIA,2023-06-23,HIRANO Miu,SASAO Asuka,3,0,"11,12,11|7,10,7",R16,WTT_CONTENDER,WS,2691,Main Draw,HIRANO Miu (JPN),SASAO Asuka (JPN)
WTT Contender Tunis 2023 Presented by KIA,2023-06-23,AKKUZU Can,LIU Dingshuo,3,2,"6,11,9,12,13|11,7,11,10,11",R16,WTT_CONTENDER,MS,2691,Main Draw,AKKUZU Can (FRA),LIU Dingshuo (CHN)
WTT Contender Tunis 2023 Presented by KIA,2023-06-23,SUN Wen,LIN Yun-Ju,3,2,"11,11,6,7,11|9,9,11,11,6",R16,WTT_CONTENDER,MS,2691,Main Draw,SUN Wen (CHN),LIN Yun-Ju (TPE)
WTT Contender Tunis 2023 Presented by KIA,2023-06-23,YANG Ha Eun,JEON Jihee,3,0,"13,11,11|11,7,5",R16,WTT_CONTENDER,WS,2691,Main Draw,YANG Ha Eun (KOR),JEON Jihee (KOR)
WTT Contender Tunis 2023 Presented by KIA,2023-06-23,CHO Seungmin/CHO Daeseong,LIAO Cheng-Ting/HUANG Yan-Cheng,3,2,"11,8,11,7,11|6,11,5,11,6",QF,WTT_CONTENDER,MD,2691,Main Draw,CHO Seungmin/CHO Daeseong (KOR),LIAO Cheng-Ting/HUANG Yan-Cheng (TPE)
WTT Contender Tunis 2023 Presented by KIA,2023-06-23,TAKAHASHI Bruna,CHEN Szu-Yu,3,1,"6,12,11,11|11,10,9,5",R16,WTT_CONTENDER,WS,2691,Main Draw,TAKAHASHI Bruna (BRA),CHEN Szu-Yu (TPE)
WTT Contender Tunis 2023 Presented by KIA,2023-06-23,KIHARA Miyuu/HARIMOTO Miwa,LI Yake/WANG Xiaotong,3,1,"11,7,14,11|7,11,12,5",QF,WTT_CONTENDER,WD,2691,Main Draw,KIHARA Miyuu/HARIMOTO Miwa (JPN),LI Yake/WANG Xiaotong (CHN)
WTT Contender Tunis 2023 Presented by KIA,2023-06-23,FALCK Mattias,CALDERANO Hugo,3,0,"11,12,11|8,10,8",R16,WTT_CONTENDER,MS,2691,Main Draw,FALCK Mattias (SWE),CALDERANO Hugo (BRA)
WTT Contender Tunis 2023 Presented by KIA,2023-06-23,OIKAWA Mizuki,AN Jaehyun,3,2,"11,11,5,8,11|6,2,11,11,7",R16,WTT_CONTENDER,MS,2691,Main Draw,OIKAWA Mizuki (JPN),AN Jaehyun (KOR)
WTT Contender Tunis 2023 Presented by KIA,2023-06-23,HIRANO Miu/NAGASAKI Miyu,KIM Nayeong/RYU Hanna,3,1,"7,12,11,11|11,10,3,8",QF,WTT_CONTENDER,WD,2691,Main Draw,HIRANO Miu/NAGASAKI Miyu (JPN),KIM Nayeong/RYU Hanna (KOR)
WTT Contender Tunis 2023 Presented by KIA,2023-06-23,SHIN Yubin,LI Yake,3,2,"10,11,13,11,11|12,6,15,7,8",R16,WTT_CONTENDER,WS,2691,Main Draw,SHIN Yubin (KOR),LI Yake (CHN)
WTT Contender Tunis 2023 Presented by KIA,2023-06-23,THAKKAR Manav Vikash/SHAH Manush Utpalbhai,XIANG Peng/CAO Wei,3,2,"11,11,3,7,11|9,7,11,11,2",QF,WTT_CONTENDER,MD,2691,Main Draw,THAKKAR Manav Vikash/SHAH Manush Utpalbhai (IND),XIANG Peng/CAO Wei (CHN)
WTT Contender Tunis 2023 Presented by KIA,2023-06-23,FRANZISKA Patrick,HUANG Yan-Cheng,3,1,"11,10,11,11|6,12,8,9",R16,WTT_CONTENDER,MS,2691,Main Draw,FRANZISKA Patrick (GER),HUANG Yan-Cheng (TPE)
WTT Contender Tunis 2023 Presented by KIA,2023-06-23,MUKHERJEE Sutirtha/MUKHERJEE Ayhika,CHEN Szu-Yu/HUANG Yi-Hua,3,2,"10,11,8,11,11|12,8,11,5,7",QF,WTT_CONTENDER,WD,2691,Main Draw,MUKHERJEE Sutirtha/MUKHERJEE Ayhika (IND),CHEN Szu-Yu/HUANG Yi-Hua (TPE)
WTT Contender Tunis 2023 Presented by KIA,2023-06-23,APOLONIA Tiago,GAUZY Simon,3,2,"12,11,9,2,12|10,8,11,11,10",R16,WTT_CONTENDER,MS,2691,Main Draw,APOLONIA Tiago (POR),GAUZY Simon (FRA)
WTT Contender Tunis 2023 Presented by KIA,2023-06-23,JEON Jihee/SHIN Yubin,LIU Weishan/GUO Yuhan,3,0,"11,11,11|8,6,6",QF,WTT_CONTENDER,WD,2691,Main Draw,JEON Jihee/SHIN Yubin (KOR),LIU Weishan/GUO Yuhan (CHN)
WTT Contender Tunis 2023 Presented by KIA,2023-06-23,YANG Yiyun,LI Yu-Jhun,3,0,"11,11,11|8,5,3",R16,WTT_CONTENDER,WS,2691,Main Draw,YANG Yiyun (CHN),LI Yu-Jhun (TPE)
WTT Contender Tunis 2023 Presented by KIA,2023-06-23,JANG Woojin/PARK Ganghyeon,FALCK Mattias/KALLBERG Anton,3,0,"11,12,11|5,10,8",QF,WTT_CONTENDER,MD,2691,Main Draw,JANG Woojin/PARK Ganghyeon (KOR),FALCK Mattias/KALLBERG Anton (SWE)
WTT Contender Tunis 2023 Presented by KIA,2023-06-23,HARIMOTO Miwa,CHASSELIN Pauline,3,0,"16,11,11|14,7,3",R16,WTT_CONTENDER,WS,2691,Main Draw,HARIMOTO Miwa (JPN),CHASSELIN Pauline (FRA)
WTT Contender Tunis 2023 Presented by KIA,2023-06-23,AN Jaehyun/LIM Jonghoon,ALLEGRO Martin/LAMBIET Florent,3,0,"11,11,11|3,7,9",QF,WTT_CONTENDER,MD,2691,Main Draw,AN Jaehyun/LIM Jonghoon (KOR),ALLEGRO Martin/LAMBIET Florent (BEL)
WTT Contender Tunis 2023 Presented by KIA,2023-06-23,NAGASAKI Miyu,MUKHERJEE Ayhika,3,0,"11,11,12|5,9,10",R16,WTT_CONTENDER,WS,2691,Main Draw,NAGASAKI Miyu (JPN),MUKHERJEE Ayhika (IND)
WTT Contender Tunis 2023 Presented by KIA,2023-06-23,KALLBERG Anton,ZHOU Qihao,3,1,"11,5,12,16|5,11,10,14",R16,WTT_CONTENDER,MS,2691,Main Draw,KALLBERG Anton (SWE),ZHOU Qihao (CHN)
WTT Contender Tunis 2023 Presented by KIA,2023-06-23,LIANG Yanning,DESAI Harmeet,3,0,"11,11,11|5,6,5",R16,WTT_CONTENDER,MS,2691,Main Draw,LIANG Yanning (CHN),DESAI Harmeet (IND)
WTT Contender Tunis 2023 Presented by KIA,2023-06-23,LIM Jonghoon/SHIN Yubin,CHO Seungmin/LEE Zion,3,1,"11,7,14,11|6,11,12,3",QF,WTT_CONTENDER,XD,2691,Main Draw,LIM Jonghoon/SHIN Yubin (KOR),CHO Seungmin/LEE Zion (KOR)
WTT Contender Tunis 2023 Presented by KIA,2023-06-23,KIHARA Miyuu,HUANG Yi-Hua,3,0,"11,11,11|9,9,9",R16,WTT_CONTENDER,WS,2691,Main Draw,KIHARA Miyuu (JPN),HUANG Yi-Hua (TPE)
WTT Contender Tunis 2023 Presented by KIA,2023-06-23,LIN Yun-Ju/CHEN Szu-Yu,JANG Woojin/JEON Jihee,3,2,"5,11,13,15,11|11,7,11,17,8",QF,WTT_CONTENDER,XD,2691,Main Draw,LIN Yun-Ju/CHEN Szu-Yu (TPE),JANG Woojin/JEON Jihee (KOR)
WTT Contender Tunis 2023 Presented by KIA,2023-06-23,GNANASEKARAN Sathiyan/BATRA Manika,MEISSNER Cedric/WAN Yuan,3,0,"11,11,11|8,3,8",QF,WTT_CONTENDER,XD,2691,Main Draw,GNANASEKARAN Sathiyan/BATRA Manika (IND),MEISSNER Cedric/WAN Yuan (GER)
