tournament,date,player_a,player_b,score_a,score_b,game_scores,round,tier,sub_event,event_id,stage,player_a_raw,player_b_raw
WTT Contender Tunis 2023 Presented by KIA,2023-06-20,JEGER Mateja/RAKOVAC Lea,HAJ SALAH Abir/GARCI Fadwa,3,0,"11,11,11|4,6,8",,WTT_CONTENDER,WD,2691,Qualification,JEGER Mateja/RAKOVAC Lea (CRO),HAJ SALAH Abir/GARCI Fadwa (TUN)
WTT Contender Tunis 2023 Presented by KIA,2023-06-20,LAKATOS Tamas/HODAEI Amir Hossein,ALIM Azzam/ALMUTAIRI Turki,3,2,"11,12,10,11,11|3,14,12,3,9",,WTT_CONTENDER,MD,2691,Qualification,LAKATOS Tamas/HODAEI Amir Hossein (HUN/IRI),ALIM Azzam/ALMUTAIRI Turki (KSA)
WTT Contender Tunis 2023 Presented by KIA,2023-06-20,XU Haidong/SUN Wen,ZHOU Qihao/LIANG Yanning,3,0,"13,13,11|11,11,7",,WTT_CONTENDER,MD,2691,Qualification,XU Haidong/SUN Wen (CHN),ZHOU Qihao/LIANG Yanning (CHN)
WTT Contender Tunis 2023 Presented by KIA,2023-06-20,BARANI Arianna/RONCALLO Valentina,LEE Hoi Man Karen/LAM Yee Lok,3,2,"8,7,11,11,11|11,11,7,9,9",,WTT_CONTENDER,WD,2691,Qualification,BARANI Arianna/RONCALLO Valentina (ITA),LEE Hoi Man Karen/LAM Yee Lok (HKG)
WTT Contender Tunis 2023 Presented by KIA,2023-06-20,KIM Seoyun/YOON Hyobin,SCHREINER Franziska/KLEE Sophia,3,2,"8,8,11,11,11|11,11,2,7,8",,WTT_CONTENDER,WD,2691,Qualification,KIM Seoyun/YOON Hyobin (KOR),SCHREINER Franziska/KLEE Sophia (GER)
WTT Contender Tunis 2023 Presented by KIA,2023-06-20,LIU Weishan/GUO Yuhan,NASRI Malissa/TAHMI Hadjer,3,0,"11,11,11|0,5,6",,WTT_CONTENDER,WD,2691,Qualification,LIU Weishan/GUO Yuhan (CHN),NASRI Malissa/TAHMI Hadjer (ALG)
WTT Contender Tunis 2023 Presented by KIA,2023-06-20,XUE Fei/FAN Siqi,HMAM Adam/HAJ SALAH Abir,3,0,"11,11,11|3,5,8",,WTT_CONTENDER,XD,2691,Qualification,XUE Fei/FAN Siqi (CHN),HMAM Adam/HAJ SALAH Abir (TUN)
WTT Contender Tunis 2023 Presented by KIA,2023-06-20,AIDA Satoshi/JIN Takuya,TSCHANZ Cedric/ANDERSEN Martin Buch,3,0,"11,14,11|7,12,5",,WTT_CONTENDER,MD,2691,Qualification,AIDA Satoshi/JIN Takuya (JPN),TSCHANZ Cedric/ANDERSEN Martin Buch (SUI/DEN)
WTT Contender Tunis 2023 Presented by KIA,2023-06-20,BOULOUSSA Mehdi/DIAW Ibrahima,STUMPER Kay/MENG Fanbo,3,2,"6,10,11,11,12|11,12,6,9,10",,WTT_CONTENDER,MD,2691,Qualification,BOULOUSSA Mehdi/DIAW Ibrahima (ALG/SEN),STUMPER Kay/MENG Fanbo (GER)
WTT Contender Tunis 2023 Presented by KIA,2023-06-20,LIANG Jishan/NARESH Nandan,HMAM Adam/BOURASS Aboubaker,3,1,"11,11,3,11|6,5,11,8",,WTT_CONTENDER,MD,2691,Qualification,LIANG Jishan/NARESH Nandan (USA),HMAM Adam/BOURASS Aboubaker (TUN)
WTT Contender Tunis 2023 Presented by KIA,2023-06-20,LI Ching Wan,LOEUILLETTE Stephanie,3,2,"9,10,11,11,11|11,12,7,7,5",,WTT_CONTENDER,WS,2691,Qualification,LI Ching Wan (HKG),LOEUILLETTE Stephanie (FRA)
WTT Contender Tunis 2023 Presented by KIA,2023-06-20,BARANI Arianna,HARAC Ece,3,2,"11,7,5,13,13|9,11,11,11,11",,WTT_CONTENDER,WS,2691,Qualification,BARANI Arianna (ITA),HARAC Ece (TUR)
WTT Contender Tunis 2023 Presented by KIA,2023-06-20,ZELINKA Jakub,ISHIY Vitor,3,1,"11,11,11,13|13,7,5,11",,WTT_CONTENDER,MS,2691,Qualification,ZELINKA Jakub (SVK),ISHIY Vitor (BRA)
WTT Contender Tunis 2023 Presented by KIA,2023-06-20,SEYFRIED Joe,DESCHAMPS Hugo,3,2,"9,11,11,11,11|11,8,13,8,4",,WTT_CONTENDER,MS,2691,Qualification,SEYFRIED Joe (FRA),DESCHAMPS Hugo (FRA)
WTT Contender Tunis 2023 Presented by KIA,2023-06-20,PAVLOVIC Andrea,KLEE Sophia,3,2,"10,12,6,11,11|12,10,11,5,6",,WTT_CONTENDER,WS,2691,Qualification,PAVLOVIC Andrea (CRO),KLEE Sophia (GER)
WTT Contender Tunis 2023 Presented by KIA,2023-06-20,SHETTY Sanil,SHAH Manush Utpalbhai,3,1,"7,12,12,11|11,10,10,9",,WTT_CONTENDER,MS,2691,Qualification,SHETTY Sanil (IND),SHAH Manush Utpalbhai (IND)
WTT Contender Tunis 2023 Presented by KIA,2023-06-20,DIAW Ibrahima,ALKHADRAWI Ali,3,0,"11,11,12|9,7,10",,WTT_CONTENDER,MS,2691,Qualification,DIAW Ibrahima (SEN),ALKHADRAWI Ali (KSA)
WTT Contender Tunis 2023 Presented by KIA,2023-06-20,LAMBIET Florent,ZHUBANOV Sanzhar,3,1,"11,9,11,11|7,11,3,2",,WTT_CONTENDER,MS,2691,Qualification,LAMBIET Florent (BEL),ZHUBANOV Sanzhar (KAZ)
WTT Contender Tunis 2023 Presented by KIA,2023-06-20,STUMPER Kay,LAKATOS Tamas,3,1,"11,6,11,11|5,11,7,6",,WTT_CONTENDER,MS,2691,Qualification,STUMPER Kay (GER),LAKATOS Tamas (HUN)
WTT Contender Tunis 2023 Presented by KIA,2023-06-20,ZOGHLAMI Maram,GARCI Fadwa,3,0,"11,13,11|8,11,7",,WTT_CONTENDER,WS,2691,Qualification,ZOGHLAMI Maram (TUN),GARCI Fadwa (TUN)
WTT Contender Tunis 2023 Presented by KIA,2023-06-20,JOUTI Eric,ALLEGRO Martin,3,2,"11,4,3,11,14|6,11,11,8,12",,WTT_CONTENDER,MS,2691,Qualification,JOUTI Eric (BRA),ALLEGRO Martin (BEL)
WTT Contender Tunis 2023 Presented by KIA,2023-06-20,KIM Seoyun,LEE Hoi Man Karen,3,2,"7,11,12,8,11|11,3,10,11,9",,WTT_CONTENDER,WS,2691,Qualification,KIM Seoyun (KOR),LEE Hoi Man Karen (HKG)
WTT Contender Tunis 2023 Presented by KIA,2023-06-20,GUO Yuhan,OUNAEIS Islam,3,0,"11,11,11|4,5,2",,WTT_CONTENDER,WS,2691,Qualification,GUO Yuhan (CHN),OUNAEIS Islam (TUN)
