tournament,date,player_a,player_b,score_a,score_b,game_scores,round,tier,sub_event,event_id,stage,player_a_raw,player_b_raw
Chile Open Santiago 2004,2004-06-16,KREANGA Kalinikos,MARTINEZ Rodrigo,4,0,"11,11,11,13|5,9,5,11",R64,GRAND_SLAM,MS,1683,Main Draw,KREANGA Kalinikos (GRE),MARTINEZ Rodrigo (CHI)
Chile Open Santiago 2004,2004-06-16,SALAMANCA Juan,CAMPUSANO Guillermo,4,0,"11,11,11,14|2,4,3,12",R64,GRAND_SLAM,MS,1683,Main Draw,SALAMANCA Juan (CHI),CAMPUSANO Guillermo (CHI)
Chile Open Santiago 2004,2004-06-16,HABESOHN Mathias,ALVEAR Julian,4,0,"11,11,11,11|4,6,1,9",R64,GRAND_SLAM,MS,1683,Main Draw,HABESOHN Mathias (AUT),ALVEAR Julian (CHI)
Chile Open Santiago 2004,2004-06-16,CSABA Bence,FLORES Patricio,4,0,"11,12,11,11|6,10,8,8",R64,GRAND_SLAM,MS,1683,Main Draw,CSABA Bence (CAN),FLORES Patricio (CHI)
Chile Open Santiago 2004,2004-06-16,SURBEK Dragutin,BRAVO Sergio,4,0,"11,11,11,11|4,6,3,4",R64,GRAND_SLAM,MS,1683,Main Draw,SURBEK Dragutin (CRO),BRAVO Sergio (CHI)
Chile Open Santiago 2004,2004-06-16,HANASHIRO Hugo,GAETE Pablo,4,1,"8,11,11,11,11|11,4,8,9,8",R64,GRAND_SLAM,MS,1683,Main Draw,HANASHIRO Hugo (BRA),GAETE Pablo (CHI)
Chile Open Santiago 2004,2004-06-16,MORALES Augusto,SZENFELD Jorge,4,1,"11,9,11,11,11|5,11,8,3,9",R64,GRAND_SLAM,MS,1683,Main Draw,MORALES Augusto (CHI),SZENFELD Jorge (CHI)
Chile Open Santiago 2004,2004-06-16,MONTEIRO Thiago,JOFRE Marcelo,4,1,"11,11,9,11,11|2,4,11,5,7",R64,GRAND_SLAM,MS,1683,Main Draw,MONTEIRO Thiago (BRA),JOFRE Marcelo (CHI)
Chile Open Santiago 2004,2004-06-16,KEINATH Thomas,FLORES Jose Manuel,4,1,"11,11,11,12,11|5,2,8,14,5",R64,GRAND_SLAM,MS,1683,Main Draw,KEINATH Thomas (SVK),FLORES Jose Manuel (CHI)
Chile Open Santiago 2004,2004-06-16,GONZALES Enrique,CONTRERAS Matias,4,1,"11,11,11,9,11|8,8,1,11,5",R64,GRAND_SLAM,MS,1683,Main Draw,GONZALES Enrique (ARG),CONTRERAS Matias (CHI)
Chile Open Santiago 2004,2004-06-16,HABESOHN Daniel,LEVIS Bruno,4,2,"8,6,11,11,11,11|11,11,8,9,5,6",R64,GRAND_SLAM,MS,1683,Main Draw,HABESOHN Daniel (AUT),LEVIS Bruno (CHI)
Chile Open Santiago 2004,2004-06-16,MOLDOVAN Istvan,PINTO Martin,4,0,"11,11,12,13|6,3,10,11",R64,GRAND_SLAM,MS,1683,Main Draw,MOLDOVAN Istvan (NOR),PINTO Martin (CHI)
Chile Open Santiago 2004,2004-06-16,GARDOS Krisztian,ALAMOS Pedro,4,0,"11,11,11,11|5,4,6,3",R64,GRAND_SLAM,MS,1683,Main Draw,GARDOS Krisztian (AUT),ALAMOS Pedro (CHI)
Chile Open Santiago 2004,2004-06-16,SIMONER Christoph,CARLIER Andres,4,0,"11,11,11,11|9,6,5,9",R64,GRAND_SLAM,MS,1683,Main Draw,SIMONER Christoph (AUT),CARLIER Andres (CHI)
Chile Open Santiago 2004,2004-06-16,CORTES Andres,ACUNA Felipe,4,3,"11,11,11,9,11,13,11|13,6,7,11,7,15,1",R64,GRAND_SLAM,MS,1683,Main Draw,CORTES Andres (CHI),ACUNA Felipe (CHI)
Chile Open Santiago 2004,2004-06-16,ERLANDSEN Geir,FUENZALIDA Cristian,4,1,"11,11,11,10,11|9,8,8,12,4",R64,GRAND_SLAM,MS,1683,Main Draw,ERLANDSEN Geir (NOR),FUENZALIDA Cristian (CHI)
Chile Open Santiago 2004,2004-06-16,GARDOS Robert,LARA Ricardo,4,0,"11,11,11,11|1,3,7,7",R64,GRAND_SLAM,MS,1683,Main Draw,GARDOS Robert (AUT),LARA Ricardo (CHI)
Chile Open Santiago 2004,2004-06-16,CUMSILLE Sebastian,COELLO Geovanny,4,2,"15,9,14,14,11,11|13,11,12,16,4,5",R64,GRAND_SLAM,MS,1683,Main Draw,CUMSILLE Sebastian (CHI),COELLO Geovanny (ECU)
Chile Open Santiago 2004,2004-06-16,PINO Jonathan,OPAZO Rodrigo,4,0,"11,12,11,11|8,10,9,5",R64,GRAND_SLAM,MS,1683,Main Draw,PINO Jonathan (VEN),OPAZO Rodrigo (CHI)
Chile Open Santiago 2004,2004-06-16,FETH Stefan,NILO Felipe,4,0,"11,11,11,11|8,4,5,6",R64,GRAND_SLAM,MS,1683,Main Draw,FETH Stefan (GER),NILO Felipe (CHI)
Chile Open Santiago 2004,2004-06-16,CARNEROS Alfredo,FREDES Rafael,4,0,"11,11,11,11|6,7,5,5",R64,GRAND_SLAM,MS,1683,Main Draw,CARNEROS Alfredo (ESP),FREDES Rafael (CHI)
Chile Open Santiago 2004,2004-06-16,KASSAM Faazil,NEIRA Marco,4,0,"11,11,11,11|7,2,6,5",R64,GRAND_SLAM,MS,1683,Main Draw,KASSAM Faazil (CAN),NEIRA Marco (CHI)
Chile Open Santiago 2004,2004-06-16,PAPIC Juan,QUIROZ Rodrigo,4,1,"10,11,11,11,11|12,2,2,8,9",R64,GRAND_SLAM,MS,1683,Main Draw,PAPIC Juan (CHI),QUIROZ Rodrigo (CHI)
Chile Open Santiago 2004,2004-06-16,HOYAMA Hugo,GRECO Juan,4,0,"11,11,11,11|2,1,2,4",R64,GRAND_SLAM,MS,1683,Main Draw,HOYAMA Hugo (BRA),GRECO Juan (ARG)
Chile Open Santiago 2004,2004-06-16,KLASEK Marek,LABARCA Nicolas,4,0,"11,11,11,11|6,6,3,9",R64,GRAND_SLAM,MS,1683,Main Draw,KLASEK Marek (CZE),LABARCA Nicolas (CHI)
Chile Open Santiago 2004,2004-06-16,TABACHNIK Pablo,GONZALES Rudy,4,0,"11,11,11,11|6,6,4,9",R64,GRAND_SLAM,MS,1683,Main Draw,TABACHNIK Pablo (ARG),GONZALES Rudy (CHI)
Chile Open Santiago 2004,2004-06-16,RODRIGUEZ Alejandro,NAVAS Marco,4,0,"11,11,11,11|9,9,5,7",R64,GRAND_SLAM,MS,1683,Main Draw,RODRIGUEZ Alejandro (CHI),NAVAS Marco (VEN)
Chile Open Santiago 2004,2004-06-16,CLOSSET Marc,FERNANDEZ Emiliano,4,0,"11,11,11,11|6,6,5,6",R64,GRAND_SLAM,MS,1683,Main Draw,CLOSSET Marc (BEL),FERNANDEZ Emiliano (URU)
Chile Open Santiago 2004,2004-06-16,ZWICKL Daniel,GONZALEZ Felipe,4,0,"11,11,11,11|4,3,2,6",R64,GRAND_SLAM,MS,1683,Main Draw,ZWICKL Daniel (HUN),GONZALEZ Felipe (CHI)
Chile Open Santiago 2004,2004-06-16,PICHLER Michael,CARTAGENA Christopher,4,0,"11,11,11,11|1,4,7,7",R64,GRAND_SLAM,MS,1683,Main Draw,PICHLER Michael (AUT),CARTAGENA Christopher (CHI)
Chile Open Santiago 2004,2004-06-16,MUNOZ Guillermo,BELTRAN Jorge,4,0,"11,11,11,11|4,6,2,8",R64,GRAND_SLAM,MS,1683,Main Draw,MUNOZ Guillermo (MEX),BELTRAN Jorge (CHI)
Chile Open Santiago 2004,2004-06-16,HUANG Johnny,VIAL Gonzalo,4,0,"11,11,11,11|7,3,1,3",R64,GRAND_SLAM,MS,1683,Main Draw,HUANG Johnny (CAN),VIAL Gonzalo (CHI)
Chile Open Santiago 2004,2004-06-16,KREANGA Kalinikos,SALAMANCA Juan,4,0,"11,11,14,11|3,9,12,3",R32,GRAND_SLAM,MS,1683,Main Draw,KREANGA Kalinikos (GRE),SALAMANCA Juan (CHI)
Chile Open Santiago 2004,2004-06-16,HABESOHN Mathias,CSABA Bence,4,1,"11,7,11,11,11|6,11,9,7,6",R32,GRAND_SLAM,MS,1683,Main Draw,HABESOHN Mathias (AUT),CSABA Bence (CAN)
Chile Open Santiago 2004,2004-06-16,SURBEK Dragutin,HANASHIRO Hugo,4,1,"9,11,12,11,11|11,4,10,4,5",R32,GRAND_SLAM,MS,1683,Main Draw,SURBEK Dragutin (CRO),HANASHIRO Hugo (BRA)
Chile Open Santiago 2004,2004-06-16,MONTEIRO Thiago,MORALES Augusto,4,3,"11,7,11,10,11,8,11|4,11,5,12,5,11,9",R32,GRAND_SLAM,MS,1683,Main Draw,MONTEIRO Thiago (BRA),MORALES Augusto (CHI)
Chile Open Santiago 2004,2004-06-16,KEINATH Thomas,GONZALES Enrique,4,0,"11,11,11,11|9,7,7,6",R32,GRAND_SLAM,MS,1683,Main Draw,KEINATH Thomas (SVK),GONZALES Enrique (ARG)
Chile Open Santiago 2004,2004-06-16,HABESOHN Daniel,MOLDOVAN Istvan,4,0,"11,11,11,11|5,5,9,9",R32,GRAND_SLAM,MS,1683,Main Draw,HABESOHN Daniel (AUT),MOLDOVAN Istvan (NOR)
Chile Open Santiago 2004,2004-06-16,GARDOS Krisztian,SIMONER Christoph,4,2,"11,9,11,12,9,11|2,11,9,10,11,7",R32,GRAND_SLAM,MS,1683,Main Draw,GARDOS Krisztian (AUT),SIMONER Christoph (AUT)
Chile Open Santiago 2004,2004-06-16,ERLANDSEN Geir,CORTES Andres,4,2,"9,11,9,11,11,11|11,6,11,9,8,8",R32,GRAND_SLAM,MS,1683,Main Draw,ERLANDSEN Geir (NOR),CORTES Andres (CHI)
Chile Open Santiago 2004,2004-06-16,GARDOS Robert,CUMSILLE Sebastian,4,1,"11,11,11,10,11|6,6,4,12,6",R32,GRAND_SLAM,MS,1683,Main Draw,GARDOS Robert (AUT),CUMSILLE Sebastian (CHI)
Chile Open Santiago 2004,2004-06-16,FETH Stefan,PINO Jonathan,4,1,"11,11,12,11,11|3,4,14,3,7",R32,GRAND_SLAM,MS,1683,Main Draw,FETH Stefan (GER),PINO Jonathan (VEN)
Chile Open Santiago 2004,2004-06-16,CARNEROS Alfredo,KASSAM Faazil,4,1,"11,11,11,13,11|8,6,9,15,7",R32,GRAND_SLAM,MS,1683,Main Draw,CARNEROS Alfredo (ESP),KASSAM Faazil (CAN)
Chile Open Santiago 2004,2004-06-16,HOYAMA Hugo,PAPIC Juan,4,1,"11,6,12,11,11|9,11,10,7,9",R32,GRAND_SLAM,MS,1683,Main Draw,HOYAMA Hugo (BRA),PAPIC Juan (CHI)
Chile Open Santiago 2004,2004-06-16,KLASEK Marek,TABACHNIK Pablo,4,0,"11,11,11,11|7,7,8,8",R32,GRAND_SLAM,MS,1683,Main Draw,KLASEK Marek (CZE),TABACHNIK Pablo (ARG)
Chile Open Santiago 2004,2004-06-16,RODRIGUEZ Alejandro,CLOSSET Marc,4,1,"11,12,3,13,12|7,10,11,11,10",R32,GRAND_SLAM,MS,1683,Main Draw,RODRIGUEZ Alejandro (CHI),CLOSSET Marc (BEL)
Chile Open Santiago 2004,2004-06-16,PICHLER Michael,ZWICKL Daniel,4,1,"8,13,11,11,11|11,11,9,8,7",R32,GRAND_SLAM,MS,1683,Main Draw,PICHLER Michael (AUT),ZWICKL Daniel (HUN)
Chile Open Santiago 2004,2004-06-16,HUANG Johnny,MUNOZ Guillermo,4,0,"11,11,11,11|2,7,3,7",R32,GRAND_SLAM,MS,1683,Main Draw,HUANG Johnny (CAN),MUNOZ Guillermo (MEX)
Chile Open Santiago 2004,2004-06-16,KREANGA Kalinikos,HABESOHN Mathias,4,1,"9,11,11,11,11|11,5,2,7,3",R16,GRAND_SLAM,MS,1683,Main Draw,KREANGA Kalinikos (GRE),HABESOHN Mathias (AUT)
Chile Open Santiago 2004,2004-06-16,MONTEIRO Thiago,SURBEK Dragutin,4,3,"11,10,9,9,15,12,11|7,12,11,11,13,10,6",R16,GRAND_SLAM,MS,1683,Main Draw,MONTEIRO Thiago (BRA),SURBEK Dragutin (CRO)
Chile Open Santiago 2004,2004-06-16,KEINATH Thomas,HABESOHN Daniel,4,0,"11,11,11,11|9,7,3,4",R16,GRAND_SLAM,MS,1683,Main Draw,KEINATH Thomas (SVK),HABESOHN Daniel (AUT)
Chile Open Santiago 2004,2004-06-16,ERLANDSEN Geir,GARDOS Krisztian,4,1,"11,11,11,6,11|6,3,7,11,9",R16,GRAND_SLAM,MS,1683,Main Draw,ERLANDSEN Geir (NOR),GARDOS Krisztian (AUT)
Chile Open Santiago 2004,2004-06-16,GARDOS Robert,FETH Stefan,4,0,"11,11,11,11|9,9,5,4",R16,GRAND_SLAM,MS,1683,Main Draw,GARDOS Robert (AUT),FETH Stefan (GER)
Chile Open Santiago 2004,2004-06-16,CARNEROS Alfredo,HOYAMA Hugo,4,1,"7,11,11,11,11|11,8,6,9,8",R16,GRAND_SLAM,MS,1683,Main Draw,CARNEROS Alfredo (ESP),HOYAMA Hugo (BRA)
