tournament,date,player_a,player_b,score_a,score_b,game_scores,round,tier,sub_event,event_id,stage,player_a_raw,player_b_raw
WTT Champions Chongqing 2026 Presented by AITO,2026-03-11,CHENG I-Ching,DOO Hoi Kem,3,1,"11,11,3,11|8,6,11,6",R32,WTT_CHAMPIONS,WS,3235,Main Draw,CHENG I-Ching (TPE),DOO Hoi Kem (HKG)
WTT Champions Chongqing 2026 Presented by AITO,2026-03-12,LEBRUN Felix,AN Jaehyun,3,0,"11,12,11|4,10,7",R16,WTT_CHAMPIONS,MS,3235,Main Draw,LEBRUN Felix (FRA),AN Jaehyun (KOR)
WTT Champions Chongqing 2026 Presented by AITO,2026-03-12,SHIN Yubin,ZHU Yuling,3,1,"15,14,6,11|13,12,11,8",R16,WTT_CHAMPIONS,WS,3235,Main Draw,SHIN Yubin (KOR),ZHU Yuling (MAC)
WTT Champions Chongqing 2026 Presented by AITO,2026-03-12,WANG Chuqin,FRANZISKA Patrick,3,0,"11,11,11|3,7,3",R16,WTT_CHAMPIONS,MS,3235,Main Draw,WANG Chuqin (CHN),FRANZISKA Patrick (GER)
WTT Champions Chongqing 2026 Presented by AITO,2026-03-12,KUAI Man,TAKAHASHI Bruna,3,1,"11,11,11,11|4,6,13,7",R16,WTT_CHAMPIONS,WS,3235,Main Draw,KUAI Man (CHN),TAKAHASHI Bruna (BRA)
WTT Champions Chongqing 2026 Presented by AITO,2026-03-12,WEN Ruibo,MOREGARD Truls,3,1,"8,12,11,11|11,10,7,9",R16,WTT_CHAMPIONS,MS,3235,Main Draw,WEN Ruibo (CHN),MOREGARD Truls (SWE)
WTT Champions Chongqing 2026 Presented by AITO,2026-03-12,DIAZ Adriana,LEE Eunhye,3,1,"11,11,9,11|7,5,11,7",R32,WTT_CHAMPIONS,WS,3235,Main Draw,DIAZ Adriana (PUR),LEE Eunhye (KOR)
WTT Champions Chongqing 2026 Presented by AITO,2026-03-12,LIANG Jingkun,XIANG Peng,3,1,"8,11,11,11|11,8,7,7",R32,WTT_CHAMPIONS,MS,3235,Main Draw,LIANG Jingkun (CHN),XIANG Peng (CHN)
WTT Champions Chongqing 2026 Presented by AITO,2026-03-12,SUN Yingsha,JOO Cheonhui,3,0,"11,13,11|5,11,8",R32,WTT_CHAMPIONS,WS,3235,Main Draw,SUN Yingsha (CHN),JOO Cheonhui (KOR)
WTT Champions Chongqing 2026 Presented by AITO,2026-03-12,QIU Dang,THAKKAR Manav,3,0,"11,11,11|6,7,6",R32,WTT_CHAMPIONS,MS,3235,Main Draw,QIU Dang (GER),THAKKAR Manav (IND)
WTT Champions Chongqing 2026 Presented by AITO,2026-03-12,CHEN Xingtong,POLCANOVA Sofia,3,0,"11,11,11|5,9,4",R32,WTT_CHAMPIONS,WS,3235,Main Draw,CHEN Xingtong (CHN),POLCANOVA Sofia (AUT)
WTT Champions Chongqing 2026 Presented by AITO,2026-03-12,PUCAR Tomislav,TOGAMI Shunsuke,3,0,"11,11,11|0,0,0",R32,WTT_CHAMPIONS,MS,3235,Main Draw,PUCAR Tomislav (CRO),TOGAMI Shunsuke (JPN)
WTT Champions Chongqing 2026 Presented by AITO,2026-03-13,SHI Xunyao,CHEN Xingtong,3,1,"7,11,11,13|11,4,7,11",R16,WTT_CHAMPIONS,WS,3235,Main Draw,SHI Xunyao (CHN),CHEN Xingtong (CHN)
WTT Champions Chongqing 2026 Presented by AITO,2026-03-13,CALDERANO Hugo,PUCAR Tomislav,3,1,"11,7,11,19|9,11,3,17",R16,WTT_CHAMPIONS,MS,3235,Main Draw,CALDERANO Hugo (BRA),PUCAR Tomislav (CRO)
WTT Champions Chongqing 2026 Presented by AITO,2026-03-13,CHEN Yi,SZOCS Bernadette,3,2,"11,11,12,7,11|8,13,10,11,9",R16,WTT_CHAMPIONS,WS,3235,Main Draw,CHEN Yi (CHN),SZOCS Bernadette (ROU)
WTT Champions Chongqing 2026 Presented by AITO,2026-03-13,HARIMOTO Tomokazu,UDA Yukiya,3,0,"11,11,11|9,5,4",R16,WTT_CHAMPIONS,MS,3235,Main Draw,HARIMOTO Tomokazu (JPN),UDA Yukiya (JPN)
WTT Champions Chongqing 2026 Presented by AITO,2026-03-13,WANG Yidi,LIU Yangzi,3,0,"11,11,11|8,9,6",R16,WTT_CHAMPIONS,WS,3235,Main Draw,WANG Yidi (CHN),LIU Yangzi (AUS)
WTT Champions Chongqing 2026 Presented by AITO,2026-03-13,QIU Dang,LIANG Jingkun,3,2,"7,6,11,11,11|11,11,4,9,8",R16,WTT_CHAMPIONS,MS,3235,Main Draw,QIU Dang (GER),LIANG Jingkun (CHN)
WTT Champions Chongqing 2026 Presented by AITO,2026-03-13,SUN Yingsha,DIAZ Adriana,3,0,"11,11,11|5,7,5",R16,WTT_CHAMPIONS,WS,3235,Main Draw,SUN Yingsha (CHN),DIAZ Adriana (PUR)
WTT Champions Chongqing 2026 Presented by AITO,2026-03-13,MATSUSHIMA Sora,LUM Nicholas,3,0,"11,11,12|8,6,10",R16,WTT_CHAMPIONS,MS,3235,Main Draw,MATSUSHIMA Sora (JPN),LUM Nicholas (AUS)
