tournament,date,player_a,player_b,score_a,score_b,game_scores,round,tier,sub_event,event_id,stage,player_a_raw,player_b_raw,winner_raw
Greece Open Athens 2004,2004-01-29,MA Lin,JOVER Sebastien,4,2,"11,14,5,11,5,11|8,12,11,8,11,6",R64,GRAND_SLAM,MS,1649,Main Draw,MA Lin (CHN),JOVER Sebastien (FRA),MA Lin
Greece Open Athens 2004,2004-01-29,GATIEN Jean-Philippe,VITSEK Ivan,4,0,"11,11,11,13|5,5,9,11",R64,GRAND_SLAM,MS,1649,Main Draw,GATIEN Jean-Philippe (FRA),VITSEK Ivan (HUN),GATIEN Jean-Philippe
Greece Open Athens 2004,2004-01-29,TSIOKAS Ntaniel,FETH Stefan,4,3,"11,11,9,11,8,7,11|9,9,11,9,11,11,9",R64,GRAND_SLAM,MS,1649,Main Draw,TSIOKAS Ntaniel (GRE),FETH Stefan (GER),TSIOKAS Ntaniel
Greece Open Athens 2004,2004-01-29,RYU Seungmin,HIELSCHER Lars,4,3,"7,11,4,11,11,9,11|11,6,11,8,6,11,8",R64,GRAND_SLAM,MS,1649,Main Draw,RYU Seungmin (KOR),HIELSCHER Lars (GER),RYU Seungmin
Greece Open Athens 2004,2004-01-29,KONG Linghui,YANG Min,4,2,"11,10,8,11,11,11|2,12,11,3,5,6",R64,GRAND_SLAM,MS,1649,Main Draw,KONG Linghui (CHN),YANG Min (ITA),KONG Linghui
Greece Open Athens 2004,2004-01-29,LEE Chulseung,CHILA Patrick,4,1,"11,11,10,11,11|6,5,12,8,9",R64,GRAND_SLAM,MS,1649,Main Draw,LEE Chulseung (KOR),CHILA Patrick (FRA),LEE Chulseung
Greece Open Athens 2004,2004-01-29,KARLSSON Peter,FEJER-KONNERTH Zoltan,4,2,"11,10,9,11,12,11|4,12,11,9,10,7",R64,GRAND_SLAM,MS,1649,Main Draw,KARLSSON Peter (SWE),FEJER-KONNERTH Zoltan (GER),KARLSSON Peter
Greece Open Athens 2004,2004-01-29,SAMSONOV Vladimir,KLASEK Marek,4,0,"11,11,11,11|4,6,7,3",R64,GRAND_SLAM,MS,1649,Main Draw,SAMSONOV Vladimir (BLR),KLASEK Marek (CZE),SAMSONOV Vladimir
Greece Open Athens 2004,2004-01-29,BOLL Timo,MONDELLO Massimiliano,4,2,"11,12,12,11,13,11|3,14,14,5,11,6",R64,GRAND_SLAM,MS,1649,Main Draw,BOLL Timo (GER),MONDELLO Massimiliano (ITA),BOLL Timo
Greece Open Athens 2004,2004-01-29,CRISAN Adrian,GARDOS Robert,4,2,"11,11,5,4,15,11|4,6,11,11,13,4",R64,GRAND_SLAM,MS,1649,Main Draw,CRISAN Adrian (ROU),GARDOS Robert (AUT),CRISAN Adrian
Greece Open Athens 2004,2004-01-29,BLASZCZYK Lucjan,TOSIC Roko,4,2,"5,11,11,11,11,11|11,13,4,8,1,5",R64,GRAND_SLAM,MS,1649,Main Draw,BLASZCZYK Lucjan (POL),TOSIC Roko (CRO),BLASZCZYK Lucjan
Greece Open Athens 2004,2004-01-29,SCHLAGER Werner,STEGER Bastian,4,1,"11,11,11,11,11|13,9,9,8,9",R64,GRAND_SLAM,MS,1649,Main Draw,SCHLAGER Werner (AUT),STEGER Bastian (GER),SCHLAGER Werner
Greece Open Athens 2004,2004-01-29,PRIMORAC Zoran,LIU Song,4,0,"11,12,11,11|6,10,9,3",R64,GRAND_SLAM,MS,1649,Main Draw,PRIMORAC Zoran (CRO),LIU Song (ARG),PRIMORAC Zoran
Greece Open Athens 2004,2004-01-29,WALDNER Jan-Ove,BENTSEN Allan,4,0,"11,11,12,12|3,8,10,10",R64,GRAND_SLAM,MS,1649,Main Draw,WALDNER Jan-Ove (SWE),BENTSEN Allan (DEN),WALDNER Jan-Ove
