tournament,date,player_a,player_b,score_a,score_b,game_scores,round,tier,sub_event,event_id,stage,player_a_raw,player_b_raw,winner_raw
GAC Group World Tour Japan Open Kobe 2015,2015-06-24,WONG Chun Ting,RANEFUR Elias,4,0,"11,11,11,12|8,9,2,10",R32,GRAND_SLAM,MS,11,Main Draw,RANEFUR Elias (SWE),WONG Chun Ting (HKG),WONG Chun Ting
GAC Group World Tour Japan Open Kobe 2015,2015-06-24,APOLONIA Tiago,LORENTZ Romain,4,1,"11,11,8,11,14|5,7,11,6,12",R32,GRAND_SLAM,MS,11,Main Draw,APOLONIA Tiago (POR),LORENTZ Romain (FRA),APOLONIA Tiago
GAC Group World Tour Japan Open Kobe 2015,2015-06-24,XU Xin,HO Kwan Kit,4,0,"11,11,11,11|8,3,4,4",R32,GRAND_SLAM,MS,11,Main Draw,HO Kwan Kit (HKG),XU Xin (CHN),XU Xin
GAC Group World Tour Japan Open Kobe 2015,2015-06-24,SHANG Kun,MA Long,4,1,"11,11,11,5,11|8,7,7,11,8",R16,GRAND_SLAM,MS,11,Main Draw,MA Long (CHN),SHANG Kun (CHN),SHANG Kun
GAC Group World Tour Japan Open Kobe 2015,2015-06-24,MURAMATSU Yuto,NIWA Koki,4,3,"9,11,10,9,11,11,11|11,7,12,11,5,4,7",R16,GRAND_SLAM,MS,11,Main Draw,MURAMATSU Yuto (JPN),NIWA Koki (JPN),MURAMATSU Yuto
GAC Group World Tour Japan Open Kobe 2015,2015-06-24,YOSHIMURA Maharu,TANG Peng,4,3,"12,12,7,3,11,7,11|10,10,11,11,7,11,6",R16,GRAND_SLAM,MS,11,Main Draw,TANG Peng (HKG),YOSHIMURA Maharu (JPN),YOSHIMURA Maharu
GAC Group World Tour Japan Open Kobe 2015,2015-06-24,JOO Saehyuk,MIZUTANI Jun,4,2,"10,11,11,6,11,11|12,8,8,11,7,6",R16,GRAND_SLAM,MS,11,Main Draw,JOO Saehyuk (KOR),MIZUTANI Jun (JPN),JOO Saehyuk
GAC Group World Tour Japan Open Kobe 2015,2015-06-24,FAN Zhendong,JIANG Tianyi,4,1,"11,11,7,11,11|6,9,11,8,8",R16,GRAND_SLAM,MS,11,Main Draw,FAN Zhendong (CHN),JIANG Tianyi (HKG),FAN Zhendong
GAC Group World Tour Japan Open Kobe 2015,2015-06-24,YAN An,FANG Bo,4,1,"9,11,11,13,12|11,8,6,11,10",R16,GRAND_SLAM,MS,11,Main Draw,YAN An (CHN),FANG Bo (KAZ),YAN An
GAC Group World Tour Japan Open Kobe 2015,2015-06-24,WONG Chun Ting,MORIZONO Masataka,4,0,"11,11,11,11|4,4,6,6",R16,GRAND_SLAM,MS,11,Main Draw,MORIZONO Masataka (JPN),WONG Chun Ting (HKG),WONG Chun Ting
