tournament,date,player_a,player_b,score_a,score_b,game_scores,round,tier,sub_event,event_id,stage,player_a_raw,player_b_raw,winner_raw
GAC Group World Tour Japan Open Kobe 2015,2015-06-24,YOSHIMURA Maharu,HUANG Sheng-Sheng,4,0,"11,11,11,11|4,5,8,6",QR32,GRAND_SLAM,MS,11,Qualification,HUANG Sheng-Sheng (TPE),YOSHIMURA Maharu (JPN),YOSHIMURA Maharu
GAC Group World Tour Japan Open Kobe 2015,2015-06-24,CHEN Feng,WU Chih-Chi,4,1,"7,11,11,11,11|11,8,9,7,7",QR32,GRAND_SLAM,MS,11,Qualification,CHEN Feng (SGP),WU Chih-Chi (TPE),CHEN Feng
GAC Group World Tour Japan Open Kobe 2015,2015-06-24,SHANG Kun,CHIANG Hung-Chieh,4,0,"11,11,11,14|6,8,3,12",QR32,GRAND_SLAM,MS,11,Qualification,CHIANG Hung-Chieh (TPE),SHANG Kun (CHN),SHANG Kun
GAC Group World Tour Japan Open Kobe 2015,2015-06-24,HO Kwan Kit,YANG Tzu-Yi,4,2,"11,11,12,6,5,11|9,3,10,11,11,7",QR32,GRAND_SLAM,MS,11,Qualification,YANG Tzu-Yi (TPE),HO Kwan Kit (HKG),HO Kwan Kit
GAC Group World Tour Japan Open Kobe 2015,2015-06-24,TAN Ruiwu,MATSUDAIRA Kenta,4,3,"8,8,11,11,10,11,11|11,11,9,9,12,6,5",QR32,GRAND_SLAM,MS,11,Qualification,TAN Ruiwu (CRO),MATSUDAIRA Kenta (JPN),TAN Ruiwu
GAC Group World Tour Japan Open Kobe 2015,2015-06-24,KATO Miyu,LIU Hsing-Yin,4,3,"11,11,7,7,5,11,14|7,8,11,11,11,9,12",QR64,GRAND_SLAM,WS,11,Qualification,LIU Hsing-Yin (TPE),KATO Miyu (JPN),KATO Miyu
GAC Group World Tour Japan Open Kobe 2015,2015-06-24,DOLGIKH Maria,HSU Hui-Tsun,4,1,"12,11,9,12,11|10,5,11,10,6",QR64,GRAND_SLAM,WS,11,Qualification,DOLGIKH Maria (RUS),HSU Hui-Tsun (TPE),DOLGIKH Maria
GAC Group World Tour Japan Open Kobe 2015,2015-06-24,WAKAMIYA Misako,LEE Yu-Peng,4,0,"11,11,11,11|8,5,4,6",QR64,GRAND_SLAM,WS,11,Qualification,LEE Yu-Peng (TPE),WAKAMIYA Misako (JPN),WAKAMIYA Misako
GAC Group World Tour Japan Open Kobe 2015,2015-06-24,YOO Eunchong,DAS Mouma,4,1,"11,11,11,9,11|7,7,6,11,4",QR64,GRAND_SLAM,WS,11,Qualification,DAS Mouma (IND),YOO Eunchong (KOR),YOO Eunchong
GAC Group World Tour Japan Open Kobe 2015,2015-06-24,CHENG Hsien-Tzu,MAEDA Miyu,4,3,"11,8,5,11,9,11,11|4,11,11,7,11,9,5",QR64,GRAND_SLAM,WS,11,Qualification,MAEDA Miyu (JPN),CHENG Hsien-Tzu (TPE),CHENG Hsien-Tzu
GAC Group World Tour Japan Open Kobe 2015,2015-06-24,ZHOU Yihan,LAM Yee Lok,4,2,"11,1,11,9,11,11|5,11,3,11,7,7",QR64,GRAND_SLAM,WS,11,Qualification,LAM Yee Lok (HKG),ZHOU Yihan (SGP),ZHOU Yihan
GAC Group World Tour Japan Open Kobe 2015,2015-06-24,BOLLMEIER Nadine,MATSUDAIRA Shiho,4,1,"11,11,12,11,11|9,4,14,3,7",QR64,GRAND_SLAM,WS,11,Qualification,MATSUDAIRA Shiho (JPN),BOLLMEIER Nadine (GER),BOLLMEIER Nadine
GAC Group World Tour Japan Open Kobe 2015,2015-06-24,TIE Yana,LIU Yu-Hsin,4,2,"10,11,11,7,11,11|12,4,7,11,4,9",QR64,GRAND_SLAM,WS,11,Qualification,LIU Yu-Hsin (TPE),TIE Yana (HKG),TIE Yana
GAC Group World Tour Japan Open Kobe 2015,2015-06-24,WANG Yi-Ju,HAMAMOTO Yui,4,2,"11,5,11,15,3,11|3,11,7,13,11,9",QR64,GRAND_SLAM,WS,11,Qualification,WANG Yi-Ju (TPE),HAMAMOTO Yui (AUT),WANG Yi-Ju
GAC Group World Tour Japan Open Kobe 2015,2015-06-24,SZOCS Bernadette,HWANG Jina,4,3,"11,7,5,11,3,11,11|6,11,11,7,11,2,9",QR64,GRAND_SLAM,WS,11,Qualification,SZOCS Bernadette (ROU),HWANG Jina (KOR),SZOCS Bernadette
GAC Group World Tour Japan Open Kobe 2015,2015-06-24,CHOI Jeongmin,HAYATA Hina,4,1,"11,11,11,9,12|8,8,8,11,10",QR64,GRAND_SLAM,WS,11,Qualification,CHOI Jeongmin (KOR),HAYATA Hina (JPN),CHOI Jeongmin
GAC Group World Tour Japan Open Kobe 2015,2015-06-24,HUANG Yi-Hua,LEE Zion,4,2,"11,9,11,6,12,11|4,11,8,11,10,8",QR64,GRAND_SLAM,WS,11,Qualification,HUANG Yi-Hua (TPE),LEE Zion (KOR),HUANG Yi-Hua
GAC Group World Tour Japan Open Kobe 2015,2015-06-24,SATO Hitomi,DAS Ankita,4,0,"11,11,11,11|9,3,6,1",QR64,GRAND_SLAM,WS,11,Qualification,DAS Ankita (IND),SATO Hitomi (JPN),SATO Hitomi
GAC Group World Tour Japan Open Kobe 2015,2015-06-24,MORIZONO Misaki,ZHU Chengzhu,4,0,"11,11,11,11|4,7,6,1",QR64,GRAND_SLAM,WS,11,Qualification,MORIZONO Misaki (JPN),ZHU Chengzhu (HKG),MORIZONO Misaki
GAC Group World Tour Japan Open Kobe 2015,2015-06-24,ZENG Jian,TIKHOMIROVA Anna,4,1,"11,11,6,12,11|7,4,11,10,7",QR64,GRAND_SLAM,WS,11,Qualification,TIKHOMIROVA Anna (RUS),ZENG Jian (SGP),ZENG Jian
GAC Group World Tour Japan Open Kobe 2015,2015-06-24,MORI Sakura,LIN Chia-Hui,4,3,"10,11,8,11,11,9,11|12,8,11,4,6,11,9",QR64,GRAND_SLAM,WS,11,Qualification,MORI Sakura (JPN),LIN Chia-Hui (TPE),MORI Sakura
GAC Group World Tour Japan Open Kobe 2015,2015-06-24,LEE Seul,LEE I-Chen,4,2,"6,13,9,11,11,11|11,11,11,6,3,9",QR64,GRAND_SLAM,WS,11,Qualification,LEE Seul (KOR),LEE I-Chen (TPE),LEE Seul
GAC Group World Tour Japan Open Kobe 2015,2015-06-24,NIWA Misato,LEE Dasom,4,0,"11,11,12,11|7,6,10,7",QR64,GRAND_SLAM,WS,11,Qualification,LEE Dasom (KOR),NIWA Misato (JPN),NIWA Misato
GAC Group World Tour Japan Open Kobe 2015,2015-06-24,LIN Ye,HUANG Yu-Chiao,4,2,"7,11,11,7,11,11|11,7,7,11,2,7",QR64,GRAND_SLAM,WS,11,Qualification,LIN Ye (CAN),HUANG Yu-Chiao (TPE),LIN Ye
GAC Group World Tour Japan Open Kobe 2015,2015-06-24,YU Sora,MITTELHAM Nina,4,0,"11,11,11,11|7,7,7,0",QR64,GRAND_SLAM,WS,11,Qualification,YU Sora (KOR),MITTELHAM Nina (GER),YU Sora
GAC Group World Tour Japan Open Kobe 2015,2015-06-24,MIKHAILOVA Polina,KITAOKA Eriko,4,1,"16,7,11,11,11|14,11,5,7,8",QR64,GRAND_SLAM,WS,11,Qualification,MIKHAILOVA Polina (RUS),KITAOKA Eriko (JPN),MIKHAILOVA Polina
GAC Group World Tour Japan Open Kobe 2015,2015-06-24,LIU Fei,KATO Miyu,4,0,"11,11,11,11|9,4,6,6",QR32,GRAND_SLAM,WS,11,Qualification,LIU Fei (CHN),KATO Miyu (JPN),LIU Fei
GAC Group World Tour Japan Open Kobe 2015,2015-06-24,WAKAMIYA Misako,DOLGIKH Maria,4,1,"5,13,11,11,12|11,11,9,7,10",QR32,GRAND_SLAM,WS,11,Qualification,DOLGIKH Maria (RUS),WAKAMIYA Misako (JPN),WAKAMIYA Misako
GAC Group World Tour Japan Open Kobe 2015,2015-06-24,LI Jiao,YOO Eunchong,4,2,"11,11,11,4,1,14|7,5,8,11,11,12",QR32,GRAND_SLAM,WS,11,Qualification,LI Jiao (NED),YOO Eunchong (KOR),LI Jiao
GAC Group World Tour Japan Open Kobe 2015,2015-06-24,HU Melek,CHENG Hsien-Tzu,4,0,"11,11,11,11|9,4,5,7",QR32,GRAND_SLAM,WS,11,Qualification,CHENG Hsien-Tzu (TPE),HU Melek (TUR),HU Melek
GAC Group World Tour Japan Open Kobe 2015,2015-06-24,SHAN Xiaona,ZHOU Yihan,4,1,"11,12,11,7,11|6,10,7,11,6",QR32,GRAND_SLAM,WS,11,Qualification,SHAN Xiaona (GER),ZHOU Yihan (SGP),SHAN Xiaona
GAC Group World Tour Japan Open Kobe 2015,2015-06-24,TIE Yana,BOLLMEIER Nadine,4,0,"12,11,12,11|10,6,10,3",QR32,GRAND_SLAM,WS,11,Qualification,BOLLMEIER Nadine (GER),TIE Yana (HKG),TIE Yana
GAC Group World Tour Japan Open Kobe 2015,2015-06-24,IVANCAN Irene,WANG Yi-Ju,4,1,"3,12,11,11,11|11,10,4,4,7",QR32,GRAND_SLAM,WS,11,Qualification,IVANCAN Irene (GER),WANG Yi-Ju (TPE),IVANCAN Irene
GAC Group World Tour Japan Open Kobe 2015,2015-06-24,JIANG Huajun,SZOCS Bernadette,4,2,"9,12,11,11,6,11|11,10,6,5,11,7",QR32,GRAND_SLAM,WS,11,Qualification,SZOCS Bernadette (ROU),JIANG Huajun (HKG),JIANG Huajun
GAC Group World Tour Japan Open Kobe 2015,2015-06-24,CHENG I-Ching,CHOI Jeongmin,4,0,"11,11,11,11|5,9,5,4",QR32,GRAND_SLAM,WS,11,Qualification,CHENG I-Ching (TPE),CHOI Jeongmin (KOR),CHENG I-Ching
GAC Group World Tour Japan Open Kobe 2015,2015-06-24,SATO Hitomi,HUANG Yi-Hua,4,1,"11,11,9,11,11|7,2,11,8,1",QR32,GRAND_SLAM,WS,11,Qualification,HUANG Yi-Hua (TPE),SATO Hitomi (JPN),SATO Hitomi
GAC Group World Tour Japan Open Kobe 2015,2015-06-24,MORIZONO Misaki,ZENG Jian,4,2,"11,5,14,11,12,11|8,11,16,7,10,9",QR32,GRAND_SLAM,WS,11,Qualification,MORIZONO Misaki (JPN),ZENG Jian (SGP),MORIZONO Misaki
GAC Group World Tour Japan Open Kobe 2015,2015-06-24,LEE Ho Ching,MORI Sakura,4,1,"12,10,12,11,12|10,12,10,5,10",QR32,GRAND_SLAM,WS,11,Qualification,MORI Sakura (JPN),LEE Ho Ching (HKG),LEE Ho Ching
GAC Group World Tour Japan Open Kobe 2015,2015-06-24,HIRANO Miu,LEE Seul,4,0,"11,11,11,11|5,3,1,3",QR32,GRAND_SLAM,WS,11,Qualification,HIRANO Miu (JPN),LEE Seul (KOR),HIRANO Miu
GAC Group World Tour Japan Open Kobe 2015,2015-06-24,CHEN Szu-Yu,NIWA Misato,4,0,"11,11,11,11|4,7,9,9",QR32,GRAND_SLAM,WS,11,Qualification,NIWA Misato (JPN),CHEN Szu-Yu (TPE),CHEN Szu-Yu
GAC Group World Tour Japan Open Kobe 2015,2015-06-24,LIN Ye,YU Sora,4,0,"12,11,11,11|10,5,8,6",QR32,GRAND_SLAM,WS,11,Qualification,LIN Ye (CAN),YU Sora (KOR),LIN Ye
GAC Group World Tour Japan Open Kobe 2015,2015-06-24,JEON Jihee,MIKHAILOVA Polina,4,2,"8,11,6,11,11,11|11,6,11,8,4,6",QR32,GRAND_SLAM,WS,11,Qualification,MIKHAILOVA Polina (RUS),JEON Jihee (KOR),JEON Jihee
GAC Group World Tour Japan Open Kobe 2015,2015-06-24,SODERLUND Hampus,IZUMO Takuto,3,1,"11,11,9,11|9,7,11,7",QR32,GRAND_SLAM,U21MS,11,Qualification,IZUMO Takuto (JPN),SODERLUND Hampus (SWE),SODERLUND Hampus
GAC Group World Tour Japan Open Kobe 2015,2015-06-24,MATSUYAMA Yuki,YANG Tzu-Yi,3,1,"8,13,11,11|11,11,9,2",QR32,GRAND_SLAM,U21MS,11,Qualification,YANG Tzu-Yi (TPE),MATSUYAMA Yuki (JPN),MATSUYAMA Yuki
GAC Group World Tour Japan Open Kobe 2015,2015-06-24,ANGLES Enzo,SUN Chia-Hung,3,1,"6,11,11,13|11,8,8,11",QR32,GRAND_SLAM,U21MS,11,Qualification,SUN Chia-Hung (TPE),ANGLES Enzo (FRA),ANGLES Enzo
GAC Group World Tour Japan Open Kobe 2015,2015-06-24,KALLBERG Anton,PARK Jeongwoo,3,1,"9,11,11,11|11,9,9,5",QR32,GRAND_SLAM,U21MS,11,Qualification,KALLBERG Anton (SWE),PARK Jeongwoo (KOR),KALLBERG Anton
GAC Group World Tour Japan Open Kobe 2015,2015-06-24,OGATA Ryotaro,WEN Wei-Chieh,3,0,"11,11,11|6,6,7",QR32,GRAND_SLAM,U21MS,11,Qualification,WEN Wei-Chieh (TPE),OGATA Ryotaro (JPN),OGATA Ryotaro
GAC Group World Tour Japan Open Kobe 2015,2015-06-24,LEE Chia-Sheng,TANAKA Yuta,3,0,"11,11,11|5,7,8",QR32,GRAND_SLAM,U21MS,11,Qualification,LEE Chia-Sheng (TPE),TANAKA Yuta (JPN),LEE Chia-Sheng
GAC Group World Tour Japan Open Kobe 2015,2015-06-24,RANEFUR Elias,YANG Heng-Wei,3,1,"11,11,5,11|8,7,11,8",QR32,GRAND_SLAM,U21MS,11,Qualification,RANEFUR Elias (SWE),YANG Heng-Wei (TPE),RANEFUR Elias
GAC Group World Tour Japan Open Kobe 2015,2015-06-24,LIAO Cheng-Ting,HARIMOTO Tomokazu,3,1,"11,11,8,11|7,6,11,8",QR32,GRAND_SLAM,U21MS,11,Qualification,LIAO Cheng-Ting (TPE),HARIMOTO Tomokazu (JPN),LIAO Cheng-Ting
GAC Group World Tour Japan Open Kobe 2015,2015-06-24,KIZUKURI Yuto,PENG Wang-Wei,3,1,"12,11,6,11|10,9,11,6",QR32,GRAND_SLAM,U21MS,11,Qualification,PENG Wang-Wei (TPE),KIZUKURI Yuto (JPN),KIZUKURI Yuto
GAC Group World Tour Japan Open Kobe 2015,2015-06-24,SAKANE Shodai,WALKER Samuel,3,2,"11,11,3,8,11|7,3,11,11,7",QR32,GRAND_SLAM,U21MS,11,Qualification,WALKER Samuel (ENG),SAKANE Shodai (JPN),SAKANE Shodai
GAC Group World Tour Japan Open Kobe 2015,2015-06-24,HUNG Tzu-Hsiang,KANAMITSU Koyo,3,0,"11,11,11|9,1,5",QR32,GRAND_SLAM,U21MS,11,Qualification,KANAMITSU Koyo (JPN),HUNG Tzu-Hsiang (TPE),HUNG Tzu-Hsiang
GAC Group World Tour Japan Open Kobe 2015,2015-06-24,OIKAWA Mizuki,WANG Tai-Wei,3,0,"11,11,11|8,9,6",QR32,GRAND_SLAM,U21MS,11,Qualification,OIKAWA Mizuki (JPN),WANG Tai-Wei (TPE),OIKAWA Mizuki
GAC Group World Tour Japan Open Kobe 2015,2015-06-24,RYUZAKI Tonin,HUANG Chien-Tu,3,1,"12,9,11,11|10,11,6,3",QR32,GRAND_SLAM,U21MS,11,Qualification,HUANG Chien-Tu (TPE),RYUZAKI Tonin (JPN),RYUZAKI Tonin
GAC Group World Tour Japan Open Kobe 2015,2015-06-24,CHEW Clarence,KAYAMA Yu,3,1,"6,11,11,11|11,8,5,8",QR32,GRAND_SLAM,U21MS,11,Qualification,CHEW Clarence (SGP),KAYAMA Yu (JPN),CHEW Clarence
GAC Group World Tour Japan Open Kobe 2015,2015-06-24,BROSSIER Benjamin,UDA Yukiya,3,1,"11,9,11,11|5,11,9,9",QR32,GRAND_SLAM,U21MS,11,Qualification,UDA Yukiya (JPN),BROSSIER Benjamin (FRA),BROSSIER Benjamin
GAC Group World Tour Japan Open Kobe 2015,2015-06-24,KANG Dongsoo,SODERLUND Hampus,3,1,"11,9,11,12|9,11,4,10",QR16,GRAND_SLAM,U21MS,11,Qualification,KANG Dongsoo (KOR),SODERLUND Hampus (SWE),KANG Dongsoo
GAC Group World Tour Japan Open Kobe 2015,2015-06-24,ANGLES Enzo,MATSUYAMA Yuki,3,0,"11,11,11|8,8,5",QR16,GRAND_SLAM,U21MS,11,Qualification,MATSUYAMA Yuki (JPN),ANGLES Enzo (FRA),ANGLES Enzo
GAC Group World Tour Japan Open Kobe 2015,2015-06-24,KALLBERG Anton,OGATA Ryotaro,3,2,"11,7,6,11,11|9,11,11,6,5",QR16,GRAND_SLAM,U21MS,11,Qualification,KALLBERG Anton (SWE),OGATA Ryotaro (JPN),KALLBERG Anton
GAC Group World Tour Japan Open Kobe 2015,2015-06-24,RANEFUR Elias,LEE Chia-Sheng,3,1,"11,11,8,12|4,3,11,10",QR16,GRAND_SLAM,U21MS,11,Qualification,LEE Chia-Sheng (TPE),RANEFUR Elias (SWE),RANEFUR Elias
GAC Group World Tour Japan Open Kobe 2015,2015-06-24,LIAO Cheng-Ting,KIZUKURI Yuto,3,1,"4,12,11,11|11,10,7,5",QR16,GRAND_SLAM,U21MS,11,Qualification,LIAO Cheng-Ting (TPE),KIZUKURI Yuto (JPN),LIAO Cheng-Ting
GAC Group World Tour Japan Open Kobe 2015,2015-06-24,SAKANE Shodai,HUNG Tzu-Hsiang,3,2,"11,11,7,6,11|8,9,11,11,7",QR16,GRAND_SLAM,U21MS,11,Qualification,SAKANE Shodai (JPN),HUNG Tzu-Hsiang (TPE),SAKANE Shodai
GAC Group World Tour Japan Open Kobe 2015,2015-06-24,OIKAWA Mizuki,RYUZAKI Tonin,3,1,"11,11,6,11|6,6,11,9",QR16,GRAND_SLAM,U21MS,11,Qualification,OIKAWA Mizuki (JPN),RYUZAKI Tonin (JPN),OIKAWA Mizuki
GAC Group World Tour Japan Open Kobe 2015,2015-06-24,CHEW Clarence,BROSSIER Benjamin,3,2,"7,4,11,11,11|11,11,7,9,8",QR16,GRAND_SLAM,U21MS,11,Qualification,CHEW Clarence (SGP),BROSSIER Benjamin (FRA),CHEW Clarence
GAC Group World Tour Japan Open Kobe 2015,2015-06-24,BABA Mayu,LEE Zion,3,1,"11,10,11,11|9,12,9,9",QR32,GRAND_SLAM,U21WS,11,Qualification,LEE Zion (KOR),BABA Mayu (JPN),BABA Mayu
GAC Group World Tour Japan Open Kobe 2015,2015-06-24,LEE Yu-Peng,KIMURA Kasumi,3,0,"11,11,16|9,7,14",QR32,GRAND_SLAM,U21WS,11,Qualification,KIMURA Kasumi (JPN),LEE Yu-Peng (TPE),LEE Yu-Peng
GAC Group World Tour Japan Open Kobe 2015,2015-06-24,HUANG Yu-Chiao,SHIOMI Maki,3,0,"13,11,11|11,8,6",QR32,GRAND_SLAM,U21WS,11,Qualification,HUANG Yu-Chiao (TPE),SHIOMI Maki (JPN),HUANG Yu-Chiao
GAC Group World Tour Japan Open Kobe 2015,2015-06-24,LEE Dasom,SHOJI Yuki,3,0,"12,11,13|10,3,11",QR32,GRAND_SLAM,U21WS,11,Qualification,LEE Dasom (KOR),SHOJI Yuki (JPN),LEE Dasom
GAC Group World Tour Japan Open Kobe 2015,2015-06-24,LAM Yee Lok,MINAGAWA Yuka,3,0,"12,12,11|10,10,5",QR32,GRAND_SLAM,U21WS,11,Qualification,MINAGAWA Yuka (JPN),LAM Yee Lok (HKG),LAM Yee Lok
GAC Group World Tour Japan Open Kobe 2015,2015-06-24,YAMAMOTO Rei,WANG Yi-Ju,3,1,"9,15,14,11|11,13,12,4",QR32,GRAND_SLAM,U21WS,11,Qualification,YAMAMOTO Rei (JPN),WANG Yi-Ju (TPE),YAMAMOTO Rei
GAC Group World Tour Japan Open Kobe 2015,2015-06-24,MATSUDAIRA Shiho,LEE Seul,3,0,"11,11,11|7,9,8",QR16,GRAND_SLAM,U21WS,11,Qualification,MATSUDAIRA Shiho (JPN),LEE Seul (KOR),MATSUDAIRA Shiho
GAC Group World Tour Japan Open Kobe 2015,2015-06-24,CHOI Jeongmin,NAGASAKI Miyu,3,0,"11,11,11|5,3,6",QR16,GRAND_SLAM,U21WS,11,Qualification,NAGASAKI Miyu (JPN),CHOI Jeongmin (KOR),CHOI Jeongmin
GAC Group World Tour Japan Open Kobe 2015,2015-06-24,LEE Yu-Peng,BABA Mayu,3,0,"11,11,12|8,5,10",QR16,GRAND_SLAM,U21WS,11,Qualification,BABA Mayu (JPN),LEE Yu-Peng (TPE),LEE Yu-Peng
GAC Group World Tour Japan Open Kobe 2015,2015-06-24,MORI Sakura,HUANG Yu-Chiao,3,2,"7,11,8,11,12|11,8,11,8,10",QR16,GRAND_SLAM,U21WS,11,Qualification,HUANG Yu-Chiao (TPE),MORI Sakura (JPN),MORI Sakura
GAC Group World Tour Japan Open Kobe 2015,2015-06-24,ZHU Chengzhu,SHIBATA Saki,3,2,"6,11,16,11,11|11,9,18,6,7",QR16,GRAND_SLAM,U21WS,11,Qualification,SHIBATA Saki (JPN),ZHU Chengzhu (HKG),ZHU Chengzhu
GAC Group World Tour Japan Open Kobe 2015,2015-06-24,LEE Dasom,LAM Yee Lok,3,1,"11,9,11,11|6,11,5,3",QR16,GRAND_SLAM,U21WS,11,Qualification,LEE Dasom (KOR),LAM Yee Lok (HKG),LEE Dasom
GAC Group World Tour Japan Open Kobe 2015,2015-06-24,ZENG Jian,YAMAMOTO Rei,3,1,"9,11,11,11|11,4,6,6",QR16,GRAND_SLAM,U21WS,11,Qualification,YAMAMOTO Rei (JPN),ZENG Jian (SGP),ZENG Jian
GAC Group World Tour Japan Open Kobe 2015,2015-06-24,DING Ning,HIRANO Miu,4,0,"11,11,11,11|5,5,6,5",R32,GRAND_SLAM,WS,11,Main Draw,DING Ning (CHN),HIRANO Miu (JPN),DING Ning
GAC Group World Tour Japan Open Kobe 2015,2015-06-24,ITO Mima,LIU Fei,4,2,"7,11,11,11,4,14|11,9,7,9,11,12",R32,GRAND_SLAM,WS,11,Main Draw,LIU Fei (CHN),ITO Mima (JPN),ITO Mima
GAC Group World Tour Japan Open Kobe 2015,2015-06-24,LI Jiao,ISHIGAKI Yuka,4,2,"10,7,11,11,11,11|12,11,9,8,6,7",R32,GRAND_SLAM,WS,11,Main Draw,ISHIGAKI Yuka (JPN),LI Jiao (NED),LI Jiao
GAC Group World Tour Japan Open Kobe 2015,2015-06-24,ISHIKAWA Kasumi,LIN Ye,4,3,"7,11,6,5,11,11,11|11,5,11,11,6,8,8",R32,GRAND_SLAM,WS,11,Main Draw,LIN Ye (CAN),ISHIKAWA Kasumi (JPN),ISHIKAWA Kasumi
GAC Group World Tour Japan Open Kobe 2015,2015-06-24,CHEN Meng,CHENG I-Ching,4,0,"11,11,11,11|8,5,3,2",R32,GRAND_SLAM,WS,11,Main Draw,CHEN Meng (CHN),CHENG I-Ching (TPE),CHEN Meng
GAC Group World Tour Japan Open Kobe 2015,2015-06-24,SHAN Xiaona,YANG Ha Eun,4,2,"11,4,11,11,8,11|8,11,7,7,11,8",R32,GRAND_SLAM,WS,11,Main Draw,SHAN Xiaona (GER),YANG Ha Eun (KOR),SHAN Xiaona
GAC Group World Tour Japan Open Kobe 2015,2015-06-24,JEON Jihee,HIRANO Sayaka,4,0,"13,11,11,11|11,8,6,3",R32,GRAND_SLAM,WS,11,Main Draw,HIRANO Sayaka (JPN),JEON Jihee (KOR),JEON Jihee
GAC Group World Tour Japan Open Kobe 2015,2015-06-24,WAKAMIYA Misako,FENG Tianwei,4,3,"11,11,11,8,4,7,11|7,7,9,11,11,11,9",R32,GRAND_SLAM,WS,11,Main Draw,WAKAMIYA Misako (JPN),FENG Tianwei (SGP),WAKAMIYA Misako
GAC Group World Tour Japan Open Kobe 2015,2015-06-24,ZHU Yuling,TIE Yana,4,0,"12,11,11,11|10,6,4,1",R32,GRAND_SLAM,WS,11,Main Draw,ZHU Yuling (MAC),TIE Yana (HKG),ZHU Yuling
GAC Group World Tour Japan Open Kobe 2015,2015-06-24,DOO Hoi Kem,MORIZONO Misaki,4,1,"9,11,11,11,11|11,8,4,4,2",R32,GRAND_SLAM,WS,11,Main Draw,MORIZONO Misaki (JPN),DOO Hoi Kem (HKG),DOO Hoi Kem
GAC Group World Tour Japan Open Kobe 2015,2015-06-24,SUH Hyo Won,SATO Hitomi,4,2,"11,11,11,6,12,13|13,9,6,11,10,11",R32,GRAND_SLAM,WS,11,Main Draw,SUH Hyo Won (KOR),SATO Hitomi (JPN),SUH Hyo Won
GAC Group World Tour Japan Open Kobe 2015,2015-06-24,FUKUHARA Ai,CHEN Szu-Yu,4,1,"11,11,9,11,11|7,4,11,7,8",R32,GRAND_SLAM,WS,11,Main Draw,CHEN Szu-Yu (TPE),FUKUHARA Ai (JPN),FUKUHARA Ai
GAC Group World Tour Japan Open Kobe 2015,2015-06-24,WU Yang,HU Melek,4,0,"11,12,11,11|9,10,2,7",R32,GRAND_SLAM,WS,11,Main Draw,WU Yang (CHN),HU Melek (TUR),WU Yang
GAC Group World Tour Japan Open Kobe 2015,2015-06-24,LEE Ho Ching,SAMARA Elizabeta,4,0,"11,11,11,11|9,9,9,5",R32,GRAND_SLAM,WS,11,Main Draw,LEE Ho Ching (HKG),SAMARA Elizabeta (ROU),LEE Ho Ching
GAC Group World Tour Japan Open Kobe 2015,2015-06-24,JIANG Huajun,YU Mengyu,4,0,"12,11,11,11|10,9,7,5",R32,GRAND_SLAM,WS,11,Main Draw,YU Mengyu (SGP),JIANG Huajun (HKG),JIANG Huajun
GAC Group World Tour Japan Open Kobe 2015,2015-06-24,LIU Shiwen,IVANCAN Irene,4,0,"11,11,11,11|9,6,8,3",R32,GRAND_SLAM,WS,11,Main Draw,IVANCAN Irene (GER),LIU Shiwen (CHN),LIU Shiwen
GAC Group World Tour Japan Open Kobe 2015,2015-06-24,DING Ning,ITO Mima,4,1,"11,11,11,11,11|6,3,5,13,8",R16,GRAND_SLAM,WS,11,Main Draw,DING Ning (CHN),ITO Mima (JPN),DING Ning
GAC Group World Tour Japan Open Kobe 2015,2015-06-24,ISHIKAWA Kasumi,LI Jiao,4,0,"12,11,12,11|10,5,10,2",R16,GRAND_SLAM,WS,11,Main Draw,LI Jiao (NED),ISHIKAWA Kasumi (JPN),ISHIKAWA Kasumi
GAC Group World Tour Japan Open Kobe 2015,2015-06-24,CHEN Meng,SHAN Xiaona,4,2,"5,7,11,11,11,11|11,11,9,8,5,9",R16,GRAND_SLAM,WS,11,Main Draw,CHEN Meng (CHN),SHAN Xiaona (GER),CHEN Meng
GAC Group World Tour Japan Open Kobe 2015,2015-06-24,WAKAMIYA Misako,JEON Jihee,4,2,"5,5,11,11,11,11|11,11,8,7,3,8",R16,GRAND_SLAM,WS,11,Main Draw,JEON Jihee (KOR),WAKAMIYA Misako (JPN),WAKAMIYA Misako
GAC Group World Tour Japan Open Kobe 2015,2015-06-24,ZHU Yuling,DOO Hoi Kem,4,0,"11,11,11,12|2,7,8,10",R16,GRAND_SLAM,WS,11,Main Draw,ZHU Yuling (MAC),DOO Hoi Kem (HKG),ZHU Yuling
GAC Group World Tour Japan Open Kobe 2015,2015-06-24,SUH Hyo Won,FUKUHARA Ai,4,2,"9,11,9,11,11,11|11,9,11,5,7,5",R16,GRAND_SLAM,WS,11,Main Draw,SUH Hyo Won (KOR),FUKUHARA Ai (JPN),SUH Hyo Won
GAC Group World Tour Japan Open Kobe 2015,2015-06-24,WU Yang,LEE Ho Ching,4,0,"11,11,11,12|3,5,5,10",R16,GRAND_SLAM,WS,11,Main Draw,WU Yang (CHN),LEE Ho Ching (HKG),WU Yang
GAC Group World Tour Japan Open Kobe 2015,2015-06-24,LIU Shiwen,JIANG Huajun,4,1,"5,12,11,11,11|11,10,9,6,9",R16,GRAND_SLAM,WS,11,Main Draw,JIANG Huajun (HKG),LIU Shiwen (CHN),LIU Shiwen
