tournament,date,player_a,player_b,score_a,score_b,game_scores,round,tier
2025/26 ETTU Champions League,2025-11-11,FREITAS Marcos,SIRUCEK Pavel,3,0,"11,11,11|7,9,5",R16,EURO_LEAGUE
2025/26 ETTU Champions League,2025-11-11,FREITAS Marcos,URSU Vladislav,3,0,"14,11,13|12,8,11",R16,EURO_LEAGUE
2025/26 ETTU Champions League,2025-11-11,MENGEL Steffen,URSU Vladislav,3,1,"11,11,6,11|7,8,11,5",R16,EURO_LEAGUE
2025/26 ETTU Champions League,2025-11-11,VRABLIK Jiri,IONESCU Ovidiu,3,1,"12,7,11,11|10,11,7,8",R16,EURO_LEAGUE
2025/26 ETTU Champions League,2025-11-14,CHOJNOWSKI Patryk,JORGIC Darko,3,2,"11,5,11,5,6|7,11,6,11,4",R16,EURO_LEAGUE
2025/26 ETTU Champions League,2025-11-14,CHOJNOWSKI Patryk,FRANZISKA Patrick,3,2,"5,4,13,11,6|11,11,11,9,3",R16,EURO_LEAGUE
2025/26 ETTU Champions League,2025-11-14,FRANZISKA Patrick,CHODORSKI Piotr,3,0,"11,11,11|7,7,8",R16,EURO_LEAGUE
2025/26 ETTU Champions League,2025-11-14,JHA Kanak,MACHADO Carlos,3,0,"11,11,11|3,7,4",R16,EURO_LEAGUE
2025/26 ETTU Champions League,2025-11-14,JORGIC Darko,CHODORSKI Piotr,3,1,"11,9,11,11|5,11,5,7",R16,EURO_LEAGUE
2025/26 ETTU Champions League,2025-11-14,KALLBERG Anton,SODERLUND Hampus,3,1,,R16,EURO_LEAGUE
2025/26 ETTU Champions League,2025-11-14,KATSMAN Lev,HIPPLER Tobias,3,0,"11,11,11|5,6,8",R16,EURO_LEAGUE
2025/26 ETTU Champions League,2025-11-14,MURAMATSU Yuto,MICHALSKI Piotr,3,0,"11,11,11|6,5,5",R16,EURO_LEAGUE
2025/26 ETTU Champions League,2025-11-14,QIU Dang,CHEN Diogo,3,0,"11,11,11|9,5,5",R16,EURO_LEAGUE
2025/26 ETTU Champions League,2025-11-14,SHINOZUKA Hiroto,GAUZY Simon,3,1,"11,13,12,11|5,15,10,9",R16,EURO_LEAGUE
2025/26 ETTU Champions League,2025-11-14,SIDORENKO Vladimir,APOLONIA Tiago,3,1,"11,15,5,11|4,13,11,6",R16,EURO_LEAGUE
2025/26 ETTU Champions League,2025-11-14,SIDORENKO Vladimir,SHINOZUKA Hiroto,3,1,"11,10,11,14|7,12,8,12",R16,EURO_LEAGUE
2025/26 ETTU Champions League,2025-12-18,HAUG Borgar,CARVALHO Diogo,3,1,"7,11,12,11|11,7,10,9",R16,EURO_LEAGUE
2025/26 ETTU Champions League,2025-12-18,JHA Kanak,MACHADO Carlos,3,0,"11,11,11|8,4,4",R16,EURO_LEAGUE
2025/26 ETTU Champions League,2025-12-18,KALLBERG Anton,CARVALHO Diogo,3,1,"11,11,5,11|4,6,11,7",R16,EURO_LEAGUE
2025/26 ETTU Champions League,2025-12-18,TAO Yuchang,LI Yongyin,3,1,"6,11,11,11|11,6,8,7",R16,EURO_LEAGUE
2025/26 ETTU Champions League,2025-12-18,TAO Yuchang,KALLBERG Anton,3,2,"10,11,8,11,6|12,6,11,9,2",R16,EURO_LEAGUE
2025/26 ETTU Champions League,2025-12-19,FAN Zhendong,CHODORSKI Piotr,3,0,"11,11,11|1,5,5",R16,EURO_LEAGUE
2025/26 ETTU Champions League,2025-12-19,FRANZISKA Patrick,SONE Kakeru,3,0,"11,11,11|9,8,7",R16,EURO_LEAGUE
2025/26 ETTU Champions League,2025-12-19,FREITAS Marcos,SIRUCEK Pavel,3,0,"11,11,11|3,7,7",R16,EURO_LEAGUE
2025/26 ETTU Champions League,2025-12-19,IONESCU Ovidiu,KOBLIZEK Martin,3,1,"11,11,9,11|7,7,11,7",R16,EURO_LEAGUE
2025/26 ETTU Champions League,2025-12-19,JORGIC Darko,CHOJNOWSKI Patryk,3,0,"11,11,11|3,5,4",R16,EURO_LEAGUE
2025/26 ETTU Champions League,2025-12-19,MENGEL Steffen,VRABLIK Jiri,3,0,"11,11,11|7,9,6",R16,EURO_LEAGUE
2025/26 ETTU Champions League,2025-12-19,URSU Vladislav,IONESCU Ovidiu,3,2,"12,5,11,11,6|10,11,13,8,2",R16,EURO_LEAGUE
2025/26 ETTU Champions League,2025-12-19,URSU Vladislav,FREITAS Marcos,3,0,"11,11,11|7,8,7",R16,EURO_LEAGUE
2025/26 ETTU Champions League,2025-12-21,GAUZY Simon,APOLONIA Tiago,3,0,"11,13,11|9,11,5",R16,EURO_LEAGUE
2025/26 ETTU Champions League,2025-12-21,SIDORENKO Vladimir,HIPPLER Tobias,3,1,"9,11,11,15|11,8,6,13",R16,EURO_LEAGUE
2025/26 ETTU Champions League,2025-12-21,WEN Ruibo,SHINOZUKA Hiroto,3,1,"11,11,11,11|6,7,13,9",R16,EURO_LEAGUE
2025/26 ETTU Champions League,2026-01-14,JHA Kanak,LIN Gaoyuan,3,2,"11,11,9,7,6|9,8,11,11,2",QF,EURO_LEAGUE
2025/26 ETTU Champions League,2026-01-14,KALLBERG Anton,FREITAS Marcos,3,0,"13,11,15|11,7,13",QF,EURO_LEAGUE
2025/26 ETTU Champions League,2026-01-14,QIU Dang,MENGEL Steffen,3,2,"11,11,9,8,6|9,5,11,11,2",QF,EURO_LEAGUE
2025/26 ETTU Champions League,2026-01-18,FAN Zhendong,GAUZY Simon,3,2,"4,11,7,16,6|11,5,11,14,2",QF,EURO_LEAGUE
2025/26 ETTU Champions League,2026-01-18,FRANZISKA Patrick,KATSMAN Lev,3,0,"11,11,13|8,8,11",QF,EURO_LEAGUE
2025/26 ETTU Champions League,2026-01-18,MOREGARD Truls,SIDORENKO Vladimir,3,1,"11,8,11,12|8,11,4,10",QF,EURO_LEAGUE
2025/26 ETTU Champions League,2026-02-13,GAUZY Simon,FAN Zhendong,3,2,"5,11,11,3,6|11,9,7,11,5",QF,EURO_LEAGUE
2025/26 ETTU Champions League,2026-02-13,JHA Kanak,IONESCU Ovidiu,3,1,"10,11,11,11|12,4,7,7",QF,EURO_LEAGUE
2025/26 ETTU Champions League,2026-02-13,JORGIC Darko,SIDORENKO Vladimir,3,1,"11,12,7,11|7,10,11,8",QF,EURO_LEAGUE
2025/26 ETTU Champions League,2026-02-13,KALLBERG Anton,MULLER Nico,3,0,"11,11,11|7,4,7",QF,EURO_LEAGUE
2025/26 ETTU Champions League,2026-02-13,MOREGARD Truls,GAUZY Simon,3,1,"11,11,11,11|8,13,8,4",QF,EURO_LEAGUE
2025/26 ETTU Champions League,2026-02-13,MOREGARD Truls,KATSMAN Lev,3,1,"11,12,10,11|6,10,12,6",QF,EURO_LEAGUE
2025/26 ETTU Champions League,2026-02-13,WEN Ruibo,FAN Zhendong,3,2,"9,6,11,12,6|11,11,8,10,1",QF,EURO_LEAGUE
2025/26 ETTU Champions League,2026-05-16,FAN Zhendong,REDZIMSKI Milosz,3,0,"11,11,11|6,6,4",SF,EURO_LEAGUE
2025/26 ETTU Champions League,2026-05-16,FRANZISKA Patrick,BADOWSKI Marek,3,0,"11,11,11|8,5,7",SF,EURO_LEAGUE
2025/26 ETTU Champions League,2026-05-16,JHA Kanak,THAKKAR Manav,3,1,"11,12,8,11|9,10,11,9",SF,EURO_LEAGUE
2025/26 ETTU Champions League,2026-05-16,LEBRUN Alexis,QIU Dang,3,0,"11,11,11|5,8,8",SF,EURO_LEAGUE
2025/26 ETTU Champions League,2026-05-16,LEBRUN Felix,KALLBERG Anton,3,0,"11,16,11|9,14,8",SF,EURO_LEAGUE
2025/26 ETTU Champions League,2026-05-16,LEBRUN Felix,QIU Dang,3,1,"16,9,11,11|14,11,5,8",SF,EURO_LEAGUE
2025/26 ETTU Champions League,2026-05-16,MOREGARD Truls,GIONIS Panagiotis,3,2,"11,3,14,10,6|8,11,12,12,4",SF,EURO_LEAGUE
