tournament,date,player_a,player_b,score_a,score_b,game_scores,round,tier,sub_event,event_id,stage,player_a_raw,player_b_raw,winner_raw
YOG Asia Continental Qualification Greater Noida 2017,2017-11-03,THAKKAR Manav,PANAGITGUN Yanapong,4,0,"11,11,11,11|5,9,5,2",,OTHER,JBS,861,Qualification,THAKKAR Manav (IND),PANAGITGUN Yanapong (THA),THAKKAR Manav
YOG Asia Continental Qualification Greater Noida 2017,2017-11-03,PANAGITGUN Yanapong,PATIRANALAGE Dishanka,4,0,"11,11,11,11|8,6,3,6",,OTHER,JBS,861,Qualification,PANAGITGUN Yanapong (THA),PATIRANALAGE Dishanka (SRI),PANAGITGUN Yanapong
YOG Asia Continental Qualification Greater Noida 2017,2017-11-03,AHMADIAN Amin,FAHES Ghaleb,4,1,"13,7,11,11,11|11,11,9,6,4",,OTHER,JBS,861,Qualification,AHMADIAN Amin (IRI),FAHES Ghaleb (LBN),AHMADIAN Amin
YOG Asia Continental Qualification Greater Noida 2017,2017-11-03,AHMADIAN Amin,NAYRE Jann Mari,4,2,"11,11,7,7,11,11|9,5,11,11,7,9",,OTHER,JBS,861,Qualification,AHMADIAN Amin (IRI),NAYRE Jann Mari (PHI),AHMADIAN Amin
YOG Asia Continental Qualification Greater Noida 2017,2017-11-03,NAYRE Jann Mari,FAHES Ghaleb,4,1,"11,14,11,12,11|6,12,8,14,7",,OTHER,JBS,861,Qualification,NAYRE Jann Mari (PHI),FAHES Ghaleb (LBN),NAYRE Jann Mari
YOG Asia Continental Qualification Greater Noida 2017,2017-11-03,HIRANO Miu,ZHANG Wanling,4,1,"11,11,11,6,11|7,8,8,11,5",,OTHER,JGS,861,Qualification,HIRANO Miu (JPN),ZHANG Wanling (SGP),HIRANO Miu
YOG Asia Continental Qualification Greater Noida 2017,2017-11-03,AKASHEVA Zauresh,ALKHOURY Tina,4,0,"11,11,11,11|2,4,6,6",,OTHER,JGS,861,Qualification,AKASHEVA Zauresh (KAZ),ALKHOURY Tina (JOR),AKASHEVA Zauresh
YOG Asia Continental Qualification Greater Noida 2017,2017-11-03,HIRANO Miu,ALKHOURY Tina,4,0,"11,11,11,11|3,3,3,6",,OTHER,JGS,861,Qualification,HIRANO Miu (JPN),ALKHOURY Tina (JOR),HIRANO Miu
YOG Asia Continental Qualification Greater Noida 2017,2017-11-03,AKASHEVA Zauresh,ZHANG Wanling,4,2,"11,11,8,11,4,11|5,6,11,3,11,5",,OTHER,JGS,861,Qualification,AKASHEVA Zauresh (KAZ),ZHANG Wanling (SGP),AKASHEVA Zauresh
YOG Asia Continental Qualification Greater Noida 2017,2017-11-03,HIRANO Miu,AKASHEVA Zauresh,4,0,"11,13,11,11|6,11,8,9",,OTHER,JGS,861,Qualification,HIRANO Miu (JPN),AKASHEVA Zauresh (KAZ),HIRANO Miu
YOG Asia Continental Qualification Greater Noida 2017,2017-11-03,ZHANG Wanling,ALKHOURY Tina,4,0,"11,11,11,11|3,3,3,3",,OTHER,JGS,861,Qualification,ZHANG Wanling (SGP),ALKHOURY Tina (JOR),ZHANG Wanling
YOG Asia Continental Qualification Greater Noida 2017,2017-11-03,SUN Yingsha,ASHTARI Mahshid,4,0,"11,11,11,11|2,6,1,6",,OTHER,JGS,861,Qualification,SUN Yingsha (CHN),ASHTARI Mahshid (IRI),SUN Yingsha
YOG Asia Continental Qualification Greater Noida 2017,2017-11-03,LYNE Karen,KAPUGEEKIYANA Hansani,4,0,"11,11,11,11|6,4,7,7",,OTHER,JGS,861,Qualification,LYNE Karen (MAS),KAPUGEEKIYANA Hansani (SRI),LYNE Karen
YOG Asia Continental Qualification Greater Noida 2017,2017-11-03,SUN Yingsha,KAPUGEEKIYANA Hansani,4,0,"11,11,11,11|5,7,4,7",,OTHER,JGS,861,Qualification,SUN Yingsha (CHN),KAPUGEEKIYANA Hansani (SRI),SUN Yingsha
YOG Asia Continental Qualification Greater Noida 2017,2017-11-03,LYNE Karen,ASHTARI Mahshid,4,2,"9,11,11,11,10,11|11,7,4,9,12,9",,OTHER,JGS,861,Qualification,LYNE Karen (MAS),ASHTARI Mahshid (IRI),LYNE Karen
YOG Asia Continental Qualification Greater Noida 2017,2017-11-03,SUN Yingsha,LYNE Karen,4,0,"11,11,11,11|5,5,3,7",,OTHER,JGS,861,Qualification,SUN Yingsha (CHN),LYNE Karen (MAS),SUN Yingsha
YOG Asia Continental Qualification Greater Noida 2017,2017-11-03,ASHTARI Mahshid,KAPUGEEKIYANA Hansani,4,1,"11,9,11,11,11|6,11,0,7,9",,OTHER,JGS,861,Qualification,ASHTARI Mahshid (IRI),KAPUGEEKIYANA Hansani (SRI),ASHTARI Mahshid
YOG Asia Continental Qualification Greater Noida 2017,2017-11-03,SAWETTABUT Jinnipa,LEE Daeun,4,2,"10,11,11,11,9,13|12,9,8,8,11,11",,OTHER,JGS,861,Qualification,SAWETTABUT Jinnipa (THA),LEE Daeun (KOR),SAWETTABUT Jinnipa
