tournament,date,player_a,player_b,score_a,score_b,game_scores,round,tier,sub_event,event_id,stage,player_a_raw,player_b_raw,winner_raw
ITTF World Tour Platinum Japan Open Sapporo 2019,2019-06-12,CHIU Ssu-Hua,SHIOMI Maki,4,2,"9,11,11,11,7,11|11,6,7,2,11,7",QR64,GRAND_SLAM,WS,2021,Qualification,CHIU Ssu-Hua (TPE),SHIOMI Maki (JPN),CHIU Ssu-Hua
ITTF World Tour Platinum Japan Open Sapporo 2019,2019-06-12,YANG Ha Eun,PARK Joohyun,4,0,"14,11,11,15|12,6,6,13",QR64,GRAND_SLAM,WS,2021,Qualification,PARK Joohyun (KOR),YANG Ha Eun (KOR),YANG Ha Eun
ITTF World Tour Platinum Japan Open Sapporo 2019,2019-06-12,BATRA Manika,LEE Zion,4,3,"11,6,11,7,11,8,11|9,11,3,11,8,11,8",QR64,GRAND_SLAM,WS,2021,Qualification,BATRA Manika (IND),LEE Zion (KOR),BATRA Manika
ITTF World Tour Platinum Japan Open Sapporo 2019,2019-06-12,HE Zhuojia,OJIO Haruna,4,3,"5,11,11,11,8,9,11|11,3,8,9,11,11,9",QR64,GRAND_SLAM,WS,2021,Qualification,OJIO Haruna (JPN),HE Zhuojia (CHN),HE Zhuojia
ITTF World Tour Platinum Japan Open Sapporo 2019,2019-06-12,NAGASAKI Miyu,SU Pei-Ling,4,1,"11,11,11,7,11|7,6,7,11,3",QR64,GRAND_SLAM,WS,2021,Qualification,SU Pei-Ling (TPE),NAGASAKI Miyu (JPN),NAGASAKI Miyu
ITTF World Tour Platinum Japan Open Sapporo 2019,2019-06-12,CHENG Hsien-Tzu,IDESAWA Kyoka,4,3,"6,9,11,11,13,8,12|11,11,5,6,11,11,10",QR64,GRAND_SLAM,WS,2021,Qualification,IDESAWA Kyoka (JPN),CHENG Hsien-Tzu (TPE),CHENG Hsien-Tzu
ITTF World Tour Platinum Japan Open Sapporo 2019,2019-06-12,LI Yu-Jhun,ZHANG Mo,4,2,"12,14,7,11,6,13|10,12,11,8,11,11",QR64,GRAND_SLAM,WS,2021,Qualification,ZHANG Mo (CAN),LI Yu-Jhun (TPE),LI Yu-Jhun
ITTF World Tour Platinum Japan Open Sapporo 2019,2019-06-12,KIHARA Miyuu,DIAZ Melanie,4,0,"11,11,11,11|9,3,5,1",QR64,GRAND_SLAM,WS,2021,Qualification,DIAZ Melanie (PUR),KIHARA Miyuu (JPN),KIHARA Miyuu
ITTF World Tour Platinum Japan Open Sapporo 2019,2019-06-12,PERGEL Szandra,LUPULESKU Izabela,4,1,"11,9,11,11,11|8,11,9,9,5",QR64,GRAND_SLAM,WS,2021,Qualification,PERGEL Szandra (HUN),LUPULESKU Izabela (SRB),PERGEL Szandra
ITTF World Tour Platinum Japan Open Sapporo 2019,2019-06-12,ZHU Chengzhu,LIN Ye,4,3,"5,14,4,11,11,11,11|11,16,11,9,8,6,4",QR64,GRAND_SLAM,WS,2021,Qualification,LIN Ye (CAN),ZHU Chengzhu (HKG),ZHU Chengzhu
ITTF World Tour Platinum Japan Open Sapporo 2019,2019-06-12,HARIMOTO Tomokazu/HAYATA Hina,GONZALEZ Daniel/DIAZ Melanie,3,0,"11,11,11|8,7,9",QR16,GRAND_SLAM,XD,2021,Qualification,HARIMOTO Tomokazu (JPN) / HAYATA Hina (JPN),GONZALEZ Daniel (PUR) / DIAZ Melanie (PUR),HARIMOTO Tomokazu
ITTF World Tour Platinum Japan Open Sapporo 2019,2019-06-12,BADOWSKI Marek/BAJOR Natalia,APOLONIA Tiago/SHAO Jieni,3,1,"8,11,11,11|11,5,9,6",QR16,GRAND_SLAM,XD,2021,Qualification,BADOWSKI Marek (POL) / BAJOR Natalia (POL),APOLONIA Tiago (POR) / SHAO Jieni (POR),BADOWSKI Marek
ITTF World Tour Platinum Japan Open Sapporo 2019,2019-06-12,PENG Wang-Wei/LIU Hsing-Yin,ASSAR Omar/MESHREF Dina,3,0,"13,12,11|11,10,8",QR16,GRAND_SLAM,XD,2021,Qualification,PENG Wang-Wei (TPE) / LIU Hsing-Yin (TPE),ASSAR Omar (EGY) / MESHREF Dina (EGY),PENG Wang-Wei
ITTF World Tour Platinum Japan Open Sapporo 2019,2019-06-12,CHO Daeseong/SHIN Yubin,DYJAS Jakub/PARTYKA Natalia,3,0,"11,16,14|9,14,12",QR16,GRAND_SLAM,XD,2021,Qualification,CHO Daeseong (KOR) / SHIN Yubin (KOR),DYJAS Jakub (POL) / PARTYKA Natalia (POL),CHO Daeseong
ITTF World Tour Platinum Japan Open Sapporo 2019,2019-06-12,OJIO Haruna/SOMA Yumeno,LUPULESKU Izabela/SURJAN Sabina,3,2,"9,11,9,11,11|11,3,11,8,5",QR16,GRAND_SLAM,WD,2021,Qualification,OJIO Haruna (JPN) / SOMA Yumeno (JPN),LUPULESKU Izabela (SRB) / SURJAN Sabina (SRB),OJIO Haruna
ITTF World Tour Platinum Japan Open Sapporo 2019,2019-06-12,KIM Byunghyeon/KIM Minhyeok,GIONIS Panagiotis/SGOUROPOULOS Ioannis,3,0,"11,11,11|7,6,9",QR16,GRAND_SLAM,MD,2021,Qualification,KIM Byunghyeon (KOR) / KIM Minhyeok (KOR),GIONIS Panagiotis (GRE) / SGOUROPOULOS Ioannis (GRE),KIM Byunghyeon
ITTF World Tour Platinum Japan Open Sapporo 2019,2019-06-12,AFANADOR Brian/GONZALEZ Daniel,KIM Daewoo/KIM Donghyun,3,0,"11,11,11|9,7,9",QR16,GRAND_SLAM,MD,2021,Qualification,AFANADOR Brian (PUR) / GONZALEZ Daniel (PUR),KIM Daewoo (KOR) / KIM Donghyun (KOR),AFANADOR Brian
ITTF World Tour Platinum Japan Open Sapporo 2019,2019-06-12,HAYATA Hina,ZENG Jian,4,1,"11,7,11,11,12|7,11,5,9,10",QR32,GRAND_SLAM,WS,2021,Qualification,ZENG Jian (SGP),HAYATA Hina (JPN),HAYATA Hina
ITTF World Tour Platinum Japan Open Sapporo 2019,2019-06-12,SUN Yingsha,SHAO Jieni,4,3,"11,11,5,7,11,9,11|2,1,11,11,6,11,4",QR32,GRAND_SLAM,WS,2021,Qualification,SUN Yingsha (CHN),SHAO Jieni (POR),SUN Yingsha
ITTF World Tour Platinum Japan Open Sapporo 2019,2019-06-12,LIU Fei,YU Mengyu,4,0,"11,11,11,11|1,2,6,4",QR32,GRAND_SLAM,WS,2021,Qualification,LIU Fei (CHN),YU Mengyu (SGP),LIU Fei
ITTF World Tour Platinum Japan Open Sapporo 2019,2019-06-12,GU Yuting,CHOI Hyojoo,4,0,"11,11,11,11|3,5,4,6",QR32,GRAND_SLAM,WS,2021,Qualification,GU Yuting (CHN),CHOI Hyojoo (KOR),GU Yuting
ITTF World Tour Platinum Japan Open Sapporo 2019,2019-06-12,LEE Ho Ching,KIM Hayeong,4,3,"11,13,11,10,6,16,11|9,15,6,12,11,14,7",QR32,GRAND_SLAM,WS,2021,Qualification,LEE Ho Ching (HKG),KIM Hayeong (KOR),LEE Ho Ching
ITTF World Tour Platinum Japan Open Sapporo 2019,2019-06-12,MORI Sakura,LIU Hsing-Yin,4,2,"4,8,13,11,12,11|11,11,11,5,10,9",QR32,GRAND_SLAM,WS,2021,Qualification,MORI Sakura (JPN),LIU Hsing-Yin (TPE),MORI Sakura
ITTF World Tour Platinum Japan Open Sapporo 2019,2019-06-12,SOO Wai Yam,MA Wenting,4,2,"6,11,11,11,11,11|11,13,5,8,4,3",QR32,GRAND_SLAM,WS,2021,Qualification,MA Wenting (NOR),SOO Wai Yam (HKG),SOO Wai Yam
ITTF World Tour Platinum Japan Open Sapporo 2019,2019-06-12,CHE Xiaoxi,ZHANG Lily,4,0,"11,11,11,11|6,8,6,5",QR32,GRAND_SLAM,WS,2021,Qualification,CHE Xiaoxi (CHN),ZHANG Lily (USA),CHE Xiaoxi
ITTF World Tour Platinum Japan Open Sapporo 2019,2019-06-12,WU Yang,WANG Yidi,4,1,"11,11,11,8,11|7,4,7,11,9",QR32,GRAND_SLAM,WS,2021,Qualification,WU Yang (CHN),WANG Yidi (CHN),WU Yang
ITTF World Tour Platinum Japan Open Sapporo 2019,2019-06-12,ZHANG Rui,ANDO Minami,4,1,"12,11,11,6,11|10,8,7,11,5",QR32,GRAND_SLAM,WS,2021,Qualification,ZHANG Rui (CHN),ANDO Minami (JPN),ZHANG Rui
ITTF World Tour Platinum Japan Open Sapporo 2019,2019-06-12,CHIU Ssu-Hua,YOON Hyobin,4,0,"11,11,11,11|2,4,8,8",QR32,GRAND_SLAM,WS,2021,Qualification,YOON Hyobin (KOR),CHIU Ssu-Hua (TPE),CHIU Ssu-Hua
ITTF World Tour Platinum Japan Open Sapporo 2019,2019-06-12,YANG Ha Eun,JI Eunchae,4,1,"11,11,11,8,11|8,6,8,11,7",QR32,GRAND_SLAM,WS,2021,Qualification,JI Eunchae (KOR),YANG Ha Eun (KOR),YANG Ha Eun
ITTF World Tour Platinum Japan Open Sapporo 2019,2019-06-12,HE Zhuojia,BATRA Manika,4,2,"11,11,8,14,9,11|5,6,11,12,11,8",QR32,GRAND_SLAM,WS,2021,Qualification,BATRA Manika (IND),HE Zhuojia (CHN),HE Zhuojia
ITTF World Tour Platinum Japan Open Sapporo 2019,2019-06-12,NAGASAKI Miyu,PERGEL Szandra,4,0,"12,11,11,11|10,6,4,9",QR32,GRAND_SLAM,WS,2021,Qualification,PERGEL Szandra (HUN),NAGASAKI Miyu (JPN),NAGASAKI Miyu
ITTF World Tour Platinum Japan Open Sapporo 2019,2019-06-12,KIHARA Miyuu,ZHU Chengzhu,4,0,"11,11,13,11|9,7,11,5",QR32,GRAND_SLAM,WS,2021,Qualification,ZHU Chengzhu (HKG),KIHARA Miyuu (JPN),KIHARA Miyuu
ITTF World Tour Platinum Japan Open Sapporo 2019,2019-06-12,CHENG Hsien-Tzu,LI Yu-Jhun,4,0,"11,11,11,11|3,8,7,9",QR32,GRAND_SLAM,WS,2021,Qualification,LI Yu-Jhun (TPE),CHENG Hsien-Tzu (TPE),CHENG Hsien-Tzu
ITTF World Tour Platinum Japan Open Sapporo 2019,2019-06-12,AN Jaehyun,DUDA Benedikt,4,1,"11,11,11,9,11|8,4,8,11,7",QR32,GRAND_SLAM,MS,2021,Qualification,DUDA Benedikt (GER),AN Jaehyun (KOR),AN Jaehyun
ITTF World Tour Platinum Japan Open Sapporo 2019,2019-06-12,OSHIMA Yuya,CHOI Deokhwa,4,1,"11,11,11,9,11|9,9,6,11,7",QR32,GRAND_SLAM,MS,2021,Qualification,OSHIMA Yuya (JPN),CHOI Deokhwa (KOR),OSHIMA Yuya
ITTF World Tour Platinum Japan Open Sapporo 2019,2019-06-12,YAN An,XU Yingbin,4,2,"11,8,11,11,12,11|9,11,3,6,14,6",QR32,GRAND_SLAM,MS,2021,Qualification,YAN An (CHN),XU Yingbin (CHN),YAN An
ITTF World Tour Platinum Japan Open Sapporo 2019,2019-06-12,YANG Heng-Wei,CHEN Chien-An,4,3,"11,7,8,3,11,12,13|9,11,11,11,6,10,11",QR32,GRAND_SLAM,MS,2021,Qualification,YANG Heng-Wei (TPE),CHEN Chien-An (TPE),YANG Heng-Wei
ITTF World Tour Platinum Japan Open Sapporo 2019,2019-06-12,HIRANO Yuki,APOLONIA Tiago,4,1,"11,11,10,11,12|6,8,12,5,10",QR32,GRAND_SLAM,MS,2021,Qualification,HIRANO Yuki (JPN),APOLONIA Tiago (POR),HIRANO Yuki
ITTF World Tour Platinum Japan Open Sapporo 2019,2019-06-12,CHO Seungmin,GERASSIMENKO Kirill,4,2,"11,11,11,4,11,11|9,5,9,11,13,9",QR32,GRAND_SLAM,MS,2021,Qualification,GERASSIMENKO Kirill (KAZ),CHO Seungmin (KOR),CHO Seungmin
ITTF World Tour Platinum Japan Open Sapporo 2019,2019-06-12,SUN Wen,ASSAR Omar,4,1,"13,12,11,11,11|15,10,3,4,8",QR32,GRAND_SLAM,MS,2021,Qualification,SUN Wen (CHN),ASSAR Omar (EGY),SUN Wen
ITTF World Tour Platinum Japan Open Sapporo 2019,2019-06-12,CHUANG Chih-Yuan,HWANG Minha,4,2,"11,7,11,12,13,13|8,11,7,10,15,11",QR32,GRAND_SLAM,MS,2021,Qualification,HWANG Minha (KOR),CHUANG Chih-Yuan (TPE),CHUANG Chih-Yuan
ITTF World Tour Platinum Japan Open Sapporo 2019,2019-06-12,JIN Takuya,LIU Dingshuo,4,2,"9,13,8,12,11,11|11,11,11,10,5,8",QR32,GRAND_SLAM,MS,2021,Qualification,LIU Dingshuo (CHN),JIN Takuya (JPN),JIN Takuya
ITTF World Tour Platinum Japan Open Sapporo 2019,2019-06-12,YOSHIDA Masaki,QIU Dang,4,0,"11,11,12,11|6,9,10,7",QR32,GRAND_SLAM,MS,2021,Qualification,QIU Dang (GER),YOSHIDA Masaki (JPN),YOSHIDA Masaki
ITTF World Tour Platinum Japan Open Sapporo 2019,2019-06-12,ZHENG Peifeng,TOKIC Bojan,4,1,"13,11,8,11,11|11,7,11,8,6",QR32,GRAND_SLAM,MS,2021,Qualification,ZHENG Peifeng (CHN),TOKIC Bojan (SLO),ZHENG Peifeng
ITTF World Tour Platinum Japan Open Sapporo 2019,2019-06-12,PENG Wang-Wei,KANG Dongsoo,4,2,"11,12,7,8,11,12|9,10,11,11,7,10",QR32,GRAND_SLAM,MS,2021,Qualification,KANG Dongsoo (KOR),PENG Wang-Wei (TPE),PENG Wang-Wei
ITTF World Tour Platinum Japan Open Sapporo 2019,2019-06-12,FILUS Ruwen,GNANASEKARAN Sathiyan,4,0,"11,11,12,11|8,9,10,5",QR32,GRAND_SLAM,MS,2021,Qualification,FILUS Ruwen (GER),GNANASEKARAN Sathiyan (IND),FILUS Ruwen
ITTF World Tour Platinum Japan Open Sapporo 2019,2019-06-12,YOSHIMURA Kazuhiro,PARK Ganghyeon,4,2,"11,5,11,7,12,11|9,11,7,11,10,8",QR32,GRAND_SLAM,MS,2021,Qualification,YOSHIMURA Kazuhiro (JPN),PARK Ganghyeon (KOR),YOSHIMURA Kazuhiro
ITTF World Tour Platinum Japan Open Sapporo 2019,2019-06-12,ZHAO Zihao,XU Chenhao,4,1,"11,11,9,11,12|9,6,11,1,10",QR32,GRAND_SLAM,MS,2021,Qualification,XU Chenhao (CHN),ZHAO Zihao (CHN),ZHAO Zihao
ITTF World Tour Platinum Japan Open Sapporo 2019,2019-06-12,OIKAWA Mizuki,ZHANG Yudong,4,2,"11,12,7,7,11,11|5,10,11,11,8,6",QR32,GRAND_SLAM,MS,2021,Qualification,ZHANG Yudong (CHN),OIKAWA Mizuki (JPN),OIKAWA Mizuki
ITTF World Tour Platinum Japan Open Sapporo 2019,2019-06-12,NIWA Koki/ITO Mima,AFANADOR Brian/DIAZ Adriana,3,1,"11,11,11,11|6,9,13,9",R16,GRAND_SLAM,XD,2021,Main Draw,NIWA Koki (JPN) / ITO Mima (JPN),AFANADOR Brian (PUR) / DIAZ Adriana (PUR),NIWA Koki
ITTF World Tour Platinum Japan Open Sapporo 2019,2019-06-12,FAN Zhendong/DING Ning,SZUDI Adam/PERGEL Szandra,3,1,"11,8,11,11|4,11,7,4",R16,GRAND_SLAM,XD,2021,Main Draw,FAN Zhendong (CHN) / DING Ning (CHN),SZUDI Adam (HUN) / PERGEL Szandra (HUN),FAN Zhendong
ITTF World Tour Platinum Japan Open Sapporo 2019,2019-06-12,XU Xin/ZHU Yuling,ACHANTA Sharath/BATRA Manika,3,0,"11,11,11|8,7,5",R16,GRAND_SLAM,XD,2021,Main Draw,XU Xin (CHN) / ZHU Yuling (MAC),ACHANTA Sharath (IND) / BATRA Manika (IND),XU Xin
ITTF World Tour Platinum Japan Open Sapporo 2019,2019-06-12,LIN Yun-Ju/CHENG I-Ching,BADOWSKI Marek/BAJOR Natalia,3,0,"12,11,11|10,7,9",R16,GRAND_SLAM,XD,2021,Main Draw,LIN Yun-Ju (TPE) / CHENG I-Ching (TPE),BADOWSKI Marek (POL) / BAJOR Natalia (POL),LIN Yun-Ju
ITTF World Tour Platinum Japan Open Sapporo 2019,2019-06-12,CHO Daeseong/SHIN Yubin,HO Kwan Kit/LEE Ho Ching,3,2,"9,11,9,11,11|11,7,11,9,9",R16,GRAND_SLAM,XD,2021,Main Draw,CHO Daeseong (KOR) / SHIN Yubin (KOR),HO Kwan Kit (HKG) / LEE Ho Ching (HKG),CHO Daeseong
ITTF World Tour Platinum Japan Open Sapporo 2019,2019-06-12,HARIMOTO Tomokazu/HAYATA Hina,PISTEJ Lubomir/KUKULKOVA Tatiana,3,0,"0,0,0|0,0,0",R16,GRAND_SLAM,XD,2021,Main Draw,HARIMOTO Tomokazu (JPN) / HAYATA Hina (JPN),PISTEJ Lubomir (SVK) / KUKULKOVA Tatiana (SVK),HARIMOTO Tomokazu
ITTF World Tour Platinum Japan Open Sapporo 2019,2019-06-12,WONG Chun Ting/DOO Hoi Kem,PENG Wang-Wei/LIU Hsing-Yin,3,0,"11,11,11|3,6,6",R16,GRAND_SLAM,XD,2021,Main Draw,WONG Chun Ting (HKG) / DOO Hoi Kem (HKG),PENG Wang-Wei (TPE) / LIU Hsing-Yin (TPE),WONG Chun Ting
ITTF World Tour Platinum Japan Open Sapporo 2019,2019-06-12,LEE Sang Su/JEON Jihee,KARAKASEVIC Aleksandar/LUPULESKU Izabela,3,1,"11,13,4,11|6,11,11,5",R16,GRAND_SLAM,XD,2021,Main Draw,LEE Sang Su (KOR) / JEON Jihee (KOR),KARAKASEVIC Aleksandar (SRB) / LUPULESKU Izabela (SRB),LEE Sang Su
ITTF World Tour Platinum Japan Open Sapporo 2019,2019-06-12,KIHARA Miyuu/NAGASAKI Miyu,BATRA Manika/PATKAR Madhurika,3,1,"13,11,11,11|15,1,4,1",R16,GRAND_SLAM,WD,2021,Main Draw,KIHARA Miyuu (JPN) / NAGASAKI Miyu (JPN),BATRA Manika (IND) / PATKAR Madhurika (IND),KIHARA Miyuu
ITTF World Tour Platinum Japan Open Sapporo 2019,2019-06-12,SUN Yingsha/WANG Manyu,DIAZ Adriana/DIAZ Melanie,3,1,"11,11,7,11|4,5,11,3",R16,GRAND_SLAM,WD,2021,Main Draw,SUN Yingsha (CHN) / WANG Manyu (CHN),DIAZ Adriana (PUR) / DIAZ Melanie (PUR),SUN Yingsha
ITTF World Tour Platinum Japan Open Sapporo 2019,2019-06-12,LEE Ho Ching/NG Wing Nam,OJIO Haruna/SOMA Yumeno,3,2,"11,8,5,11,11|5,11,11,9,5",R16,GRAND_SLAM,WD,2021,Main Draw,LEE Ho Ching (HKG) / NG Wing Nam (HKG),OJIO Haruna (JPN) / SOMA Yumeno (JPN),LEE Ho Ching
ITTF World Tour Platinum Japan Open Sapporo 2019,2019-06-12,CHEN Meng/LIU Shiwen,IDESAWA Kyoka/ODO Satsuki,3,0,"11,11,11|8,7,3",R16,GRAND_SLAM,WD,2021,Main Draw,CHEN Meng (CHN) / LIU Shiwen (CHN),IDESAWA Kyoka (JPN) / ODO Satsuki (JPN),CHEN Meng
ITTF World Tour Platinum Japan Open Sapporo 2019,2019-06-12,DOO Hoi Kem/SOO Wai Yam,LEE Yujin/PARK Joohyun,3,1,"11,12,11,11|4,14,7,4",R16,GRAND_SLAM,WD,2021,Main Draw,DOO Hoi Kem (HKG) / SOO Wai Yam (HKG),LEE Yujin (KOR) / PARK Joohyun (KOR),DOO Hoi Kem
ITTF World Tour Platinum Japan Open Sapporo 2019,2019-06-12,CHEN Szu-Yu/CHENG Hsien-Tzu,MA Wenting/ZHANG Lily,3,1,"11,9,11,11|6,11,6,8",R16,GRAND_SLAM,WD,2021,Main Draw,CHEN Szu-Yu (TPE) / CHENG Hsien-Tzu (TPE),MA Wenting (NOR) / ZHANG Lily (USA),CHEN Szu-Yu
ITTF World Tour Platinum Japan Open Sapporo 2019,2019-06-12,BAJOR Natalia/PARTYKA Natalia,LIN Ye/ZENG Jian,3,1,"11,11,11,11|9,4,13,8",R16,GRAND_SLAM,WD,2021,Main Draw,BAJOR Natalia (POL) / PARTYKA Natalia (POL),LIN Ye (CAN) / ZENG Jian (SGP),BAJOR Natalia
ITTF World Tour Platinum Japan Open Sapporo 2019,2019-06-12,CHOI Hyojoo/KIM Jiho,LI Yu-Jhun/LIU Hsing-Yin,3,0,"11,11,12|6,7,10",R16,GRAND_SLAM,WD,2021,Main Draw,CHOI Hyojoo (KOR) / KIM Jiho (KOR),LI Yu-Jhun (TPE) / LIU Hsing-Yin (TPE),CHOI Hyojoo
ITTF World Tour Platinum Japan Open Sapporo 2019,2019-06-12,DUDA Benedikt/QIU Dang,MORIZONO Masataka/YOSHIMURA Maharu,3,2,"5,7,11,11,13|11,11,6,8,11",R16,GRAND_SLAM,MD,2021,Main Draw,DUDA Benedikt (GER) / QIU Dang (GER),MORIZONO Masataka (JPN) / YOSHIMURA Maharu (JPN),DUDA Benedikt
ITTF World Tour Platinum Japan Open Sapporo 2019,2019-06-12,LIANG Jingkun/LIN Gaoyuan,BADOWSKI Marek/ZATOWKA Patryk,3,2,"11,10,11,11,11|13,12,7,2,0",R16,GRAND_SLAM,MD,2021,Main Draw,LIANG Jingkun (CHN) / LIN Gaoyuan (CHN),BADOWSKI Marek (POL) / ZATOWKA Patryk (POL),LIANG Jingkun
ITTF World Tour Platinum Japan Open Sapporo 2019,2019-06-12,ACHANTA Sharath/GNANASEKARAN Sathiyan,KIM Byunghyeon/KIM Minhyeok,3,1,"12,11,7,11|10,7,11,9",R16,GRAND_SLAM,MD,2021,Main Draw,ACHANTA Sharath (IND) / GNANASEKARAN Sathiyan (IND),KIM Byunghyeon (KOR) / KIM Minhyeok (KOR),ACHANTA Sharath
ITTF World Tour Platinum Japan Open Sapporo 2019,2019-06-12,FAN Zhendong/XU Xin,FILUS Ruwen/MENGEL Steffen,3,0,"12,11,11|10,6,9",R16,GRAND_SLAM,MD,2021,Main Draw,FAN Zhendong (CHN) / XU Xin (CHN),FILUS Ruwen (GER) / MENGEL Steffen (GER),FAN Zhendong
ITTF World Tour Platinum Japan Open Sapporo 2019,2019-06-12,TOGAMI Shunsuke/UDA Yukiya,DYJAS Jakub/NUYTINCK Cedric,3,0,"11,11,11|6,8,2",R16,GRAND_SLAM,MD,2021,Main Draw,TOGAMI Shunsuke (JPN) / UDA Yukiya (JPN),DYJAS Jakub (POL) / NUYTINCK Cedric (BEL),TOGAMI Shunsuke
ITTF World Tour Platinum Japan Open Sapporo 2019,2019-06-12,AFANADOR Brian/GONZALEZ Daniel,LAM Siu Hang/WONG Chun Ting,3,2,"11,8,4,11,11|7,11,11,4,8",R16,GRAND_SLAM,MD,2021,Main Draw,AFANADOR Brian (PUR) / GONZALEZ Daniel (PUR),LAM Siu Hang (HKG) / WONG Chun Ting (HKG),AFANADOR Brian
ITTF World Tour Platinum Japan Open Sapporo 2019,2019-06-12,CHEN Chien-An/CHUANG Chih-Yuan,KALUZNY Samuel/WANG Yang,3,0,"11,11,11|9,4,3",R16,GRAND_SLAM,MD,2021,Main Draw,CHEN Chien-An (TPE) / CHUANG Chih-Yuan (TPE),KALUZNY Samuel (SVK) / WANG Yang (SVK),CHEN Chien-An
ITTF World Tour Platinum Japan Open Sapporo 2019,2019-06-12,LIAO Cheng-Ting/LIN Yun-Ju,PISTEJ Lubomir/VALUCH Alexander,3,0,"0,0,0|0,0,0",R16,GRAND_SLAM,MD,2021,Main Draw,LIAO Cheng-Ting (TPE) / LIN Yun-Ju (TPE),PISTEJ Lubomir (SVK) / VALUCH Alexander (SVK),LIAO Cheng-Ting
ITTF World Tour Platinum Japan Open Sapporo 2019,2019-06-12,HIRANO Miu,SOO Wai Yam,4,1,"13,11,14,5,11|11,9,12,11,7",R32,GRAND_SLAM,WS,2021,Main Draw,HIRANO Miu (JPN),SOO Wai Yam (HKG),HIRANO Miu
ITTF World Tour Platinum Japan Open Sapporo 2019,2019-06-12,SUN Yingsha,SUH Hyo Won,4,0,"11,11,11,11|2,5,5,5",R32,GRAND_SLAM,WS,2021,Main Draw,SUH Hyo Won (KOR),SUN Yingsha (CHN),SUN Yingsha
ITTF World Tour Platinum Japan Open Sapporo 2019,2019-06-12,ISHIKAWA Kasumi,KIHARA Miyuu,4,0,"11,11,12,11|4,7,10,1",R32,GRAND_SLAM,WS,2021,Main Draw,KIHARA Miyuu (JPN),ISHIKAWA Kasumi (JPN),ISHIKAWA Kasumi
ITTF World Tour Platinum Japan Open Sapporo 2019,2019-06-12,NAGASAKI Miyu,ZHU Yuling,4,1,"11,5,11,11,11|6,11,9,7,9",R32,GRAND_SLAM,WS,2021,Main Draw,NAGASAKI Miyu (JPN),ZHU Yuling (MAC),NAGASAKI Miyu
ITTF World Tour Platinum Japan Open Sapporo 2019,2019-06-12,SATO Hitomi,CHIU Ssu-Hua,4,1,"11,10,11,11,11|7,12,6,9,6",R32,GRAND_SLAM,WS,2021,Main Draw,CHIU Ssu-Hua (TPE),SATO Hitomi (JPN),SATO Hitomi
ITTF World Tour Platinum Japan Open Sapporo 2019,2019-06-12,JEON Jihee,CHENG Hsien-Tzu,4,2,"11,8,12,10,11,11|9,11,10,12,6,6",R32,GRAND_SLAM,WS,2021,Main Draw,JEON Jihee (KOR),CHENG Hsien-Tzu (TPE),JEON Jihee
ITTF World Tour Platinum Japan Open Sapporo 2019,2019-06-12,LIU Shiwen,YANG Ha Eun,4,0,"11,11,11,11|5,8,3,5",R32,GRAND_SLAM,WS,2021,Main Draw,YANG Ha Eun (KOR),LIU Shiwen (CHN),LIU Shiwen
ITTF World Tour Platinum Japan Open Sapporo 2019,2019-06-12,HE Zhuojia,FENG Tianwei,4,2,"13,11,11,9,10,11|11,5,1,11,12,8",R32,GRAND_SLAM,WS,2021,Main Draw,HE Zhuojia (CHN),FENG Tianwei (SGP),HE Zhuojia
ITTF World Tour Platinum Japan Open Sapporo 2019,2019-06-12,SUN Wen,HARIMOTO Tomokazu,4,0,"11,11,11,11|8,5,7,8",R32,GRAND_SLAM,MS,2021,Main Draw,HARIMOTO Tomokazu (JPN),SUN Wen (CHN),SUN Wen
ITTF World Tour Platinum Japan Open Sapporo 2019,2019-06-12,XU Xin,OSHIMA Yuya,4,0,"11,12,11,11|9,10,4,8",R32,GRAND_SLAM,MS,2021,Main Draw,OSHIMA Yuya (JPN),XU Xin (CHN),XU Xin
ITTF World Tour Platinum Japan Open Sapporo 2019,2019-06-12,FILUS Ruwen,WONG Chun Ting,4,2,"9,9,11,11,11,11|11,11,6,5,7,9",R32,GRAND_SLAM,MS,2021,Main Draw,FILUS Ruwen (GER),WONG Chun Ting (HKG),FILUS Ruwen
ITTF World Tour Platinum Japan Open Sapporo 2019,2019-06-12,LIN Gaoyuan,YANG Heng-Wei,4,0,"11,11,11,11|8,8,3,7",R32,GRAND_SLAM,MS,2021,Main Draw,YANG Heng-Wei (TPE),LIN Gaoyuan (CHN),LIN Gaoyuan
ITTF World Tour Platinum Japan Open Sapporo 2019,2019-06-12,FAN Zhendong,ZHENG Peifeng,4,1,"11,11,11,7,11|9,3,8,11,5",R32,GRAND_SLAM,MS,2021,Main Draw,FAN Zhendong (CHN),ZHENG Peifeng (CHN),FAN Zhendong
ITTF World Tour Platinum Japan Open Sapporo 2019,2019-06-12,LIN Yun-Ju,CHO Seungmin,4,3,"5,11,7,11,11,10,11|11,9,11,9,8,12,9",R32,GRAND_SLAM,MS,2021,Main Draw,LIN Yun-Ju (TPE),CHO Seungmin (KOR),LIN Yun-Ju
ITTF World Tour Platinum Japan Open Sapporo 2019,2019-06-12,YOSHIMURA Kazuhiro,NIWA Koki,4,2,"11,1,11,13,5,15|4,11,9,11,11,13",R32,GRAND_SLAM,MS,2021,Main Draw,YOSHIMURA Kazuhiro (JPN),NIWA Koki (JPN),YOSHIMURA Kazuhiro
