tournament,date,player_a,player_b,score_a,score_b,game_scores,round,tier,sub_event,event_id,stage,player_a_raw,player_b_raw,winner_raw
ITTF World Tour Platinum Japan Open Sapporo 2019,2019-06-12,XU Chenhao,KIM Minhyeok,4,0,"11,11,13,11|6,7,11,8",QR128,GRAND_SLAM,MS,2021,Qualification,XU Chenhao (CHN),KIM Minhyeok (KOR),XU Chenhao
ITTF World Tour Platinum Japan Open Sapporo 2019,2019-06-12,KARAKASEVIC Aleksandar,KIZUKURI Yuto,4,0,"11,11,11,12|7,8,7,10",QR128,GRAND_SLAM,MS,2021,Qualification,KIZUKURI Yuto (JPN),KARAKASEVIC Aleksandar (SRB),KARAKASEVIC Aleksandar
ITTF World Tour Platinum Japan Open Sapporo 2019,2019-06-12,ZHAO Zihao,KIM Byunghyeon,4,0,"11,11,11,11|9,5,4,5",QR128,GRAND_SLAM,MS,2021,Qualification,ZHAO Zihao (CHN),KIM Byunghyeon (KOR),ZHAO Zihao
ITTF World Tour Platinum Japan Open Sapporo 2019,2019-06-12,WANG Tai-Wei,TOGAMI Shunsuke,4,1,"5,11,11,11,11|11,7,8,6,7",QR128,GRAND_SLAM,MS,2021,Qualification,TOGAMI Shunsuke (JPN),WANG Tai-Wei (TPE),WANG Tai-Wei
ITTF World Tour Platinum Japan Open Sapporo 2019,2019-06-12,YANG Tzu-Yi,AFANADOR Brian,4,2,"10,12,9,11,11,11|12,10,11,6,3,5",QR128,GRAND_SLAM,MS,2021,Qualification,AFANADOR Brian (PUR),YANG Tzu-Yi (TPE),YANG Tzu-Yi
ITTF World Tour Platinum Japan Open Sapporo 2019,2019-06-12,IGARASHI Fumiya,KIM Donghyun,4,2,"10,11,11,2,11,11|12,8,9,11,5,5",QR128,GRAND_SLAM,MS,2021,Qualification,IGARASHI Fumiya (JPN),KIM Donghyun (KOR),IGARASHI Fumiya
ITTF World Tour Platinum Japan Open Sapporo 2019,2019-06-12,CHE Xiaoxi,MAETAKI Hatsune,4,3,"15,9,11,4,14,11,13|13,11,3,11,16,5,11",QR128,GRAND_SLAM,WS,2021,Qualification,MAETAKI Hatsune (JPN),CHE Xiaoxi (CHN),CHE Xiaoxi
ITTF World Tour Platinum Japan Open Sapporo 2019,2019-06-12,LIU Fei,YOO Eunchong,4,3,"18,11,9,11,9,10,11|16,7,11,9,11,12,3",QR128,GRAND_SLAM,WS,2021,Qualification,LIU Fei (CHN),YOO Eunchong (KOR),LIU Fei
ITTF World Tour Platinum Japan Open Sapporo 2019,2019-06-12,KIM Youjin,SEYAMA Saki,4,2,"8,11,9,11,11,11|11,8,11,6,7,9",QR128,GRAND_SLAM,WS,2021,Qualification,KIM Youjin (KOR),SEYAMA Saki (JPN),KIM Youjin
ITTF World Tour Platinum Japan Open Sapporo 2019,2019-06-12,LEE En-Chi,SOMA Yumeno,4,2,"11,6,5,11,11,11|6,11,11,8,9,7",QR128,GRAND_SLAM,WS,2021,Qualification,LEE En-Chi (TPE),SOMA Yumeno (JPN),LEE En-Chi
ITTF World Tour Platinum Japan Open Sapporo 2019,2019-06-12,LIN Chia-Hsuan,KIM Jiho,4,3,"4,11,11,0,7,11,11|11,8,6,11,11,9,8",QR128,GRAND_SLAM,WS,2021,Qualification,KIM Jiho (KOR),LIN Chia-Hsuan (TPE),LIN Chia-Hsuan
ITTF World Tour Platinum Japan Open Sapporo 2019,2019-06-12,MUKHERJEE Ayhika,KIM Byeolnim,4,3,"11,7,7,11,6,11,13|3,11,11,2,11,6,11",QR128,GRAND_SLAM,WS,2021,Qualification,MUKHERJEE Ayhika (IND),KIM Byeolnim (KOR),MUKHERJEE Ayhika
ITTF World Tour Platinum Japan Open Sapporo 2019,2019-06-12,KIM Hayeong,HUANG Yu-Chiao,4,2,"3,11,5,11,11,11|11,6,11,8,8,9",QR128,GRAND_SLAM,WS,2021,Qualification,KIM Hayeong (KOR),HUANG Yu-Chiao (TPE),KIM Hayeong
ITTF World Tour Platinum Japan Open Sapporo 2019,2019-06-12,PARK Joohyun,CHEN Ying-Chen,4,1,"11,11,8,11,11|8,7,11,9,8",QR128,GRAND_SLAM,WS,2021,Qualification,PARK Joohyun (KOR),CHEN Ying-Chen (TPE),PARK Joohyun
ITTF World Tour Platinum Japan Open Sapporo 2019,2019-06-12,OJIO Haruna,LEE Daeun,4,2,"14,11,8,9,12,11|12,8,11,11,10,8",QR128,GRAND_SLAM,WS,2021,Qualification,OJIO Haruna (JPN),LEE Daeun (KOR),OJIO Haruna
ITTF World Tour Platinum Japan Open Sapporo 2019,2019-06-12,IDESAWA Kyoka,SHAN Xiaona,4,3,"11,11,7,9,13,10,11|8,7,11,11,11,12,8",QR128,GRAND_SLAM,WS,2021,Qualification,SHAN Xiaona (GER),IDESAWA Kyoka (JPN),IDESAWA Kyoka
ITTF World Tour Platinum Japan Open Sapporo 2019,2019-06-12,ZHU Chengzhu,SASAO Asuka,4,3,"11,8,11,11,5,13,11|8,11,4,4,11,15,8",QR128,GRAND_SLAM,WS,2021,Qualification,SASAO Asuka (JPN),ZHU Chengzhu (HKG),ZHU Chengzhu
ITTF World Tour Platinum Japan Open Sapporo 2019,2019-06-12,SURJAN Sabina,ROY Krittwika,4,0,"11,11,11,11|5,9,7,9",QR128,GRAND_SLAM,WS,2021,Qualification,SURJAN Sabina (SRB),ROY Krittwika (IND),SURJAN Sabina
ITTF World Tour Platinum Japan Open Sapporo 2019,2019-06-12,CHIU Ssu-Hua,KANG Dayeon,4,3,"8,12,9,7,11,11,11|11,10,11,11,9,3,6",QR128,GRAND_SLAM,WS,2021,Qualification,KANG Dayeon (KOR),CHIU Ssu-Hua (TPE),CHIU Ssu-Hua
ITTF World Tour Platinum Japan Open Sapporo 2019,2019-06-12,LEE Zion,CHEN Ting-Ting,4,3,"11,11,3,11,10,10,11|9,4,11,2,12,12,8",QR128,GRAND_SLAM,WS,2021,Qualification,CHEN Ting-Ting (TPE),LEE Zion (KOR),LEE Zion
ITTF World Tour Platinum Japan Open Sapporo 2019,2019-06-12,PATKAR Madhurika,LEE Yujin,4,0,"11,11,11,13|6,8,9,11",QR128,GRAND_SLAM,WS,2021,Qualification,PATKAR Madhurika (IND),LEE Yujin (KOR),PATKAR Madhurika
