tournament,date,player_a,player_b,score_a,score_b,game_scores,round,tier,sub_event,event_id,stage,player_a_raw,player_b_raw
WTT Contender Rio de Janeiro 2023,2023-08-07,CHO Daeseong,AGUIRRE Marcelo,3,2,"6,13,11,7,11|11,11,6,11,8",QR1,WTT_CONTENDER,MS,2722,Qualification,CHO Daeseong (KOR),AGUIRRE Marcelo (PAR)
WTT Contender Rio de Janeiro 2023,2023-08-07,CIFUENTES Horacio,JOUTI Eric,3,0,"12,11,11|10,5,5",QR1,WTT_CONTENDER,MS,2722,Qualification,CIFUENTES Horacio (ARG),JOUTI Eric (BRA)
WTT Contender Rio de Janeiro 2023,2023-08-07,OIKAWA Mizuki,LIANG Jishan,3,1,"11,11,8,11|2,5,11,8",QR1,WTT_CONTENDER,MS,2722,Qualification,OIKAWA Mizuki (JPN),LIANG Jishan (USA)
WTT Contender Rio de Janeiro 2023,2023-08-07,MATSUSHIMA Sora,BOBOCICA Mihai,3,0,"11,11,11|4,8,6",QR1,WTT_CONTENDER,MS,2722,Qualification,MATSUSHIMA Sora (JPN),BOBOCICA Mihai (ITA)
WTT Contender Rio de Janeiro 2023,2023-08-07,JARVIS Tom,IONESCU Ovidiu,3,1,"11,0,11,11|8,11,9,7",QR1,WTT_CONTENDER,MS,2722,Qualification,JARVIS Tom (ENG),IONESCU Ovidiu (ROU)
WTT Contender Rio de Janeiro 2023,2023-08-07,PENG Wang-Wei,ALTO Gaston,3,1,"11,4,11,12|9,11,8,10",QR1,WTT_CONTENDER,MS,2722,Qualification,PENG Wang-Wei (TPE),ALTO Gaston (ARG)
WTT Contender Rio de Janeiro 2023,2023-08-07,GOMEZ Gustavo,MINO Alberto,3,0,"11,11,12|9,5,10",QR1,WTT_CONTENDER,MS,2722,Qualification,GOMEZ Gustavo (CHI),MINO Alberto (ECU)
WTT Contender Rio de Janeiro 2023,2023-08-07,IIZUKA Leonardo,TORANZOS Alejandro,3,0,"11,13,11|9,11,8",QR1,WTT_CONTENDER,MS,2722,Qualification,IIZUKA Leonardo (BRA),TORANZOS Alejandro (PAR)
WTT Contender Rio de Janeiro 2023,2023-08-07,STUMPER Kay,ROSSI Carlo,3,2,"11,9,5,17,11|9,11,11,15,6",QR1,WTT_CONTENDER,MS,2722,Qualification,STUMPER Kay (GER),ROSSI Carlo (ITA)
WTT Contender Rio de Janeiro 2023,2023-08-07,WALTHER Ricardo,MENG Fanbo,3,2,"9,5,11,11,11|11,11,4,8,5",QR1,WTT_CONTENDER,MS,2722,Qualification,WALTHER Ricardo (GER),MENG Fanbo (GER)
WTT Contender Rio de Janeiro 2023,2023-08-07,DESAI Harmeet,GOMBOS Ludovic,3,0,"11,11,11|4,3,6",QR1,WTT_CONTENDER,MS,2722,Qualification,DESAI Harmeet (IND),GOMBOS Ludovic (USA)
WTT Contender Rio de Janeiro 2023,2023-08-07,LORENZO Santiago,SHIM Joon,3,0,"11,11,11|5,4,9",QR1,WTT_CONTENDER,MS,2722,Qualification,LORENZO Santiago (ARG),SHIM Joon (BRA)
WTT Contender Rio de Janeiro 2023,2023-08-07,DRINKHALL Paul,CARVALHO Lucas,3,0,"11,11,11|8,5,5",QR1,WTT_CONTENDER,MS,2722,Qualification,DRINKHALL Paul (ENG),CARVALHO Lucas (BRA)
WTT Contender Rio de Janeiro 2023,2023-08-07,MONTEIRO Joao,DEVOS Laurens,3,2,"11,9,8,11,11|9,11,11,5,9",QR1,WTT_CONTENDER,MS,2722,Qualification,MONTEIRO Joao (POR),DEVOS Laurens (BEL)
WTT Contender Rio de Janeiro 2023,2023-08-07,MEISSNER Cedric,MAJOROS Bence,3,0,"11,11,11|9,8,8",QR1,WTT_CONTENDER,MS,2722,Qualification,MEISSNER Cedric (GER),MAJOROS Bence (HUN)
WTT Contender Rio de Janeiro 2023,2023-08-07,ALLEGRO Martin,MENEZES ARAUJO Abimael,3,0,"11,11,14|4,4,12",QR1,WTT_CONTENDER,MS,2722,Qualification,ALLEGRO Martin (BEL),MENEZES ARAUJO Abimael (BRA)
WTT Contender Rio de Janeiro 2023,2023-08-07,HAUG Borgar,GOMEZ Juan Jesus,3,0,"11,11,11|2,6,2",QR1,WTT_CONTENDER,MS,2722,Qualification,HAUG Borgar (NOR),GOMEZ Juan Jesus (MEX)
WTT Contender Rio de Janeiro 2023,2023-08-07,LIAO Cheng-Ting,GONZALEZ Daniel,3,1,"8,11,11,11|11,1,5,5",QR1,WTT_CONTENDER,MS,2722,Qualification,LIAO Cheng-Ting (TPE),GONZALEZ Daniel (PUR)
