tournament,date,player_a,player_b,score_a,score_b,game_scores,round,tier,sub_event,event_id,stage,player_a_raw,player_b_raw,winner_raw
2017 European Championships Qualification 4th round 2016,2016-12-13,RASMUSSEN Tobias,LEVENKO Andreas,3,2,"13,3,12,9,12|11,11,10,11,10",,OTHER,MT,519,Qualification,RASMUSSEN Tobias (DEN),LEVENKO Andreas (AUT),RASMUSSEN Tobias
2017 European Championships Qualification 4th round 2016,2016-12-13,TROMER Laurens,PAPAGEORGIOU Konstantinos,3,0,"11,11,11|4,6,6",,OTHER,MT,519,Qualification,TROMER Laurens (NED),PAPAGEORGIOU Konstantinos (GRE),TROMER Laurens
2017 European Championships Qualification 4th round 2016,2016-12-13,GIONIS Panagiotis,OOSTWOUDER Ewout,3,0,"11,11,16|4,7,14",,OTHER,MT,519,Qualification,OOSTWOUDER Ewout (NED),GIONIS Panagiotis (GRE),GIONIS Panagiotis
2017 European Championships Qualification 4th round 2016,2016-12-13,SGOUROPOULOS Ioannis,GOMMERS Rajko,3,1,"11,11,4,11|7,7,11,8",,OTHER,MT,519,Qualification,GOMMERS Rajko (NED),SGOUROPOULOS Ioannis (GRE),SGOUROPOULOS Ioannis
2017 European Championships Qualification 4th round 2016,2016-12-13,GIONIS Panagiotis,TROMER Laurens,3,1,"10,11,11,11|12,9,2,8",,OTHER,MT,519,Qualification,TROMER Laurens (NED),GIONIS Panagiotis (GRE),GIONIS Panagiotis
2017 European Championships Qualification 4th round 2016,2016-12-13,JORGIC Darko,GORAK Daniel,3,1,"11,11,4,11|9,4,11,5",,OTHER,MT,519,Qualification,JORGIC Darko (SLO),GORAK Daniel (POL),JORGIC Darko
2017 European Championships Qualification 4th round 2016,2016-12-13,TOKIC Bojan,WANG Zengyi,3,2,"4,9,15,11,12|11,11,13,7,10",,OTHER,MT,519,Qualification,TOKIC Bojan (SLO),WANG Zengyi (POL),TOKIC Bojan
2017 European Championships Qualification 4th round 2016,2016-12-13,DYJAS Jakub,KOZUL Deni,3,0,"11,12,11|7,10,6",,OTHER,MT,519,Qualification,KOZUL Deni (SLO),DYJAS Jakub (POL),DYJAS Jakub
2017 European Championships Qualification 4th round 2016,2016-12-13,WANG Zengyi,JORGIC Darko,3,1,"12,11,4,11|10,6,11,7",,OTHER,MT,519,Qualification,JORGIC Darko (SLO),WANG Zengyi (POL),WANG Zengyi
2017 European Championships Qualification 4th round 2016,2016-12-13,TOKIC Bojan,GORAK Daniel,3,0,"11,11,11|7,6,6",,OTHER,MT,519,Qualification,TOKIC Bojan (SLO),GORAK Daniel (POL),TOKIC Bojan
2017 European Championships Qualification 4th round 2016,2016-12-13,BUROV Viacheslav,POPOV Kiril,3,0,"11,11,11|6,5,6",,OTHER,MT,519,Qualification,POPOV Kiril (BUL),BUROV Viacheslav (RUS),BUROV Viacheslav
2017 European Championships Qualification 4th round 2016,2016-12-13,VLASOV Grigory,ALEXANDROV Teodor,3,0,"11,11,11|4,8,8",,OTHER,MT,519,Qualification,ALEXANDROV Teodor (BUL),VLASOV Grigory (RUS),VLASOV Grigory
2017 European Championships Qualification 4th round 2016,2016-12-13,GABROVSKI Petko,LIVENTSOV Alexey,3,1,"12,11,5,11|10,6,11,9",,OTHER,MT,519,Qualification,GABROVSKI Petko (BUL),LIVENTSOV Alexey (RUS),GABROVSKI Petko
2017 European Championships Qualification 4th round 2016,2016-12-13,BUROV Viacheslav,ALEXANDROV Teodor,3,1,"7,11,11,11|11,7,4,4",,OTHER,MT,519,Qualification,ALEXANDROV Teodor (BUL),BUROV Viacheslav (RUS),BUROV Viacheslav
2017 European Championships Qualification 4th round 2016,2016-12-13,POPOV Kiril,VLASOV Grigory,3,0,"11,12,11,0|8,10,9,0",,OTHER,MT,519,Qualification,POPOV Kiril (BUL),VLASOV Grigory (RUS),POPOV Kiril
2017 European Championships Qualification 4th round 2016,2016-12-13,SHAN Xiaona,SIBLEY Kelly,3,0,"11,12,11|6,10,8",,OTHER,WT,519,Qualification,SIBLEY Kelly (ENG),SHAN Xiaona (GER),SHAN Xiaona
2017 European Championships Qualification 4th round 2016,2016-12-13,MITTELHAM Nina,HO Tin-Tin,3,0,"11,11,11|5,8,4",,OTHER,WT,519,Qualification,HO Tin-Tin (ENG),MITTELHAM Nina (GER),MITTELHAM Nina
2017 European Championships Qualification 4th round 2016,2016-12-13,WAN Yuan,LE FEVRE Karina,3,0,"11,11,14|9,5,12",,OTHER,WT,519,Qualification,LE FEVRE Karina (ENG),WAN Yuan (GER),WAN Yuan
2017 European Championships Qualification 4th round 2016,2016-12-13,SZOCS Bernadette,PARIDI Konstantina,3,0,"11,11,11|6,7,9",,OTHER,WT,519,Qualification,PARIDI Konstantina (GRE),SZOCS Bernadette (ROU),SZOCS Bernadette
2017 European Championships Qualification 4th round 2016,2016-12-13,SAMARA Elizabeta,TOLIOU Aikaterini,3,0,"13,11,11|11,7,7",,OTHER,WT,519,Qualification,TOLIOU Aikaterini (GRE),SAMARA Elizabeta (ROU),SAMARA Elizabeta
2017 European Championships Qualification 4th round 2016,2016-12-13,EXARCHOU Filareti,IACOB Camelia,3,2,"12,5,4,11,11|10,11,11,4,9",,OTHER,WT,519,Qualification,EXARCHOU Filareti (GRE),IACOB Camelia (ROU),EXARCHOU Filareti
2017 European Championships Qualification 4th round 2016,2016-12-13,SAMARA Elizabeta,GERASIMATOU Ioanna,3,0,"11,11,11|3,3,7",,OTHER,WT,519,Qualification,GERASIMATOU Ioanna (GRE),SAMARA Elizabeta (ROU),SAMARA Elizabeta
2017 European Championships Qualification 4th round 2016,2016-12-13,MALANINA Maria,YOVKOVA Maria,3,0,"13,11,11|11,9,4",,OTHER,WT,519,Qualification,YOVKOVA Maria (BUL),MALANINA Maria (RUS),MALANINA Maria
2017 European Championships Qualification 4th round 2016,2016-12-13,NOSKOVA Yana,DIMOVA Mihaela,3,0,"12,11,11|10,4,3",,OTHER,WT,519,Qualification,DIMOVA Mihaela (BUL),NOSKOVA Yana (RUS),NOSKOVA Yana
2017 European Championships Qualification 4th round 2016,2016-12-13,TAILAKOVA Mariia,KAROVA Anelia,3,0,"11,11,11|9,9,3",,OTHER,WT,519,Qualification,KAROVA Anelia (BUL),TAILAKOVA Mariia (RUS),TAILAKOVA Mariia
2017 European Championships Qualification 4th round 2016,2016-12-13,GRZYBOWSKA-FRANC Katarzyna,ASCHWANDEN Rahel,3,1,"11,8,11,12|8,11,4,10",,OTHER,WT,519,Qualification,ASCHWANDEN Rahel (SUI),GRZYBOWSKA-FRANC Katarzyna (POL),GRZYBOWSKA-FRANC Katarzyna
2017 European Championships Qualification 4th round 2016,2016-12-13,PARTYKA Natalia,REUST Celine,3,1,"11,11,8,11|0,4,11,2",,OTHER,WT,519,Qualification,REUST Celine (SUI),PARTYKA Natalia (POL),PARTYKA Natalia
2017 European Championships Qualification 4th round 2016,2016-12-13,KUSINSKA Klaudia,KROON Mireille,3,0,"11,11,11|8,6,9",,OTHER,WT,519,Qualification,KROON Mireille (SUI),KUSINSKA Klaudia (POL),KUSINSKA Klaudia
2017 European Championships Qualification 4th round 2016,2016-12-13,MISCHEK-COLUCCI Karoline,MALOKU Vlona,3,0,"11,11,11|5,6,8",,OTHER,WT,519,Qualification,MALOKU Vlona (KOS),MISCHEK-COLUCCI Karoline (AUT),MISCHEK-COLUCCI Karoline
2017 European Championships Qualification 4th round 2016,2016-12-13,SOLJA Amelie,ZEQIRI Linda,3,0,"11,11,11|2,1,8",,OTHER,WT,519,Qualification,ZEQIRI Linda (KOS),SOLJA Amelie (AUT),SOLJA Amelie
2017 European Championships Qualification 4th round 2016,2016-12-13,HALITI Ilirjana,LEITNER Selina,3,1,"11,6,11,13|6,11,8,11",,OTHER,WT,519,Qualification,HALITI Ilirjana (KOS),LEITNER Selina (AUT),HALITI Ilirjana
2017 European Championships Qualification 4th round 2016,2016-12-13,SOLJA Amelie,MALOKU Vlona,3,0,"11,11,11|5,9,3",,OTHER,WT,519,Qualification,MALOKU Vlona (KOS),SOLJA Amelie (AUT),SOLJA Amelie
2017 European Championships Qualification 4th round 2016,2016-12-13,TOMANOVSKA Katerina,STUCKYTE Egle,3,0,"11,11,12|8,9,10",,OTHER,WT,519,Qualification,STUCKYTE Egle (LTU),TOMANOVSKA Katerina (CZE),TOMANOVSKA Katerina
2017 European Championships Qualification 4th round 2016,2016-12-13,VACENOVSKA Iveta,BASKUTYTE Ugne,3,0,"11,11,11|4,5,5",,OTHER,WT,519,Qualification,BASKUTYTE Ugne (LTU),VACENOVSKA Iveta (CZE),VACENOVSKA Iveta
2017 European Championships Qualification 4th round 2016,2016-12-13,MATELOVA Hana,RILISKYTE Kornelija,3,0,"11,11,11|6,5,2",,OTHER,WT,519,Qualification,RILISKYTE Kornelija (LTU),MATELOVA Hana (CZE),MATELOVA Hana
2017 European Championships Qualification 4th round 2016,2016-12-13,LOEUILLETTE Stephanie,COLANTONI Chiara,3,0,"11,11,11|3,4,4",,OTHER,WT,519,Qualification,COLANTONI Chiara (ITA),LOEUILLETTE Stephanie (FRA),LOEUILLETTE Stephanie
2017 European Championships Qualification 4th round 2016,2016-12-13,GASNIER Laura,LE Thi Hong Loan,3,1,"11,11,7,11|4,4,11,9",,OTHER,WT,519,Qualification,LE Thi Hong Loan (ITA),GASNIER Laura (FRA),GASNIER Laura
2017 European Championships Qualification 4th round 2016,2016-12-13,CHASSELIN Pauline,LAURENTI Jamila,3,2,"6,11,7,11,11|11,7,11,5,9",,OTHER,WT,519,Qualification,LAURENTI Jamila (ITA),CHASSELIN Pauline (FRA),CHASSELIN Pauline
2017 European Championships Qualification 4th round 2016,2016-12-13,PERGEL Szandra,LOYEN Eline,3,0,"11,11,11|7,3,4",,OTHER,WT,519,Qualification,LOYEN Eline (BEL),PERGEL Szandra (HUN),PERGEL Szandra
2017 European Championships Qualification 4th round 2016,2016-12-13,MADARASZ Dora,MARCHETTI Nathalie,3,0,"11,11,11|8,7,9",,OTHER,WT,519,Qualification,MARCHETTI Nathalie (BEL),MADARASZ Dora (HUN),MADARASZ Dora
2017 European Championships Qualification 4th round 2016,2016-12-13,AMBRUS Krisztina,DEGRAEF Margo,3,2,"10,6,11,11,11|12,11,5,7,9",,OTHER,WT,519,Qualification,DEGRAEF Margo (BEL),AMBRUS Krisztina (HUN),AMBRUS Krisztina
