tournament,date,player_a,player_b,score_a,score_b,game_scores,round,tier,sub_event,event_id,stage,player_a_raw,player_b_raw
Pro Tour Brazil Open Belo Horizonte 2008,2008-04-17,LEVIS Bruno,MANCINI Eric,4,1,"11,11,5,12,11|9,9,11,10,7",,GRAND_SLAM,MS,768,Qualification,LEVIS Bruno (CHI),MANCINI Eric (BRA)
Pro Tour Brazil Open Belo Horizonte 2008,2008-04-17,APOLONIA Tiago,MANCINI Eric,4,0,"11,11,11,11|8,2,6,7",,GRAND_SLAM,MS,768,Qualification,APOLONIA Tiago (POR),MANCINI Eric (BRA)
Pro Tour Brazil Open Belo Horizonte 2008,2008-04-17,APOLONIA Tiago,LEVIS Bruno,4,1,"11,11,11,8,11|2,8,4,11,6",,GRAND_SLAM,MS,768,Qualification,APOLONIA Tiago (POR),LEVIS Bruno (CHI)
Pro Tour Brazil Open Belo Horizonte 2008,2008-04-17,KIM Kyungmin,VITTA Kilomo,4,1,"13,12,12,11,11|11,14,10,9,1",,GRAND_SLAM,MS,768,Qualification,KIM Kyungmin (KOR),VITTA Kilomo (BEL)
Pro Tour Brazil Open Belo Horizonte 2008,2008-04-17,KIM Kyungmin,HOYAMA Hugo,4,1,"11,6,11,11,11|9,11,7,8,4",,GRAND_SLAM,MS,768,Qualification,KIM Kyungmin (KOR),HOYAMA Hugo (BRA)
Pro Tour Brazil Open Belo Horizonte 2008,2008-04-17,VITTA Kilomo,HOYAMA Hugo,4,1,"11,5,11,11,11|8,11,6,6,7",,GRAND_SLAM,MS,768,Qualification,VITTA Kilomo (BEL),HOYAMA Hugo (BRA)
Pro Tour Brazil Open Belo Horizonte 2008,2008-04-17,MEHTA Pathik,CASTRO Lidney,4,2,"9,7,11,11,11,11|11,11,7,4,8,9",,GRAND_SLAM,MS,768,Qualification,MEHTA Pathik (IND),CASTRO Lidney (USA)
Pro Tour Brazil Open Belo Horizonte 2008,2008-04-17,FREITAS Marcos,CASTRO Lidney,4,0,"11,12,11,11|7,10,9,5",,GRAND_SLAM,MS,768,Qualification,FREITAS Marcos (POR),CASTRO Lidney (USA)
Pro Tour Brazil Open Belo Horizonte 2008,2008-04-17,FREITAS Marcos,MEHTA Pathik,4,1,"11,8,11,16,11|8,11,7,14,5",,GRAND_SLAM,MS,768,Qualification,FREITAS Marcos (POR),MEHTA Pathik (IND)
Pro Tour Brazil Open Belo Horizonte 2008,2008-04-17,KIM Bumseob,BARRETO Israel,4,2,"11,11,6,5,11,11|4,4,11,11,7,7",,GRAND_SLAM,MS,768,Qualification,KIM Bumseob (KOR),BARRETO Israel (BRA)
Pro Tour Brazil Open Belo Horizonte 2008,2008-04-17,GACINA Andrej,KIM Bumseob,4,1,"11,11,11,11,11|13,8,6,6,9",,GRAND_SLAM,MS,768,Qualification,GACINA Andrej (CRO),KIM Bumseob (KOR)
Pro Tour Brazil Open Belo Horizonte 2008,2008-04-17,GACINA Andrej,BARRETO Israel,4,0,"11,11,11,11|6,7,7,9",,GRAND_SLAM,MS,768,Qualification,GACINA Andrej (CRO),BARRETO Israel (BRA)
Pro Tour Brazil Open Belo Horizonte 2008,2008-04-17,UEDA Jin,YAMAZATO Fernando,4,0,"11,11,11,11|6,7,2,6",,GRAND_SLAM,MS,768,Qualification,UEDA Jin (JPN),YAMAZATO Fernando (BRA)
Pro Tour Brazil Open Belo Horizonte 2008,2008-04-17,JOVER Sebastien,YAMAZATO Fernando,4,3,"11,11,11,14,4,10,11|3,8,13,12,11,12,7",,GRAND_SLAM,MS,768,Qualification,JOVER Sebastien (FRA),YAMAZATO Fernando (BRA)
