tournament,date,player_a,player_b,score_a,score_b,game_scores,round,tier,sub_event,event_id,stage,player_a_raw,player_b_raw,winner_raw
Brazilian Open Sao Paulo 2002,2002-07-11,COELLO Geovanny,CAVALCANTE Andre,4,2,"4,11,11,7,11,11|11,7,8,11,7,9",,GRAND_SLAM,MS,1318,Qualification,COELLO Geovanny (ECU),CAVALCANTE Andre (BRA),COELLO Geovanny
Brazilian Open Sao Paulo 2002,2002-07-11,FEJER-KONNERTH Zoltan,COELLO Geovanny,4,0,"11,11,11,11|5,5,3,4",,GRAND_SLAM,MS,1318,Qualification,FEJER-KONNERTH Zoltan (GER),COELLO Geovanny (ECU),FEJER-KONNERTH Zoltan
Brazilian Open Sao Paulo 2002,2002-07-11,FEJER-KONNERTH Zoltan,CAVALCANTE Andre,4,0,"11,11,11,11|5,8,3,6",,GRAND_SLAM,MS,1318,Qualification,FEJER-KONNERTH Zoltan (GER),CAVALCANTE Andre (BRA),FEJER-KONNERTH Zoltan
Brazilian Open Sao Paulo 2002,2002-07-11,BITZIGEIO Jorg,ABDALA Bruno,4,0,"11,11,11,11|3,2,3,7",,GRAND_SLAM,MS,1318,Qualification,BITZIGEIO Jorg (GER),ABDALA Bruno (BRA),BITZIGEIO Jorg
Brazilian Open Sao Paulo 2002,2002-07-11,KIHO Shinnosuke,BITZIGEIO Jorg,4,2,"11,8,13,7,13,11|7,11,11,11,11,5",,GRAND_SLAM,MS,1318,Qualification,KIHO Shinnosuke (JPN),BITZIGEIO Jorg (GER),KIHO Shinnosuke
Brazilian Open Sao Paulo 2002,2002-07-11,KIHO Shinnosuke,ABDALA Bruno,4,0,"11,11,11,11|8,5,8,2",,GRAND_SLAM,MS,1318,Qualification,KIHO Shinnosuke (JPN),ABDALA Bruno (BRA),KIHO Shinnosuke
Brazilian Open Sao Paulo 2002,2002-07-11,SANADA Koji,CARDOSO Rivalino,4,0,"11,11,11,11|5,7,4,4",,GRAND_SLAM,MS,1318,Qualification,SANADA Koji (JPN),CARDOSO Rivalino (BRA),SANADA Koji
Brazilian Open Sao Paulo 2002,2002-07-11,ARAI Shu,TAKAYAMA Thiago,4,0,"11,11,11,11|1,7,7,6",,GRAND_SLAM,MS,1318,Qualification,ARAI Shu (JPN),TAKAYAMA Thiago (BRA),ARAI Shu
Brazilian Open Sao Paulo 2002,2002-07-11,CLOSSET Marc,ARAI Shu,4,2,"12,11,10,11,11,11|10,5,12,7,13,9",,GRAND_SLAM,MS,1318,Qualification,CLOSSET Marc (BEL),ARAI Shu (JPN),CLOSSET Marc
Brazilian Open Sao Paulo 2002,2002-07-11,CLOSSET Marc,TAKAYAMA Thiago,4,0,"12,11,11,11|10,3,5,3",,GRAND_SLAM,MS,1318,Qualification,CLOSSET Marc (BEL),TAKAYAMA Thiago (BRA),CLOSSET Marc
Brazilian Open Sao Paulo 2002,2002-07-11,JINDRAK Karl,VENTURA DOS ANJOS Bruno,4,0,"12,11,11,11|10,6,8,7",,GRAND_SLAM,MS,1318,Qualification,JINDRAK Karl (AUT),VENTURA DOS ANJOS Bruno (BRA),JINDRAK Karl
Brazilian Open Sao Paulo 2002,2002-07-11,FETH Stefan,YAMAMOTO Reinaldo,4,0,"11,11,11,11|3,2,7,4",,GRAND_SLAM,MS,1318,Qualification,FETH Stefan (GER),YAMAMOTO Reinaldo (BRA),FETH Stefan
Brazilian Open Sao Paulo 2002,2002-07-11,MONTEIRO Thiago,TAKAMORI Hidero,4,1,"9,11,11,11,11|11,5,5,6,7",,GRAND_SLAM,MS,1318,Qualification,MONTEIRO Thiago (BRA),TAKAMORI Hidero (JPN),MONTEIRO Thiago
Brazilian Open Sao Paulo 2002,2002-07-11,PAPIC Juan,TSUBOI Gustavo,4,2,"11,6,11,4,11,11|5,11,6,11,6,8",,GRAND_SLAM,MS,1318,Qualification,PAPIC Juan (CHI),TSUBOI Gustavo (BRA),PAPIC Juan
Brazilian Open Sao Paulo 2002,2002-07-11,SAKAMOTO Ryusuke,TSUBOI Gustavo,4,2,"11,11,11,6,4,14|7,8,8,11,11,12",,GRAND_SLAM,MS,1318,Qualification,SAKAMOTO Ryusuke (JPN),TSUBOI Gustavo (BRA),SAKAMOTO Ryusuke
Brazilian Open Sao Paulo 2002,2002-07-11,PAPIC Juan,SAKAMOTO Ryusuke,4,3,"11,10,6,11,15,9,11|9,12,11,8,13,11,7",,GRAND_SLAM,MS,1318,Qualification,PAPIC Juan (CHI),SAKAMOTO Ryusuke (JPN),PAPIC Juan
Brazilian Open Sao Paulo 2002,2002-07-11,HANASHIRO Hugo,CARVALHO Efraim,4,1,"11,9,11,11,11|6,11,7,8,4",,GRAND_SLAM,MS,1318,Qualification,HANASHIRO Hugo (BRA),CARVALHO Efraim (BRA),HANASHIRO Hugo
Brazilian Open Sao Paulo 2002,2002-07-11,TANIGUCHI Yuji,CARVALHO Efraim,4,0,"11,11,11,11|4,6,9,5",,GRAND_SLAM,MS,1318,Qualification,TANIGUCHI Yuji (JPN),CARVALHO Efraim (BRA),TANIGUCHI Yuji
Brazilian Open Sao Paulo 2002,2002-07-11,HANASHIRO Hugo,TANIGUCHI Yuji,4,3,"7,5,9,11,11,11,11|11,11,11,7,6,9,7",,GRAND_SLAM,MS,1318,Qualification,HANASHIRO Hugo (BRA),TANIGUCHI Yuji (JPN),HANASHIRO Hugo
Brazilian Open Sao Paulo 2002,2002-07-11,KISHIKAWA Seiya,RAMOS FILHO Pedro,4,0,"12,11,11,11|10,7,7,4",,GRAND_SLAM,MS,1318,Qualification,KISHIKAWA Seiya (JPN),RAMOS FILHO Pedro (BRA),KISHIKAWA Seiya
