tournament,date,player_a,player_b,score_a,score_b,game_scores,round,tier,sub_event,event_id,stage,player_a_raw,player_b_raw,winner_raw
2022 Commonwealth Games,2022-07-28,ARUNA Quadri,RUMGAY Gavin,4,0,"11,11,11,11|2,8,3,9",R16,OTHER,MS,2614,Main Draw,ARUNA Quadri (NGR),RUMGAY Gavin (SCO),ARUNA Quadri
2022 Commonwealth Games,2022-07-28,DRINKHALL Paul,CHEW Clarence,4,0,"11,11,11,11|5,5,3,9",R16,OTHER,MS,2614,Main Draw,DRINKHALL Paul (ENG),CHEW Clarence (SGP),DRINKHALL Paul
2022 Commonwealth Games,2022-07-28,QUEK Izaac,WANG Eugene,4,3,"11,11,8,6,6,11,11|5,5,11,11,11,9,6",R16,OTHER,MS,2614,Main Draw,QUEK Izaac (SGP),WANG Eugene (CAN),QUEK Izaac
2022 Commonwealth Games,2022-07-28,ACHANTA Sharath,OMOTAYO Olajide,4,2,"8,11,11,11,12,11|11,3,6,6,14,9",R16,OTHER,MS,2614,Main Draw,ACHANTA Sharath (IND),OMOTAYO Olajide (NGR),ACHANTA Sharath
2022 Commonwealth Games,2022-07-28,GNANASEKARAN Sathiyan,LUM Nicholas,4,2,"11,7,11,9,12,11|6,11,9,11,10,6",R16,OTHER,MS,2614,Main Draw,GNANASEKARAN Sathiyan (IND),LUM Nicholas (AUS),GNANASEKARAN Sathiyan
2022 Commonwealth Games,2022-07-28,WALKER Samuel,HAZIN Jeremy,4,0,"11,11,11,11|6,6,4,6",R16,OTHER,MS,2614,Main Draw,WALKER Samuel (ENG),HAZIN Jeremy (CAN),WALKER Samuel
2022 Commonwealth Games,2022-07-28,SHETTY Sanil,ABIODUN Bode,4,2,"9,11,11,9,15,11|11,8,8,11,13,8",R16,OTHER,MS,2614,Main Draw,SHETTY Sanil (IND),ABIODUN Bode (NGR),SHETTY Sanil
2022 Commonwealth Games,2022-07-28,PITCHFORD Liam,PANG Koen,4,0,"17,11,11,11|15,6,5,2",R16,OTHER,MS,2614,Main Draw,PITCHFORD Liam (ENG),PANG Koen (SGP),PITCHFORD Liam
2022 Commonwealth Games,2022-07-28,DRINKHALL Paul,ARUNA Quadri,5,1,"12,8,11,11,11|10,11,7,4,6",QF,OTHER,MS,2614,Main Draw,DRINKHALL Paul (ENG),ARUNA Quadri (NGR),DRINKHALL Paul
2022 Commonwealth Games,2022-07-28,ACHANTA Sharath,QUEK Izaac,4,0,"11,11,11,11|6,7,4,7",QF,OTHER,MS,2614,Main Draw,ACHANTA Sharath (IND),QUEK Izaac (SGP),ACHANTA Sharath
2022 Commonwealth Games,2022-07-28,GNANASEKARAN Sathiyan,WALKER Samuel,4,2,"11,11,11,8,10,11|5,7,5,11,12,9",QF,OTHER,MS,2614,Main Draw,GNANASEKARAN Sathiyan (IND),WALKER Samuel (ENG),GNANASEKARAN Sathiyan
