tournament,date,player_a,player_b,score_a,score_b,game_scores,round,tier,sub_event,event_id,stage,player_a_raw,player_b_raw
World Table Tennis Championships Suzhou 2015,2015-04-26,YAN An/WU Yang,LEBESSON Emmanuel/CHEN Meng,4,2,"15,7,11,12,13,13|17,11,7,10,11,11",R32,WORLD_CHAMPIONSHIPS,XD,326,Main Draw,YAN An (CHN) / WU Yang (CHN),LEBESSON Emmanuel (FRA) / CHEN Meng (CHN)
World Table Tennis Championships Suzhou 2015,2015-04-26,YAN An/WU Yang,JAKAB Janos/PERGEL Szandra,4,1,"11,11,8,11,11|8,2,11,9,3",R16,WORLD_CHAMPIONSHIPS,XD,326,Main Draw,YAN An (CHN) / WU Yang (CHN),JAKAB Janos (HUN) / PERGEL Szandra (HUN)
World Table Tennis Championships Suzhou 2015,2015-04-26,PHATHAPHONE Thavisack/DOUANGPANYA Seangdavieng,CALVO Allan/MARTINEZ Cynthia,4,1,"11,7,11,11,11|8,11,5,9,7",R128,WORLD_CHAMPIONSHIPS,XD,326,Main Draw,PHATHAPHONE Thavisack (LAO) / DOUANGPANYA Seangdavieng (LAO),CALVO Allan (CRC) / MARTINEZ Cynthia (CRC)
World Table Tennis Championships Suzhou 2015,2015-04-26,EKHOLM Matilda/RAKOVAC Lea,EERLAND Britt/LI Jiao,4,2,"11,11,8,6,11,11|9,7,11,11,9,1",R64,WORLD_CHAMPIONSHIPS,WD,326,Main Draw,EKHOLM Matilda (SWE) / RAKOVAC Lea (CRO),EERLAND Britt (NED) / LI Jiao (NED)
World Table Tennis Championships Suzhou 2015,2015-04-26,FENG Tianwei/YU Mengyu,EKHOLM Matilda/RAKOVAC Lea,4,2,"7,11,11,11,3,11|11,7,5,9,11,3",R32,WORLD_CHAMPIONSHIPS,WD,326,Main Draw,FENG Tianwei (SGP) / YU Mengyu (SGP),EKHOLM Matilda (SWE) / RAKOVAC Lea (CRO)
World Table Tennis Championships Suzhou 2015,2015-04-26,PUCAR Tomislav/RAKOVAC Lea,JHA Kanak/JHA Prachi,4,1,"9,11,11,11,11|11,9,7,2,8",R128,WORLD_CHAMPIONSHIPS,XD,326,Main Draw,PUCAR Tomislav (CRO) / RAKOVAC Lea (CRO),JHA Kanak (USA) / JHA Prachi (USA)
World Table Tennis Championships Suzhou 2015,2015-04-26,KOLAREK Tomislav/TIAN Yuan,KRASTEV Petyo/KAROVA Anelia,4,1,"11,9,11,13,11|2,11,8,11,7",R128,WORLD_CHAMPIONSHIPS,XD,326,Main Draw,KOLAREK Tomislav (CRO) / TIAN Yuan (CRO),KRASTEV Petyo (BUL) / KAROVA Anelia (BUL)
World Table Tennis Championships Suzhou 2015,2015-04-26,YAN An/WU Yang,PUCAR Tomislav/RAKOVAC Lea,4,2,"7,2,15,11,12,11|11,11,13,8,10,3",R64,WORLD_CHAMPIONSHIPS,XD,326,Main Draw,YAN An (CHN) / WU Yang (CHN),PUCAR Tomislav (CRO) / RAKOVAC Lea (CRO)
World Table Tennis Championships Suzhou 2015,2015-04-26,KOLAREK Tomislav/TIAN Yuan,WANG Zengyi/PARTYKA Natalia,4,3,"5,11,11,2,6,11,17|11,3,4,11,11,6,15",R64,WORLD_CHAMPIONSHIPS,XD,326,Main Draw,KOLAREK Tomislav (CRO) / TIAN Yuan (CRO),WANG Zengyi (POL) / PARTYKA Natalia (POL)
World Table Tennis Championships Suzhou 2015,2015-04-26,KONECNY Tomas/TREGLER Tomas,POWELL David/TOWNSEND Kane,4,0,"11,14,11,11|6,12,4,6",R64,WORLD_CHAMPIONSHIPS,MD,326,Main Draw,KONECNY Tomas (CZE) / TREGLER Tomas (CZE),POWELL David (AUS) / TOWNSEND Kane (AUS)
World Table Tennis Championships Suzhou 2015,2015-04-26,JANCARIK Lubomir/VACENOVSKA Iveta,WANG Timothy/HUGH Judy,4,2,"12,14,11,7,8,11|10,12,7,11,11,4",R128,WORLD_CHAMPIONSHIPS,XD,326,Main Draw,JANCARIK Lubomir (CZE) / VACENOVSKA Iveta (CZE),WANG Timothy (USA) / HUGH Judy (USA)
World Table Tennis Championships Suzhou 2015,2015-04-26,KONECNY Tomas/MATELOVA Hana,KHANIN Aleksandr/TRIGOLOS Daria,4,0,"11,11,11,11|6,6,2,9",R128,WORLD_CHAMPIONSHIPS,XD,326,Main Draw,KONECNY Tomas (CZE) / MATELOVA Hana (CZE),KHANIN Aleksandr (BLR) / TRIGOLOS Daria (BLR)
World Table Tennis Championships Suzhou 2015,2015-04-26,JANCARIK Lubomir/VACENOVSKA Iveta,PLATONOV Pavel/BARAVOK Katsiaryna,4,1,"11,11,8,11,11|7,5,11,9,4",R64,WORLD_CHAMPIONSHIPS,XD,326,Main Draw,JANCARIK Lubomir (CZE) / VACENOVSKA Iveta (CZE),PLATONOV Pavel (BLR) / BARAVOK Katsiaryna (BLR)
World Table Tennis Championships Suzhou 2015,2015-04-26,KONECNY Tomas/MATELOVA Hana,ELBEIALI Mohamed/ELDAWLATLY Nadeen,4,2,"11,11,12,9,8,11|7,7,10,11,11,5",R64,WORLD_CHAMPIONSHIPS,XD,326,Main Draw,KONECNY Tomas (CZE) / MATELOVA Hana (CZE),ELBEIALI Mohamed (EGY) / ELDAWLATLY Nadeen (EGY)
World Table Tennis Championships Suzhou 2015,2015-04-26,JAKAB Janos/PERGEL Szandra,JANCARIK Lubomir/VACENOVSKA Iveta,4,1,"9,11,11,11,13|11,8,4,8,11",R32,WORLD_CHAMPIONSHIPS,XD,326,Main Draw,JAKAB Janos (HUN) / PERGEL Szandra (HUN),JANCARIK Lubomir (CZE) / VACENOVSKA Iveta (CZE)
World Table Tennis Championships Suzhou 2015,2015-04-26,ASSAR Khalid/ASSAR Omar,BOBOCICA Mihai/STOYANOV Niagol,4,1,"11,9,11,11,11|9,11,7,9,6",R64,WORLD_CHAMPIONSHIPS,MD,326,Main Draw,ASSAR Khalid (EGY) / ASSAR Omar (EGY),BOBOCICA Mihai (ITA) / STOYANOV Niagol (ITA)
World Table Tennis Championships Suzhou 2015,2015-04-26,MATSUDAIRA Kenta/NIWA Koki,ASSAR Khalid/ASSAR Omar,4,0,"12,11,11,11|10,5,6,7",R32,WORLD_CHAMPIONSHIPS,MD,326,Main Draw,MATSUDAIRA Kenta (JPN) / NIWA Koki (JPN),ASSAR Khalid (EGY) / ASSAR Omar (EGY)
World Table Tennis Championships Suzhou 2015,2015-04-26,DURAN Marc/ROBLES Alvaro,HO Kwan Kit/LI Hon Ming,4,1,"11,9,11,12,11|8,11,8,10,5",R64,WORLD_CHAMPIONSHIPS,MD,326,Main Draw,DURAN Marc (ESP) / ROBLES Alvaro (ESP),HO Kwan Kit (HKG) / LI Hon Ming (HKG)
World Table Tennis Championships Suzhou 2015,2015-04-26,HU Melek/SHEN Yanfei,DE NUTTE Sarah/NI Xia Lian,4,0,"11,12,14,11|8,10,12,6",R64,WORLD_CHAMPIONSHIPS,WD,326,Main Draw,HU Melek (TUR) / SHEN Yanfei (ESP),DE NUTTE Sarah (LUX) / NI Xia Lian (LUX)
World Table Tennis Championships Suzhou 2015,2015-04-26,HU Melek/SHEN Yanfei,HANFFOU Sarah/OSHONAIKE Olufunke,4,1,"13,8,11,11,11|11,11,6,6,3",R32,WORLD_CHAMPIONSHIPS,WD,326,Main Draw,HU Melek (TUR) / SHEN Yanfei (ESP),HANFFOU Sarah (CMR) / OSHONAIKE Olufunke (NGR)
World Table Tennis Championships Suzhou 2015,2015-04-26,LI Jie/LI Qian,HU Melek/SHEN Yanfei,4,0,"11,11,11,11|2,6,9,4",QF,WORLD_CHAMPIONSHIPS,WD,326,Main Draw,LI Jie (NED) / LI Qian (POL),HU Melek (TUR) / SHEN Yanfei (ESP)
World Table Tennis Championships Suzhou 2015,2015-04-26,GAUZY Simon/LEBESSON Emmanuel,DEVOS Robin/NUYTINCK Cedric,4,3,"7,11,9,11,9,11,11|11,4,11,5,11,7,6",R64,WORLD_CHAMPIONSHIPS,MD,326,Main Draw,GAUZY Simon (FRA) / LEBESSON Emmanuel (FRA),DEVOS Robin (BEL) / NUYTINCK Cedric (BEL)
World Table Tennis Championships Suzhou 2015,2015-04-26,GAUZY Simon/LEBESSON Emmanuel,CHEN Chien-An/CHUANG Chih-Yuan,4,0,"11,12,11,11|7,10,4,9",R32,WORLD_CHAMPIONSHIPS,MD,326,Main Draw,GAUZY Simon (FRA) / LEBESSON Emmanuel (FRA),CHEN Chien-An (TPE) / CHUANG Chih-Yuan (TPE)
World Table Tennis Championships Suzhou 2015,2015-04-26,GAUZY Simon/GRUNDISCH Carole,CORREA Cecilio/MONTERO Winberly,4,0,"11,13,11,11|6,11,1,7",R128,WORLD_CHAMPIONSHIPS,XD,326,Main Draw,GAUZY Simon (FRA) / GRUNDISCH Carole (FRA),CORREA Cecilio (VEN) / MONTERO Winberly (VEN)
World Table Tennis Championships Suzhou 2015,2015-04-26,JIANG Tianyi/LEE Ho Ching,GAUZY Simon/GRUNDISCH Carole,4,0,"11,11,11,11|6,7,7,8",R64,WORLD_CHAMPIONSHIPS,XD,326,Main Draw,JIANG Tianyi (HKG) / LEE Ho Ching (HKG),GAUZY Simon (FRA) / GRUNDISCH Carole (FRA)
World Table Tennis Championships Suzhou 2015,2015-04-26,FRANZISKA Patrick/STEGER Bastian,OCONNOR Miikka/OLAH Benedek,4,1,"11,11,9,11,11|3,5,11,6,7",R64,WORLD_CHAMPIONSHIPS,MD,326,Main Draw,FRANZISKA Patrick (GER) / STEGER Bastian (GER),OCONNOR Miikka (FIN) / OLAH Benedek (FIN)
World Table Tennis Championships Suzhou 2015,2015-04-26,MORIZONO Masataka/OSHIMA Yuya,FRANZISKA Patrick/STEGER Bastian,4,2,"11,11,11,11,9,11|13,9,6,2,11,3",R32,WORLD_CHAMPIONSHIPS,MD,326,Main Draw,MORIZONO Masataka (JPN) / OSHIMA Yuya (JPN),FRANZISKA Patrick (GER) / STEGER Bastian (GER)
World Table Tennis Championships Suzhou 2015,2015-04-26,MITTELHAM Nina/SOLJA Petrissa,GUFRANOVA Rimma/KIM Regina,4,1,"10,11,11,11,11|12,6,1,7,7",R64,WORLD_CHAMPIONSHIPS,WD,326,Main Draw,MITTELHAM Nina (GER) / SOLJA Petrissa (GER),GUFRANOVA Rimma (UZB) / KIM Regina (UZB)
World Table Tennis Championships Suzhou 2015,2015-04-26,MITTELHAM Nina/SOLJA Petrissa,BILENKO Tetyana/HAPONOVA Hanna,4,1,"12,11,11,11,11|10,9,9,13,8",R32,WORLD_CHAMPIONSHIPS,WD,326,Main Draw,MITTELHAM Nina (GER) / SOLJA Petrissa (GER),BILENKO Tetyana (UKR) / HAPONOVA Hanna (UKR)
World Table Tennis Championships Suzhou 2015,2015-04-26,DING Ning/LI Xiaoxia,MITTELHAM Nina/SOLJA Petrissa,4,0,"11,11,11,11|9,2,2,3",R16,WORLD_CHAMPIONSHIPS,WD,326,Main Draw,DING Ning (CHN) / LI Xiaoxia (CHN),MITTELHAM Nina (GER) / SOLJA Petrissa (GER)
World Table Tennis Championships Suzhou 2015,2015-04-26,MENGEL Steffen/SOLJA Petrissa,THERIAULT Pierre-Luc/ZHANG Mo,4,2,"11,4,11,11,8,11|5,11,4,7,11,5",R128,WORLD_CHAMPIONSHIPS,XD,326,Main Draw,MENGEL Steffen (GER) / SOLJA Petrissa (GER),THERIAULT Pierre-Luc (CAN) / ZHANG Mo (CAN)
World Table Tennis Championships Suzhou 2015,2015-04-26,MENGEL Steffen/SOLJA Petrissa,PHATHAPHONE Thavisack/DOUANGPANYA Seangdavieng,4,0,,R64,WORLD_CHAMPIONSHIPS,XD,326,Main Draw,MENGEL Steffen (GER) / SOLJA Petrissa (GER),PHATHAPHONE Thavisack (LAO) / DOUANGPANYA Seangdavieng (LAO)
World Table Tennis Championships Suzhou 2015,2015-04-26,MENGEL Steffen/SOLJA Petrissa,MACHADO Carlos/SHEN Yanfei,4,1,"11,7,11,11,11|9,11,7,7,7",R32,WORLD_CHAMPIONSHIPS,XD,326,Main Draw,MENGEL Steffen (GER) / SOLJA Petrissa (GER),MACHADO Carlos (ESP) / SHEN Yanfei (ESP)
World Table Tennis Championships Suzhou 2015,2015-04-26,MENGEL Steffen/SOLJA Petrissa,JIANG Tianyi/LEE Ho Ching,4,1,"7,13,14,11,11|11,11,12,5,7",R16,WORLD_CHAMPIONSHIPS,XD,326,Main Draw,MENGEL Steffen (GER) / SOLJA Petrissa (GER),JIANG Tianyi (HKG) / LEE Ho Ching (HKG)
World Table Tennis Championships Suzhou 2015,2015-04-26,LEE Sang Su/SEO Hyundeok,GIONIS Panagiotis/PAPAGEORGIOU Konstantinos,4,0,"12,11,11,11|10,5,8,4",R32,WORLD_CHAMPIONSHIPS,MD,326,Main Draw,LEE Sang Su (KOR) / SEO Hyundeok (KOR),GIONIS Panagiotis (GRE) / PAPAGEORGIOU Konstantinos (GRE)
World Table Tennis Championships Suzhou 2015,2015-04-26,CHUANG Chih-Yuan/CHENG I-Ching,KREANGA Kalinikos/PAPADAKI Angeliki,4,0,"11,11,11,11|4,7,7,7",R128,WORLD_CHAMPIONSHIPS,XD,326,Main Draw,CHUANG Chih-Yuan (TPE) / CHENG I-Ching (TPE),KREANGA Kalinikos (GRE) / PAPADAKI Angeliki (GRE)
World Table Tennis Championships Suzhou 2015,2015-04-26,JIANG Tianyi/LEE Ho Ching,GIONIS Panagiotis/TOLIOU Aikaterini,4,2,"3,11,11,5,11,11|11,7,8,11,6,2",R128,WORLD_CHAMPIONSHIPS,XD,326,Main Draw,JIANG Tianyi (HKG) / LEE Ho Ching (HKG),GIONIS Panagiotis (GRE) / TOLIOU Aikaterini (GRE)
World Table Tennis Championships Suzhou 2015,2015-04-26,FAN Zhendong/ZHOU Yu,MADRID Marcos/RAMIREZ Jose Miguel,4,0,"11,11,11,11|9,5,7,4",R64,WORLD_CHAMPIONSHIPS,MD,326,Main Draw,FAN Zhendong (CHN) / ZHOU Yu (CHN),MADRID Marcos (MEX) / RAMIREZ Jose Miguel (GUA)
World Table Tennis Championships Suzhou 2015,2015-04-26,HIRANO Miu/ITO Mima,HELMY Yousra/MONTUFAR Andrea,4,0,"11,11,11,11|6,3,4,2",R64,WORLD_CHAMPIONSHIPS,WD,326,Main Draw,HIRANO Miu (JPN) / ITO Mima (JPN),HELMY Yousra (EGY) / MONTUFAR Andrea (GUA)
World Table Tennis Championships Suzhou 2015,2015-04-26,GRZYBOWSKA-FRANC Katarzyna/PARTYKA Natalia,ENRIQUEZ Mabelyn/ESTRADA Andrea,4,0,"11,11,11,11|9,7,3,3",R64,WORLD_CHAMPIONSHIPS,WD,326,Main Draw,GRZYBOWSKA-FRANC Katarzyna (POL) / PARTYKA Natalia (POL),ENRIQUEZ Mabelyn (GUA) / ESTRADA Andrea (GUA)
World Table Tennis Championships Suzhou 2015,2015-04-26,GATICA Hector/ENRIQUEZ Mabelyn,LIN Yi-Sien/YANG Annie,4,3,"8,12,11,11,8,7,11|11,10,5,5,11,11,6",R128,WORLD_CHAMPIONSHIPS,XD,326,Main Draw,GATICA Hector (GUA) / ENRIQUEZ Mabelyn (GUA),LIN Yi-Sien (NZL) / YANG Annie (NZL)
World Table Tennis Championships Suzhou 2015,2015-04-26,RAMIREZ Jose Miguel/ESTRADA Andrea,KARTUZOVS Olegs/MAJOROVA Viktorija,4,3,"11,11,9,9,11,6,11|7,6,11,11,7,11,5",R128,WORLD_CHAMPIONSHIPS,XD,326,Main Draw,RAMIREZ Jose Miguel (GUA) / ESTRADA Andrea (GUA),KARTUZOVS Olegs (LAT) / MAJOROVA Viktorija (LAT)
World Table Tennis Championships Suzhou 2015,2015-04-26,CHEN Diogo/OLIVEIRA Leila,GATICA Hector/ENRIQUEZ Mabelyn,4,2,"11,8,7,11,11,11|4,11,11,1,7,7",R64,WORLD_CHAMPIONSHIPS,XD,326,Main Draw,CHEN Diogo (POR) / OLIVEIRA Leila (POR),GATICA Hector (GUA) / ENRIQUEZ Mabelyn (GUA)
World Table Tennis Championships Suzhou 2015,2015-04-26,LEE Sang Su/PARK Youngsook,RAMIREZ Jose Miguel/ESTRADA Andrea,4,0,"11,11,11,11|1,1,3,3",R64,WORLD_CHAMPIONSHIPS,XD,326,Main Draw,LEE Sang Su (KOR) / PARK Youngsook (KOR),RAMIREZ Jose Miguel (GUA) / ESTRADA Andrea (GUA)
World Table Tennis Championships Suzhou 2015,2015-04-26,TANG Peng/WONG Chun Ting,GLOD Eric/RUMGAY Gavin,4,0,"11,11,11,11|9,8,2,8",R64,WORLD_CHAMPIONSHIPS,MD,326,Main Draw,TANG Peng (HKG) / WONG Chun Ting (HKG),GLOD Eric (LUX) / RUMGAY Gavin (SCO)
World Table Tennis Championships Suzhou 2015,2015-04-26,TANG Peng/WONG Chun Ting,GAO Ning/YANG Zi,4,0,"11,13,14,13|6,11,12,11",R32,WORLD_CHAMPIONSHIPS,MD,326,Main Draw,TANG Peng (HKG) / WONG Chun Ting (HKG),GAO Ning (SGP) / YANG Zi (SGP)
World Table Tennis Championships Suzhou 2015,2015-04-26,FAN Zhendong/ZHOU Yu,TANG Peng/WONG Chun Ting,4,1,"11,12,11,9,11|6,10,9,11,3",R16,WORLD_CHAMPIONSHIPS,MD,326,Main Draw,FAN Zhendong (CHN) / ZHOU Yu (CHN),TANG Peng (HKG) / WONG Chun Ting (HKG)
World Table Tennis Championships Suzhou 2015,2015-04-26,DOO Hoi Kem/LEE Ho Ching,SERRANO Monica/UMBACIA Angie,4,0,"11,11,11,11|2,5,3,5",R64,WORLD_CHAMPIONSHIPS,WD,326,Main Draw,DOO Hoi Kem (HKG) / LEE Ho Ching (HKG),SERRANO Monica (MEX) / UMBACIA Angie (COL)
World Table Tennis Championships Suzhou 2015,2015-04-26,JIANG Huajun/TIE Yana,ARLOUSKAYA Alina/BARAVOK Katsiaryna,4,0,"11,11,11,11|4,5,6,6",R64,WORLD_CHAMPIONSHIPS,WD,326,Main Draw,JIANG Huajun (HKG) / TIE Yana (HKG),ARLOUSKAYA Alina (BLR) / BARAVOK Katsiaryna (BLR)
World Table Tennis Championships Suzhou 2015,2015-04-26,DOO Hoi Kem/LEE Ho Ching,DVORAK Galia/RAMIREZ Sara,4,2,"9,11,11,11,9,11|11,6,2,3,11,6",R32,WORLD_CHAMPIONSHIPS,WD,326,Main Draw,DOO Hoi Kem (HKG) / LEE Ho Ching (HKG),DVORAK Galia (ESP) / RAMIREZ Sara (ESP)
World Table Tennis Championships Suzhou 2015,2015-04-26,JIANG Huajun/TIE Yana,ERDELJI Anamaria/FEHER Gabriela,4,2,"11,11,11,6,8,15|9,5,6,11,11,13",R32,WORLD_CHAMPIONSHIPS,WD,326,Main Draw,JIANG Huajun (HKG) / TIE Yana (HKG),ERDELJI Anamaria (SRB) / FEHER Gabriela (SRB)
World Table Tennis Championships Suzhou 2015,2015-04-26,HU Melek/SHEN Yanfei,DOO Hoi Kem/LEE Ho Ching,4,0,"11,11,12,11|8,8,10,7",R16,WORLD_CHAMPIONSHIPS,WD,326,Main Draw,HU Melek (TUR) / SHEN Yanfei (ESP),DOO Hoi Kem (HKG) / LEE Ho Ching (HKG)
World Table Tennis Championships Suzhou 2015,2015-04-26,FENG Tianwei/YU Mengyu,JIANG Huajun/TIE Yana,4,1,"8,11,12,11,11|11,7,10,7,8",R16,WORLD_CHAMPIONSHIPS,WD,326,Main Draw,FENG Tianwei (SGP) / YU Mengyu (SGP),JIANG Huajun (HKG) / TIE Yana (HKG)
World Table Tennis Championships Suzhou 2015,2015-04-26,WONG Chun Ting/DOO Hoi Kem,FERTIKOWSKI Pawel/GRZYBOWSKA-FRANC Katarzyna,4,0,"12,14,11,11|10,12,2,5",QF,WORLD_CHAMPIONSHIPS,XD,326,Main Draw,WONG Chun Ting (HKG) / DOO Hoi Kem (HKG),FERTIKOWSKI Pawel (POL) / GRZYBOWSKA-FRANC Katarzyna (POL)
World Table Tennis Championships Suzhou 2015,2015-04-26,XU Xin/YANG Ha Eun,WONG Chun Ting/DOO Hoi Kem,4,1,"11,11,9,11,11|6,5,11,5,9",SF,WORLD_CHAMPIONSHIPS,XD,326,Main Draw,XU Xin (CHN) / YANG Ha Eun (KOR),WONG Chun Ting (HKG) / DOO Hoi Kem (HKG)
World Table Tennis Championships Suzhou 2015,2015-04-26,JAKAB Janos/PERGEL Szandra,BAJRACHARYA Purshottam/MAHARJAN Rabina,4,0,"11,11,11,11|3,3,4,1",R128,WORLD_CHAMPIONSHIPS,XD,326,Main Draw,JAKAB Janos (HUN) / PERGEL Szandra (HUN),BAJRACHARYA Purshottam (NEP) / MAHARJAN Rabina (NEP)
World Table Tennis Championships Suzhou 2015,2015-04-26,JAKAB Janos/PERGEL Szandra,FEGERL Stefan/LI Qiangbing,4,3,"12,3,11,7,9,12,11|10,11,7,11,11,10,6",R64,WORLD_CHAMPIONSHIPS,XD,326,Main Draw,JAKAB Janos (HUN) / PERGEL Szandra (HUN),FEGERL Stefan (AUT) / LI Qiangbing (AUT)
World Table Tennis Championships Suzhou 2015,2015-04-26,MORIZONO Masataka/OSHIMA Yuya,ACHANTA Sharath/GNANASEKARAN Sathiyan,4,1,"11,9,11,11,11|4,11,6,4,5",R64,WORLD_CHAMPIONSHIPS,MD,326,Main Draw,MORIZONO Masataka (JPN) / OSHIMA Yuya (JPN),ACHANTA Sharath (IND) / GNANASEKARAN Sathiyan (IND)
World Table Tennis Championships Suzhou 2015,2015-04-26,KOMWONG Nanthana/LI Xiaodan,DAS Mouma/KUMARESAN Shamini,4,1,"7,11,11,11,11|11,6,1,8,7",R64,WORLD_CHAMPIONSHIPS,WD,326,Main Draw,KOMWONG Nanthana (THA) / LI Xiaodan (CHN),DAS Mouma (IND) / KUMARESAN Shamini (IND)
World Table Tennis Championships Suzhou 2015,2015-04-26,CHEN Diogo/FREITAS Marcos,NOROOZI Afshin/OMRANI Seyed Pourya,4,0,"13,11,11,11|11,5,6,7",R64,WORLD_CHAMPIONSHIPS,MD,326,Main Draw,CHEN Diogo (POR) / FREITAS Marcos (POR),NOROOZI Afshin (IRI) / OMRANI Seyed Pourya (IRI)
World Table Tennis Championships Suzhou 2015,2015-04-26,FENG Tianwei/YU Mengyu,OMRANI Mahjobeh/SHAHSAVARI Neda,4,0,"11,11,11,11|5,1,5,8",R64,WORLD_CHAMPIONSHIPS,WD,326,Main Draw,FENG Tianwei (SGP) / YU Mengyu (SGP),OMRANI Mahjobeh (IRI) / SHAHSAVARI Neda (IRI)
World Table Tennis Championships Suzhou 2015,2015-04-26,DING Ning/LI Xiaoxia,TODOROVIC Andrea/TROSMAN Nicole,4,0,"11,11,11,11|3,9,7,1",R64,WORLD_CHAMPIONSHIPS,WD,326,Main Draw,DING Ning (CHN) / LI Xiaoxia (CHN),TODOROVIC Andrea (SRB) / TROSMAN Nicole (ISR)
World Table Tennis Championships Suzhou 2015,2015-04-26,RABINOVICH Shimon/TROSMAN Nicole,BELKADI Aissa/LAID Islem,4,0,,R128,WORLD_CHAMPIONSHIPS,XD,326,Main Draw,RABINOVICH Shimon (ISR) / TROSMAN Nicole (ISR),BELKADI Aissa (ALG) / LAID Islem (ALG)
World Table Tennis Championships Suzhou 2015,2015-04-26,YANG Zi/YU Mengyu,RECH DALDOSSO Marco/VIVARELLI Debora,4,1,"11,11,10,11,11|1,7,12,4,6",R128,WORLD_CHAMPIONSHIPS,XD,326,Main Draw,YANG Zi (SGP) / YU Mengyu (SGP),RECH DALDOSSO Marco (ITA) / VIVARELLI Debora (ITA)
World Table Tennis Championships Suzhou 2015,2015-04-26,XU Xin/ZHANG Jike,MORIZONO Masataka/OSHIMA Yuya,4,3,"9,11,11,9,10,11,12|11,8,7,11,12,9,10",QF,WORLD_CHAMPIONSHIPS,MD,326,Main Draw,XU Xin (CHN) / ZHANG Jike (CHN),MORIZONO Masataka (JPN) / OSHIMA Yuya (JPN)
World Table Tennis Championships Suzhou 2015,2015-04-26,FUKUHARA Ai/WAKAMIYA Misako,HUGH Judy/JHA Prachi,4,0,"11,11,11,11|8,4,8,3",R64,WORLD_CHAMPIONSHIPS,WD,326,Main Draw,FUKUHARA Ai (JPN) / WAKAMIYA Misako (JPN),HUGH Judy (USA) / JHA Prachi (USA)
World Table Tennis Championships Suzhou 2015,2015-04-26,FUKUHARA Ai/WAKAMIYA Misako,RI Mi Gyong/RI Myong Sun,4,1,"8,13,11,11,11|11,11,2,5,4",R32,WORLD_CHAMPIONSHIPS,WD,326,Main Draw,FUKUHARA Ai (JPN) / WAKAMIYA Misako (JPN),RI Mi Gyong (PRK) / RI Myong Sun (PRK)
World Table Tennis Championships Suzhou 2015,2015-04-26,FUKUHARA Ai/WAKAMIYA Misako,LANG Kristin/WINTER Sabine,4,1,"12,11,7,12,11|10,4,11,10,4",R16,WORLD_CHAMPIONSHIPS,WD,326,Main Draw,FUKUHARA Ai (JPN) / WAKAMIYA Misako (JPN),LANG Kristin (GER) / WINTER Sabine (GER)
World Table Tennis Championships Suzhou 2015,2015-04-26,DING Ning/LI Xiaoxia,FUKUHARA Ai/WAKAMIYA Misako,4,0,"11,12,11,11|8,10,5,9",QF,WORLD_CHAMPIONSHIPS,WD,326,Main Draw,DING Ning (CHN) / LI Xiaoxia (CHN),FUKUHARA Ai (JPN) / WAKAMIYA Misako (JPN)
World Table Tennis Championships Suzhou 2015,2015-04-26,NIWA Koki/HIRANO Sayaka,CHEW Clarence/LI Isabelle Siyun,4,0,"11,11,11,11|4,3,2,6",R128,WORLD_CHAMPIONSHIPS,XD,326,Main Draw,NIWA Koki (JPN) / HIRANO Sayaka (JPN),CHEW Clarence (SGP) / LI Isabelle Siyun (SGP)
World Table Tennis Championships Suzhou 2015,2015-04-26,NIWA Koki/HIRANO Sayaka,BURGIS Matiss/NI Xia Lian,4,0,"11,11,11,11|6,9,9,6",R64,WORLD_CHAMPIONSHIPS,XD,326,Main Draw,NIWA Koki (JPN) / HIRANO Sayaka (JPN),BURGIS Matiss (LAT) / NI Xia Lian (LUX)
World Table Tennis Championships Suzhou 2015,2015-04-26,NIWA Koki/HIRANO Sayaka,KARLSSON Mattias/EKHOLM Matilda,4,1,"11,11,4,14,11|8,7,11,12,9",R32,WORLD_CHAMPIONSHIPS,XD,326,Main Draw,NIWA Koki (JPN) / HIRANO Sayaka (JPN),KARLSSON Mattias (SWE) / EKHOLM Matilda (SWE)
World Table Tennis Championships Suzhou 2015,2015-04-26,YOSHIMURA Maharu/ISHIKAWA Kasumi,LEE Sang Su/PARK Youngsook,4,3,"8,9,11,9,13,11,11|11,11,9,11,11,9,7",R16,WORLD_CHAMPIONSHIPS,XD,326,Main Draw,YOSHIMURA Maharu (JPN) / ISHIKAWA Kasumi (JPN),LEE Sang Su (KOR) / PARK Youngsook (KOR)
World Table Tennis Championships Suzhou 2015,2015-04-26,WONG Chun Ting/DOO Hoi Kem,NIWA Koki/HIRANO Sayaka,4,0,"11,11,11,11|7,8,5,6",R16,WORLD_CHAMPIONSHIPS,XD,326,Main Draw,WONG Chun Ting (HKG) / DOO Hoi Kem (HKG),NIWA Koki (JPN) / HIRANO Sayaka (JPN)
World Table Tennis Championships Suzhou 2015,2015-04-26,XU Xin/YANG Ha Eun,YOSHIMURA Maharu/ISHIKAWA Kasumi,4,0,"11,11,11,11|7,8,4,6",F,WORLD_CHAMPIONSHIPS,XD,326,Main Draw,XU Xin (CHN) / YANG Ha Eun (KOR),YOSHIMURA Maharu (JPN) / ISHIKAWA Kasumi (JPN)
