tournament,date,player_a,player_b,score_a,score_b,game_scores,round,tier,sub_event,event_id,stage,player_a_raw,player_b_raw
World Table Tennis Championships Suzhou 2015,2015-04-26,MU Zi,FENG Tianwei,4,0,"11,11,11,11|5,2,9,5",QF,WORLD_CHAMPIONSHIPS,WS,326,Main Draw,MU Zi (CHN),FENG Tianwei (SGP)
World Table Tennis Championships Suzhou 2015,2015-04-26,LI Xiaoxia,ITO Mima,4,2,"9,14,11,11,13,11|11,16,2,7,11,2",QF,WORLD_CHAMPIONSHIPS,WS,326,Main Draw,LI Xiaoxia (CHN),ITO Mima (JPN)
World Table Tennis Championships Suzhou 2015,2015-04-26,LIU Shiwen,ZHU Yuling,4,1,"11,8,11,11,11|3,11,5,7,3",QF,WORLD_CHAMPIONSHIPS,WS,326,Main Draw,ZHU Yuling (MAC),LIU Shiwen (CHN)
World Table Tennis Championships Suzhou 2015,2015-04-26,DING Ning,MU Zi,4,3,"9,11,12,5,11,1,11|11,6,10,11,6,11,6",SF,WORLD_CHAMPIONSHIPS,WS,326,Main Draw,DING Ning (CHN),MU Zi (CHN)
World Table Tennis Championships Suzhou 2015,2015-04-26,LIU Shiwen,LI Xiaoxia,4,1,"11,8,11,11,11|6,11,9,7,8",SF,WORLD_CHAMPIONSHIPS,WS,326,Main Draw,LI Xiaoxia (CHN),LIU Shiwen (CHN)
World Table Tennis Championships Suzhou 2015,2015-04-26,DING Ning,LIU Shiwen,4,3,"7,15,11,11,9,4,11|11,13,7,9,11,11,8",F,WORLD_CHAMPIONSHIPS,WS,326,Main Draw,DING Ning (CHN),LIU Shiwen (CHN)
World Table Tennis Championships Suzhou 2015,2015-04-26,BILENKO Tetyana/HAPONOVA Hanna,LAID Islem/LOGHRAIBI Lynda,4,0,"11,11,11,11|4,5,6,5",R64,WORLD_CHAMPIONSHIPS,WD,326,Main Draw,BILENKO Tetyana (UKR) / HAPONOVA Hanna (UKR),LAID Islem (ALG) / LOGHRAIBI Lynda (ALG)
World Table Tennis Championships Suzhou 2015,2015-04-26,KHEROUF Sami/LOGHRAIBI Lynda,SMIRNOV Aleksandr/LATT Katlin,4,3,"11,11,14,9,8,11,11|13,5,12,11,11,5,8",R128,WORLD_CHAMPIONSHIPS,XD,326,Main Draw,KHEROUF Sami (ALG) / LOGHRAIBI Lynda (ALG),SMIRNOV Aleksandr (EST) / LATT Katlin (EST)
World Table Tennis Championships Suzhou 2015,2015-04-26,MACHADO Carlos/SHEN Yanfei,KHEROUF Sami/LOGHRAIBI Lynda,4,0,"11,11,11,11|3,9,4,9",R64,WORLD_CHAMPIONSHIPS,XD,326,Main Draw,MACHADO Carlos (ESP) / SHEN Yanfei (ESP),KHEROUF Sami (ALG) / LOGHRAIBI Lynda (ALG)
World Table Tennis Championships Suzhou 2015,2015-04-26,XU Xin/ZHANG Jike,AGUIRRE Marcelo/GILABERT Rodrigo,4,0,"11,11,11,11|7,4,9,4",R64,WORLD_CHAMPIONSHIPS,MD,326,Main Draw,XU Xin (CHN) / ZHANG Jike (CHN),AGUIRRE Marcelo (PAR) / GILABERT Rodrigo (ARG)
World Table Tennis Championships Suzhou 2015,2015-04-26,GIONIS Panagiotis/PAPAGEORGIOU Konstantinos,ALTO Gaston/TABACHNIK Pablo,4,2,"7,11,5,11,11,11|11,9,11,5,9,8",R64,WORLD_CHAMPIONSHIPS,MD,326,Main Draw,GIONIS Panagiotis (GRE) / PAPAGEORGIOU Konstantinos (GRE),ALTO Gaston (ARG) / TABACHNIK Pablo (ARG)
World Table Tennis Championships Suzhou 2015,2015-04-26,RUMGAY Gavin/EDWARDS Gillian,ALTO Gaston/ARGUELLES Camila,4,0,,R128,WORLD_CHAMPIONSHIPS,XD,326,Main Draw,RUMGAY Gavin (SCO) / EDWARDS Gillian (SCO),ALTO Gaston (ARG) / ARGUELLES Camila (ARG)
World Table Tennis Championships Suzhou 2015,2015-04-26,GILABERT Rodrigo/CODINA Ana,GUDMUNDSSON Dadi Freyr/LARUSDOTTIR Aldis Run,4,0,"11,11,12,11|2,9,10,5",R128,WORLD_CHAMPIONSHIPS,XD,326,Main Draw,GILABERT Rodrigo (ARG) / CODINA Ana (ARG),GUDMUNDSSON Dadi Freyr (ISL) / LARUSDOTTIR Aldis Run (ISL)
World Table Tennis Championships Suzhou 2015,2015-04-26,WONG Chun Ting/DOO Hoi Kem,GILABERT Rodrigo/CODINA Ana,4,2,"8,5,11,11,11,11|11,11,9,4,2,5",R64,WORLD_CHAMPIONSHIPS,XD,326,Main Draw,WONG Chun Ting (HKG) / DOO Hoi Kem (HKG),GILABERT Rodrigo (ARG) / CODINA Ana (ARG)
World Table Tennis Championships Suzhou 2015,2015-04-26,POWELL David/LAY Jian Fang,OLAH Benedek/JONSSON Jennifer,4,2,"6,11,11,11,5,11|11,5,9,6,11,9",R128,WORLD_CHAMPIONSHIPS,XD,326,Main Draw,POWELL David (AUS) / LAY Jian Fang (AUS),OLAH Benedek (FIN) / JONSSON Jennifer (SWE)
World Table Tennis Championships Suzhou 2015,2015-04-26,MENGE Gencay/HU Melek,POWELL David/LAY Jian Fang,4,1,"11,13,11,11,11|9,15,8,8,5",R64,WORLD_CHAMPIONSHIPS,XD,326,Main Draw,MENGE Gencay (TUR) / HU Melek (TUR),POWELL David (AUS) / LAY Jian Fang (AUS)
World Table Tennis Championships Suzhou 2015,2015-04-26,GARDOS Robert/HABESOHN Daniel,MUTTI Leonardo/RECH DALDOSSO Marco,4,0,"11,11,11,11|4,8,6,8",R64,WORLD_CHAMPIONSHIPS,MD,326,Main Draw,GARDOS Robert (AUT) / HABESOHN Daniel (AUT),MUTTI Leonardo (ITA) / RECH DALDOSSO Marco (ITA)
World Table Tennis Championships Suzhou 2015,2015-04-26,GARDOS Robert/HABESOHN Daniel,DURAN Marc/ROBLES Alvaro,4,0,"11,11,11,11|7,6,9,8",R32,WORLD_CHAMPIONSHIPS,MD,326,Main Draw,GARDOS Robert (AUT) / HABESOHN Daniel (AUT),DURAN Marc (ESP) / ROBLES Alvaro (ESP)
World Table Tennis Championships Suzhou 2015,2015-04-26,LEE Sang Su/SEO Hyundeok,GARDOS Robert/HABESOHN Daniel,4,2,"11,11,11,10,8,11|9,9,4,12,11,9",R16,WORLD_CHAMPIONSHIPS,MD,326,Main Draw,LEE Sang Su (KOR) / SEO Hyundeok (KOR),GARDOS Robert (AUT) / HABESOHN Daniel (AUT)
World Table Tennis Championships Suzhou 2015,2015-04-26,FEGERL Stefan/LI Qiangbing,ASSAR Omar/MESHREF Dina,4,2,"5,11,6,11,11,11|11,4,11,9,9,7",R128,WORLD_CHAMPIONSHIPS,XD,326,Main Draw,FEGERL Stefan (AUT) / LI Qiangbing (AUT),ASSAR Omar (EGY) / MESHREF Dina (EGY)
World Table Tennis Championships Suzhou 2015,2015-04-26,GARDOS Robert/LIU Jia,SEREDA Peter/ODOROVA Eva,4,0,"11,11,11,11|6,8,6,7",R128,WORLD_CHAMPIONSHIPS,XD,326,Main Draw,GARDOS Robert (AUT) / LIU Jia (AUT),SEREDA Peter (SVK) / ODOROVA Eva (SVK)
World Table Tennis Championships Suzhou 2015,2015-04-26,PISTEJ Lubomir/VARADY Barbora,GARDOS Robert/LIU Jia,4,3,"11,9,10,11,8,11,11|5,11,12,7,11,2,9",R64,WORLD_CHAMPIONSHIPS,XD,326,Main Draw,PISTEJ Lubomir (SVK) / VARADY Barbora (SVK),GARDOS Robert (AUT) / LIU Jia (AUT)
