tournament,date,player_a,player_b,score_a,score_b,game_scores,round,tier,sub_event,event_id,stage,player_a_raw,player_b_raw,winner_raw
Danish Open Farum 2002,2002-11-21,HENZELL William,KRIVIC Jakov,4,3,"9,11,11,9,8,11,11|11,8,5,11,11,6,7",,GRAND_SLAM,MS,1508,Qualification,HENZELL William (AUS),KRIVIC Jakov (CRO),HENZELL William
Danish Open Farum 2002,2002-11-21,MOLIN Magnus,KRIVIC Jakov,4,0,"12,11,11,11|10,6,6,6",QR2,GRAND_SLAM,MS,1508,Qualification,MOLIN Magnus (SWE),KRIVIC Jakov (CRO),MOLIN Magnus
Danish Open Farum 2002,2002-11-21,MOLIN Magnus,HENZELL William,4,1,"11,11,11,7,11|9,8,6,11,8",3,GRAND_SLAM,MS,1508,Qualification,MOLIN Magnus (SWE),HENZELL William (AUS),MOLIN Magnus
Danish Open Farum 2002,2002-11-21,KONGSGAARD Christian,HOLM Anders,4,3,"11,6,8,12,7,11,11|7,11,11,10,11,4,9",,GRAND_SLAM,MS,1508,Qualification,KONGSGAARD Christian (DEN),HOLM Anders (SWE),KONGSGAARD Christian
Danish Open Farum 2002,2002-11-21,BRATANOV Martin,KONGSGAARD Christian,4,0,"11,11,11,11|6,9,4,9",QR2,GRAND_SLAM,MS,1508,Qualification,BRATANOV Martin (BEL),KONGSGAARD Christian (DEN),BRATANOV Martin
Danish Open Farum 2002,2002-11-21,HOLM Anders,BRATANOV Martin,4,3,"7,8,11,7,11,12,11|11,11,8,11,8,10,9",3,GRAND_SLAM,MS,1508,Qualification,HOLM Anders (SWE),BRATANOV Martin (BEL),HOLM Anders
Danish Open Farum 2002,2002-11-21,KNUDSEN Morten,JAPEC Tomislav,4,2,"11,11,9,18,7,11|4,2,11,16,11,8",,GRAND_SLAM,MS,1508,Qualification,KNUDSEN Morten (DEN),JAPEC Tomislav (CRO),KNUDSEN Morten
Danish Open Farum 2002,2002-11-21,MAZUNOV Dmitry,JAPEC Tomislav,4,3,"11,7,9,11,11,12,11|6,11,11,5,7,14,8",QR2,GRAND_SLAM,MS,1508,Qualification,MAZUNOV Dmitry (RUS),JAPEC Tomislav (CRO),MAZUNOV Dmitry
Danish Open Farum 2002,2002-11-21,MAZUNOV Dmitry,KNUDSEN Morten,4,0,"11,11,11,14|4,7,6,12",3,GRAND_SLAM,MS,1508,Qualification,MAZUNOV Dmitry (RUS),KNUDSEN Morten (DEN),MAZUNOV Dmitry
Danish Open Farum 2002,2002-11-21,DELOBBE Damien,LUCESOLI Francesco,4,2,"11,11,2,11,16,11|5,5,11,7,18,9",,GRAND_SLAM,MS,1508,Qualification,DELOBBE Damien (BEL),LUCESOLI Francesco (ITA),DELOBBE Damien
Danish Open Farum 2002,2002-11-21,CARNEROS Alfredo,JANSSENS Tim,4,0,"11,12,11,11|6,10,6,6",,GRAND_SLAM,MS,1508,Qualification,CARNEROS Alfredo (ESP),JANSSENS Tim (BEL),CARNEROS Alfredo
Danish Open Farum 2002,2002-11-21,JANSSENS Tim,STEGER Bastian,4,1,"11,7,11,11,12,11|8,11,9,11,10,8",QR2,GRAND_SLAM,MS,1508,Qualification,JANSSENS Tim (BEL),STEGER Bastian (GER),JANSSENS Tim
Danish Open Farum 2002,2002-11-21,STEGER Bastian,CARNEROS Alfredo,4,2,"11,15,8,11,5,11|2,13,11,9,11,7",3,GRAND_SLAM,MS,1508,Qualification,STEGER Bastian (GER),CARNEROS Alfredo (ESP),STEGER Bastian
Danish Open Farum 2002,2002-11-21,BOBILLIER Loic,WALL John,4,1,"13,12,4,11,11|11,10,11,9,8",,GRAND_SLAM,MS,1508,Qualification,BOBILLIER Loic (FRA),WALL John (SWE),BOBILLIER Loic
Danish Open Farum 2002,2002-11-21,MONRAD Martin,WALL John,4,1,"11,11,11,11,12|4,3,13,2,10",QR2,GRAND_SLAM,MS,1508,Qualification,MONRAD Martin (DEN),WALL John (SWE),MONRAD Martin
Danish Open Farum 2002,2002-11-21,MONRAD Martin,BOBILLIER Loic,4,3,"9,11,11,11,8,11,11|11,7,13,5,11,8,8",3,GRAND_SLAM,MS,1508,Qualification,MONRAD Martin (DEN),BOBILLIER Loic (FRA),MONRAD Martin
Danish Open Farum 2002,2002-11-21,ROBERTSON Adam,ANDREOLI Fabio,4,0,"11,11,11,11|5,1,6,7",,GRAND_SLAM,MS,1508,Qualification,ROBERTSON Adam (WAL),ANDREOLI Fabio (ITA),ROBERTSON Adam
Danish Open Farum 2002,2002-11-21,TOSIC Roko,ANDREOLI Fabio,4,0,"11,11,11,11|5,4,9,2",QR2,GRAND_SLAM,MS,1508,Qualification,TOSIC Roko (CRO),ANDREOLI Fabio (ITA),TOSIC Roko
Danish Open Farum 2002,2002-11-21,TOSIC Roko,ROBERTSON Adam,4,1,"11,12,8,11,11|6,10,11,3,7",3,GRAND_SLAM,MS,1508,Qualification,TOSIC Roko (CRO),ROBERTSON Adam (WAL),TOSIC Roko
Danish Open Farum 2002,2002-11-21,LAKEEV Vasily,VOSTES Yannick,4,3,"11,10,11,9,12,3,11|5,12,9,11,10,11,7",,GRAND_SLAM,MS,1508,Qualification,LAKEEV Vasily (RUS),VOSTES Yannick (BEL),LAKEEV Vasily
Danish Open Farum 2002,2002-11-21,WANG Jianfeng,VOSTES Yannick,4,0,"11,12,11,11|2,10,9,9",QR2,GRAND_SLAM,MS,1508,Qualification,WANG Jianfeng (NOR),VOSTES Yannick (BEL),WANG Jianfeng
Danish Open Farum 2002,2002-11-21,WANG Jianfeng,LAKEEV Vasily,4,3,"11,10,8,11,11,7,11|9,12,11,5,9,11,2",3,GRAND_SLAM,MS,1508,Qualification,WANG Jianfeng (NOR),LAKEEV Vasily (RUS),WANG Jianfeng
Danish Open Farum 2002,2002-11-21,STEPANEK David,YUZAWA Ryo,4,2,"5,11,5,11,13,11|11,4,11,7,11,9",3,GRAND_SLAM,MS,1508,Qualification,STEPANEK David (CZE),YUZAWA Ryo (JPN),STEPANEK David
Danish Open Farum 2002,2002-11-21,CHUMAKOU Dmitry,PROVOST Damien,4,2,"11,11,7,11,4,11|9,5,11,7,11,4",,GRAND_SLAM,MS,1508,Qualification,CHUMAKOU Dmitry (BLR),PROVOST Damien (MON),CHUMAKOU Dmitry
Danish Open Farum 2002,2002-11-21,TUGWELL Finn,CHUMAKOU Dmitry,4,0,"11,11,11,11|3,5,2,1",QR2,GRAND_SLAM,MS,1508,Qualification,TUGWELL Finn (DEN),CHUMAKOU Dmitry (BLR),TUGWELL Finn
Danish Open Farum 2002,2002-11-21,TUGWELL Finn,PROVOST Damien,4,1,"11,11,11,11,11|7,5,13,8,9",3,GRAND_SLAM,MS,1508,Qualification,TUGWELL Finn (DEN),PROVOST Damien (MON),TUGWELL Finn
Danish Open Farum 2002,2002-11-21,JUZBASIC Ivan,MENDES Enio,4,3,"10,12,11,11,9,8,11|12,10,7,5,11,11,3",,GRAND_SLAM,MS,1508,Qualification,JUZBASIC Ivan (CRO),MENDES Enio (POR),JUZBASIC Ivan
Danish Open Farum 2002,2002-11-21,TOKIC Bojan,MENDES Enio,4,0,"12,11,11,11|10,2,9,7",QR2,GRAND_SLAM,MS,1508,Qualification,TOKIC Bojan (SLO),MENDES Enio (POR),TOKIC Bojan
Danish Open Farum 2002,2002-11-21,TOKIC Bojan,JUZBASIC Ivan,4,0,"12,11,11,11|10,4,7,2",3,GRAND_SLAM,MS,1508,Qualification,TOKIC Bojan (SLO),JUZBASIC Ivan (CRO),TOKIC Bojan
Danish Open Farum 2002,2002-11-21,SIMONCIK Josef,STENBERG Marten,4,0,"11,12,11,11|9,10,8,9",,GRAND_SLAM,MS,1508,Qualification,SIMONCIK Josef (CZE),STENBERG Marten (SWE),SIMONCIK Josef
Danish Open Farum 2002,2002-11-21,GARDOS Robert,SIMONCIK Josef,4,1,"11,11,11,7,11|9,5,7,11,9",QR2,GRAND_SLAM,MS,1508,Qualification,GARDOS Robert (AUT),SIMONCIK Josef (CZE),GARDOS Robert
Danish Open Farum 2002,2002-11-21,GARDOS Robert,STENBERG Marten,4,2,"4,5,11,11,13,12|11,11,6,6,11,10",3,GRAND_SLAM,MS,1508,Qualification,GARDOS Robert (AUT),STENBERG Marten (SWE),GARDOS Robert
Danish Open Farum 2002,2002-11-21,SVENSSON Robert,KAUCKY Petr,4,2,"3,11,11,3,11,11|11,6,5,11,6,5",,GRAND_SLAM,MS,1508,Qualification,SVENSSON Robert (SWE),KAUCKY Petr (CZE),SVENSSON Robert
Danish Open Farum 2002,2002-11-21,FEJER-KONNERTH Zoltan,KAUCKY Petr,4,1,"11,11,11,1,11|5,4,6,11,5",QR2,GRAND_SLAM,MS,1508,Qualification,FEJER-KONNERTH Zoltan (GER),KAUCKY Petr (CZE),FEJER-KONNERTH Zoltan
Danish Open Farum 2002,2002-11-21,FEJER-KONNERTH Zoltan,SVENSSON Robert,4,1,"11,11,11,11,11|2,3,6,13,7",3,GRAND_SLAM,MS,1508,Qualification,FEJER-KONNERTH Zoltan (GER),SVENSSON Robert (SWE),FEJER-KONNERTH Zoltan
Danish Open Farum 2002,2002-11-21,FADEEV Evgeny,FYNSK Daniel,4,1,"11,11,11,3,12|7,5,5,11,10",,GRAND_SLAM,MS,1508,Qualification,FADEEV Evgeny (RUS),FYNSK Daniel (DEN),FADEEV Evgeny
Danish Open Farum 2002,2002-11-21,NILSSON Peter,FYNSK Daniel,4,2,"11,11,10,7,13,11|5,4,12,11,11,5",QR2,GRAND_SLAM,MS,1508,Qualification,NILSSON Peter (SWE),FYNSK Daniel (DEN),NILSSON Peter
Danish Open Farum 2002,2002-11-21,FADEEV Evgeny,NILSSON Peter,4,3,"11,11,6,5,11,7,11|9,8,11,11,7,11,7",3,GRAND_SLAM,MS,1508,Qualification,FADEEV Evgeny (RUS),NILSSON Peter (SWE),FADEEV Evgeny
Danish Open Farum 2002,2002-11-21,KISHIKAWA Seiya,JENSEN Stephan,4,0,"11,11,11,11|3,3,4,6",,GRAND_SLAM,MS,1508,Qualification,KISHIKAWA Seiya (JPN),JENSEN Stephan (DEN),KISHIKAWA Seiya
Danish Open Farum 2002,2002-11-21,VARIN Eric,JENSEN Stephan,4,0,"11,11,11,11|4,5,7,5",QR2,GRAND_SLAM,MS,1508,Qualification,VARIN Eric (FRA),JENSEN Stephan (DEN),VARIN Eric
Danish Open Farum 2002,2002-11-21,VARIN Eric,KISHIKAWA Seiya,4,2,"11,11,10,4,11,11|6,9,12,11,6,8",3,GRAND_SLAM,MS,1508,Qualification,VARIN Eric (FRA),KISHIKAWA Seiya (JPN),VARIN Eric
Danish Open Farum 2002,2002-11-21,OMORI Takahiro,RASMUSSEN Claus,4,1,"11,13,11,9,11|8,11,5,11,7",,GRAND_SLAM,MS,1508,Qualification,OMORI Takahiro (JPN),RASMUSSEN Claus (DEN),OMORI Takahiro
Danish Open Farum 2002,2002-11-21,ZOOGLING Mikael,RASMUSSEN Claus,4,1,"7,11,11,11,12|11,8,2,7,10",QR2,GRAND_SLAM,MS,1508,Qualification,ZOOGLING Mikael (SWE),RASMUSSEN Claus (DEN),ZOOGLING Mikael
Danish Open Farum 2002,2002-11-21,ZOOGLING Mikael,OMORI Takahiro,4,0,"11,11,11,12|8,8,3,10",3,GRAND_SLAM,MS,1508,Qualification,ZOOGLING Mikael (SWE),OMORI Takahiro (JPN),ZOOGLING Mikael
Danish Open Farum 2002,2002-11-21,ASAMOAH Cyprian,SKOVSEN Mads,4,0,"11,11,11,12|9,9,9,10",,GRAND_SLAM,MS,1508,Qualification,ASAMOAH Cyprian (SWE),SKOVSEN Mads (DEN),ASAMOAH Cyprian
Danish Open Farum 2002,2002-11-21,DAUS David,SKOVSEN Mads,4,1,"11,14,11,11,11|4,16,3,4,7",QR2,GRAND_SLAM,MS,1508,Qualification,DAUS David (GER),SKOVSEN Mads (DEN),DAUS David
Danish Open Farum 2002,2002-11-21,DAUS David,ASAMOAH Cyprian,4,2,"11,11,11,7,7,11|4,9,6,11,11,6",3,GRAND_SLAM,MS,1508,Qualification,DAUS David (GER),ASAMOAH Cyprian (SWE),DAUS David
Danish Open Farum 2002,2002-11-21,HOGSBERG Kim,BOISARD Jean-Sebastien,4,3,"11,9,15,11,11,3,11|5,11,13,4,13,11,2",,GRAND_SLAM,MS,1508,Qualification,HOGSBERG Kim (DEN),BOISARD Jean-Sebastien (FRA),HOGSBERG Kim
Danish Open Farum 2002,2002-11-21,STENBERG Mattias,BOISARD Jean-Sebastien,4,1,"17,11,10,11,11|15,9,12,6,9",QR2,GRAND_SLAM,MS,1508,Qualification,STENBERG Mattias (SWE),BOISARD Jean-Sebastien (FRA),STENBERG Mattias
Danish Open Farum 2002,2002-11-21,STENBERG Mattias,HOGSBERG Kim,4,1,"5,12,11,13,11|11,10,4,11,2",3,GRAND_SLAM,MS,1508,Qualification,STENBERG Mattias (SWE),HOGSBERG Kim (DEN),STENBERG Mattias
Danish Open Farum 2002,2002-11-21,GONZALES Raymond,NIELSEN Christian,4,0,"11,11,11,11|7,3,7,9",,GRAND_SLAM,MS,1508,Qualification,GONZALES Raymond (NOR),NIELSEN Christian (DEN),GONZALES Raymond
Danish Open Farum 2002,2002-11-21,CABESTANY Cedrik,NIELSEN Christian,4,0,"11,11,11,11|7,5,9,6",QR2,GRAND_SLAM,MS,1508,Qualification,CABESTANY Cedrik (FRA),NIELSEN Christian (DEN),CABESTANY Cedrik
Danish Open Farum 2002,2002-11-21,CABESTANY Cedrik,GONZALES Raymond,4,0,"11,11,11,11|4,5,9,7",3,GRAND_SLAM,MS,1508,Qualification,CABESTANY Cedrik (FRA),GONZALES Raymond (NOR),CABESTANY Cedrik
Danish Open Farum 2002,2002-11-21,SURBEK Dragutin,ASMUSSEN Jakob,4,0,"11,11,11,11|9,7,6,7",,GRAND_SLAM,MS,1508,Qualification,SURBEK Dragutin (CRO),ASMUSSEN Jakob (DEN),SURBEK Dragutin
Danish Open Farum 2002,2002-11-21,NILSSON Stefan,ASMUSSEN Jakob,4,0,"11,11,11,11|5,7,7,6",QR2,GRAND_SLAM,MS,1508,Qualification,NILSSON Stefan (SWE),ASMUSSEN Jakob (DEN),NILSSON Stefan
Danish Open Farum 2002,2002-11-21,NILSSON Stefan,SURBEK Dragutin,4,1,"11,10,11,11,11|6,12,4,5,3",3,GRAND_SLAM,MS,1508,Qualification,NILSSON Stefan (SWE),SURBEK Dragutin (CRO),NILSSON Stefan
Danish Open Farum 2002,2002-11-21,MONTEIRO Joao,JESPERSEN Rasmus,4,0,"11,12,11,11|9,10,5,5",,GRAND_SLAM,MS,1508,Qualification,MONTEIRO Joao (POR),JESPERSEN Rasmus (DEN),MONTEIRO Joao
Danish Open Farum 2002,2002-11-21,SANADA Koji,JESPERSEN Rasmus,4,0,"11,11,11,14|8,7,8,12",QR2,GRAND_SLAM,MS,1508,Qualification,SANADA Koji (JPN),JESPERSEN Rasmus (DEN),SANADA Koji
Danish Open Farum 2002,2002-11-21,SANADA Koji,MONTEIRO Joao,4,2,"9,11,13,11,7,13|11,9,11,9,11,11",3,GRAND_SLAM,MS,1508,Qualification,SANADA Koji (JPN),MONTEIRO Joao (POR),SANADA Koji
Danish Open Farum 2002,2002-11-21,JOVER Sebastien,PETERSEN Christoffer,4,1,"11,11,9,11,11|6,7,11,2,6",QR2,GRAND_SLAM,MS,1508,Qualification,JOVER Sebastien (FRA),PETERSEN Christoffer (DEN),JOVER Sebastien
Danish Open Farum 2002,2002-11-21,GERELL Par,GORAK Daniel,4,1,"11,13,11,6,11|8,11,7,11,7",,GRAND_SLAM,MS,1508,Qualification,GERELL Par (SWE),GORAK Daniel (POL),GERELL Par
Danish Open Farum 2002,2002-11-21,MOLDOVAN Istvan,GERELL Par,4,0,"11,11,11,14|3,8,6,12",QR2,GRAND_SLAM,MS,1508,Qualification,MOLDOVAN Istvan (NOR),GERELL Par (SWE),MOLDOVAN Istvan
Danish Open Farum 2002,2002-11-21,GORAK Daniel,MOLDOVAN Istvan,4,2,"11,11,9,10,11,11|3,8,11,12,7,8",3,GRAND_SLAM,MS,1508,Qualification,GORAK Daniel (POL),MOLDOVAN Istvan (NOR),GORAK Daniel
Danish Open Farum 2002,2002-11-21,ROSVALL Henrik,BOBOCICA Mihai,4,1,"11,11,11,5,11|8,8,6,11,8",,GRAND_SLAM,MS,1508,Qualification,ROSVALL Henrik (SWE),BOBOCICA Mihai (ITA),ROSVALL Henrik
Danish Open Farum 2002,2002-11-21,BOBOCICA Mihai,CLOSSET Marc,4,1,"14,11,11,10,11|12,9,5,12,9",QR2,GRAND_SLAM,MS,1508,Qualification,BOBOCICA Mihai (ITA),CLOSSET Marc (BEL),BOBOCICA Mihai
Danish Open Farum 2002,2002-11-21,ROSVALL Henrik,CLOSSET Marc,4,2,"10,11,11,11,5,11|12,4,6,5,11,2",3,GRAND_SLAM,MS,1508,Qualification,ROSVALL Henrik (SWE),CLOSSET Marc (BEL),ROSVALL Henrik
Danish Open Farum 2002,2002-11-21,PAVELKA Tomas,ANDERSSON Joakim,4,0,"11,11,12,11|5,4,10,7",QR2,GRAND_SLAM,MS,1508,Qualification,PAVELKA Tomas (CZE),ANDERSSON Joakim (SWE),PAVELKA Tomas
Danish Open Farum 2002,2002-11-21,VOZICKY Bohumil,SABATINO Daniele,4,1,"11,7,11,11,11|5,11,7,6,6",,GRAND_SLAM,MS,1508,Qualification,VOZICKY Bohumil (CZE),SABATINO Daniele (ITA),VOZICKY Bohumil
Danish Open Farum 2002,2002-11-21,SORENSEN Mads,SABATINO Daniele,4,1,"11,11,11,9,11|4,5,6,11,8",QR2,GRAND_SLAM,MS,1508,Qualification,SORENSEN Mads (DEN),SABATINO Daniele (ITA),SORENSEN Mads
Danish Open Farum 2002,2002-11-21,SORENSEN Mads,VOZICKY Bohumil,4,2,"7,5,11,11,11,13|11,11,8,6,9,11",3,GRAND_SLAM,MS,1508,Qualification,SORENSEN Mads (DEN),VOZICKY Bohumil (CZE),SORENSEN Mads
Danish Open Farum 2002,2002-11-21,ARAI Shu,GOUVEIA Vitor,4,0,"15,11,11,11|13,8,4,8",,GRAND_SLAM,MS,1508,Qualification,ARAI Shu (JPN),GOUVEIA Vitor (POR),ARAI Shu
Danish Open Farum 2002,2002-11-21,KRCIL Frantisek,GOUVEIA Vitor,4,0,"11,11,11,11|7,8,4,6",QR2,GRAND_SLAM,MS,1508,Qualification,KRCIL Frantisek (CZE),GOUVEIA Vitor (POR),KRCIL Frantisek
Danish Open Farum 2002,2002-11-21,ARAI Shu,KRCIL Frantisek,4,3,"8,11,11,10,8,11,11|11,5,8,12,11,5,4",3,GRAND_SLAM,MS,1508,Qualification,ARAI Shu (JPN),KRCIL Frantisek (CZE),ARAI Shu
Danish Open Farum 2002,2002-11-21,KOSOWSKI Jakub,HENRIQUES Nuno,4,0,"11,11,11,11|9,9,5,8",,GRAND_SLAM,MS,1508,Qualification,KOSOWSKI Jakub (POL),HENRIQUES Nuno (POR),KOSOWSKI Jakub
Danish Open Farum 2002,2002-11-21,KUZMIN Fedor,HENRIQUES Nuno,4,1,"11,11,11,11,11|4,2,13,6,8",QR2,GRAND_SLAM,MS,1508,Qualification,KUZMIN Fedor (RUS),HENRIQUES Nuno (POR),KUZMIN Fedor
Danish Open Farum 2002,2002-11-21,KOSOWSKI Jakub,KUZMIN Fedor,4,1,"8,18,11,13,11|11,16,8,11,9",3,GRAND_SLAM,MS,1508,Qualification,KOSOWSKI Jakub (POL),KUZMIN Fedor (RUS),KOSOWSKI Jakub
Danish Open Farum 2002,2002-11-21,QUENTEL Dorian,KRUTOV Andrei,4,0,"18,11,11,11|16,6,8,4",,GRAND_SLAM,MS,1508,Qualification,QUENTEL Dorian (FRA),KRUTOV Andrei (RUS),QUENTEL Dorian
Danish Open Farum 2002,2002-11-21,SAKAMOTO Ryusuke,KRUTOV Andrei,4,1,"7,14,11,11,11|11,12,9,4,9",QR2,GRAND_SLAM,MS,1508,Qualification,SAKAMOTO Ryusuke (JPN),KRUTOV Andrei (RUS),SAKAMOTO Ryusuke
