tournament,date,player_a,player_b,score_a,score_b,game_scores,round,tier,sub_event,event_id,stage,player_a_raw,player_b_raw
West Asia Regional Championships Dammam 2025,2025-04-27,SALEH Mohamed,ABDULWAHHAB Abdullah,3,0,"11,13,12|7,11,10",SemiFinal,OTHER,MT,3185,Main Draw,SALEH Mohamed (BRN),ABDULWAHHAB Abdullah (QAT)
West Asia Regional Championships Dammam 2025,2025-04-27,SAHAKIAN Mariana,ALKHALDI Hissah,3,0,"11,11,11|6,3,4",,OTHER,WT,3185,Qualification,SAHAKIAN Mariana (LBN),ALKHALDI Hissah (KSA)
West Asia Regional Championships Dammam 2025,2025-04-27,ALQAHTANI Nihal,EL HABECH Mariam,3,1,"14,11,9,11|12,7,11,7",,OTHER,WT,3185,Qualification,EL HABECH Mariam (LBN),ALQAHTANI Nihal (KSA)
West Asia Regional Championships Dammam 2025,2025-04-27,AZAR Laetitia,ALABBAD Zahra,3,1,"11,11,9,11|7,7,11,7",,OTHER,WT,3185,Qualification,AZAR Laetitia (LBN),ALABBAD Zahra (KSA)
West Asia Regional Championships Dammam 2025,2025-04-27,SAHAKIAN Mariana,ALQAHTANI Nihal,3,0,"11,11,11|7,3,6",,OTHER,WT,3185,Qualification,SAHAKIAN Mariana (LBN),ALQAHTANI Nihal (KSA)
West Asia Regional Championships Dammam 2025,2025-04-27,RASHED Rashed,ALSHAREIF Khalid,3,1,"9,11,11,11|11,8,5,8",Final,OTHER,MT,3185,Main Draw,RASHED Rashed (BRN),ALSHAREIF Khalid (KSA)
West Asia Regional Championships Dammam 2025,2025-04-27,ALKHADRAWI Ali,SALEH Mohamed,3,2,"8,11,11,9,11|11,8,5,11,9",Final,OTHER,MT,3185,Main Draw,SALEH Mohamed (BRN),ALKHADRAWI Ali (KSA)
West Asia Regional Championships Dammam 2025,2025-04-27,BU SHULAYBI Abdulaziz,MURTADHA Husain,3,1,"11,11,10,11|5,9,12,8",Final,OTHER,MT,3185,Main Draw,MURTADHA Husain (BRN),BU SHULAYBI Abdulaziz (KSA)
West Asia Regional Championships Dammam 2025,2025-04-27,RASHED Rashed,ALKHADRAWI Ali,3,2,"15,9,11,5,12|13,11,7,11,10",Final,OTHER,MT,3185,Main Draw,RASHED Rashed (BRN),ALKHADRAWI Ali (KSA)
West Asia Regional Championships Dammam 2025,2025-04-27,SALEH Mohamed,ALSHAREIF Khalid,3,0,"11,11,11|8,9,9",Final,OTHER,MT,3185,Main Draw,SALEH Mohamed (BRN),ALSHAREIF Khalid (KSA)
