tournament,date,player_a,player_b,score_a,score_b,game_scores,round,tier,sub_event,event_id,stage,player_a_raw,player_b_raw
ITTF World Tour Bulgarian Open Panagyurishte 2019,2019-08-13,ISHIKAWA Kasumi,SHAO Jieni,4,0,"11,11,11,11|6,6,6,6",R32,GRAND_SLAM,WS,2024,Main Draw,ISHIKAWA Kasumi (JPN),SHAO Jieni (POR)
ITTF World Tour Bulgarian Open Panagyurishte 2019,2019-08-13,SUH Hyo Won,LEE Eunhye,4,1,"11,11,11,9,11|5,6,3,11,9",R32,GRAND_SLAM,WS,2024,Main Draw,LEE Eunhye (KOR),SUH Hyo Won (KOR)
ITTF World Tour Bulgarian Open Panagyurishte 2019,2019-08-13,SATO Hitomi,OJIO Haruna,4,1,"5,11,11,11,11|11,9,8,0,3",R32,GRAND_SLAM,WS,2024,Main Draw,SATO Hitomi (JPN),OJIO Haruna (JPN)
ITTF World Tour Bulgarian Open Panagyurishte 2019,2019-08-13,WU Yang,POTA Georgina,4,1,"11,11,4,11,11|8,4,11,8,5",R32,GRAND_SLAM,WS,2024,Main Draw,POTA Georgina (HUN),WU Yang (CHN)
ITTF World Tour Bulgarian Open Panagyurishte 2019,2019-08-13,HE Zhuojia,KIHARA Miyuu,4,2,"11,7,11,11,7,11|8,11,2,4,11,9",R32,GRAND_SLAM,WS,2024,Main Draw,KIHARA Miyuu (JPN),HE Zhuojia (CHN)
ITTF World Tour Bulgarian Open Panagyurishte 2019,2019-08-13,ANDO Minami,YOVKOVA Maria,4,1,"11,9,11,11,11|9,11,4,5,5",R32,GRAND_SLAM,WS,2024,Main Draw,ANDO Minami (JPN),YOVKOVA Maria (BUL)
ITTF World Tour Bulgarian Open Panagyurishte 2019,2019-08-13,MU Zi,POLCANOVA Sofia,4,0,"13,11,11,12|11,5,9,10",R32,GRAND_SLAM,WS,2024,Main Draw,POLCANOVA Sofia (AUT),MU Zi (CHN)
ITTF World Tour Bulgarian Open Panagyurishte 2019,2019-08-13,HARIMOTO Tomokazu,ZHU Linfeng,4,0,"11,11,14,11|7,9,12,6",R32,GRAND_SLAM,MS,2024,Main Draw,HARIMOTO Tomokazu (JPN),ZHU Linfeng (CHN)
ITTF World Tour Bulgarian Open Panagyurishte 2019,2019-08-13,CHEN Chien-An,JEOUNG Youngsik,4,2,"11,11,7,11,9,11|6,5,11,9,11,9",R32,GRAND_SLAM,MS,2024,Main Draw,CHEN Chien-An (TPE),JEOUNG Youngsik (KOR)
ITTF World Tour Bulgarian Open Panagyurishte 2019,2019-08-13,TANAKA Yuta,SAMSONOV Vladimir,4,1,"11,8,11,11,15|9,11,8,9,13",R32,GRAND_SLAM,MS,2024,Main Draw,TANAKA Yuta (JPN),SAMSONOV Vladimir (BLR)
ITTF World Tour Bulgarian Open Panagyurishte 2019,2019-08-13,JIN Takuya,GNANASEKARAN Sathiyan,4,1,"11,11,6,12,11|9,9,11,10,9",R32,GRAND_SLAM,MS,2024,Main Draw,GNANASEKARAN Sathiyan (IND),JIN Takuya (JPN)
ITTF World Tour Bulgarian Open Panagyurishte 2019,2019-08-13,PITCHFORD Liam,KOU Lei,4,2,"11,11,9,4,11,11|6,9,11,11,8,6",R32,GRAND_SLAM,MS,2024,Main Draw,PITCHFORD Liam (ENG),KOU Lei (UKR)
ITTF World Tour Bulgarian Open Panagyurishte 2019,2019-08-13,PUCAR Tomislav,GROTH Jonathan,4,1,"11,11,11,9,11|2,9,9,11,7",R32,GRAND_SLAM,MS,2024,Main Draw,GROTH Jonathan (DEN),PUCAR Tomislav (CRO)
ITTF World Tour Bulgarian Open Panagyurishte 2019,2019-08-13,CHUANG Chih-Yuan,ZHENG Peifeng,4,2,"9,14,11,3,11,11|11,12,9,11,5,7",R32,GRAND_SLAM,MS,2024,Main Draw,ZHENG Peifeng (CHN),CHUANG Chih-Yuan (TPE)
ITTF World Tour Bulgarian Open Panagyurishte 2019,2019-08-13,FREITAS Marcos,NIWA Koki,4,0,"13,11,11,11|11,6,1,9",R32,GRAND_SLAM,MS,2024,Main Draw,FREITAS Marcos (POR),NIWA Koki (JPN)
ITTF World Tour Bulgarian Open Panagyurishte 2019,2019-08-13,CHEN Xingtong,ABE Airi,4,3,"9,11,11,11,8,11,13|11,5,7,13,11,8,11",R32,GRAND_SLAM,WS,2024,Main Draw,ABE Airi (JPN),CHEN Xingtong (CHN)
ITTF World Tour Bulgarian Open Panagyurishte 2019,2019-08-13,HAYATA Hina,HASHIMOTO Honoka,4,2,"11,11,6,11,11,11|13,6,11,6,7,9",R32,GRAND_SLAM,WS,2024,Main Draw,HASHIMOTO Honoka (JPN),HAYATA Hina (JPN)
ITTF World Tour Bulgarian Open Panagyurishte 2019,2019-08-13,HIRANO Miu,HAN Ying,4,0,"0,0,0,0|0,0,0,0",R32,GRAND_SLAM,WS,2024,Main Draw,HIRANO Miu (JPN),HAN Ying (GER)
ITTF World Tour Bulgarian Open Panagyurishte 2019,2019-08-13,JEON Jihee,CHEN Szu-Yu,4,0,"0,0,0,0|0,0,0,0",R32,GRAND_SLAM,WS,2024,Main Draw,CHEN Szu-Yu (TPE),JEON Jihee (KOR)
ITTF World Tour Bulgarian Open Panagyurishte 2019,2019-08-13,ITO Mima,SHIN Yubin,4,1,"11,11,0,11,11|9,9,11,4,8",R32,GRAND_SLAM,WS,2024,Main Draw,SHIN Yubin (KOR),ITO Mima (JPN)
ITTF World Tour Bulgarian Open Panagyurishte 2019,2019-08-13,FAN Siqi,SAMARA Elizabeta,4,3,"11,11,11,11,9,8,11|13,6,9,4,11,11,4",R32,GRAND_SLAM,WS,2024,Main Draw,SAMARA Elizabeta (ROU),FAN Siqi (CHN)
ITTF World Tour Bulgarian Open Panagyurishte 2019,2019-08-13,KATO Miyu,KIM Byeolnim,4,1,"7,11,11,11,11|11,7,9,6,9",R32,GRAND_SLAM,WS,2024,Main Draw,KIM Byeolnim (KOR),KATO Miyu (JPN)
ITTF World Tour Bulgarian Open Panagyurishte 2019,2019-08-13,YU Mengyu,SHIBATA Saki,4,2,"4,14,11,7,11,11|11,12,5,11,9,9",R32,GRAND_SLAM,WS,2024,Main Draw,SHIBATA Saki (JPN),YU Mengyu (SGP)
