tournament,date,player_a,player_b,score_a,score_b,game_scores,round,tier,sub_event,event_id,stage,player_a_raw,player_b_raw,winner_raw
World Tour Harmony China Open Suzhou 2013,2013-08-14,XU Xin,JEOUNG Youngsik,4,1,"6,11,11,11,11|11,6,7,5,4",R32,GRAND_SLAM,MS,119,Main Draw,XU Xin (CHN),JEOUNG Youngsik (KOR),XU Xin
World Tour Harmony China Open Suzhou 2013,2013-08-14,MA Long,CHO Eonrae,4,2,"11,11,11,11,11,11|13,2,8,2,13,1",R16,GRAND_SLAM,MS,119,Main Draw,MA Long (CHN),CHO Eonrae (KOR),MA Long
World Tour Harmony China Open Suzhou 2013,2013-08-14,GAO Ning,KIM Minseok,4,3,"11,7,3,2,11,11,11|5,11,11,11,5,5,4",R16,GRAND_SLAM,MS,119,Main Draw,GAO Ning (SGP),KIM Minseok (KOR),GAO Ning
World Tour Harmony China Open Suzhou 2013,2013-08-14,NIWA Koki,YAN An,4,3,"7,11,11,11,4,5,13|11,9,9,6,11,11,11",R16,GRAND_SLAM,MS,119,Main Draw,NIWA Koki (JPN),YAN An (CHN),NIWA Koki
World Tour Harmony China Open Suzhou 2013,2013-08-14,MATSUDAIRA Kenta,WANG Hao,4,0,"11,11,11,11|8,7,6,7",R16,GRAND_SLAM,MS,119,Main Draw,MATSUDAIRA Kenta (JPN),WANG Hao (CHN),MATSUDAIRA Kenta
World Tour Harmony China Open Suzhou 2013,2013-08-14,OVTCHAROV Dimitrij,KISHIKAWA Seiya,4,1,"11,11,13,11,11|6,9,15,7,7",R16,GRAND_SLAM,MS,119,Main Draw,OVTCHAROV Dimitrij (GER),KISHIKAWA Seiya (JPN),OVTCHAROV Dimitrij
World Tour Harmony China Open Suzhou 2013,2013-08-14,CHUANG Chih-Yuan,TANG Peng,4,1,"11,5,11,11,17|6,11,7,6,15",R16,GRAND_SLAM,MS,119,Main Draw,CHUANG Chih-Yuan (TPE),TANG Peng (HKG),CHUANG Chih-Yuan
World Tour Harmony China Open Suzhou 2013,2013-08-14,ZHAN Jian,JOO Saehyuk,4,1,"11,7,16,11,11|8,11,14,9,9",R16,GRAND_SLAM,MS,119,Main Draw,ZHAN Jian (SGP),JOO Saehyuk (KOR),ZHAN Jian
World Tour Harmony China Open Suzhou 2013,2013-08-14,XU Xin,CHIANG Hung-Chieh,4,1,"12,11,9,11,11|10,9,11,4,8",R16,GRAND_SLAM,MS,119,Main Draw,XU Xin (CHN),CHIANG Hung-Chieh (TPE),XU Xin
World Tour Harmony China Open Suzhou 2013,2013-08-14,MA Long,GAO Ning,4,1,"11,11,11,11,11|8,4,3,13,7",QF,GRAND_SLAM,MS,119,Main Draw,MA Long (CHN),GAO Ning (SGP),MA Long
World Tour Harmony China Open Suzhou 2013,2013-08-14,NIWA Koki,MATSUDAIRA Kenta,4,3,"11,8,15,10,11,11,11|8,11,17,12,5,9,6",QF,GRAND_SLAM,MS,119,Main Draw,NIWA Koki (JPN),MATSUDAIRA Kenta (JPN),NIWA Koki
World Tour Harmony China Open Suzhou 2013,2013-08-14,OVTCHAROV Dimitrij,CHUANG Chih-Yuan,4,2,"11,11,15,11,11,11|9,13,17,8,8,3",QF,GRAND_SLAM,MS,119,Main Draw,OVTCHAROV Dimitrij (GER),CHUANG Chih-Yuan (TPE),OVTCHAROV Dimitrij
World Tour Harmony China Open Suzhou 2013,2013-08-14,XU Xin,ZHAN Jian,4,2,"11,11,11,10,11,11|13,6,9,12,8,6",QF,GRAND_SLAM,MS,119,Main Draw,XU Xin (CHN),ZHAN Jian (SGP),XU Xin
World Tour Harmony China Open Suzhou 2013,2013-08-14,MA Long,NIWA Koki,4,0,"11,11,11,11|9,5,1,8",SF,GRAND_SLAM,MS,119,Main Draw,MA Long (CHN),NIWA Koki (JPN),MA Long
World Tour Harmony China Open Suzhou 2013,2013-08-14,XU Xin,OVTCHAROV Dimitrij,4,1,"13,9,11,11,12|11,11,7,6,10",SF,GRAND_SLAM,MS,119,Main Draw,XU Xin (CHN),OVTCHAROV Dimitrij (GER),XU Xin
World Tour Harmony China Open Suzhou 2013,2013-08-14,MA Long,XU Xin,4,1,"11,11,11,11,11|8,7,2,13,6",F,GRAND_SLAM,MS,119,Main Draw,MA Long (CHN),XU Xin (CHN),MA Long
World Tour Harmony China Open Suzhou 2013,2013-08-14,LIU Shiwen,SONG Maeum,4,1,"11,11,11,8,11|8,7,5,11,7",R64,GRAND_SLAM,WS,119,Main Draw,LIU Shiwen (CHN),SONG Maeum (KOR),LIU Shiwen
World Tour Harmony China Open Suzhou 2013,2013-08-14,LI Xue,NONAKA Yuki,4,2,"11,11,11,8,6,11|6,5,5,11,11,7",R64,GRAND_SLAM,WS,119,Main Draw,LI Xue (FRA),NONAKA Yuki (JPN),LI Xue
World Tour Harmony China Open Suzhou 2013,2013-08-14,LEE I-Chen,PARK Seonghye,4,2,"11,8,11,8,11,11|8,11,7,11,7,7",R64,GRAND_SLAM,WS,119,Main Draw,LEE I-Chen (TPE),PARK Seonghye (KOR),LEE I-Chen
World Tour Harmony China Open Suzhou 2013,2013-08-14,MATSUZAWA Marina,SAMARA Elizabeta,4,1,"11,11,11,10,11|6,3,8,12,9",R64,GRAND_SLAM,WS,119,Main Draw,MATSUZAWA Marina (JPN),SAMARA Elizabeta (ROU),MATSUZAWA Marina
World Tour Harmony China Open Suzhou 2013,2013-08-14,FUJII Yuko,SEOK Hajung,4,3,"11,11,7,8,11,9,11|5,9,11,11,7,11,9",R64,GRAND_SLAM,WS,119,Main Draw,FUJII Yuko (JPN),SEOK Hajung (KOR),FUJII Yuko
World Tour Harmony China Open Suzhou 2013,2013-08-14,CHEN Szu-Yu,SHAO Jieni,4,1,"7,11,11,11,11|11,8,9,6,3",R64,GRAND_SLAM,WS,119,Main Draw,CHEN Szu-Yu (TPE),SHAO Jieni (POR),CHEN Szu-Yu
World Tour Harmony China Open Suzhou 2013,2013-08-14,HUANG Yi-Hua,LIN Ye,4,2,"8,15,11,11,10,11|11,13,9,5,12,3",R64,GRAND_SLAM,WS,119,Main Draw,HUANG Yi-Hua (TPE),LIN Ye (CAN),HUANG Yi-Hua
World Tour Harmony China Open Suzhou 2013,2013-08-14,ISHIKAWA Kasumi,HSIUNG Nai-I,4,1,"11,9,11,11,11|3,11,5,7,3",R64,GRAND_SLAM,WS,119,Main Draw,ISHIKAWA Kasumi (JPN),HSIUNG Nai-I (TPE),ISHIKAWA Kasumi
World Tour Harmony China Open Suzhou 2013,2013-08-14,FUKUHARA Ai,ZHOU Yihan,4,0,"11,11,11,11|8,7,5,7",R64,GRAND_SLAM,WS,119,Main Draw,FUKUHARA Ai (JPN),ZHOU Yihan (SGP),FUKUHARA Ai
World Tour Harmony China Open Suzhou 2013,2013-08-14,PARK Youngsook,HIRANO Miu,4,3,"8,11,3,9,11,11,11|11,8,11,11,9,4,5",R64,GRAND_SLAM,WS,119,Main Draw,PARK Youngsook (KOR),HIRANO Miu (JPN),PARK Youngsook
World Tour Harmony China Open Suzhou 2013,2013-08-14,CHOI Moonyoung,IVANCAN Irene,4,3,"9,11,9,12,5,11,11|11,7,11,10,11,7,8",R64,GRAND_SLAM,WS,119,Main Draw,CHOI Moonyoung (KOR),IVANCAN Irene (GER),CHOI Moonyoung
World Tour Harmony China Open Suzhou 2013,2013-08-14,CHENG I-Ching,CHO Hala,4,0,"11,11,11,11|5,8,4,9",R64,GRAND_SLAM,WS,119,Main Draw,CHENG I-Ching (TPE),CHO Hala (KOR),CHENG I-Ching
World Tour Harmony China Open Suzhou 2013,2013-08-14,YANG Ha Eun,HUANG Hsin,4,2,"12,12,9,11,11,11|10,14,11,7,7,7",R64,GRAND_SLAM,WS,119,Main Draw,YANG Ha Eun (KOR),HUANG Hsin (TPE),YANG Ha Eun
World Tour Harmony China Open Suzhou 2013,2013-08-14,ZHANG Qiang,MATSUDAIRA Shiho,4,1,"11,6,11,12,11|4,11,1,10,4",R64,GRAND_SLAM,WS,119,Main Draw,ZHANG Qiang (CHN),MATSUDAIRA Shiho (JPN),ZHANG Qiang
World Tour Harmony China Open Suzhou 2013,2013-08-14,MORIZONO Misaki,JO Yujin,4,0,"11,11,11,11|6,4,8,6",R64,GRAND_SLAM,WS,119,Main Draw,MORIZONO Misaki (JPN),JO Yujin (KOR),MORIZONO Misaki
World Tour Harmony China Open Suzhou 2013,2013-08-14,ZHU Yuling,SOO Wai Yam,4,0,"11,11,11,11|3,4,8,7",R64,GRAND_SLAM,WS,119,Main Draw,ZHU Yuling (MAC),SOO Wai Yam (HKG),ZHU Yuling
World Tour Harmony China Open Suzhou 2013,2013-08-14,TASHIRO Saki,SHEN Yanfei,4,2,"11,13,6,7,21,11|9,11,11,11,19,7",R64,GRAND_SLAM,WS,119,Main Draw,TASHIRO Saki (JPN),SHEN Yanfei (ESP),TASHIRO Saki
World Tour Harmony China Open Suzhou 2013,2013-08-14,HAMAMOTO Yui,NG Wing Nam,4,1,"11,11,12,8,11|6,5,10,11,7",R64,GRAND_SLAM,WS,119,Main Draw,HAMAMOTO Yui (AUT),NG Wing Nam (HKG),HAMAMOTO Yui
World Tour Harmony China Open Suzhou 2013,2013-08-14,ZHAO Yan,NEMOTO Riyo,4,0,"11,11,11,11|8,5,8,7",R64,GRAND_SLAM,WS,119,Main Draw,ZHAO Yan (CHN),NEMOTO Riyo (JPN),ZHAO Yan
World Tour Harmony China Open Suzhou 2013,2013-08-14,YU Mengyu,WU Yue,4,0,"11,11,11,11|9,4,4,4",R64,GRAND_SLAM,WS,119,Main Draw,YU Mengyu (SGP),WU Yue (USA),YU Mengyu
World Tour Harmony China Open Suzhou 2013,2013-08-14,JEON Jihee,MAEDA Miyu,4,1,"11,8,11,16,12|5,11,5,14,10",R64,GRAND_SLAM,WS,119,Main Draw,JEON Jihee (KOR),MAEDA Miyu (JPN),JEON Jihee
World Tour Harmony China Open Suzhou 2013,2013-08-14,KIM Hye Song,KATO Miyu,4,2,"11,7,11,11,14,11|6,11,6,7,16,6",R64,GRAND_SLAM,WS,119,Main Draw,KIM Hye Song (PRK),KATO Miyu (JPN),KIM Hye Song
World Tour Harmony China Open Suzhou 2013,2013-08-14,KIM Jong,LIN Chia-Hui,4,3,"9,13,11,5,6,11,11|11,11,6,11,11,9,4",R64,GRAND_SLAM,WS,119,Main Draw,KIM Jong (PRK),LIN Chia-Hui (TPE),KIM Jong
World Tour Harmony China Open Suzhou 2013,2013-08-14,CHEN Meng,YU Mei-Ju,4,0,"11,11,11,11|4,9,4,3",R64,GRAND_SLAM,WS,119,Main Draw,CHEN Meng (CHN),YU Mei-Ju (TPE),CHEN Meng
World Tour Harmony China Open Suzhou 2013,2013-08-14,WU Yang,HWANG Jina,4,1,"7,11,11,11,11|11,6,4,3,2",R64,GRAND_SLAM,WS,119,Main Draw,WU Yang (CHN),HWANG Jina (KOR),WU Yang
World Tour Harmony China Open Suzhou 2013,2013-08-14,YOON Sunae,SAKAI Haruka,4,2,"11,7,11,10,11,11|4,11,9,12,7,4",R64,GRAND_SLAM,WS,119,Main Draw,YOON Sunae (KOR),SAKAI Haruka (JPN),YOON Sunae
World Tour Harmony China Open Suzhou 2013,2013-08-14,WAKAMIYA Misako,YOO Eunchong,4,1,"13,5,11,13,11|11,11,8,11,9",R64,GRAND_SLAM,WS,119,Main Draw,WAKAMIYA Misako (JPN),YOO Eunchong (KOR),WAKAMIYA Misako
World Tour Harmony China Open Suzhou 2013,2013-08-14,SUH Hyo Won,HASAMA Nozomi,4,0,"12,11,11,11|10,8,4,4",R64,GRAND_SLAM,WS,119,Main Draw,SUH Hyo Won (KOR),HASAMA Nozomi (JPN),SUH Hyo Won
World Tour Harmony China Open Suzhou 2013,2013-08-14,RI Myong Sun,SO Eka,4,0,"11,11,11,11|9,8,2,9",R64,GRAND_SLAM,WS,119,Main Draw,RI Myong Sun (PRK),SO Eka (JPN),RI Myong Sun
World Tour Harmony China Open Suzhou 2013,2013-08-14,RI Mi Gyong,ISHIGAKI Yuka,4,1,"11,11,7,11,11|8,7,11,7,8",R64,GRAND_SLAM,WS,119,Main Draw,RI Mi Gyong (PRK),ISHIGAKI Yuka (JPN),RI Mi Gyong
World Tour Harmony China Open Suzhou 2013,2013-08-14,HIRANO Sayaka,KIM Song I,4,0,"11,11,11,11|8,2,6,7",R64,GRAND_SLAM,WS,119,Main Draw,HIRANO Sayaka (JPN),KIM Song I (PRK),HIRANO Sayaka
World Tour Harmony China Open Suzhou 2013,2013-08-14,FENG Tianwei,ISHIKAWA Rira,4,2,"11,11,7,11,7,11|8,3,11,8,11,8",R64,GRAND_SLAM,WS,119,Main Draw,FENG Tianwei (SGP),ISHIKAWA Rira (JPN),FENG Tianwei
World Tour Harmony China Open Suzhou 2013,2013-08-14,LIU Shiwen,LI Xue,4,0,"11,11,11,11|7,5,9,7",R32,GRAND_SLAM,WS,119,Main Draw,LIU Shiwen (CHN),LI Xue (FRA),LIU Shiwen
World Tour Harmony China Open Suzhou 2013,2013-08-14,LEE I-Chen,MATSUZAWA Marina,4,1,"11,11,8,11,11|7,8,11,9,6",R32,GRAND_SLAM,WS,119,Main Draw,LEE I-Chen (TPE),MATSUZAWA Marina (JPN),LEE I-Chen
World Tour Harmony China Open Suzhou 2013,2013-08-14,CHEN Szu-Yu,FUJII Yuko,4,2,"11,8,11,10,11,11|6,11,9,12,5,4",R32,GRAND_SLAM,WS,119,Main Draw,CHEN Szu-Yu (TPE),FUJII Yuko (JPN),CHEN Szu-Yu
World Tour Harmony China Open Suzhou 2013,2013-08-14,ISHIKAWA Kasumi,HUANG Yi-Hua,4,0,"11,11,11,11|8,8,6,4",R32,GRAND_SLAM,WS,119,Main Draw,ISHIKAWA Kasumi (JPN),HUANG Yi-Hua (TPE),ISHIKAWA Kasumi
World Tour Harmony China Open Suzhou 2013,2013-08-14,FUKUHARA Ai,PARK Youngsook,4,0,"11,12,11,11|7,10,8,7",R32,GRAND_SLAM,WS,119,Main Draw,FUKUHARA Ai (JPN),PARK Youngsook (KOR),FUKUHARA Ai
World Tour Harmony China Open Suzhou 2013,2013-08-14,CHENG I-Ching,CHOI Moonyoung,4,0,"12,11,11,11|10,9,8,9",R32,GRAND_SLAM,WS,119,Main Draw,CHENG I-Ching (TPE),CHOI Moonyoung (KOR),CHENG I-Ching
World Tour Harmony China Open Suzhou 2013,2013-08-14,YANG Ha Eun,ZHANG Qiang,4,0,"11,11,11,14|6,9,9,12",R32,GRAND_SLAM,WS,119,Main Draw,YANG Ha Eun (KOR),ZHANG Qiang (CHN),YANG Ha Eun
World Tour Harmony China Open Suzhou 2013,2013-08-14,ZHU Yuling,MORIZONO Misaki,4,3,"9,11,9,9,11,11,11|11,6,11,11,3,8,1",R32,GRAND_SLAM,WS,119,Main Draw,ZHU Yuling (MAC),MORIZONO Misaki (JPN),ZHU Yuling
World Tour Harmony China Open Suzhou 2013,2013-08-14,HAMAMOTO Yui,TASHIRO Saki,4,2,"5,11,14,7,11,11|11,7,12,11,7,6",R32,GRAND_SLAM,WS,119,Main Draw,HAMAMOTO Yui (AUT),TASHIRO Saki (JPN),HAMAMOTO Yui
World Tour Harmony China Open Suzhou 2013,2013-08-14,ZHAO Yan,YU Mengyu,2,0,"11,11|6,5",R32,GRAND_SLAM,WS,119,Main Draw,ZHAO Yan (CHN),YU Mengyu (SGP),ZHAO Yan
World Tour Harmony China Open Suzhou 2013,2013-08-14,JEON Jihee,KIM Hye Song,4,2,"11,11,6,11,7,12|6,6,11,5,11,10",R32,GRAND_SLAM,WS,119,Main Draw,JEON Jihee (KOR),KIM Hye Song (PRK),JEON Jihee
World Tour Harmony China Open Suzhou 2013,2013-08-14,CHEN Meng,KIM Jong,4,2,"12,11,10,11,5,12|10,5,12,9,11,10",R32,GRAND_SLAM,WS,119,Main Draw,CHEN Meng (CHN),KIM Jong (PRK),CHEN Meng
World Tour Harmony China Open Suzhou 2013,2013-08-14,WU Yang,YOON Sunae,4,2,"9,11,11,9,11,11|11,5,5,11,6,4",R32,GRAND_SLAM,WS,119,Main Draw,WU Yang (CHN),YOON Sunae (KOR),WU Yang
World Tour Harmony China Open Suzhou 2013,2013-08-14,WAKAMIYA Misako,SUH Hyo Won,4,3,"10,16,3,15,11,11,13|12,18,11,13,4,5,11",R32,GRAND_SLAM,WS,119,Main Draw,WAKAMIYA Misako (JPN),SUH Hyo Won (KOR),WAKAMIYA Misako
World Tour Harmony China Open Suzhou 2013,2013-08-14,RI Mi Gyong,RI Myong Sun,4,1,"11,9,11,13,11|2,11,7,11,6",R32,GRAND_SLAM,WS,119,Main Draw,RI Mi Gyong (PRK),RI Myong Sun (PRK),RI Mi Gyong
World Tour Harmony China Open Suzhou 2013,2013-08-14,FENG Tianwei,HIRANO Sayaka,4,0,"11,11,11,11|7,5,5,5",R32,GRAND_SLAM,WS,119,Main Draw,FENG Tianwei (SGP),HIRANO Sayaka (JPN),FENG Tianwei
World Tour Harmony China Open Suzhou 2013,2013-08-14,LIU Shiwen,LEE I-Chen,4,0,"11,11,11,11|5,8,5,8",R16,GRAND_SLAM,WS,119,Main Draw,LIU Shiwen (CHN),LEE I-Chen (TPE),LIU Shiwen
World Tour Harmony China Open Suzhou 2013,2013-08-14,ISHIKAWA Kasumi,CHEN Szu-Yu,4,3,"11,11,11,10,5,3,11|8,4,9,12,11,11,9",R16,GRAND_SLAM,WS,119,Main Draw,ISHIKAWA Kasumi (JPN),CHEN Szu-Yu (TPE),ISHIKAWA Kasumi
World Tour Harmony China Open Suzhou 2013,2013-08-14,CHENG I-Ching,FUKUHARA Ai,4,3,"11,6,11,13,9,6,11|9,11,8,11,11,11,7",R16,GRAND_SLAM,WS,119,Main Draw,CHENG I-Ching (TPE),FUKUHARA Ai (JPN),CHENG I-Ching
World Tour Harmony China Open Suzhou 2013,2013-08-14,ZHU Yuling,YANG Ha Eun,4,1,"11,11,7,11,11|6,6,11,6,7",R16,GRAND_SLAM,WS,119,Main Draw,ZHU Yuling (MAC),YANG Ha Eun (KOR),ZHU Yuling
World Tour Harmony China Open Suzhou 2013,2013-08-14,ZHAO Yan,HAMAMOTO Yui,4,3,"10,8,11,11,11,9,11|12,11,9,9,8,11,9",R16,GRAND_SLAM,WS,119,Main Draw,ZHAO Yan (CHN),HAMAMOTO Yui (AUT),ZHAO Yan
World Tour Harmony China Open Suzhou 2013,2013-08-14,CHEN Meng,JEON Jihee,4,1,"11,11,7,11,14|8,7,11,5,12",R16,GRAND_SLAM,WS,119,Main Draw,CHEN Meng (CHN),JEON Jihee (KOR),CHEN Meng
World Tour Harmony China Open Suzhou 2013,2013-08-14,WU Yang,WAKAMIYA Misako,4,2,"10,11,11,9,11,16|12,7,9,11,7,14",R16,GRAND_SLAM,WS,119,Main Draw,WU Yang (CHN),WAKAMIYA Misako (JPN),WU Yang
World Tour Harmony China Open Suzhou 2013,2013-08-14,FENG Tianwei,RI Mi Gyong,4,0,"11,11,11,11|7,8,5,8",R16,GRAND_SLAM,WS,119,Main Draw,FENG Tianwei (SGP),RI Mi Gyong (PRK),FENG Tianwei
World Tour Harmony China Open Suzhou 2013,2013-08-14,LIU Shiwen,ISHIKAWA Kasumi,4,0,"11,11,11,11|9,8,3,2",QF,GRAND_SLAM,WS,119,Main Draw,LIU Shiwen (CHN),ISHIKAWA Kasumi (JPN),LIU Shiwen
World Tour Harmony China Open Suzhou 2013,2013-08-14,CHENG I-Ching,ZHU Yuling,4,2,"11,11,3,11,5,13|6,5,11,9,11,11",QF,GRAND_SLAM,WS,119,Main Draw,CHENG I-Ching (TPE),ZHU Yuling (MAC),CHENG I-Ching
World Tour Harmony China Open Suzhou 2013,2013-08-14,CHEN Meng,ZHAO Yan,4,0,"11,11,11,11|7,6,6,7",QF,GRAND_SLAM,WS,119,Main Draw,CHEN Meng (CHN),ZHAO Yan (CHN),CHEN Meng
World Tour Harmony China Open Suzhou 2013,2013-08-14,WU Yang,FENG Tianwei,4,0,"13,11,11,11|11,4,8,3",QF,GRAND_SLAM,WS,119,Main Draw,WU Yang (CHN),FENG Tianwei (SGP),WU Yang
World Tour Harmony China Open Suzhou 2013,2013-08-14,LIU Shiwen,CHENG I-Ching,4,0,"11,11,11,11|7,3,9,1",SF,GRAND_SLAM,WS,119,Main Draw,LIU Shiwen (CHN),CHENG I-Ching (TPE),LIU Shiwen
World Tour Harmony China Open Suzhou 2013,2013-08-14,CHEN Meng,LIU Shiwen,4,1,"9,11,2|11,3,0",F,GRAND_SLAM,WS,119,Main Draw,CHEN Meng (CHN),LIU Shiwen (CHN),CHEN Meng
World Tour Harmony China Open Suzhou 2013,2013-08-14,CHEN Feng,CHOE Il,3,1,"10,11,11,26|12,9,8,24",R16,GRAND_SLAM,U21MS,119,Main Draw,CHEN Feng (SGP),CHOE Il (PRK),CHEN Feng
World Tour Harmony China Open Suzhou 2013,2013-08-14,WU Zhikang,PAK Sin Hyok,3,2,"6,11,9,11,11|11,8,11,7,3",R16,GRAND_SLAM,U21MS,119,Main Draw,WU Zhikang (SGP),PAK Sin Hyok (PRK),WU Zhikang
World Tour Harmony China Open Suzhou 2013,2013-08-14,RI Kwang Won,MACHI Asuka,3,2,"10,14,11,8,11|12,12,8,11,6",R16,GRAND_SLAM,U21MS,119,Main Draw,RI Kwang Won (PRK),MACHI Asuka (JPN),RI Kwang Won
World Tour Harmony China Open Suzhou 2013,2013-08-14,MORIZONO Masataka,PANG Xue Jie,3,1,"10,11,12,11|12,8,10,8",R16,GRAND_SLAM,U21MS,119,Main Draw,MORIZONO Masataka (JPN),PANG Xue Jie (SGP),MORIZONO Masataka
World Tour Harmony China Open Suzhou 2013,2013-08-14,YOSHIMURA Maharu,XIN Zhaoxu,3,2,"11,11,9,5,11|6,9,11,11,4",R16,GRAND_SLAM,U21MS,119,Main Draw,YOSHIMURA Maharu (JPN),XIN Zhaoxu (SGP),YOSHIMURA Maharu
World Tour Harmony China Open Suzhou 2013,2013-08-14,SAKAI Asuka,KIM Donghyun,3,1,"11,7,11,11|6,11,5,3",R16,GRAND_SLAM,U21MS,119,Main Draw,SAKAI Asuka (JPN),KIM Donghyun (KOR),SAKAI Asuka
World Tour Harmony China Open Suzhou 2013,2013-08-14,HUNG Tzu-Hsiang,YU Jiaqing,3,2,"11,10,11,5,11|7,12,3,11,7",R16,GRAND_SLAM,U21MS,119,Main Draw,HUNG Tzu-Hsiang (TPE),YU Jiaqing (SGP),HUNG Tzu-Hsiang
World Tour Harmony China Open Suzhou 2013,2013-08-14,MATSUDA Naoki,KANG Dongsoo,3,2,"19,11,8,6,11|17,8,11,11,9",R16,GRAND_SLAM,U21MS,119,Main Draw,MATSUDA Naoki (JPN),KANG Dongsoo (KOR),MATSUDA Naoki
World Tour Harmony China Open Suzhou 2013,2013-08-14,CHEN Feng,WU Zhikang,4,0,"11,11,11,11|8,5,8,8",QF,GRAND_SLAM,U21MS,119,Main Draw,CHEN Feng (SGP),WU Zhikang (SGP),CHEN Feng
World Tour Harmony China Open Suzhou 2013,2013-08-14,MORIZONO Masataka,RI Kwang Won,4,0,"11,11,11,12|5,7,7,10",QF,GRAND_SLAM,U21MS,119,Main Draw,MORIZONO Masataka (JPN),RI Kwang Won (PRK),MORIZONO Masataka
World Tour Harmony China Open Suzhou 2013,2013-08-14,YOSHIMURA Maharu,SAKAI Asuka,4,0,"11,11,11,11|8,8,7,9",QF,GRAND_SLAM,U21MS,119,Main Draw,YOSHIMURA Maharu (JPN),SAKAI Asuka (JPN),YOSHIMURA Maharu
World Tour Harmony China Open Suzhou 2013,2013-08-14,HUNG Tzu-Hsiang,MATSUDA Naoki,4,1,"11,11,8,14,11|9,3,11,12,9",QF,GRAND_SLAM,U21MS,119,Main Draw,HUNG Tzu-Hsiang (TPE),MATSUDA Naoki (JPN),HUNG Tzu-Hsiang
World Tour Harmony China Open Suzhou 2013,2013-08-14,MORIZONO Masataka,CHEN Feng,4,3,"6,8,12,11,7,11,12|11,11,10,7,11,8,10",SF,GRAND_SLAM,U21MS,119,Main Draw,MORIZONO Masataka (JPN),CHEN Feng (SGP),MORIZONO Masataka
World Tour Harmony China Open Suzhou 2013,2013-08-14,HUNG Tzu-Hsiang,YOSHIMURA Maharu,4,3,"11,9,11,11,11,6,12|2,11,3,6,13,11,10",SF,GRAND_SLAM,U21MS,119,Main Draw,HUNG Tzu-Hsiang (TPE),YOSHIMURA Maharu (JPN),HUNG Tzu-Hsiang
World Tour Harmony China Open Suzhou 2013,2013-08-14,MORIZONO Masataka,HUNG Tzu-Hsiang,4,1,"11,12,11,9,11|6,10,9,11,6",F,GRAND_SLAM,U21MS,119,Main Draw,MORIZONO Masataka (JPN),HUNG Tzu-Hsiang (TPE),MORIZONO Masataka
World Tour Harmony China Open Suzhou 2013,2013-08-14,RI Myong Sun,HIRANO Miu,3,2,"6,12,7,11,14|11,10,11,7,12",R16,GRAND_SLAM,U21WS,119,Main Draw,RI Myong Sun (PRK),HIRANO Miu (JPN),RI Myong Sun
World Tour Harmony China Open Suzhou 2013,2013-08-14,KIM Song I,MATSUDAIRA Shiho,3,0,"11,11,11|9,9,7",R16,GRAND_SLAM,U21WS,119,Main Draw,KIM Song I (PRK),MATSUDAIRA Shiho (JPN),KIM Song I
World Tour Harmony China Open Suzhou 2013,2013-08-14,CHENG Hsien-Tzu,LIN Ye,3,1,"11,11,11,12|8,13,9,10",R16,GRAND_SLAM,U21WS,119,Main Draw,CHENG Hsien-Tzu (TPE),LIN Ye (CAN),CHENG Hsien-Tzu
World Tour Harmony China Open Suzhou 2013,2013-08-14,YOO Eunchong,NG Wing Nam,3,1,"11,9,11,11|7,11,8,7",R16,GRAND_SLAM,U21WS,119,Main Draw,YOO Eunchong (KOR),NG Wing Nam (HKG),YOO Eunchong
World Tour Harmony China Open Suzhou 2013,2013-08-14,CHEN Szu-Yu,MAEDA Miyu,3,1,"6,11,11,11|11,4,9,2",R16,GRAND_SLAM,U21WS,119,Main Draw,CHEN Szu-Yu (TPE),MAEDA Miyu (JPN),CHEN Szu-Yu
World Tour Harmony China Open Suzhou 2013,2013-08-14,ZHOU Yihan,KATO Miyu,3,2,"11,11,11,7,13|6,8,13,11,11",R16,GRAND_SLAM,U21WS,119,Main Draw,ZHOU Yihan (SGP),KATO Miyu (JPN),ZHOU Yihan
World Tour Harmony China Open Suzhou 2013,2013-08-14,MORIZONO Misaki,HUANG Hsin,3,0,"11,11,11|8,9,9",R16,GRAND_SLAM,U21WS,119,Main Draw,MORIZONO Misaki (JPN),HUANG Hsin (TPE),MORIZONO Misaki
World Tour Harmony China Open Suzhou 2013,2013-08-14,CHENG I-Ching,MATSUZAWA Marina,3,1,"9,11,11,11|11,9,9,5",R16,GRAND_SLAM,U21WS,119,Main Draw,CHENG I-Ching (TPE),MATSUZAWA Marina (JPN),CHENG I-Ching
World Tour Harmony China Open Suzhou 2013,2013-08-14,KIM Song I,RI Myong Sun,4,3,"11,8,12,6,11,7,15|5,11,10,11,5,11,13",QF,GRAND_SLAM,U21WS,119,Main Draw,KIM Song I (PRK),RI Myong Sun (PRK),KIM Song I
World Tour Harmony China Open Suzhou 2013,2013-08-14,YOO Eunchong,CHENG Hsien-Tzu,4,1,"11,6,12,11,11|9,11,10,4,6",QF,GRAND_SLAM,U21WS,119,Main Draw,YOO Eunchong (KOR),CHENG Hsien-Tzu (TPE),YOO Eunchong
World Tour Harmony China Open Suzhou 2013,2013-08-14,CHEN Szu-Yu,ZHOU Yihan,4,1,"11,12,5,11,11|9,10,11,4,6",QF,GRAND_SLAM,U21WS,119,Main Draw,CHEN Szu-Yu (TPE),ZHOU Yihan (SGP),CHEN Szu-Yu
