tournament,date,player_a,player_b,score_a,score_b,game_scores,round,tier,sub_event,event_id,stage,player_a_raw,player_b_raw,winner_raw
ITTF European Championships Budapest 2016,2016-10-18,OVTCHAROV Dimitrij,DURAN Marc,4,0,"11,11,11,13|6,9,3,11",R64,OTHER,MS,376,Main Draw,OVTCHAROV Dimitrij (GER),DURAN Marc (ESP),OVTCHAROV Dimitrij
ITTF European Championships Budapest 2016,2016-10-18,DYJAS Jakub,PAIKOV Mikhail,4,2,"6,11,11,7,12,11|11,8,4,11,10,6",R64,OTHER,MS,376,Main Draw,PAIKOV Mikhail (RUS),DYJAS Jakub (POL),DYJAS Jakub
ITTF European Championships Budapest 2016,2016-10-18,MONTEIRO Joao,BROSSIER Benjamin,4,1,"11,12,7,11,11|3,10,11,5,4",R64,OTHER,MS,376,Main Draw,MONTEIRO Joao (POR),BROSSIER Benjamin (FRA),MONTEIRO Joao
ITTF European Championships Budapest 2016,2016-10-18,GIONIS Panagiotis,JORGIC Darko,4,3,"11,7,11,9,12,9,11|9,11,5,11,10,11,3",R64,OTHER,MS,376,Main Draw,JORGIC Darko (SLO),GIONIS Panagiotis (GRE),GIONIS Panagiotis
ITTF European Championships Budapest 2016,2016-10-18,KOU Lei,WALKER Samuel,4,0,"11,11,11,15|6,9,4,13",R64,OTHER,MS,376,Main Draw,KOU Lei (UKR),WALKER Samuel (ENG),KOU Lei
ITTF European Championships Budapest 2016,2016-10-18,KALLBERG Anton,CRISAN Adrian,4,2,"12,11,2,11,11,12|10,7,11,13,5,10",R64,OTHER,MS,376,Main Draw,CRISAN Adrian (ROU),KALLBERG Anton (SWE),KALLBERG Anton
ITTF European Championships Budapest 2016,2016-10-18,GACINA Andrej,BOBOCICA Mihai,4,1,"11,11,11,8,11|3,9,8,11,5",R64,OTHER,MS,376,Main Draw,BOBOCICA Mihai (ITA),GACINA Andrej (CRO),GACINA Andrej
ITTF European Championships Budapest 2016,2016-10-18,FEGERL Stefan,ISMAILOV Sadi,4,0,"11,11,11,11|8,9,4,6",R64,OTHER,MS,376,Main Draw,FEGERL Stefan (AUT),ISMAILOV Sadi (RUS),FEGERL Stefan
ITTF European Championships Budapest 2016,2016-10-18,PITCHFORD Liam,LEWANDOWSKI Tomasz,4,1,"11,11,2,11,11|5,3,11,3,9",R64,OTHER,MS,376,Main Draw,LEWANDOWSKI Tomasz (POL),PITCHFORD Liam (ENG),PITCHFORD Liam
ITTF European Championships Budapest 2016,2016-10-18,FRANZISKA Patrick,MUTTI Leonardo,4,2,"11,11,10,11,11,11|5,13,12,9,4,7",R64,OTHER,MS,376,Main Draw,FRANZISKA Patrick (GER),MUTTI Leonardo (ITA),FRANZISKA Patrick
ITTF European Championships Budapest 2016,2016-10-18,LEBESSON Emmanuel,DEVOS Robin,4,0,"11,11,11,11|5,5,6,6",R64,OTHER,MS,376,Main Draw,DEVOS Robin (BEL),LEBESSON Emmanuel (FRA),LEBESSON Emmanuel
