tournament,date,player_a,player_b,score_a,score_b,game_scores,round,tier,sub_event,event_id,stage,player_a_raw,player_b_raw
Chinese Taipei Open Taipei 2005,2005-06-16,CHUANG Chih-Yuan,HIDAKA Tatsuya,4,0,"11,11,11,11|6,8,2,4",R32,GRAND_SLAM,MS,1735,Main Draw,CHUANG Chih-Yuan (TPE),HIDAKA Tatsuya (AUS)
Chinese Taipei Open Taipei 2005,2005-06-16,CHANG Yen-Shu,CHO Eonrae,4,2,"11,7,3,11,11,11|9,11,11,5,6,6",R32,GRAND_SLAM,MS,1735,Main Draw,CHANG Yen-Shu (TPE),CHO Eonrae (KOR)
Chinese Taipei Open Taipei 2005,2005-06-16,YOSHIDA Kaii,LIM Jaehyun,4,3,"10,11,10,11,12,8,11|12,4,12,4,10,11,8",R32,GRAND_SLAM,MS,1735,Main Draw,YOSHIDA Kaii (JPN),LIM Jaehyun (KOR)
Chinese Taipei Open Taipei 2005,2005-06-16,LI Ching,SAKAMOTO Ryusuke,4,1,"11,11,4,11,11|4,4,11,5,4",R32,GRAND_SLAM,MS,1735,Main Draw,LI Ching (HKG),SAKAMOTO Ryusuke (JPN)
Chinese Taipei Open Taipei 2005,2005-06-16,KISHIKAWA Seiya,YOON Jaeyoung,4,2,"10,5,11,11,11,11|12,11,7,7,9,3",R32,GRAND_SLAM,MS,1735,Main Draw,KISHIKAWA Seiya (JPN),YOON Jaeyoung (KOR)
Chinese Taipei Open Taipei 2005,2005-06-16,LEGOUT Christophe,MIZUTANI Jun,4,2,"11,9,11,6,11,11|5,11,2,11,9,8",R32,GRAND_SLAM,MS,1735,Main Draw,LEGOUT Christophe (FRA),MIZUTANI Jun (JPN)
Chinese Taipei Open Taipei 2005,2005-06-16,LEE Jungwoo,LI Hang,4,0,"11,11,11,11|8,4,9,8",R32,GRAND_SLAM,MS,1735,Main Draw,LEE Jungwoo (KOR),LI Hang (SGP)
Chinese Taipei Open Taipei 2005,2005-06-16,CHIANG Peng-Lung,CAI Xiaoli,4,0,"11,11,11,11|9,8,3,2",R32,GRAND_SLAM,MS,1735,Main Draw,CHIANG Peng-Lung (TPE),CAI Xiaoli (SGP)
Chinese Taipei Open Taipei 2005,2005-06-16,CHEN Weixing,LO Dany,4,2,"10,10,11,11,11,11|12,12,7,4,2,2",R32,GRAND_SLAM,MS,1735,Main Draw,CHEN Weixing (AUT),LO Dany (FRA)
Chinese Taipei Open Taipei 2005,2005-06-16,WU Chih-Chi,LEE Chulseung,4,1,"11,11,11,6,11|4,8,7,11,4",R32,GRAND_SLAM,MS,1735,Main Draw,WU Chih-Chi (TPE),LEE Chulseung (KOR)
Chinese Taipei Open Taipei 2005,2005-06-16,GARDOS Robert,CHOI Hyunjin,4,2,"11,6,5,11,11,12|3,11,11,9,8,10",R32,GRAND_SLAM,MS,1735,Main Draw,GARDOS Robert (AUT),CHOI Hyunjin (KOR)
Chinese Taipei Open Taipei 2005,2005-06-16,KO Lai Chak,MIZUNO Yuya,4,1,"11,11,11,10,11|5,7,3,12,5",R32,GRAND_SLAM,MS,1735,Main Draw,KO Lai Chak (HKG),MIZUNO Yuya (JPN)
Chinese Taipei Open Taipei 2005,2005-06-16,GAO Ning,SHEN Chi-Min,4,3,"11,9,8,12,11,8,11|4,11,11,10,3,11,4",R32,GRAND_SLAM,MS,1735,Main Draw,GAO Ning (SGP),SHEN Chi-Min (TPE)
Chinese Taipei Open Taipei 2005,2005-06-16,MATSUSHITA Koji,LEE Jungsam,4,0,"11,12,11,11|6,10,5,4",R32,GRAND_SLAM,MS,1735,Main Draw,MATSUSHITA Koji (JPN),LEE Jungsam (KOR)
Chinese Taipei Open Taipei 2005,2005-06-16,YANG Zi,BOBILLIER Loic,4,2,"11,5,5,11,11,11|9,11,11,7,6,9",R32,GRAND_SLAM,MS,1735,Main Draw,YANG Zi (SGP),BOBILLIER Loic (FRA)
