tournament,date,player_a,player_b,score_a,score_b,game_scores,round,tier,sub_event,event_id,stage,player_a_raw,player_b_raw,winner_raw
North American Olympic Qualification Tournament Cary 2012,2012-04-20,ZHANG Lily,HUGH Judy,4,0,"12,11,11,13|10,5,8,11",,OLYMPICS,WS,584,Qualification,ZHANG Lily (USA),HUGH Judy (USA),ZHANG Lily
North American Olympic Qualification Tournament Cary 2012,2012-04-20,LUO Anqi,FU Shirley,4,2,"10,11,9,11,11,11|12,7,11,8,4,8",,OLYMPICS,WS,584,Qualification,LUO Anqi (CAN),FU Shirley (CAN),LUO Anqi
North American Olympic Qualification Tournament Cary 2012,2012-04-20,ZHANG Lily,LUO Anqi,4,1,"8,11,11,11,11|11,7,7,4,4",,OLYMPICS,WS,584,Qualification,ZHANG Lily (USA),LUO Anqi (CAN),ZHANG Lily
North American Olympic Qualification Tournament Cary 2012,2012-04-20,HUGH Judy,FU Shirley,4,2,"11,11,11,5,11,12|7,5,3,11,13,10",,OLYMPICS,WS,584,Qualification,HUGH Judy (USA),FU Shirley (CAN),HUGH Judy
North American Olympic Qualification Tournament Cary 2012,2012-04-20,LUO Anqi,HUGH Judy,4,3,"11,2,13,11,3,11,12|7,11,11,6,11,13,10",,OLYMPICS,WS,584,Qualification,LUO Anqi (CAN),HUGH Judy (USA),LUO Anqi
North American Olympic Qualification Tournament Cary 2012,2012-04-20,WANG Timothy,LANDERS Michael,4,1,"8,11,11,11,11|11,4,4,5,7",,OLYMPICS,MS,584,Qualification,WANG Timothy (USA),LANDERS Michael (USA),WANG Timothy
North American Olympic Qualification Tournament Cary 2012,2012-04-20,WANG Timothy,THERIAULT Pierre-Luc,4,2,"11,11,12,11,9,11|13,9,10,5,11,3",,OLYMPICS,MS,584,Qualification,WANG Timothy (USA),THERIAULT Pierre-Luc (CAN),WANG Timothy
North American Olympic Qualification Tournament Cary 2012,2012-04-20,THERIAULT Pierre-Luc,LANDERS Michael,4,0,"12,11,11,11|10,8,3,8",,OLYMPICS,MS,584,Qualification,THERIAULT Pierre-Luc (CAN),LANDERS Michael (USA),THERIAULT Pierre-Luc
North American Olympic Qualification Tournament Cary 2012,2012-04-20,REED Barney,HUGH Adam,4,1,"6,13,11,11,11|11,11,8,7,6",,OLYMPICS,MS,584,Qualification,REED Barney (USA),HUGH Adam (USA),REED Barney
North American Olympic Qualification Tournament Cary 2012,2012-04-20,CHEN Hongtao,REED Barney,4,2,"6,9,11,11,11,11|11,11,4,5,9,7",,OLYMPICS,MS,584,Qualification,CHEN Hongtao (CAN),REED Barney (USA),CHEN Hongtao
North American Olympic Qualification Tournament Cary 2012,2012-04-20,LUO Anqi,YUEN Sara,4,1,"11,11,11,11,11|8,8,13,8,8",SF,OLYMPICS,WS,584,Main Draw,LUO Anqi (CAN),YUEN Sara (CAN),LUO Anqi
North American Olympic Qualification Tournament Cary 2012,2012-04-20,WU Erica,FU Shirley,4,1,"11,11,6,11,15|9,7,11,7,13",4,OLYMPICS,WS,584,Consolation,WU Erica (USA),FU Shirley (CAN),WU Erica
North American Olympic Qualification Tournament Cary 2012,2012-04-20,WU Erica,HUGH Judy,4,2,"5,12,11,11,9,11|11,10,9,5,11,4",2,OLYMPICS,WS,584,Consolation,WU Erica (USA),HUGH Judy (USA),WU Erica
North American Olympic Qualification Tournament Cary 2012,2012-04-20,WANG Timothy,REED Barney,4,1,"11,13,7,11,11|9,11,11,9,7",SF,OLYMPICS,MS,584,Main Draw,WANG Timothy (USA),REED Barney (USA),WANG Timothy
North American Olympic Qualification Tournament Cary 2012,2012-04-20,CHEN Hongtao,THERIAULT Pierre-Luc,4,2,"12,10,11,9,11,12|10,12,5,11,8,10",SF,OLYMPICS,MS,584,Main Draw,CHEN Hongtao (CAN),THERIAULT Pierre-Luc (CAN),CHEN Hongtao
North American Olympic Qualification Tournament Cary 2012,2012-04-20,LANDERS Michael,HUGH Adam,4,1,"11,11,9,11,11|6,6,11,5,6",2,OLYMPICS,MS,584,Consolation,LANDERS Michael (USA),HUGH Adam (USA),LANDERS Michael
North American Olympic Qualification Tournament Cary 2012,2012-04-20,THERIAULT Pierre-Luc,REED Barney,4,3,"9,11,11,8,12,6,11|11,7,7,11,10,11,7",2,OLYMPICS,MS,584,Consolation,THERIAULT Pierre-Luc (CAN),REED Barney (USA),THERIAULT Pierre-Luc
