tournament,date,player_a,player_b,score_a,score_b,game_scores,round,tier,sub_event,event_id,stage,player_a_raw,player_b_raw
Pro Tour Slovenia Open Velenje 2010,2010-01-19,LEE Sang Su,PEREIRA Andy,4,1,"11,9,11,11,11|3,11,9,7,5",R32,GRAND_SLAM,U21MS,65,Main Draw,LEE Sang Su (KOR),PEREIRA Andy (CUB)
Pro Tour Slovenia Open Velenje 2010,2010-01-19,JEONG Sangeun,GOLEBIOWSKI Mateusz,4,3,"3,11,12,11,11,9,16|11,5,10,8,13,11,14",R32,GRAND_SLAM,U21MS,65,Main Draw,JEONG Sangeun (KOR),GOLEBIOWSKI Mateusz (POL)
Pro Tour Slovenia Open Velenje 2010,2010-01-19,NAGY Krisztian,DIEZ Endika,4,3,"11,11,7,11,11,12,11|13,4,11,4,13,10,7",R32,GRAND_SLAM,U21MS,65,Main Draw,NAGY Krisztian (HUN),DIEZ Endika (ESP)
Pro Tour Slovenia Open Velenje 2010,2010-01-19,IONESCU Ovidiu,FERTIKOWSKI Pawel,4,3,"8,9,11,11,8,11,11|11,11,8,7,11,5,7",R32,GRAND_SLAM,U21MS,65,Main Draw,IONESCU Ovidiu (ROU),FERTIKOWSKI Pawel (POL)
Pro Tour Slovenia Open Velenje 2010,2010-01-19,SHIBAEV Alexander,FEKETE Soma,4,1,"11,11,11,5,11|9,8,6,11,9",R32,GRAND_SLAM,U21MS,65,Main Draw,SHIBAEV Alexander (RUS),FEKETE Soma (HUN)
Pro Tour Slovenia Open Velenje 2010,2010-01-19,BURGIS Matiss,KARLSSON Kristian,4,1,"9,11,11,11,12|11,4,9,2,10",R32,GRAND_SLAM,U21MS,65,Main Draw,BURGIS Matiss (LAT),KARLSSON Kristian (SWE)
Pro Tour Slovenia Open Velenje 2010,2010-01-19,KOVAC Borna,OBESLO Michal,4,2,"11,5,11,9,13,11|6,11,8,11,11,9",R32,GRAND_SLAM,U21MS,65,Main Draw,KOVAC Borna (CRO),OBESLO Michal (CZE)
Pro Tour Slovenia Open Velenje 2010,2010-01-19,KOSIBA Daniel,FUCEC Luka,4,1,"11,11,5,12,12|6,1,11,10,10",R32,GRAND_SLAM,U21MS,65,Main Draw,KOSIBA Daniel (HUN),FUCEC Luka (CRO)
Pro Tour Slovenia Open Velenje 2010,2010-01-19,KIM Minseok,SCHAFFER Daniel,4,1,"11,11,11,11,11|3,5,13,4,5",R32,GRAND_SLAM,U21MS,65,Main Draw,KIM Minseok (KOR),SCHAFFER Daniel (HUN)
Pro Tour Slovenia Open Velenje 2010,2010-01-19,SEO Hyundeok,TREGLER Tomas,4,0,"12,11,11,11|10,7,3,6",R16,GRAND_SLAM,U21MS,65,Main Draw,SEO Hyundeok (KOR),TREGLER Tomas (CZE)
Pro Tour Slovenia Open Velenje 2010,2010-01-19,JEOUNG Youngsik,RASMUSSEN Morten,4,0,"11,11,11,11|7,9,7,4",R16,GRAND_SLAM,U21MS,65,Main Draw,JEOUNG Youngsik (KOR),RASMUSSEN Morten (DEN)
Pro Tour Slovenia Open Velenje 2010,2010-01-19,CHOJNOWSKI Patryk,KIM Kyungmin,4,2,"7,11,11,7,11,12|11,9,7,11,8,10",R16,GRAND_SLAM,U21MS,65,Main Draw,CHOJNOWSKI Patryk (POL),KIM Kyungmin (KOR)
Pro Tour Slovenia Open Velenje 2010,2010-01-19,LEE Sang Su,ROGIERS Benjamin,4,2,"10,11,11,9,11,11|12,5,3,11,5,6",R16,GRAND_SLAM,U21MS,65,Main Draw,LEE Sang Su (KOR),ROGIERS Benjamin (BEL)
Pro Tour Slovenia Open Velenje 2010,2010-01-19,JEONG Sangeun,NAGY Krisztian,4,1,"11,11,11,7,11|7,7,5,11,5",R16,GRAND_SLAM,U21MS,65,Main Draw,JEONG Sangeun (KOR),NAGY Krisztian (HUN)
Pro Tour Slovenia Open Velenje 2010,2010-01-19,SHIBAEV Alexander,IONESCU Ovidiu,4,2,"6,9,11,11,11,11|11,11,3,9,3,5",R16,GRAND_SLAM,U21MS,65,Main Draw,SHIBAEV Alexander (RUS),IONESCU Ovidiu (ROU)
Pro Tour Slovenia Open Velenje 2010,2010-01-19,BURGIS Matiss,KOVAC Borna,4,0,"11,11,13,11|2,5,11,5",R16,GRAND_SLAM,U21MS,65,Main Draw,BURGIS Matiss (LAT),KOVAC Borna (CRO)
Pro Tour Slovenia Open Velenje 2010,2010-01-19,KIM Minseok,KOSIBA Daniel,4,1,"11,11,7,11,11|8,7,11,6,3",R16,GRAND_SLAM,U21MS,65,Main Draw,KIM Minseok (KOR),KOSIBA Daniel (HUN)
Pro Tour Slovenia Open Velenje 2010,2010-01-19,SEO Hyundeok,JEOUNG Youngsik,4,1,"8,11,11,11,11|11,5,6,6,7",QuarterFinal,GRAND_SLAM,U21MS,65,Main Draw,SEO Hyundeok (KOR),JEOUNG Youngsik (KOR)
Pro Tour Slovenia Open Velenje 2010,2010-01-19,LEE Sang Su,CHOJNOWSKI Patryk,4,0,"11,11,11,11|7,6,9,4",QuarterFinal,GRAND_SLAM,U21MS,65,Main Draw,LEE Sang Su (KOR),CHOJNOWSKI Patryk (POL)
Pro Tour Slovenia Open Velenje 2010,2010-01-19,JEONG Sangeun,SHIBAEV Alexander,4,2,"7,7,11,11,11,11|11,11,9,5,8,7",QuarterFinal,GRAND_SLAM,U21MS,65,Main Draw,JEONG Sangeun (KOR),SHIBAEV Alexander (RUS)
Pro Tour Slovenia Open Velenje 2010,2010-01-19,KIM Minseok,BURGIS Matiss,4,2,"2,11,11,8,11,11|11,6,7,11,9,6",QuarterFinal,GRAND_SLAM,U21MS,65,Main Draw,KIM Minseok (KOR),BURGIS Matiss (LAT)
Pro Tour Slovenia Open Velenje 2010,2010-01-19,SEO Hyundeok,LEE Sang Su,4,0,,SemiFinal,GRAND_SLAM,U21MS,65,Main Draw,SEO Hyundeok (KOR),LEE Sang Su (KOR)
Pro Tour Slovenia Open Velenje 2010,2010-01-19,KIM Minseok,JEONG Sangeun,4,3,"12,12,10,11,3,8,11|10,10,12,4,11,11,7",SemiFinal,GRAND_SLAM,U21MS,65,Main Draw,KIM Minseok (KOR),JEONG Sangeun (KOR)
Pro Tour Slovenia Open Velenje 2010,2010-01-19,KIM Minseok,SEO Hyundeok,4,2,"11,12,10,12,16,11|7,14,12,10,14,5",Final,GRAND_SLAM,U21MS,65,Main Draw,KIM Minseok (KOR),SEO Hyundeok (KOR)
Pro Tour Slovenia Open Velenje 2010,2010-01-19,GORAK Daniel,MARTINEZ Michel,4,1,"3,11,11,11,11|11,1,3,9,4",QR64,GRAND_SLAM,MS,65,Qualification,GORAK Daniel (POL),MARTINEZ Michel (FRA)
