tournament,date,player_a,player_b,score_a,score_b,game_scores,round,tier,sub_event,event_id,stage,player_a_raw,player_b_raw,winner_raw
Croatian Open Zagreb 2007,2007-01-16,DEMETER Lehel/MAGYAR Laszlo,HABESOHN Dominik/PICHLER Michael,3,1,"11,11,11,11|5,0,13,5",QR128,GRAND_SLAM,MD,1819,Qualification,DEMETER Lehel (HUN) / MAGYAR Laszlo (HUN),HABESOHN Dominik (AUT) / PICHLER Michael (AUT),DEMETER Lehel
Croatian Open Zagreb 2007,2007-01-16,BEN ARI Omri/MANNA Romualdo,MOLNAR Krisztian/VARGA Zoltan,3,0,,QR128,GRAND_SLAM,MD,1819,Qualification,BEN ARI Omri (ISR) / MANNA Romualdo (ITA),MOLNAR Krisztian (HUN) / VARGA Zoltan (HUN),BEN ARI Omri
Croatian Open Zagreb 2007,2007-01-16,NAGY Krisztian/ZOMBORI David,CANTERO Jesus/MANOUSOFF Stefan,3,2,"5,12,11,11,11|11,14,7,4,4",QR128,GRAND_SLAM,MD,1819,Qualification,NAGY Krisztian (HUN) / ZOMBORI David (HUN),CANTERO Jesus (ESP) / MANOUSOFF Stefan (USA),NAGY Krisztian
Croatian Open Zagreb 2007,2007-01-16,JAKAB Janos/ZWICKL Daniel,DIDUKH Oleksandr/DIDUKH Viktor,3,1,"6,11,11,11|11,7,7,6",QR64,GRAND_SLAM,MD,1819,Qualification,JAKAB Janos (HUN) / ZWICKL Daniel (HUN),DIDUKH Oleksandr (UKR) / DIDUKH Viktor (UKR),JAKAB Janos
Croatian Open Zagreb 2007,2007-01-16,JIANG Tianyi/TANG Peng,NAGY Krisztian/ZOMBORI David,3,0,"12,11,11|10,8,2",QR64,GRAND_SLAM,MD,1819,Qualification,JIANG Tianyi (HKG) / TANG Peng (HKG),NAGY Krisztian (HUN) / ZOMBORI David (HUN),JIANG Tianyi
Croatian Open Zagreb 2007,2007-01-16,ROSSKOPF Jorg/SUSS Christian,MUSKO Peter/VITSEK Ivan,3,0,"16,14,11|14,12,8",QR64,GRAND_SLAM,MD,1819,Qualification,ROSSKOPF Jorg (GER) / SUSS Christian (GER),MUSKO Peter (HUN) / VITSEK Ivan (HUN),ROSSKOPF Jorg
Croatian Open Zagreb 2007,2007-01-16,JAKAB Janos/ZWICKL Daniel,GERELL Par/LUNDQVIST Jens,3,1,"11,15,9,17|8,13,11,15",QR32,GRAND_SLAM,MD,1819,Qualification,JAKAB Janos (HUN) / ZWICKL Daniel (HUN),GERELL Par (SWE) / LUNDQVIST Jens (SWE),JAKAB Janos
Croatian Open Zagreb 2007,2007-01-16,KIM Junghoon/OH Sangeun,JAKAB Janos/ZWICKL Daniel,3,1,"11,11,8,11|7,9,11,9",QR16,GRAND_SLAM,MD,1819,Qualification,KIM Junghoon (KOR) / OH Sangeun (KOR),JAKAB Janos (HUN) / ZWICKL Daniel (HUN),KIM Junghoon
Croatian Open Zagreb 2007,2007-01-16,BLASZCZYK Lucjan/TAN Ruiwu,FAZEKAS Peter/PAZSY Ferenc,3,1,"11,11,5,11|7,4,11,7",QR16,GRAND_SLAM,MD,1819,Qualification,BLASZCZYK Lucjan (POL) / TAN Ruiwu (CRO),FAZEKAS Peter (HUN) / PAZSY Ferenc (HUN),BLASZCZYK Lucjan
Croatian Open Zagreb 2007,2007-01-16,CARNEROS Alfredo/DURAN Marc,SABATINO Daniele/TOMASI Stefano,3,1,"12,11,8,11|10,8,11,3",QR128,GRAND_SLAM,MD,1819,Qualification,CARNEROS Alfredo (ESP) / DURAN Marc (ESP),SABATINO Daniele (ITA) / TOMASI Stefano (ITA),CARNEROS Alfredo
