tournament,date,player_a,player_b,score_a,score_b,game_scores,round,tier,sub_event,event_id,stage,player_a_raw,player_b_raw,winner_raw
ITTF Challenge Indonesia Open Jogjakarta 2019,2019-11-13,KOH Kai Xin Pearlyn,KANG Gayun,3,1,"12,8,13,11|10,11,11,7",,OLYMPICS,WS,2044,Qualification,KANG Gayun (KOR),KOH Kai Xin Pearlyn (SGP),KOH Kai Xin Pearlyn
ITTF Challenge Indonesia Open Jogjakarta 2019,2019-11-13,KANG Dayeon,DAS Ankita,3,0,"0,0,0|0,0,0",,OLYMPICS,WS,2044,Qualification,KANG Dayeon (KOR),DAS Ankita (IND),KANG Dayeon
ITTF Challenge Indonesia Open Jogjakarta 2019,2019-11-13,CAI Fong-En,LIM Eunice,3,0,"11,11,11|2,4,7",,OLYMPICS,WS,2044,Qualification,CAI Fong-En (TPE),LIM Eunice (SGP),CAI Fong-En
ITTF Challenge Indonesia Open Jogjakarta 2019,2019-11-13,CHIEN Tung-Chuan,LUTZ Camille,3,2,"9,13,4,11,11|11,11,11,3,7",,OLYMPICS,WS,2044,Qualification,CHIEN Tung-Chuan (TPE),LUTZ Camille (FRA),CHIEN Tung-Chuan
ITTF Challenge Indonesia Open Jogjakarta 2019,2019-11-13,ODONO Yui,KHOIRUNISA,3,0,"11,11,11|0,4,3",,OLYMPICS,WS,2044,Qualification,KHOIRUNISA (INA),ODONO Yui (JPN),ODONO Yui
ITTF Challenge Indonesia Open Jogjakarta 2019,2019-11-13,MAEDA Miyu,KAUTZAR Zidna,3,0,"11,11,11|2,2,1",,OLYMPICS,WS,2044,Qualification,KAUTZAR Zidna (INA),MAEDA Miyu (JPN),MAEDA Miyu
ITTF Challenge Indonesia Open Jogjakarta 2019,2019-11-13,ZHANG Wanling,COK Isa,3,2,"5,12,13,12,11|11,10,15,10,7",,OLYMPICS,WS,2044,Qualification,ZHANG Wanling (SGP),COK Isa (FRA),ZHANG Wanling
ITTF Challenge Indonesia Open Jogjakarta 2019,2019-11-13,CHEN Yi-Chien,PELMELAY Yessica Ruth Sarah,3,0,"11,11,11|4,5,6",,OLYMPICS,WS,2044,Qualification,CHEN Yi-Chien (TPE),PELMELAY Yessica Ruth Sarah (INA),CHEN Yi-Chien
ITTF Challenge Indonesia Open Jogjakarta 2019,2019-11-13,TAN En Hui,CRUZ Kheith,3,0,"11,14,11|3,12,7",,OLYMPICS,WS,2044,Qualification,CRUZ Kheith (PHI),TAN En Hui (SGP),TAN En Hui
ITTF Challenge Indonesia Open Jogjakarta 2019,2019-11-13,MACHI Asuka,LI Hsin-Yu,3,0,"11,11,11|5,4,8",,OLYMPICS,MS,2044,Qualification,MACHI Asuka (JPN),LI Hsin-Yu (TPE),MACHI Asuka
ITTF Challenge Indonesia Open Jogjakarta 2019,2019-11-13,HSU Yi-Chen,RAHMA Lesty Salsabila,3,0,"11,11,11|9,2,4",,OLYMPICS,WS,2044,Qualification,HSU Yi-Chen (TPE),RAHMA Lesty Salsabila (INA),HSU Yi-Chen
ITTF Challenge Indonesia Open Jogjakarta 2019,2019-11-13,TANVIRIYAVECHAKUL Padasak,BARDET Lilian,3,0,"11,11,11|3,2,7",,OLYMPICS,MS,2044,Qualification,TANVIRIYAVECHAKUL Padasak (THA),BARDET Lilian (FRA),TANVIRIYAVECHAKUL Padasak
ITTF Challenge Indonesia Open Jogjakarta 2019,2019-11-13,LI Hon Ming,YU Zong Jun Gerald,3,0,"11,11,11|9,7,6",,OLYMPICS,MS,2044,Qualification,LI Hon Ming (HKG),YU Zong Jun Gerald (SGP),LI Hon Ming
ITTF Challenge Indonesia Open Jogjakarta 2019,2019-11-13,BROSSIER Benjamin,TAN Lucas,3,0,"11,11,11|7,6,3",,OLYMPICS,MS,2044,Qualification,BROSSIER Benjamin (FRA),TAN Lucas (SGP),BROSSIER Benjamin
ITTF Challenge Indonesia Open Jogjakarta 2019,2019-11-13,MATSUYAMA Yuki,TAI Ming-Wei,3,0,"11,11,11|5,5,7",,OLYMPICS,MS,2044,Qualification,MATSUYAMA Yuki (JPN),TAI Ming-Wei (TPE),MATSUYAMA Yuki
ITTF Challenge Indonesia Open Jogjakarta 2019,2019-11-13,TAKAMI Masaki,HUANG Yu-Jen,3,1,"11,11,8,11|8,4,11,6",,OLYMPICS,MS,2044,Qualification,TAKAMI Masaki (JPN),HUANG Yu-Jen (TPE),TAKAMI Masaki
ITTF Challenge Indonesia Open Jogjakarta 2019,2019-11-13,KWAN Man Ho,ALBALUSHI Salah,3,0,"11,11,11|3,7,7",,OLYMPICS,MS,2044,Qualification,KWAN Man Ho (HKG),ALBALUSHI Salah (UAE),KWAN Man Ho
ITTF Challenge Indonesia Open Jogjakarta 2019,2019-11-13,KIZUKURI Yuto,KOH Dominic,3,2,"11,5,11,7,11|3,11,5,11,6",,OLYMPICS,MS,2044,Qualification,KIZUKURI Yuto (JPN),KOH Dominic (SGP),KIZUKURI Yuto
ITTF Challenge Indonesia Open Jogjakarta 2019,2019-11-13,PANG Koen,MENG Fanbo,3,0,"11,11,11|7,8,5",,OLYMPICS,MS,2044,Qualification,PANG Koen (SGP),MENG Fanbo (GER),PANG Koen
ITTF Challenge Indonesia Open Jogjakarta 2019,2019-11-13,YANG Zhi-Xing,YUNUS Muhammad Djaki,3,0,"11,11,11|2,5,5",,OLYMPICS,MS,2044,Qualification,YANG Zhi-Xing (TPE),YUNUS Muhammad Djaki (INA),YANG Zhi-Xing
ITTF Challenge Indonesia Open Jogjakarta 2019,2019-11-13,HUANG Yan-Cheng,CHEW Clarence,3,0,"11,11,11|6,5,9",,OLYMPICS,MS,2044,Qualification,CHEW Clarence (SGP),HUANG Yan-Cheng (TPE),HUANG Yan-Cheng
ITTF Challenge Indonesia Open Jogjakarta 2019,2019-11-13,CHUA Josh,ABDULWAHHAB Mohammed,3,0,"11,11,11|5,7,7",,OLYMPICS,MS,2044,Qualification,ABDULWAHHAB Mohammed (QAT),CHUA Josh (SGP),CHUA Josh
ITTF Challenge Indonesia Open Jogjakarta 2019,2019-11-13,YOKOTANI Jo,TULULI Fandy Achmad,3,0,"11,11,11|4,9,3",,OLYMPICS,MS,2044,Qualification,TULULI Fandy Achmad (INA),YOKOTANI Jo (JPN),YOKOTANI Jo
ITTF Challenge Indonesia Open Jogjakarta 2019,2019-11-13,PANDE Siddhesh,SEYFRIED Joe,3,0,"0,0,0|0,0,0",,OLYMPICS,MS,2044,Qualification,SEYFRIED Joe (FRA),PANDE Siddhesh (IND),PANDE Siddhesh
ITTF Challenge Indonesia Open Jogjakarta 2019,2019-11-13,LEE Wan-Hsuan,LUTZ Camille,3,1,"11,12,11,11|9,14,4,9",,OLYMPICS,U21WS,2044,Qualification,LUTZ Camille (FRA),LEE Wan-Hsuan (TPE),LEE Wan-Hsuan
ITTF Challenge Indonesia Open Jogjakarta 2019,2019-11-13,KANG Gayun,ROMERO Jannah,3,1,"11,9,11,11|7,11,6,7",,OLYMPICS,U21WS,2044,Qualification,KANG Gayun (KOR),ROMERO Jannah (PHI),KANG Gayun
