tournament,date,player_a,player_b,score_a,score_b,game_scores,round,tier,sub_event,event_id,stage,player_a_raw,player_b_raw,winner_raw
ITTF Challenge Indonesia Open Jogjakarta 2019,2019-11-13,MENG Fanbo,SINAGA Gezah Chrisnoel,3,0,"11,11,11|2,2,2",,OLYMPICS,U21MS,2044,Qualification,MENG Fanbo (GER),SINAGA Gezah Chrisnoel (INA),MENG Fanbo
ITTF Challenge Indonesia Open Jogjakarta 2019,2019-11-13,TAI Ming-Wei,SUTYOANSAH Muhammad Azidan,3,0,"11,11,11|3,2,1",,OLYMPICS,U21MS,2044,Qualification,TAI Ming-Wei (TPE),SUTYOANSAH Muhammad Azidan (INA),TAI Ming-Wei
ITTF Challenge Indonesia Open Jogjakarta 2019,2019-11-13,PAVADE Prithika,KOH Kai Xin Pearlyn,3,0,"11,11,11|2,3,5",,OLYMPICS,WS,2044,Qualification,KOH Kai Xin Pearlyn (SGP),PAVADE Prithika (FRA),PAVADE Prithika
ITTF Challenge Indonesia Open Jogjakarta 2019,2019-11-13,LUO Xue,AKAE Kaho,3,1,"4,13,16,11|11,11,14,5",,OLYMPICS,WS,2044,Qualification,AKAE Kaho (JPN),LUO Xue (POR),LUO Xue
ITTF Challenge Indonesia Open Jogjakarta 2019,2019-11-13,YU Hsiu-Ting,SUNDARI Putri,3,0,"11,11,11|5,2,2",,OLYMPICS,WS,2044,Qualification,YU Hsiu-Ting (TPE),SUNDARI Putri (INA),YU Hsiu-Ting
ITTF Challenge Indonesia Open Jogjakarta 2019,2019-11-13,LEE Wan-Hsuan,ANAKOTTA Dinda,3,0,"11,11,11|1,1,1",,OLYMPICS,WS,2044,Qualification,LEE Wan-Hsuan (TPE),ANAKOTTA Dinda (INA),LEE Wan-Hsuan
ITTF Challenge Indonesia Open Jogjakarta 2019,2019-11-13,TAN Li Lin Jassy,DAS Ankita,3,0,"0,0,0|0,0,0",,OLYMPICS,WS,2044,Qualification,DAS Ankita (IND),TAN Li Lin Jassy (SGP),TAN Li Lin Jassy
ITTF Challenge Indonesia Open Jogjakarta 2019,2019-11-13,ZHANG Wanling,PELMELAY Yessica Ruth Sarah,3,0,"11,11,11|0,1,2",,OLYMPICS,WS,2044,Qualification,ZHANG Wanling (SGP),PELMELAY Yessica Ruth Sarah (INA),ZHANG Wanling
ITTF Challenge Indonesia Open Jogjakarta 2019,2019-11-13,CHEN Yi-Chien,COK Isa,3,2,"10,7,12,11,11|12,11,10,7,4",,OLYMPICS,WS,2044,Qualification,COK Isa (FRA),CHEN Yi-Chien (TPE),CHEN Yi-Chien
ITTF Challenge Indonesia Open Jogjakarta 2019,2019-11-13,CAI Fong-En,ODONO Yui,3,0,"11,14,11|7,12,9",,OLYMPICS,WS,2044,Qualification,CAI Fong-En (TPE),ODONO Yui (JPN),CAI Fong-En
ITTF Challenge Indonesia Open Jogjakarta 2019,2019-11-13,MAEDA Miyu,CHIEN Tung-Chuan,3,1,"11,8,11,11|5,11,7,1",,OLYMPICS,WS,2044,Qualification,CHIEN Tung-Chuan (TPE),MAEDA Miyu (JPN),MAEDA Miyu
ITTF Challenge Indonesia Open Jogjakarta 2019,2019-11-13,LUTZ Camille,KAUTZAR Zidna,3,0,"11,11,11|8,7,4",,OLYMPICS,WS,2044,Qualification,LUTZ Camille (FRA),KAUTZAR Zidna (INA),LUTZ Camille
ITTF Challenge Indonesia Open Jogjakarta 2019,2019-11-13,HSU Yi-Chen,TAN En Hui,3,1,"12,11,9,11|10,9,11,8",,OLYMPICS,WS,2044,Qualification,TAN En Hui (SGP),HSU Yi-Chen (TPE),HSU Yi-Chen
ITTF Challenge Indonesia Open Jogjakarta 2019,2019-11-13,BARDET Lilian,ALIM Helmy,3,0,"11,11,11|4,3,3",,OLYMPICS,MS,2044,Qualification,BARDET Lilian (FRA),ALIM Helmy (INA),BARDET Lilian
ITTF Challenge Indonesia Open Jogjakarta 2019,2019-11-13,YU Zong Jun Gerald,ERTANTO Bobby,3,1,"7,11,11,11|11,8,9,7",,OLYMPICS,MS,2044,Qualification,YU Zong Jun Gerald (SGP),ERTANTO Bobby (INA),YU Zong Jun Gerald
ITTF Challenge Indonesia Open Jogjakarta 2019,2019-11-13,LI Hsin-Yu,FADILAH Fikri Faqih,3,0,"11,11,11|6,9,8",,OLYMPICS,MS,2044,Qualification,LI Hsin-Yu (TPE),FADILAH Fikri Faqih (INA),LI Hsin-Yu
ITTF Challenge Indonesia Open Jogjakarta 2019,2019-11-13,HUANG Yu-Jen,MEMMI Daniel,3,1,"11,11,9,12|7,6,11,10",,OLYMPICS,MS,2044,Qualification,HUANG Yu-Jen (TPE),MEMMI Daniel (SUI),HUANG Yu-Jen
ITTF Challenge Indonesia Open Jogjakarta 2019,2019-11-13,PICARD Vincent,MENG Fanbo,3,2,"11,8,11,10,11|8,11,5,12,6",,OLYMPICS,MS,2044,Qualification,MENG Fanbo (GER),PICARD Vincent (FRA),PICARD Vincent
ITTF Challenge Indonesia Open Jogjakarta 2019,2019-11-13,TAI Ming-Wei,PRADELLE Quentin,3,0,"11,11,11|8,7,3",,OLYMPICS,MS,2044,Qualification,TAI Ming-Wei (TPE),PRADELLE Quentin (FRA),TAI Ming-Wei
ITTF Challenge Indonesia Open Jogjakarta 2019,2019-11-13,TAN Lucas,RIYANTO Muhammad Ilham,3,1,"11,3,11,11|1,11,6,3",,OLYMPICS,MS,2044,Qualification,TAN Lucas (SGP),RIYANTO Muhammad Ilham (INA),TAN Lucas
ITTF Challenge Indonesia Open Jogjakarta 2019,2019-11-13,ALBALUSHI Salah,SINAGA Gezah Chrisnoel,3,0,"11,12,11|8,10,8",,OLYMPICS,MS,2044,Qualification,ALBALUSHI Salah (UAE),SINAGA Gezah Chrisnoel (INA),ALBALUSHI Salah
ITTF Challenge Indonesia Open Jogjakarta 2019,2019-11-13,KOH Dominic,SUTYOANSAH Muhammad Azidan,3,0,"11,11,11|7,4,6",,OLYMPICS,MS,2044,Qualification,KOH Dominic (SGP),SUTYOANSAH Muhammad Azidan (INA),KOH Dominic
ITTF Challenge Indonesia Open Jogjakarta 2019,2019-11-13,TAKAKIWA Taku,CHUA Josh,3,1,"10,11,11,11|12,5,7,7",,OLYMPICS,MS,2044,Qualification,CHUA Josh (SGP),TAKAKIWA Taku (JPN),TAKAKIWA Taku
ITTF Challenge Indonesia Open Jogjakarta 2019,2019-11-13,YOKOTANI Jo,CHEW Clarence,3,0,"12,11,11|10,6,7",,OLYMPICS,MS,2044,Qualification,CHEW Clarence (SGP),YOKOTANI Jo (JPN),YOKOTANI Jo
ITTF Challenge Indonesia Open Jogjakarta 2019,2019-11-13,YUNUS Muhammad Djaki,SEYFRIED Joe,3,0,"0,0,0|0,0,0",,OLYMPICS,MS,2044,Qualification,SEYFRIED Joe (FRA),YUNUS Muhammad Djaki (INA),YUNUS Muhammad Djaki
ITTF Challenge Indonesia Open Jogjakarta 2019,2019-11-13,PANDE Siddhesh,YANG Zhi-Xing,3,2,"11,9,13,8,14|7,11,11,11,12",,OLYMPICS,MS,2044,Qualification,PANDE Siddhesh (IND),YANG Zhi-Xing (TPE),PANDE Siddhesh
ITTF Challenge Indonesia Open Jogjakarta 2019,2019-11-13,HUANG Yan-Cheng,TULULI Fandy Achmad,3,0,"11,11,11|5,2,3",,OLYMPICS,MS,2044,Qualification,HUANG Yan-Cheng (TPE),TULULI Fandy Achmad (INA),HUANG Yan-Cheng
ITTF Challenge Indonesia Open Jogjakarta 2019,2019-11-13,SHIOMI Maki,CRUZ Kheith,3,1,"11,11,9,11|4,2,11,6",R16,OLYMPICS,U21WS,2044,Main Draw,SHIOMI Maki (JPN),CRUZ Kheith (PHI),SHIOMI Maki
ITTF Challenge Indonesia Open Jogjakarta 2019,2019-11-13,LEE Wan-Hsuan,GOI Rui Xuan,3,2,"8,11,8,11,11|11,8,11,9,7",R16,OLYMPICS,U21WS,2044,Main Draw,LEE Wan-Hsuan (TPE),GOI Rui Xuan (SGP),LEE Wan-Hsuan
ITTF Challenge Indonesia Open Jogjakarta 2019,2019-11-13,YU Hsiu-Ting,SAWETTABUT Jinnipa,3,0,"11,11,11|6,9,9",R16,OLYMPICS,U21WS,2044,Main Draw,SAWETTABUT Jinnipa (THA),YU Hsiu-Ting (TPE),YU Hsiu-Ting
ITTF Challenge Indonesia Open Jogjakarta 2019,2019-11-13,KANG Gayun,SELVAKUMAR Selena,3,0,"11,11,14|7,8,12",R16,OLYMPICS,U21WS,2044,Main Draw,KANG Gayun (KOR),SELVAKUMAR Selena (IND),KANG Gayun
ITTF Challenge Indonesia Open Jogjakarta 2019,2019-11-13,KANG Dayeon,GHOSH Swastika,3,0,"12,11,11|10,9,6",R16,OLYMPICS,U21WS,2044,Main Draw,KANG Dayeon (KOR),GHOSH Swastika (IND),KANG Dayeon
ITTF Challenge Indonesia Open Jogjakarta 2019,2019-11-13,CHIEN Tung-Chuan,COK Isa,3,0,"11,11,11|6,8,6",R16,OLYMPICS,U21WS,2044,Main Draw,COK Isa (FRA),CHIEN Tung-Chuan (TPE),CHIEN Tung-Chuan
ITTF Challenge Indonesia Open Jogjakarta 2019,2019-11-13,NOMURA Moe,PAVADE Prithika,3,0,"11,11,11|7,6,8",R16,OLYMPICS,U21WS,2044,Main Draw,PAVADE Prithika (FRA),NOMURA Moe (JPN),NOMURA Moe
ITTF Challenge Indonesia Open Jogjakarta 2019,2019-11-13,KAMATH Archana,LUTZ Camille,3,1,"11,11,1,11|8,9,11,7",R16,OLYMPICS,U21WS,2044,Main Draw,LUTZ Camille (FRA),KAMATH Archana (IND),KAMATH Archana
ITTF Challenge Indonesia Open Jogjakarta 2019,2019-11-13,THAKKAR Manav,BARDET Lilian,3,2,"12,9,11,7,11|10,11,7,11,9",R16,OLYMPICS,U21MS,2044,Main Draw,THAKKAR Manav (IND),BARDET Lilian (FRA),THAKKAR Manav
ITTF Challenge Indonesia Open Jogjakarta 2019,2019-11-13,YOKOTANI Jo,PANG Koen,3,0,"11,12,14|4,10,12",R16,OLYMPICS,U21MS,2044,Main Draw,YOKOTANI Jo (JPN),PANG Koen (SGP),YOKOTANI Jo
ITTF Challenge Indonesia Open Jogjakarta 2019,2019-11-13,MENG Fanbo,HUANG Yu-Jen,3,0,"12,11,11|10,8,8",R16,OLYMPICS,U21MS,2044,Main Draw,HUANG Yu-Jen (TPE),MENG Fanbo (GER),MENG Fanbo
ITTF Challenge Indonesia Open Jogjakarta 2019,2019-11-13,TAI Ming-Wei,CNUDDE Florian,3,0,"11,11,11|6,5,9",R16,OLYMPICS,U21MS,2044,Main Draw,TAI Ming-Wei (TPE),CNUDDE Florian (BEL),TAI Ming-Wei
