tournament,date,player_a,player_b,score_a,score_b,game_scores,round,tier,sub_event,event_id,stage,player_a_raw,player_b_raw
World Tour Kuwait Open Kuwait City 2013,2013-02-14,KIM Kyungmin,DESAI Harmeet,4,0,"11,11,11,11|7,9,6,7",,GRAND_SLAM,MS,108,Qualification,KIM Kyungmin (KOR),DESAI Harmeet (IND)
World Tour Kuwait Open Kuwait City 2013,2013-02-14,SAIVE Jean-Michel,KRIVOSHEEV Viacheslav,4,0,"11,11,11,11|8,5,7,2",,GRAND_SLAM,MS,108,Qualification,SAIVE Jean-Michel (BEL),KRIVOSHEEV Viacheslav (RUS)
World Tour Kuwait Open Kuwait City 2013,2013-02-14,MORIZONO Masataka,SAIVE Jean-Michel,4,2,"9,9,11,11,11,11|11,11,6,9,5,9",,GRAND_SLAM,MS,108,Qualification,MORIZONO Masataka (JPN),SAIVE Jean-Michel (BEL)
World Tour Kuwait Open Kuwait City 2013,2013-02-14,KRIVOSHEEV Viacheslav,MORIZONO Masataka,4,3,"11,8,11,11,10,13,11|9,11,6,9,12,15,6",,GRAND_SLAM,MS,108,Qualification,KRIVOSHEEV Viacheslav (RUS),MORIZONO Masataka (JPN)
World Tour Kuwait Open Kuwait City 2013,2013-02-14,HABESOHN Daniel,KANG Dongsoo,4,3,"11,11,9,11,14,6,11|5,5,11,13,12,11,9",,GRAND_SLAM,MS,108,Qualification,HABESOHN Daniel (AUT),KANG Dongsoo (KOR)
World Tour Kuwait Open Kuwait City 2013,2013-02-14,HABESOHN Daniel,GLADYSHEV Mikhail,4,3,"6,12,9,11,11,11,11|11,14,11,9,7,2,9",,GRAND_SLAM,MS,108,Qualification,HABESOHN Daniel (AUT),GLADYSHEV Mikhail (RUS)
World Tour Kuwait Open Kuwait City 2013,2013-02-14,KANG Dongsoo,GLADYSHEV Mikhail,4,1,"4,11,11,11,11|11,9,9,6,5",,GRAND_SLAM,MS,108,Qualification,KANG Dongsoo (KOR),GLADYSHEV Mikhail (RUS)
World Tour Kuwait Open Kuwait City 2013,2013-02-14,ELBEIALI Mohamed,CHO Eonrae,4,3,"7,8,11,11,1,11,12|11,11,9,8,11,4,10",,GRAND_SLAM,MS,108,Qualification,ELBEIALI Mohamed (EGY),CHO Eonrae (KOR)
World Tour Kuwait Open Kuwait City 2013,2013-02-14,CHO Eonrae,DEVOS Robin,4,0,"11,11,11,11|7,8,7,6",,GRAND_SLAM,MS,108,Qualification,CHO Eonrae (KOR),DEVOS Robin (BEL)
World Tour Kuwait Open Kuwait City 2013,2013-02-14,DEVOS Robin,ELBEIALI Mohamed,4,1,"11,11,11,11,11|9,4,5,13,8",,GRAND_SLAM,MS,108,Qualification,DEVOS Robin (BEL),ELBEIALI Mohamed (EGY)
World Tour Kuwait Open Kuwait City 2013,2013-02-14,LASHIN Elsayed,CHEN Hongtao,4,2,"11,6,8,11,11,11|4,11,11,7,1,6",,GRAND_SLAM,MS,108,Qualification,LASHIN Elsayed (EGY),CHEN Hongtao (CAN)
World Tour Kuwait Open Kuwait City 2013,2013-02-14,HIGASHI Yuto,LASHIN Elsayed,4,3,"11,11,14,6,11,7,11|7,4,12,11,13,11,5",,GRAND_SLAM,MS,108,Qualification,HIGASHI Yuto (JPN),LASHIN Elsayed (EGY)
World Tour Kuwait Open Kuwait City 2013,2013-02-14,HIGASHI Yuto,CHEN Hongtao,4,2,"6,11,11,12,10,11|11,4,5,10,12,9",,GRAND_SLAM,MS,108,Qualification,HIGASHI Yuto (JPN),CHEN Hongtao (CAN)
World Tour Kuwait Open Kuwait City 2013,2013-02-14,MATSUMOTO Cazuo,SODERLUND Hampus,4,2,"8,11,11,10,11,11|11,8,6,12,7,4",,GRAND_SLAM,MS,108,Qualification,MATSUMOTO Cazuo (BRA),SODERLUND Hampus (SWE)
World Tour Kuwait Open Kuwait City 2013,2013-02-14,SAKAI Asuka,MATSUMOTO Cazuo,4,3,"11,11,6,10,11,6,11|8,8,11,12,8,11,6",,GRAND_SLAM,MS,108,Qualification,SAKAI Asuka (JPN),MATSUMOTO Cazuo (BRA)
World Tour Kuwait Open Kuwait City 2013,2013-02-14,SODERLUND Hampus,SAKAI Asuka,4,0,"11,11,11,11|9,7,4,8",,GRAND_SLAM,MS,108,Qualification,SODERLUND Hampus (SWE),SAKAI Asuka (JPN)
World Tour Kuwait Open Kuwait City 2013,2013-02-14,KUZMIN Fedor,ROY Soumyadeep,4,2,"11,12,11,11,9,11|6,14,8,9,11,5",,GRAND_SLAM,MS,108,Qualification,KUZMIN Fedor (RUS),ROY Soumyadeep (IND)
World Tour Kuwait Open Kuwait City 2013,2013-02-14,KUZMIN Fedor,GOLOVANOV Stanislav,4,2,"11,12,11,12,11,11|8,14,13,10,6,5",,GRAND_SLAM,MS,108,Qualification,KUZMIN Fedor (RUS),GOLOVANOV Stanislav (BUL)
World Tour Kuwait Open Kuwait City 2013,2013-02-14,ROY Soumyadeep,GOLOVANOV Stanislav,4,3,"5,11,6,14,10,11,11|11,8,11,12,12,9,8",,GRAND_SLAM,MS,108,Qualification,ROY Soumyadeep (IND),GOLOVANOV Stanislav (BUL)
World Tour Kuwait Open Kuwait City 2013,2013-02-14,BOBOCICA Mihai,SHETTY Sanil,4,0,"11,11,11,12|9,7,6,10",,GRAND_SLAM,MS,108,Qualification,BOBOCICA Mihai (ITA),SHETTY Sanil (IND)
World Tour Kuwait Open Kuwait City 2013,2013-02-14,BOBOCICA Mihai,FENG Xiaoquan,4,3,"14,11,11,7,9,12,11|16,7,7,11,11,10,7",,GRAND_SLAM,MS,108,Qualification,BOBOCICA Mihai (ITA),FENG Xiaoquan (AUT)
World Tour Kuwait Open Kuwait City 2013,2013-02-14,SHETTY Sanil,FENG Xiaoquan,4,1,"10,11,11,11,16|12,9,7,9,14",,GRAND_SLAM,MS,108,Qualification,SHETTY Sanil (IND),FENG Xiaoquan (AUT)
World Tour Kuwait Open Kuwait City 2013,2013-02-14,FEGERL Stefan,ELSOBKY Mohamed,4,0,"11,11,11,11|5,6,5,5",,GRAND_SLAM,MS,108,Qualification,FEGERL Stefan (AUT),ELSOBKY Mohamed (EGY)
World Tour Kuwait Open Kuwait City 2013,2013-02-14,FEGERL Stefan,WU Zhikang,4,0,"11,11,11,11|5,8,6,9",,GRAND_SLAM,MS,108,Qualification,FEGERL Stefan (AUT),WU Zhikang (SGP)
World Tour Kuwait Open Kuwait City 2013,2013-02-14,WU Zhikang,ELSOBKY Mohamed,4,2,"11,8,11,8,14,11|7,11,6,11,12,4",,GRAND_SLAM,MS,108,Qualification,WU Zhikang (SGP),ELSOBKY Mohamed (EGY)
World Tour Kuwait Open Kuwait City 2013,2013-02-14,WANG Eugene,CHEW Clarence,4,1,"11,11,11,13,15|4,3,6,15,13",,GRAND_SLAM,MS,108,Qualification,WANG Eugene (CAN),CHEW Clarence (SGP)
World Tour Kuwait Open Kuwait City 2013,2013-02-14,WANG Eugene,HUNG Tzu-Hsiang,4,0,"11,11,11,12|6,5,6,10",,GRAND_SLAM,MS,108,Qualification,WANG Eugene (CAN),HUNG Tzu-Hsiang (TPE)
World Tour Kuwait Open Kuwait City 2013,2013-02-14,HUNG Tzu-Hsiang,CHEW Clarence,4,2,"11,7,11,8,11,12|7,11,7,11,6,10",,GRAND_SLAM,MS,108,Qualification,HUNG Tzu-Hsiang (TPE),CHEW Clarence (SGP)
World Tour Kuwait Open Kuwait City 2013,2013-02-14,ZHMUDENKO Yaroslav,RECH DALDOSSO Marco,4,0,"12,11,11,11|10,5,5,8",,GRAND_SLAM,MS,108,Qualification,ZHMUDENKO Yaroslav (UKR),RECH DALDOSSO Marco (ITA)
World Tour Kuwait Open Kuwait City 2013,2013-02-14,FLORITZ Philipp,HEGAB Shehab,4,0,"11,11,11,11|4,1,6,1",,GRAND_SLAM,MS,108,Qualification,FLORITZ Philipp (BUL),HEGAB Shehab (EGY)
World Tour Kuwait Open Kuwait City 2013,2013-02-14,ZHMUDENKO Yaroslav,FLORITZ Philipp,4,1,"11,8,11,11,11|6,11,2,9,7",,GRAND_SLAM,MS,108,Qualification,ZHMUDENKO Yaroslav (UKR),FLORITZ Philipp (BUL)
World Tour Kuwait Open Kuwait City 2013,2013-02-14,RECH DALDOSSO Marco,HEGAB Shehab,4,0,"11,11,11,11|4,7,2,7",,GRAND_SLAM,MS,108,Qualification,RECH DALDOSSO Marco (ITA),HEGAB Shehab (EGY)
World Tour Kuwait Open Kuwait City 2013,2013-02-14,ZHMUDENKO Yaroslav,HEGAB Shehab,4,0,"11,11,11,11|3,4,1,6",,GRAND_SLAM,MS,108,Qualification,ZHMUDENKO Yaroslav (UKR),HEGAB Shehab (EGY)
World Tour Kuwait Open Kuwait City 2013,2013-02-14,FLORITZ Philipp,RECH DALDOSSO Marco,4,3,"11,6,11,8,14,10,11|5,11,8,11,12,12,6",,GRAND_SLAM,MS,108,Qualification,FLORITZ Philipp (BUL),RECH DALDOSSO Marco (ITA)
World Tour Kuwait Open Kuwait City 2013,2013-02-14,LIVENTSOV Alexey,ASSAR Khalid,4,0,"11,11,11,11|6,9,2,7",,GRAND_SLAM,MS,108,Qualification,LIVENTSOV Alexey (RUS),ASSAR Khalid (EGY)
World Tour Kuwait Open Kuwait City 2013,2013-02-14,STOYANOV Niagol,AL-ENEZY Mansour,4,0,"11,11,11,13|5,8,7,11",,GRAND_SLAM,MS,108,Qualification,STOYANOV Niagol (ITA),AL-ENEZY Mansour (KUW)
World Tour Kuwait Open Kuwait City 2013,2013-02-14,LIVENTSOV Alexey,STOYANOV Niagol,4,2,"9,8,11,11,11,11|11,11,8,6,8,4",,GRAND_SLAM,MS,108,Qualification,LIVENTSOV Alexey (RUS),STOYANOV Niagol (ITA)
World Tour Kuwait Open Kuwait City 2013,2013-02-14,ASSAR Khalid,AL-ENEZY Mansour,4,1,"9,13,11,11,11|11,11,9,7,3",,GRAND_SLAM,MS,108,Qualification,ASSAR Khalid (EGY),AL-ENEZY Mansour (KUW)
World Tour Kuwait Open Kuwait City 2013,2013-02-14,LIVENTSOV Alexey,AL-ENEZY Mansour,4,0,"11,11,11,11|5,4,6,4",,GRAND_SLAM,MS,108,Qualification,LIVENTSOV Alexey (RUS),AL-ENEZY Mansour (KUW)
World Tour Kuwait Open Kuwait City 2013,2013-02-14,STOYANOV Niagol,ASSAR Khalid,4,0,"11,11,11,11|5,8,0,4",,GRAND_SLAM,MS,108,Qualification,STOYANOV Niagol (ITA),ASSAR Khalid (EGY)
World Tour Kuwait Open Kuwait City 2013,2013-02-14,MONTEIRO Thiago,MUTTI Leonardo,4,2,"10,6,11,11,11,11|12,11,8,6,3,7",,GRAND_SLAM,MS,108,Qualification,MONTEIRO Thiago (BRA),MUTTI Leonardo (ITA)
World Tour Kuwait Open Kuwait City 2013,2013-02-14,MA Liang,ZAGHLOUL Mohamed,4,1,"11,11,11,9,11|9,8,6,11,5",,GRAND_SLAM,MS,108,Qualification,MA Liang (SGP),ZAGHLOUL Mohamed (EGY)
World Tour Kuwait Open Kuwait City 2013,2013-02-14,MA Liang,MONTEIRO Thiago,4,3,"8,14,10,9,11,11,11|11,12,12,11,8,7,4",,GRAND_SLAM,MS,108,Qualification,MA Liang (SGP),MONTEIRO Thiago (BRA)
World Tour Kuwait Open Kuwait City 2013,2013-02-14,MUTTI Leonardo,ZAGHLOUL Mohamed,4,1,"11,11,11,12,11|6,8,9,14,5",,GRAND_SLAM,MS,108,Qualification,MUTTI Leonardo (ITA),ZAGHLOUL Mohamed (EGY)
World Tour Kuwait Open Kuwait City 2013,2013-02-14,MONTEIRO Thiago,ZAGHLOUL Mohamed,4,0,"11,11,11,11|9,3,3,4",,GRAND_SLAM,MS,108,Qualification,MONTEIRO Thiago (BRA),ZAGHLOUL Mohamed (EGY)
World Tour Kuwait Open Kuwait City 2013,2013-02-14,MA Liang,MUTTI Leonardo,4,2,"4,11,11,11,6,11|11,6,8,8,11,4",,GRAND_SLAM,MS,108,Qualification,MA Liang (SGP),MUTTI Leonardo (ITA)
World Tour Kuwait Open Kuwait City 2013,2013-02-14,TSUBOI Gustavo,SHOUMAN Mohamed,4,0,"13,11,11,11|11,4,3,9",,GRAND_SLAM,MS,108,Qualification,TSUBOI Gustavo (BRA),SHOUMAN Mohamed (EGY)
World Tour Kuwait Open Kuwait City 2013,2013-02-14,KARLSSON Mattias,ALANSSARI Basel,4,0,"11,11,11,11|5,6,5,3",,GRAND_SLAM,MS,108,Qualification,KARLSSON Mattias (SWE),ALANSSARI Basel (KUW)
World Tour Kuwait Open Kuwait City 2013,2013-02-14,TSUBOI Gustavo,KARLSSON Mattias,4,3,"11,11,7,11,5,3,11|7,9,11,6,11,11,7",,GRAND_SLAM,MS,108,Qualification,TSUBOI Gustavo (BRA),KARLSSON Mattias (SWE)
World Tour Kuwait Open Kuwait City 2013,2013-02-14,SHOUMAN Mohamed,ALANSSARI Basel,4,1,"11,7,11,11,11|7,11,8,8,9",,GRAND_SLAM,MS,108,Qualification,SHOUMAN Mohamed (EGY),ALANSSARI Basel (KUW)
World Tour Kuwait Open Kuwait City 2013,2013-02-14,TSUBOI Gustavo,ALANSSARI Basel,4,0,"11,11,11,11|7,3,3,6",,GRAND_SLAM,MS,108,Qualification,TSUBOI Gustavo (BRA),ALANSSARI Basel (KUW)
World Tour Kuwait Open Kuwait City 2013,2013-02-14,KARLSSON Mattias,SHOUMAN Mohamed,4,3,"11,13,4,11,6,11,11|13,11,11,8,11,7,7",,GRAND_SLAM,MS,108,Qualification,KARLSSON Mattias (SWE),SHOUMAN Mohamed (EGY)
World Tour Kuwait Open Kuwait City 2013,2013-02-14,GAUZY Simon,RYUZAKI Tonin,4,1,"9,11,12,11,11|11,3,10,9,7",,GRAND_SLAM,MS,108,Qualification,GAUZY Simon (FRA),RYUZAKI Tonin (JPN)
World Tour Kuwait Open Kuwait City 2013,2013-02-14,GHOSH Soumyajit,RAMADAN Karim,4,1,"11,7,11,11,11|4,11,7,2,3",,GRAND_SLAM,MS,108,Qualification,GHOSH Soumyajit (IND),RAMADAN Karim (EGY)
World Tour Kuwait Open Kuwait City 2013,2013-02-14,GAUZY Simon,GHOSH Soumyajit,4,3,"12,4,11,7,9,12,11|10,11,3,11,11,10,4",,GRAND_SLAM,MS,108,Qualification,GAUZY Simon (FRA),GHOSH Soumyajit (IND)
World Tour Kuwait Open Kuwait City 2013,2013-02-14,RYUZAKI Tonin,RAMADAN Karim,4,0,"11,11,11,11|5,4,4,5",,GRAND_SLAM,MS,108,Qualification,RYUZAKI Tonin (JPN),RAMADAN Karim (EGY)
World Tour Kuwait Open Kuwait City 2013,2013-02-14,GAUZY Simon,RAMADAN Karim,4,0,"11,11,11,11|4,4,6,6",,GRAND_SLAM,MS,108,Qualification,GAUZY Simon (FRA),RAMADAN Karim (EGY)
World Tour Kuwait Open Kuwait City 2013,2013-02-14,GHOSH Soumyajit,RYUZAKI Tonin,4,2,"11,8,11,9,15,12|9,11,5,11,13,10",,GRAND_SLAM,MS,108,Qualification,GHOSH Soumyajit (IND),RYUZAKI Tonin (JPN)
World Tour Kuwait Open Kuwait City 2013,2013-02-14,KARLSSON Kristian,KUMAR Jubin,4,0,"12,11,11,11|10,4,5,6",,GRAND_SLAM,MS,108,Qualification,KARLSSON Kristian (SWE),KUMAR Jubin (IND)
World Tour Kuwait Open Kuwait City 2013,2013-02-14,SALEH Ahmed,MANDANI Yousef,4,0,"11,11,11,11|2,7,5,4",,GRAND_SLAM,MS,108,Qualification,SALEH Ahmed (EGY),MANDANI Yousef (KUW)
World Tour Kuwait Open Kuwait City 2013,2013-02-14,KARLSSON Kristian,SALEH Ahmed,4,0,"11,11,11,11|7,4,2,5",,GRAND_SLAM,MS,108,Qualification,KARLSSON Kristian (SWE),SALEH Ahmed (EGY)
World Tour Kuwait Open Kuwait City 2013,2013-02-14,KUMAR Jubin,MANDANI Yousef,4,0,"11,11,11,11|4,4,6,6",,GRAND_SLAM,MS,108,Qualification,KUMAR Jubin (IND),MANDANI Yousef (KUW)
World Tour Kuwait Open Kuwait City 2013,2013-02-14,KARLSSON Kristian,MANDANI Yousef,4,0,"11,11,11,11|1,3,5,5",,GRAND_SLAM,MS,108,Qualification,KARLSSON Kristian (SWE),MANDANI Yousef (KUW)
World Tour Kuwait Open Kuwait City 2013,2013-02-14,SALEH Ahmed,KUMAR Jubin,4,0,"11,11,11,11|5,7,5,9",,GRAND_SLAM,MS,108,Qualification,SALEH Ahmed (EGY),KUMAR Jubin (IND)
World Tour Kuwait Open Kuwait City 2013,2013-02-14,LAKEEV Vasily,BARABANOV Kiryl,4,0,"15,11,11,11|13,6,5,7",,GRAND_SLAM,MS,108,Qualification,LAKEEV Vasily (RUS),BARABANOV Kiryl (BLR)
World Tour Kuwait Open Kuwait City 2013,2013-02-14,ROBINOT Quentin,AL-SUBAIE Abdulaziz,4,0,"11,11,11,11|2,1,5,2",,GRAND_SLAM,MS,108,Qualification,ROBINOT Quentin (FRA),AL-SUBAIE Abdulaziz (KUW)
World Tour Kuwait Open Kuwait City 2013,2013-02-14,ROBINOT Quentin,LAKEEV Vasily,4,1,"11,7,11,11,11|7,11,3,9,8",,GRAND_SLAM,MS,108,Qualification,ROBINOT Quentin (FRA),LAKEEV Vasily (RUS)
World Tour Kuwait Open Kuwait City 2013,2013-02-14,BARABANOV Kiryl,AL-SUBAIE Abdulaziz,4,0,"12,11,11,11|10,4,5,2",,GRAND_SLAM,MS,108,Qualification,BARABANOV Kiryl (BLR),AL-SUBAIE Abdulaziz (KUW)
World Tour Kuwait Open Kuwait City 2013,2013-02-14,LAKEEV Vasily,AL-SUBAIE Abdulaziz,4,0,"11,11,11,11|1,7,3,4",,GRAND_SLAM,MS,108,Qualification,LAKEEV Vasily (RUS),AL-SUBAIE Abdulaziz (KUW)
World Tour Kuwait Open Kuwait City 2013,2013-02-14,ROBINOT Quentin,BARABANOV Kiryl,4,0,"11,11,11,11|7,5,6,2",,GRAND_SLAM,MS,108,Qualification,ROBINOT Quentin (FRA),BARABANOV Kiryl (BLR)
World Tour Kuwait Open Kuwait City 2013,2013-02-14,DIDUKH Oleksandr,ZAGHLOUL Mahmoud,4,0,"11,11,11,11|7,4,9,6",,GRAND_SLAM,MS,108,Qualification,DIDUKH Oleksandr (UKR),ZAGHLOUL Mahmoud (EGY)
World Tour Kuwait Open Kuwait City 2013,2013-02-14,LORENTZ Romain,AL-OTAIBI Khaled,4,0,"11,11,11,11|2,6,2,3",,GRAND_SLAM,MS,108,Qualification,LORENTZ Romain (FRA),AL-OTAIBI Khaled (KUW)
World Tour Kuwait Open Kuwait City 2013,2013-02-14,LORENTZ Romain,DIDUKH Oleksandr,4,2,"6,14,14,11,8,11|11,12,12,8,11,8",,GRAND_SLAM,MS,108,Qualification,LORENTZ Romain (FRA),DIDUKH Oleksandr (UKR)
World Tour Kuwait Open Kuwait City 2013,2013-02-14,ZAGHLOUL Mahmoud,AL-OTAIBI Khaled,4,1,"12,8,11,11,11|10,11,8,8,5",,GRAND_SLAM,MS,108,Qualification,ZAGHLOUL Mahmoud (EGY),AL-OTAIBI Khaled (KUW)
World Tour Kuwait Open Kuwait City 2013,2013-02-14,DIDUKH Oleksandr,AL-OTAIBI Khaled,4,0,"11,11,11,11|5,4,7,8",,GRAND_SLAM,MS,108,Qualification,DIDUKH Oleksandr (UKR),AL-OTAIBI Khaled (KUW)
World Tour Kuwait Open Kuwait City 2013,2013-02-14,LORENTZ Romain,ZAGHLOUL Mahmoud,4,0,"11,11,11,11|2,5,9,4",,GRAND_SLAM,MS,108,Qualification,LORENTZ Romain (FRA),ZAGHLOUL Mahmoud (EGY)
World Tour Kuwait Open Kuwait City 2013,2013-02-14,VLASOV Grigory,ELSHAARAWY Karim,4,0,"11,11,12,11|8,7,10,4",,GRAND_SLAM,MS,108,Qualification,VLASOV Grigory (RUS),ELSHAARAWY Karim (EGY)
World Tour Kuwait Open Kuwait City 2013,2013-02-14,VLASOV Grigory,WONG Chun Ting,4,2,"11,6,11,11,3,11|7,11,7,6,11,6",,GRAND_SLAM,MS,108,Qualification,VLASOV Grigory (RUS),WONG Chun Ting (HKG)
World Tour Kuwait Open Kuwait City 2013,2013-02-14,WONG Chun Ting,ELSHAARAWY Karim,4,0,"11,11,11,11|4,6,4,8",,GRAND_SLAM,MS,108,Qualification,WONG Chun Ting (HKG),ELSHAARAWY Karim (EGY)
World Tour Kuwait Open Kuwait City 2013,2013-02-14,ASSAR Omar,AL-BAHRANI Husain,4,0,"11,11,11,11|2,4,2,7",,GRAND_SLAM,MS,108,Qualification,ASSAR Omar (EGY),AL-BAHRANI Husain (KUW)
World Tour Kuwait Open Kuwait City 2013,2013-02-14,PLATONOV Pavel,HAMIE Mohamad,4,1,"11,12,11,11,11|8,14,4,7,3",,GRAND_SLAM,MS,108,Qualification,PLATONOV Pavel (BLR),HAMIE Mohamad (LBN)
World Tour Kuwait Open Kuwait City 2013,2013-02-14,ASSAR Omar,PLATONOV Pavel,4,0,"11,11,12,11|7,7,10,2",,GRAND_SLAM,MS,108,Qualification,ASSAR Omar (EGY),PLATONOV Pavel (BLR)
World Tour Kuwait Open Kuwait City 2013,2013-02-14,AL-BAHRANI Husain,HAMIE Mohamad,4,1,"10,13,15,14,11|12,11,13,12,3",,GRAND_SLAM,MS,108,Qualification,AL-BAHRANI Husain (KUW),HAMIE Mohamad (LBN)
World Tour Kuwait Open Kuwait City 2013,2013-02-14,ASSAR Omar,HAMIE Mohamad,4,0,"11,11,11,11|3,6,0,8",,GRAND_SLAM,MS,108,Qualification,ASSAR Omar (EGY),HAMIE Mohamad (LBN)
World Tour Kuwait Open Kuwait City 2013,2013-02-14,PLATONOV Pavel,AL-BAHRANI Husain,4,1,"11,10,11,11,11|4,12,7,7,9",,GRAND_SLAM,MS,108,Qualification,PLATONOV Pavel (BLR),AL-BAHRANI Husain (KUW)
World Tour Kuwait Open Kuwait City 2013,2013-02-14,ABBAT Alice,KATO Miyu,4,1,"8,14,11,11,11|11,12,7,9,9",,GRAND_SLAM,WS,108,Qualification,ABBAT Alice (FRA),KATO Miyu (JPN)
World Tour Kuwait Open Kuwait City 2013,2013-02-14,JEON Jihee,ABBAT Alice,4,0,"11,12,12,14|3,10,10,12",,GRAND_SLAM,WS,108,Qualification,JEON Jihee (KOR),ABBAT Alice (FRA)
World Tour Kuwait Open Kuwait City 2013,2013-02-14,JEON Jihee,KATO Miyu,4,1,"11,11,11,7,11|6,9,9,11,9",,GRAND_SLAM,WS,108,Qualification,JEON Jihee (KOR),KATO Miyu (JPN)
World Tour Kuwait Open Kuwait City 2013,2013-02-14,GUAN Mengyuan,YOO Eunchong,4,1,"11,11,11,3,11|3,3,9,11,9",,GRAND_SLAM,WS,108,Qualification,GUAN Mengyuan (HKG),YOO Eunchong (KOR)
World Tour Kuwait Open Kuwait City 2013,2013-02-14,HIRANO Sayaka,GUAN Mengyuan,4,1,"12,9,11,11,11|10,11,6,3,6",,GRAND_SLAM,WS,108,Qualification,HIRANO Sayaka (JPN),GUAN Mengyuan (HKG)
World Tour Kuwait Open Kuwait City 2013,2013-02-14,HIRANO Sayaka,YOO Eunchong,4,0,"11,11,11,11|8,7,7,4",,GRAND_SLAM,WS,108,Qualification,HIRANO Sayaka (JPN),YOO Eunchong (KOR)
World Tour Kuwait Open Kuwait City 2013,2013-02-14,HAMAMOTO Yui,LI Ching Wan,4,0,"11,11,11,11|7,4,6,7",,GRAND_SLAM,WS,108,Qualification,HAMAMOTO Yui (AUT),LI Ching Wan (HKG)
World Tour Kuwait Open Kuwait City 2013,2013-02-14,SUH Hyo Won,LI Ching Wan,4,0,"11,11,12,11|9,8,10,5",,GRAND_SLAM,WS,108,Qualification,SUH Hyo Won (KOR),LI Ching Wan (HKG)
World Tour Kuwait Open Kuwait City 2013,2013-02-14,SUH Hyo Won,HAMAMOTO Yui,4,2,"11,11,11,8,9,11|5,5,8,11,11,5",,GRAND_SLAM,WS,108,Qualification,SUH Hyo Won (KOR),HAMAMOTO Yui (AUT)
World Tour Kuwait Open Kuwait City 2013,2013-02-14,KUZMINA Elena,MATSUMOTO Yuki,4,1,"11,11,3,11,11|7,7,11,8,3",,GRAND_SLAM,WS,108,Qualification,KUZMINA Elena (RUS),MATSUMOTO Yuki (JPN)
World Tour Kuwait Open Kuwait City 2013,2013-02-14,MATSUMOTO Yuki,LEE Eunhee,4,2,"7,11,6,11,14,11|11,4,11,9,12,9",,GRAND_SLAM,WS,108,Qualification,MATSUMOTO Yuki (JPN),LEE Eunhee (KOR)
World Tour Kuwait Open Kuwait City 2013,2013-02-14,LEE Eunhee,KUZMINA Elena,4,0,"11,11,11,11|8,7,5,8",,GRAND_SLAM,WS,108,Qualification,LEE Eunhee (KOR),KUZMINA Elena (RUS)
World Tour Kuwait Open Kuwait City 2013,2013-02-14,JO Yujin,DAS Ankita,4,1,"11,11,2,11,11|6,5,11,5,9",,GRAND_SLAM,WS,108,Qualification,JO Yujin (KOR),DAS Ankita (IND)
World Tour Kuwait Open Kuwait City 2013,2013-02-14,HUANG Yi-Hua,DAS Ankita,4,0,"11,11,11,11|5,6,6,9",,GRAND_SLAM,WS,108,Qualification,HUANG Yi-Hua (TPE),DAS Ankita (IND)
World Tour Kuwait Open Kuwait City 2013,2013-02-14,HUANG Yi-Hua,JO Yujin,4,2,"11,8,10,11,11,13|9,11,12,4,5,11",,GRAND_SLAM,WS,108,Qualification,HUANG Yi-Hua (TPE),JO Yujin (KOR)
World Tour Kuwait Open Kuwait City 2013,2013-02-14,MATSUDAIRA Shiho,KUMARESAN Shamini,4,0,"11,11,11,11|4,4,4,8",,GRAND_SLAM,WS,108,Qualification,MATSUDAIRA Shiho (JPN),KUMARESAN Shamini (IND)
World Tour Kuwait Open Kuwait City 2013,2013-02-14,CHENG I-Ching,KUMARESAN Shamini,4,1,"11,11,11,6,11|8,7,8,11,3",,GRAND_SLAM,WS,108,Qualification,CHENG I-Ching (TPE),KUMARESAN Shamini (IND)
World Tour Kuwait Open Kuwait City 2013,2013-02-14,CHENG I-Ching,MATSUDAIRA Shiho,4,0,"12,13,11,11|10,11,4,5",,GRAND_SLAM,WS,108,Qualification,CHENG I-Ching (TPE),MATSUDAIRA Shiho (JPN)
World Tour Kuwait Open Kuwait City 2013,2013-02-14,ITO Mima,BIKBAEVA Anna,4,1,"11,17,11,5,11|6,15,7,11,6",,GRAND_SLAM,WS,108,Qualification,ITO Mima (JPN),BIKBAEVA Anna (RUS)
World Tour Kuwait Open Kuwait City 2013,2013-02-14,LI Xue,BIKBAEVA Anna,4,2,"10,11,11,11,7,11|12,6,8,7,11,4",,GRAND_SLAM,WS,108,Qualification,LI Xue (FRA),BIKBAEVA Anna (RUS)
World Tour Kuwait Open Kuwait City 2013,2013-02-14,LI Xue,ITO Mima,4,1,"5,11,11,13,12|11,9,5,11,10",,GRAND_SLAM,WS,108,Qualification,LI Xue (FRA),ITO Mima (JPN)
World Tour Kuwait Open Kuwait City 2013,2013-02-14,NOSKOVA Yana,SATO Yui,4,1,"9,11,12,11,13|11,7,10,4,11",,GRAND_SLAM,WS,108,Qualification,NOSKOVA Yana (RUS),SATO Yui (JPN)
World Tour Kuwait Open Kuwait City 2013,2013-02-14,LEE Ho Ching,SATO Yui,4,0,"11,11,14,11|2,7,12,8",,GRAND_SLAM,WS,108,Qualification,LEE Ho Ching (HKG),SATO Yui (JPN)
World Tour Kuwait Open Kuwait City 2013,2013-02-14,NOSKOVA Yana,LEE Ho Ching,4,1,"7,11,11,11,11|11,8,7,8,9",,GRAND_SLAM,WS,108,Qualification,NOSKOVA Yana (RUS),LEE Ho Ching (HKG)
