tournament,date,player_a,player_b,score_a,score_b,game_scores,round,tier,sub_event,event_id,stage,player_a_raw,player_b_raw
World Tour Kuwait Open Kuwait City 2013,2013-02-14,WANG Eugene,CHEN Chien-An,4,2,"11,5,16,7,11,12|8,11,14,11,9,10",R64,GRAND_SLAM,MS,108,Main Draw,WANG Eugene (CAN),CHEN Chien-An (TPE)
World Tour Kuwait Open Kuwait City 2013,2013-02-14,JEONG Sangeun,TSUBOI Gustavo,4,3,"11,1,6,13,11,11,11|13,11,11,11,7,7,3",R64,GRAND_SLAM,MS,108,Main Draw,JEONG Sangeun (KOR),TSUBOI Gustavo (BRA)
World Tour Kuwait Open Kuwait City 2013,2013-02-14,CHO Eonrae,TANG Peng,4,1,"8,11,11,11,11|11,9,9,7,9",R64,GRAND_SLAM,MS,108,Main Draw,CHO Eonrae (KOR),TANG Peng (HKG)
World Tour Kuwait Open Kuwait City 2013,2013-02-14,KANG Dongsoo,ZHAN Jian,4,3,"8,13,4,10,11,11,11|11,11,11,12,4,4,5",R64,GRAND_SLAM,MS,108,Main Draw,KANG Dongsoo (KOR),ZHAN Jian (SGP)
World Tour Kuwait Open Kuwait City 2013,2013-02-14,FANG Bo,KUZMIN Fedor,4,2,"5,11,4,12,11,13|11,9,11,10,7,11",R64,GRAND_SLAM,MS,108,Main Draw,FANG Bo (KAZ),KUZMIN Fedor (RUS)
World Tour Kuwait Open Kuwait City 2013,2013-02-14,GARDOS Robert,SAIVE Jean-Michel,4,3,"3,11,8,11,11,9,12|11,5,11,4,6,11,10",R64,GRAND_SLAM,MS,108,Main Draw,GARDOS Robert (AUT),SAIVE Jean-Michel (BEL)
World Tour Kuwait Open Kuwait City 2013,2013-02-14,CHUANG Chih-Yuan,MONTEIRO Thiago,4,0,"11,11,11,11|7,6,4,7",R64,GRAND_SLAM,MS,108,Main Draw,CHUANG Chih-Yuan (TPE),MONTEIRO Thiago (BRA)
World Tour Kuwait Open Kuwait City 2013,2013-02-14,HUNG Tzu-Hsiang,JIANG Tianyi,4,3,"11,11,9,5,4,16,11|7,9,11,11,11,14,9",R64,GRAND_SLAM,MS,108,Main Draw,HUNG Tzu-Hsiang (TPE),JIANG Tianyi (HKG)
World Tour Kuwait Open Kuwait City 2013,2013-02-14,MURAMATSU Yuto,MA Liang,4,2,"11,9,11,9,11,11|7,11,5,11,5,7",R64,GRAND_SLAM,MS,108,Main Draw,MURAMATSU Yuto (JPN),MA Liang (SGP)
World Tour Kuwait Open Kuwait City 2013,2013-02-14,ACHANTA Sharath,SODERLUND Hampus,4,2,"11,11,11,7,11,11|7,7,7,11,13,5",R64,GRAND_SLAM,MS,108,Main Draw,ACHANTA Sharath (IND),SODERLUND Hampus (SWE)
World Tour Kuwait Open Kuwait City 2013,2013-02-14,STEGER Bastian,PLATONOV Pavel,4,0,"15,11,11,11|13,8,4,3",R64,GRAND_SLAM,MS,108,Main Draw,STEGER Bastian (GER),PLATONOV Pavel (BLR)
World Tour Kuwait Open Kuwait City 2013,2013-02-14,GAO Ning,MATSUMOTO Cazuo,4,0,"11,11,11,11|6,7,5,3",R64,GRAND_SLAM,MS,108,Main Draw,GAO Ning (SGP),MATSUMOTO Cazuo (BRA)
World Tour Kuwait Open Kuwait City 2013,2013-02-14,ROBINOT Quentin,LI Hu,4,3,"14,4,11,11,11,8,13|12,11,8,13,8,11,11",R64,GRAND_SLAM,MS,108,Main Draw,ROBINOT Quentin (FRA),LI Hu (SGP)
World Tour Kuwait Open Kuwait City 2013,2013-02-14,HABESOHN Daniel,LEBESSON Emmanuel,4,0,"11,11,11,11|7,8,6,8",R64,GRAND_SLAM,MS,108,Main Draw,HABESOHN Daniel (AUT),LEBESSON Emmanuel (FRA)
World Tour Kuwait Open Kuwait City 2013,2013-02-14,ZHANG Jike,WONG Chun Ting,4,3,"7,11,7,10,11,11,12|11,9,11,12,3,8,10",R64,GRAND_SLAM,MS,108,Main Draw,ZHANG Jike (CHN),WONG Chun Ting (HKG)
World Tour Kuwait Open Kuwait City 2013,2013-02-14,XU Xin,SEO Hyundeok,4,0,"11,14,11,11|7,12,8,6",R32,GRAND_SLAM,MS,108,Main Draw,XU Xin (CHN),SEO Hyundeok (KOR)
World Tour Kuwait Open Kuwait City 2013,2013-02-14,JEOUNG Youngsik,CHAN Kazuhiro,4,3,"7,11,9,11,11,13,11|11,9,11,9,13,11,6",R32,GRAND_SLAM,MS,108,Main Draw,JEOUNG Youngsik (KOR),CHAN Kazuhiro (JPN)
World Tour Kuwait Open Kuwait City 2013,2013-02-14,KIM Minseok,CHEUNG Yuk,4,0,"13,11,11,11|11,8,2,4",R32,GRAND_SLAM,MS,108,Main Draw,KIM Minseok (KOR),CHEUNG Yuk (HKG)
World Tour Kuwait Open Kuwait City 2013,2013-02-14,OVTCHAROV Dimitrij,MATSUDAIRA Kenji,4,1,"11,11,8,11,11|4,4,11,6,8",R32,GRAND_SLAM,MS,108,Main Draw,OVTCHAROV Dimitrij (GER),MATSUDAIRA Kenji (JPN)
