tournament,date,player_a,player_b,score_a,score_b,game_scores,round,tier,sub_event,event_id,stage,player_a_raw,player_b_raw,winner_raw
GAC Group World Tour German Open Bremen 2015,2015-03-18,YAN An,MIZUTANI Jun,4,2,"11,14,9,11,7,11|5,12,11,8,11,5",QF,GRAND_SLAM,MS,5,Main Draw,MIZUTANI Jun (JPN),YAN An (CHN),YAN An
GAC Group World Tour German Open Bremen 2015,2015-03-18,ZHANG Jike,SAMSONOV Vladimir,4,3,"8,9,9,11,11,13,11|11,11,11,3,8,11,5",QF,GRAND_SLAM,MS,5,Main Draw,SAMSONOV Vladimir (BLR),ZHANG Jike (CHN),ZHANG Jike
GAC Group World Tour German Open Bremen 2015,2015-03-18,MA Long,OVTCHAROV Dimitrij,4,2,"8,9,11,11,11,11|11,11,6,8,4,4",SF,GRAND_SLAM,MS,5,Main Draw,MA Long (CHN),OVTCHAROV Dimitrij (GER),MA Long
GAC Group World Tour German Open Bremen 2015,2015-03-18,ZHANG Jike,YAN An,4,3,"8,11,11,11,9,6,11|11,8,3,5,11,11,7",SF,GRAND_SLAM,MS,5,Main Draw,YAN An (CHN),ZHANG Jike (CHN),ZHANG Jike
GAC Group World Tour German Open Bremen 2015,2015-03-18,MA Long,ZHANG Jike,4,3,"11,7,8,14,11,14,11|9,11,11,16,6,12,8",F,GRAND_SLAM,MS,5,Main Draw,MA Long (CHN),ZHANG Jike (CHN),MA Long
GAC Group World Tour German Open Bremen 2015,2015-03-18,ISHIKAWA Kasumi,GRUNDISCH Carole,4,0,"11,11,12,11|5,7,10,9",R32,GRAND_SLAM,WS,5,Main Draw,ISHIKAWA Kasumi (JPN),GRUNDISCH Carole (FRA),ISHIKAWA Kasumi
GAC Group World Tour German Open Bremen 2015,2015-03-18,ISHIGAKI Yuka,LANG Kristin,4,0,"17,11,11,11|15,7,6,9",R32,GRAND_SLAM,WS,5,Main Draw,LANG Kristin (GER),ISHIGAKI Yuka (JPN),ISHIGAKI Yuka
GAC Group World Tour German Open Bremen 2015,2015-03-18,ZHANG Qiang,MORIZONO Misaki,4,2,"11,11,9,11,11,13|6,4,11,13,7,11",R32,GRAND_SLAM,WS,5,Main Draw,MORIZONO Misaki (JPN),ZHANG Qiang (CHN),ZHANG Qiang
GAC Group World Tour German Open Bremen 2015,2015-03-18,SOLJA Petrissa,HIRANO Sayaka,4,2,"11,7,11,11,9,11|9,11,5,5,11,8",R32,GRAND_SLAM,WS,5,Main Draw,SOLJA Petrissa (GER),HIRANO Sayaka (JPN),SOLJA Petrissa
GAC Group World Tour German Open Bremen 2015,2015-03-18,GU Ruochen,YU Mengyu,4,2,"11,6,10,11,12,11|8,11,12,9,10,4",R32,GRAND_SLAM,WS,5,Main Draw,YU Mengyu (SGP),GU Ruochen (CHN),GU Ruochen
GAC Group World Tour German Open Bremen 2015,2015-03-18,POTA Georgina,KATO Miyu,4,0,"11,11,11,11|5,7,9,7",R32,GRAND_SLAM,WS,5,Main Draw,KATO Miyu (JPN),POTA Georgina (HUN),POTA Georgina
GAC Group World Tour German Open Bremen 2015,2015-03-18,YANG Ha Eun,HIRANO Miu,4,2,"11,8,12,9,11,11|5,11,10,11,7,5",R32,GRAND_SLAM,WS,5,Main Draw,YANG Ha Eun (KOR),HIRANO Miu (JPN),YANG Ha Eun
GAC Group World Tour German Open Bremen 2015,2015-03-18,LI Qian,SUH Hyo Won,4,3,"9,13,11,11,6,10,11|11,11,8,6,11,12,5",R32,GRAND_SLAM,WS,5,Main Draw,LI Qian (POL),SUH Hyo Won (KOR),LI Qian
GAC Group World Tour German Open Bremen 2015,2015-03-18,ITO Mima,HAN Ying,4,3,"3,4,4,12,11,11,11|11,11,11,10,7,9,9",R32,GRAND_SLAM,WS,5,Main Draw,HAN Ying (GER),ITO Mima (JPN),ITO Mima
GAC Group World Tour German Open Bremen 2015,2015-03-18,SHAN Xiaona,LI Jie,4,0,"11,11,11,16|9,5,6,14",R32,GRAND_SLAM,WS,5,Main Draw,LI Jie (NED),SHAN Xiaona (GER),SHAN Xiaona
GAC Group World Tour German Open Bremen 2015,2015-03-18,CHE Xiaoxi,LEE Ho Ching,4,1,"11,5,11,11,11|9,11,8,5,4",R32,GRAND_SLAM,WS,5,Main Draw,LEE Ho Ching (HKG),CHE Xiaoxi (CHN),CHE Xiaoxi
GAC Group World Tour German Open Bremen 2015,2015-03-18,LIU Jia,CHEN Szu-Yu,4,2,"7,11,11,11,8,11|11,6,3,6,11,7",R32,GRAND_SLAM,WS,5,Main Draw,CHEN Szu-Yu (TPE),LIU Jia (AUT),LIU Jia
GAC Group World Tour German Open Bremen 2015,2015-03-18,DOO Hoi Kem,FUKUHARA Ai,4,3,"3,13,11,11,6,10,14|11,11,9,6,11,12,12",R32,GRAND_SLAM,WS,5,Main Draw,FUKUHARA Ai (JPN),DOO Hoi Kem (HKG),DOO Hoi Kem
GAC Group World Tour German Open Bremen 2015,2015-03-18,LIU Fei,SAMARA Elizabeta,4,1,"13,11,11,11,11|15,7,9,4,3",R32,GRAND_SLAM,WS,5,Main Draw,LIU Fei (CHN),SAMARA Elizabeta (ROU),LIU Fei
GAC Group World Tour German Open Bremen 2015,2015-03-18,LI Jiayuan,WAKAMIYA Misako,4,0,"11,11,11,11|8,7,9,7",R32,GRAND_SLAM,WS,5,Main Draw,WAKAMIYA Misako (JPN),LI Jiayuan (CHN),LI Jiayuan
GAC Group World Tour German Open Bremen 2015,2015-03-18,FENG Tianwei,IVANCAN Irene,4,0,"11,11,11,11|2,7,6,5",R32,GRAND_SLAM,WS,5,Main Draw,IVANCAN Irene (GER),FENG Tianwei (SGP),FENG Tianwei
GAC Group World Tour German Open Bremen 2015,2015-03-18,ISHIKAWA Kasumi,ISHIGAKI Yuka,4,1,"12,9,11,11,11|10,11,6,2,4",R16,GRAND_SLAM,WS,5,Main Draw,ISHIKAWA Kasumi (JPN),ISHIGAKI Yuka (JPN),ISHIKAWA Kasumi
GAC Group World Tour German Open Bremen 2015,2015-03-18,SOLJA Petrissa,ZHANG Qiang,4,2,"4,11,8,15,11,11|11,9,11,13,9,7",R16,GRAND_SLAM,WS,5,Main Draw,ZHANG Qiang (CHN),SOLJA Petrissa (GER),SOLJA Petrissa
