tournament,date,player_a,player_b,score_a,score_b,game_scores,round,tier,sub_event,event_id,stage,player_a_raw,player_b_raw,winner_raw
GAC Group World Tour German Open Bremen 2015,2015-03-18,TAN Ruiwu/WANG Zengyi,TANG Peng/WONG Chun Ting,3,2,"11,7,8,13,11|9,11,11,11,7",R16,GRAND_SLAM,MD,5,Main Draw,TAN Ruiwu (CRO) / WANG Zengyi (POL),TANG Peng (HKG) / WONG Chun Ting (HKG),TAN Ruiwu
GAC Group World Tour German Open Bremen 2015,2015-03-18,DOO Hoi Kem/LEE Ho Ching,HAN Ying/IVANCAN Irene,3,1,"11,9,13,11|5,11,11,9",R16,GRAND_SLAM,WD,5,Main Draw,DOO Hoi Kem (HKG) / LEE Ho Ching (HKG),HAN Ying (GER) / IVANCAN Irene (GER),DOO Hoi Kem
GAC Group World Tour German Open Bremen 2015,2015-03-18,DOO Hoi Kem/LEE Ho Ching,DOLGIKH Maria/MIKHAILOVA Polina,3,1,"6,11,11,11|11,6,7,8",QF,GRAND_SLAM,WD,5,Main Draw,DOO Hoi Kem (HKG) / LEE Ho Ching (HKG),DOLGIKH Maria (RUS) / MIKHAILOVA Polina (RUS),DOO Hoi Kem
GAC Group World Tour German Open Bremen 2015,2015-03-18,MA Long/ZHANG Jike,MORIZONO Masataka/OSHIMA Yuya,3,0,"11,11,11|7,6,6",R16,GRAND_SLAM,MD,5,Main Draw,MA Long (CHN) / ZHANG Jike (CHN),MORIZONO Masataka (JPN) / OSHIMA Yuya (JPN),MA Long
GAC Group World Tour German Open Bremen 2015,2015-03-18,MATSUDAIRA Kenta/NIWA Koki,GARDOS Robert/HABESOHN Daniel,3,1,"11,4,13,13|5,11,11,11",R16,GRAND_SLAM,MD,5,Main Draw,MATSUDAIRA Kenta (JPN) / NIWA Koki (JPN),GARDOS Robert (AUT) / HABESOHN Daniel (AUT),MATSUDAIRA Kenta
GAC Group World Tour German Open Bremen 2015,2015-03-18,MATSUDAIRA Kenta/NIWA Koki,KUZMIN Fedor/VLASOV Grigory,3,2,"11,11,10,9,11|9,8,12,11,8",QF,GRAND_SLAM,MD,5,Main Draw,MATSUDAIRA Kenta (JPN) / NIWA Koki (JPN),KUZMIN Fedor (RUS) / VLASOV Grigory (RUS),MATSUDAIRA Kenta
GAC Group World Tour German Open Bremen 2015,2015-03-18,BOLL Timo/FRANZISKA Patrick,MATSUDAIRA Kenta/NIWA Koki,3,0,"11,13,11|5,11,5",SF,GRAND_SLAM,MD,5,Main Draw,BOLL Timo (GER) / FRANZISKA Patrick (GER),MATSUDAIRA Kenta (JPN) / NIWA Koki (JPN),BOLL Timo
GAC Group World Tour German Open Bremen 2015,2015-03-18,FUKUHARA Ai/WAKAMIYA Misako,LI Jie/LI Qian,3,1,"8,12,11,11|11,10,9,9",R16,GRAND_SLAM,WD,5,Main Draw,FUKUHARA Ai (JPN) / WAKAMIYA Misako (JPN),LI Jie (NED) / LI Qian (POL),FUKUHARA Ai
GAC Group World Tour German Open Bremen 2015,2015-03-18,FUKUHARA Ai/WAKAMIYA Misako,PARK Youngsook/YANG Ha Eun,3,1,"9,11,11,11|11,6,9,9",QF,GRAND_SLAM,WD,5,Main Draw,FUKUHARA Ai (JPN) / WAKAMIYA Misako (JPN),PARK Youngsook (KOR) / YANG Ha Eun (KOR),FUKUHARA Ai
GAC Group World Tour German Open Bremen 2015,2015-03-18,JEOUNG Youngsik/KIM Minseok,LIVENTSOV Alexey/PAIKOV Mikhail,3,1,"11,9,11,11|7,11,5,6",R16,GRAND_SLAM,MD,5,Main Draw,JEOUNG Youngsik (KOR) / KIM Minseok (KOR),LIVENTSOV Alexey (RUS) / PAIKOV Mikhail (RUS),JEOUNG Youngsik
GAC Group World Tour German Open Bremen 2015,2015-03-18,CHIANG Hung-Chieh/HUANG Sheng-Sheng,CHO Eonrae/KIM Donghyun,3,1,"11,11,11,11|7,9,13,5",R16,GRAND_SLAM,MD,5,Main Draw,CHIANG Hung-Chieh (TPE) / HUANG Sheng-Sheng (TPE),CHO Eonrae (KOR) / KIM Donghyun (KOR),CHIANG Hung-Chieh
GAC Group World Tour German Open Bremen 2015,2015-03-18,LIU Jia/VACENOVSKA Iveta,CHOI Hyojoo/JO Yujin,3,1,"11,6,11,12|5,11,7,10",R16,GRAND_SLAM,WD,5,Main Draw,LIU Jia (AUT) / VACENOVSKA Iveta (CZE),CHOI Hyojoo (KOR) / JO Yujin (KOR),LIU Jia
GAC Group World Tour German Open Bremen 2015,2015-03-18,SKACHKOV Kirill/SMIRNOV Alexey,TAN Ruiwu/WANG Zengyi,3,0,"11,11,11|8,7,7",QF,GRAND_SLAM,MD,5,Main Draw,SKACHKOV Kirill (RUS) / SMIRNOV Alexey (RUS),TAN Ruiwu (CRO) / WANG Zengyi (POL),SKACHKOV Kirill
GAC Group World Tour German Open Bremen 2015,2015-03-18,PARK Youngsook/YANG Ha Eun,POTA Georgina/SAMARA Elizabeta,3,0,"11,11,11|3,7,9",R16,GRAND_SLAM,WD,5,Main Draw,PARK Youngsook (KOR) / YANG Ha Eun (KOR),POTA Georgina (HUN) / SAMARA Elizabeta (ROU),PARK Youngsook
GAC Group World Tour German Open Bremen 2015,2015-03-18,SKACHKOV Kirill/SMIRNOV Alexey,KARLSSON Kristian/KARLSSON Mattias,3,0,"11,12,11|9,10,5",R16,GRAND_SLAM,MD,5,Main Draw,SKACHKOV Kirill (RUS) / SMIRNOV Alexey (RUS),KARLSSON Kristian (SWE) / KARLSSON Mattias (SWE),SKACHKOV Kirill
GAC Group World Tour German Open Bremen 2015,2015-03-18,SKACHKOV Kirill/SMIRNOV Alexey,JEOUNG Youngsik/KIM Minseok,3,1,"9,11,11,11|11,9,5,9",SF,GRAND_SLAM,MD,5,Main Draw,SKACHKOV Kirill (RUS) / SMIRNOV Alexey (RUS),JEOUNG Youngsik (KOR) / KIM Minseok (KOR),SKACHKOV Kirill
GAC Group World Tour German Open Bremen 2015,2015-03-18,BOLL Timo/FRANZISKA Patrick,SKACHKOV Kirill/SMIRNOV Alexey,3,1,"11,12,4,11|6,10,11,8",F,GRAND_SLAM,MD,5,Main Draw,BOLL Timo (GER) / FRANZISKA Patrick (GER),SKACHKOV Kirill (RUS) / SMIRNOV Alexey (RUS),BOLL Timo
GAC Group World Tour German Open Bremen 2015,2015-03-18,NOSKOVA Yana/PROKHOROVA Yulia,GRZYBOWSKA-FRANC Katarzyna/PARTYKA Natalia,3,2,"8,9,11,13,12|11,11,6,11,10",R16,GRAND_SLAM,WD,5,Main Draw,NOSKOVA Yana (RUS) / PROKHOROVA Yulia (RUS),GRZYBOWSKA-FRANC Katarzyna (POL) / PARTYKA Natalia (POL),NOSKOVA Yana
GAC Group World Tour German Open Bremen 2015,2015-03-18,DOLGIKH Maria/MIKHAILOVA Polina,HIRANO Miu/ITO Mima,3,0,"11,11,12|6,8,10",R16,GRAND_SLAM,WD,5,Main Draw,DOLGIKH Maria (RUS) / MIKHAILOVA Polina (RUS),HIRANO Miu (JPN) / ITO Mima (JPN),DOLGIKH Maria
GAC Group World Tour German Open Bremen 2015,2015-03-18,FENG Tianwei/YU Mengyu,CHENG Hsien-Tzu/CHEN Szu-Yu,3,2,"6,11,11,8,11|11,7,5,11,7",R16,GRAND_SLAM,WD,5,Main Draw,FENG Tianwei (SGP) / YU Mengyu (SGP),CHENG Hsien-Tzu (TPE) / CHEN Szu-Yu (TPE),FENG Tianwei
GAC Group World Tour German Open Bremen 2015,2015-03-18,LIU Jia/VACENOVSKA Iveta,FENG Tianwei/YU Mengyu,3,1,"11,11,9,11|6,8,11,8",QF,GRAND_SLAM,WD,5,Main Draw,LIU Jia (AUT) / VACENOVSKA Iveta (CZE),FENG Tianwei (SGP) / YU Mengyu (SGP),LIU Jia
