tournament,date,player_a,player_b,score_a,score_b,game_scores,round,tier,sub_event,event_id,stage,player_a_raw,player_b_raw,winner_raw
GAC Group World Tour Polish Open Warsaw 2015,2015-10-21,LEBESSON Emmanuel,APOLONIA Tiago,4,1,"5,11,11,12,11|11,7,5,10,7",R64,GRAND_SLAM,MS,21,Main Draw,APOLONIA Tiago (POR),LEBESSON Emmanuel (FRA),LEBESSON Emmanuel
GAC Group World Tour Polish Open Warsaw 2015,2015-10-21,FRANZISKA Patrick,ROBLES Alvaro,4,2,"9,11,11,8,12,11|11,6,8,11,10,7",R64,GRAND_SLAM,MS,21,Main Draw,ROBLES Alvaro (ESP),FRANZISKA Patrick (GER),FRANZISKA Patrick
GAC Group World Tour Polish Open Warsaw 2015,2015-10-21,ARUNA Quadri,KARLSSON Kristian,4,0,"11,11,11,11|7,6,9,9",R64,GRAND_SLAM,MS,21,Main Draw,ARUNA Quadri (NGR),KARLSSON Kristian (SWE),ARUNA Quadri
GAC Group World Tour Polish Open Warsaw 2015,2015-10-21,XU Xin,ROBINOT Quentin,4,0,"11,11,11,11|8,4,2,6",R64,GRAND_SLAM,MS,21,Main Draw,ROBINOT Quentin (FRA),XU Xin (CHN),XU Xin
GAC Group World Tour Polish Open Warsaw 2015,2015-10-21,KARLSSON Mattias,MENGEL Steffen,4,1,"10,11,11,14,11|12,4,6,12,4",R32,GRAND_SLAM,MS,21,Main Draw,MENGEL Steffen (GER),KARLSSON Mattias (SWE),KARLSSON Mattias
GAC Group World Tour Polish Open Warsaw 2015,2015-10-21,TANG Peng,FILUS Ruwen,4,3,"8,11,11,9,11,7,11|11,9,7,11,5,11,9",R32,GRAND_SLAM,MS,21,Main Draw,TANG Peng (HKG),FILUS Ruwen (GER),TANG Peng
GAC Group World Tour Polish Open Warsaw 2015,2015-10-21,FEGERL Stefan,FREITAS Marcos,4,2,"4,8,11,11,11,11|11,11,9,3,5,4",R32,GRAND_SLAM,MS,21,Main Draw,FEGERL Stefan (AUT),FREITAS Marcos (POR),FEGERL Stefan
GAC Group World Tour Polish Open Warsaw 2015,2015-10-21,OVTCHAROV Dimitrij,YOSHIDA Kaii,4,2,"11,7,16,8,11,11|6,11,14,11,3,8",R32,GRAND_SLAM,MS,21,Main Draw,OVTCHAROV Dimitrij (GER),YOSHIDA Kaii (JPN),OVTCHAROV Dimitrij
GAC Group World Tour Polish Open Warsaw 2015,2015-10-21,GACINA Andrej,MATSUDAIRA Kenta,4,1,"7,11,13,13,11|11,5,11,11,6",R32,GRAND_SLAM,MS,21,Main Draw,GACINA Andrej (CRO),MATSUDAIRA Kenta (JPN),GACINA Andrej
GAC Group World Tour Polish Open Warsaw 2015,2015-10-21,GAO Ning,KONECNY Tomas,4,2,"12,11,8,11,9,11|7,4,11,7,11,6",R32,GRAND_SLAM,MS,21,Main Draw,GAO Ning (SGP),KONECNY Tomas (CZE),GAO Ning
GAC Group World Tour Polish Open Warsaw 2015,2015-10-21,ZHANG Jike,SHIONO Masato,4,2,"11,11,5,11,13,11|13,7,11,3,11,6",R32,GRAND_SLAM,MS,21,Main Draw,SHIONO Masato (JPN),ZHANG Jike (CHN),ZHANG Jike
GAC Group World Tour Polish Open Warsaw 2015,2015-10-21,FAN Zhendong,LI Hu,4,0,"11,11,11,11|4,7,5,4",R32,GRAND_SLAM,MS,21,Main Draw,FAN Zhendong (CHN),LI Hu (SGP),FAN Zhendong
GAC Group World Tour Polish Open Warsaw 2015,2015-10-21,SHIBAEV Alexander,PERSSON Jon,4,0,"11,11,11,11|5,7,8,7",R32,GRAND_SLAM,MS,21,Main Draw,SHIBAEV Alexander (RUS),PERSSON Jon (SWE),SHIBAEV Alexander
GAC Group World Tour Polish Open Warsaw 2015,2015-10-21,WANG Yang,NIWA Koki,4,2,"10,11,8,11,11,11|12,7,11,9,5,8",R32,GRAND_SLAM,MS,21,Main Draw,NIWA Koki (JPN),WANG Yang (SVK),WANG Yang
GAC Group World Tour Polish Open Warsaw 2015,2015-10-21,CHUANG Chih-Yuan,CHIANG Hung-Chieh,4,2,"6,11,11,11,12,11|11,8,8,8,14,8",R32,GRAND_SLAM,MS,21,Main Draw,CHIANG Hung-Chieh (TPE),CHUANG Chih-Yuan (TPE),CHUANG Chih-Yuan
GAC Group World Tour Polish Open Warsaw 2015,2015-10-21,MIZUTANI Jun,WANG Zengyi,4,2,"12,11,11,14,8,11|14,8,6,12,11,4",R32,GRAND_SLAM,MS,21,Main Draw,MIZUTANI Jun (JPN),WANG Zengyi (POL),MIZUTANI Jun
GAC Group World Tour Polish Open Warsaw 2015,2015-10-21,WONG Chun Ting,GORAK Daniel,4,2,"8,11,10,11,11,11|11,2,12,5,7,7",R32,GRAND_SLAM,MS,21,Main Draw,GORAK Daniel (POL),WONG Chun Ting (HKG),WONG Chun Ting
GAC Group World Tour Polish Open Warsaw 2015,2015-10-21,FRANZISKA Patrick,LEBESSON Emmanuel,4,1,"11,11,5,11,12|7,7,11,7,10",R32,GRAND_SLAM,MS,21,Main Draw,LEBESSON Emmanuel (FRA),FRANZISKA Patrick (GER),FRANZISKA Patrick
GAC Group World Tour Polish Open Warsaw 2015,2015-10-21,XU Xin,ARUNA Quadri,4,0,"11,11,11,11|4,4,4,7",R32,GRAND_SLAM,MS,21,Main Draw,ARUNA Quadri (NGR),XU Xin (CHN),XU Xin
GAC Group World Tour Polish Open Warsaw 2015,2015-10-21,KARLSSON Mattias,DYJAS Jakub,4,3,"11,2,11,11,7,9,11|8,11,7,5,11,11,6",R16,GRAND_SLAM,MS,21,Main Draw,DYJAS Jakub (POL),KARLSSON Mattias (SWE),KARLSSON Mattias
GAC Group World Tour Polish Open Warsaw 2015,2015-10-21,FEGERL Stefan,TANG Peng,4,0,"11,12,11,11|5,10,5,9",R16,GRAND_SLAM,MS,21,Main Draw,TANG Peng (HKG),FEGERL Stefan (AUT),FEGERL Stefan
