tournament,date,player_a,player_b,score_a,score_b,game_scores,round,tier,sub_event,event_id,stage,player_a_raw,player_b_raw,winner_raw
World Tour Kuwait Open Kuwait City 2016,2016-03-16,MA Long,GERALDO Joao,4,0,"11,11,11,13|6,5,6,11",R32,GRAND_SLAM,MS,27,Main Draw,MA Long (CHN),GERALDO Joao (POR),MA Long
World Tour Kuwait Open Kuwait City 2016,2016-03-16,LI Ahmet,FEGERL Stefan,4,2,"12,11,9,11,11,11|14,8,11,5,8,8",R32,GRAND_SLAM,MS,27,Main Draw,LI Ahmet (TUR),FEGERL Stefan (AUT),LI Ahmet
World Tour Kuwait Open Kuwait City 2016,2016-03-16,LEE Sang Su,LI Ping,4,1,"13,9,11,11,11|11,11,5,4,8",R32,GRAND_SLAM,MS,27,Main Draw,LEE Sang Su (KOR),LI Ping (QAT),LEE Sang Su
World Tour Kuwait Open Kuwait City 2016,2016-03-16,SAMSONOV Vladimir,GAUZY Simon,4,1,"17,11,11,11,11|19,9,7,5,6",R32,GRAND_SLAM,MS,27,Main Draw,GAUZY Simon (FRA),SAMSONOV Vladimir (BLR),SAMSONOV Vladimir
World Tour Kuwait Open Kuwait City 2016,2016-03-16,MIZUTANI Jun,APOLONIA Tiago,4,2,"4,11,11,9,11,12|11,8,6,11,9,10",R32,GRAND_SLAM,MS,27,Main Draw,MIZUTANI Jun (JPN),APOLONIA Tiago (POR),MIZUTANI Jun
World Tour Kuwait Open Kuwait City 2016,2016-03-16,NIWA Koki,PAIKOV Mikhail,4,1,"11,3,11,11,11|8,11,9,7,6",R32,GRAND_SLAM,MS,27,Main Draw,PAIKOV Mikhail (RUS),NIWA Koki (JPN),NIWA Koki
World Tour Kuwait Open Kuwait City 2016,2016-03-16,CALDERANO Hugo,AL-HASAN Salem,4,0,"11,11,11,11|8,6,6,6",R32,GRAND_SLAM,MS,27,Main Draw,AL-HASAN Salem (KUW),CALDERANO Hugo (BRA),CALDERANO Hugo
World Tour Kuwait Open Kuwait City 2016,2016-03-16,XU Xin,LI Hu,4,0,"11,11,11,11|2,4,6,5",R32,GRAND_SLAM,MS,27,Main Draw,LI Hu (SGP),XU Xin (CHN),XU Xin
World Tour Kuwait Open Kuwait City 2016,2016-03-16,ZHANG Jike,KARAKASEVIC Aleksandar,4,2,"11,4,11,10,11,11|7,11,8,12,7,9",R32,GRAND_SLAM,MS,27,Main Draw,ZHANG Jike (CHN),KARAKASEVIC Aleksandar (SRB),ZHANG Jike
World Tour Kuwait Open Kuwait City 2016,2016-03-16,GACINA Andrej,OIKAWA Mizuki,4,0,"11,11,11,12|7,8,5,10",R32,GRAND_SLAM,MS,27,Main Draw,OIKAWA Mizuki (JPN),GACINA Andrej (CRO),GACINA Andrej
World Tour Kuwait Open Kuwait City 2016,2016-03-16,WONG Chun Ting,WANG Yang,4,1,"11,11,11,4,11|9,3,2,11,3",R32,GRAND_SLAM,MS,27,Main Draw,WONG Chun Ting (HKG),WANG Yang (SVK),WONG Chun Ting
