tournament,date,player_a,player_b,score_a,score_b,game_scores,round,tier,sub_event,event_id,stage,player_a_raw,player_b_raw,winner_raw
Olympic Games Athens 2004,2004-08-14,WOSIK Torben,GUEYE Mohamed,4,0,"11,11,11,11|4,5,6,4",R128,OLYMPICS,MS,918,Main Draw,WOSIK Torben (GER),GUEYE Mohamed (SEN),WOSIK Torben
Olympic Games Athens 2004,2004-08-14,LIU Song,ARAI Shu,4,1,"11,7,12,11,11|7,11,10,5,4",R128,OLYMPICS,MS,918,Main Draw,LIU Song (ARG),ARAI Shu (JPN),LIU Song
Olympic Games Athens 2004,2004-08-14,ACHANTA Sharath,BOUDJADJA Sofiene,4,0,"11,12,11,11|4,10,6,3",R128,OLYMPICS,MS,918,Main Draw,ACHANTA Sharath (IND),BOUDJADJA Sofiene (ALG),ACHANTA Sharath
Olympic Games Athens 2004,2004-08-14,MEROTOHUN Monday,BABUNGU Bomboko,4,0,"11,11,11,11|5,8,8,8",R128,OLYMPICS,MS,918,Main Draw,MEROTOHUN Monday (NGR),BABUNGU Bomboko (COD),MEROTOHUN Monday
Olympic Games Athens 2004,2004-08-14,YANG Min,DOAN Kien Quoc,4,1,"11,11,11,11,11|5,13,7,5,5",R128,OLYMPICS,MS,918,Main Draw,YANG Min (ITA),DOAN Kien Quoc (VIE),YANG Min
Olympic Games Athens 2004,2004-08-14,HENZELL William,NGUYEN Khoa,4,1,"11,6,11,11,11|7,11,7,4,9",R128,OLYMPICS,MS,918,Main Draw,HENZELL William (AUS),NGUYEN Khoa (USA),HENZELL William
Olympic Games Athens 2004,2004-08-14,LIN Ju,YUZAWA Ryo,4,1,"11,7,11,11,11|8,11,8,3,9",R128,OLYMPICS,MS,918,Main Draw,LIN Ju (DOM),YUZAWA Ryo (JPN),LIN Ju
Olympic Games Athens 2004,2004-08-14,KRZESZEWSKI Tomasz,HOYAMA Hugo,4,0,"12,11,11,11|10,4,4,8",R128,OLYMPICS,MS,918,Main Draw,KRZESZEWSKI Tomasz (POL),HOYAMA Hugo (BRA),KRZESZEWSKI Tomasz
Olympic Games Athens 2004,2004-08-14,MATSUSHITA Koji,BROWN Trevor,4,0,"11,11,11,11|4,6,9,3",R128,OLYMPICS,MS,918,Main Draw,MATSUSHITA Koji (JPN),BROWN Trevor (AUS),MATSUSHITA Koji
Olympic Games Athens 2004,2004-08-14,LUPULESKU Ilija,PAPIC Juan,4,0,"11,11,11,11|2,4,5,2",R128,OLYMPICS,MS,918,Main Draw,LUPULESKU Ilija (USA),PAPIC Juan (CHI),LUPULESKU Ilija
Olympic Games Athens 2004,2004-08-14,O Il,LUYINDULA Jose,4,1,"11,11,9,11,11|7,8,11,4,7",R128,OLYMPICS,MS,918,Main Draw,O Il (PRK),LUYINDULA Jose (COD),O Il
