tournament,date,player_a,player_b,score_a,score_b,game_scores,round,tier,sub_event,event_id,stage,player_a_raw,player_b_raw,winner_raw
World Tour India Open New Delhi 2017,2017-02-14,JIANG Tianyi,AL-ABBAD Abdulaziz,4,0,"11,14,11,11|6,12,7,9",,GRAND_SLAM,MS,455,Qualification,JIANG Tianyi (HKG),AL-ABBAD Abdulaziz (KSA),JIANG Tianyi
World Tour India Open New Delhi 2017,2017-02-14,AL-ABBAD Abdulaziz,GHOSH Anirban,4,0,"11,11,11,11|2,2,2,5",,GRAND_SLAM,MS,455,Qualification,AL-ABBAD Abdulaziz (KSA),GHOSH Anirban (IND),AL-ABBAD Abdulaziz
World Tour India Open New Delhi 2017,2017-02-14,SHETTY Sanil,BHANJA Ronit,4,0,"11,11,11,11|8,7,9,6",,GRAND_SLAM,MS,455,Qualification,SHETTY Sanil (IND),BHANJA Ronit (IND),SHETTY Sanil
World Tour India Open New Delhi 2017,2017-02-14,SHETTY Sanil,JANCARIK Lubomir,4,3,"12,12,8,11,8,12,16|14,10,11,4,11,10,14",,GRAND_SLAM,MS,455,Qualification,SHETTY Sanil (IND),JANCARIK Lubomir (CZE),SHETTY Sanil
World Tour India Open New Delhi 2017,2017-02-14,JANCARIK Lubomir,BHANJA Ronit,4,1,"8,11,11,11,11|11,9,7,5,6",,GRAND_SLAM,MS,455,Qualification,JANCARIK Lubomir (CZE),BHANJA Ronit (IND),JANCARIK Lubomir
World Tour India Open New Delhi 2017,2017-02-14,ROBINOT Quentin,AVI-TAL Omer,4,0,"11,11,11,11|2,5,7,5",,GRAND_SLAM,MS,455,Qualification,ROBINOT Quentin (FRA),AVI-TAL Omer (PAN),ROBINOT Quentin
World Tour India Open New Delhi 2017,2017-02-14,ANTHONY Amalraj,GUPTA Utkarsh,4,1,"12,11,11,11,11|14,4,5,6,5",,GRAND_SLAM,MS,455,Qualification,ANTHONY Amalraj (IND),GUPTA Utkarsh (IND),ANTHONY Amalraj
World Tour India Open New Delhi 2017,2017-02-14,ROBINOT Quentin,ANTHONY Amalraj,4,3,"8,11,11,8,10,11,11|11,3,8,11,12,9,4",,GRAND_SLAM,MS,455,Qualification,ROBINOT Quentin (FRA),ANTHONY Amalraj (IND),ROBINOT Quentin
World Tour India Open New Delhi 2017,2017-02-14,GUPTA Utkarsh,AVI-TAL Omer,4,0,"11,11,11,11|9,3,7,2",,GRAND_SLAM,MS,455,Qualification,AVI-TAL Omer (PAN),GUPTA Utkarsh (IND),GUPTA Utkarsh
World Tour India Open New Delhi 2017,2017-02-14,ROBINOT Quentin,GUPTA Utkarsh,4,1,"8,11,11,11,11|11,5,5,9,5",,GRAND_SLAM,MS,455,Qualification,ROBINOT Quentin (FRA),GUPTA Utkarsh (IND),ROBINOT Quentin
