tournament,date,player_a,player_b,score_a,score_b,game_scores,round,tier,sub_event,event_id,stage,player_a_raw,player_b_raw,winner_raw
Italy Open Courmayeur 2002,2002-05-02,TOKIC Bojan,QIN Zhijian,4,2,"12,11,7,11,10,12|10,8,11,5,12,10",,GRAND_SLAM,MS,1298,Qualification,TOKIC Bojan (SLO),QIN Zhijian (CHN),TOKIC Bojan
Italy Open Courmayeur 2002,2002-05-02,BOBOCICA Mihai,CHEN Cheng-Kao,4,1,"12,11,11,9,11|10,6,7,11,6",QR2,GRAND_SLAM,MS,1298,Qualification,BOBOCICA Mihai (ITA),CHEN Cheng-Kao (TPE),BOBOCICA Mihai
Italy Open Courmayeur 2002,2002-05-02,TOKIC Bojan,BOBOCICA Mihai,4,0,"11,11,11,11|8,7,8,4",3,GRAND_SLAM,MS,1298,Qualification,TOKIC Bojan (SLO),BOBOCICA Mihai (ITA),TOKIC Bojan
Italy Open Courmayeur 2002,2002-05-02,MARMUREK Olivier,BAST Mike,4,0,"11,11,11,11|6,5,7,8",,GRAND_SLAM,MS,1298,Qualification,MARMUREK Olivier (FRA),BAST Mike (LUX),MARMUREK Olivier
Italy Open Courmayeur 2002,2002-05-02,MARMUREK Olivier,SABATINO Daniele,4,0,"11,11,11,11|8,5,6,1",QR2,GRAND_SLAM,MS,1298,Qualification,MARMUREK Olivier (FRA),SABATINO Daniele (ITA),MARMUREK Olivier
Italy Open Courmayeur 2002,2002-05-02,SABATINO Daniele,BAST Mike,4,3,"11,5,11,11,9,7,11|7,11,6,2,11,11,8",3,GRAND_SLAM,MS,1298,Qualification,SABATINO Daniele (ITA),BAST Mike (LUX),SABATINO Daniele
Italy Open Courmayeur 2002,2002-05-02,CABESTANY Cedrik,SPINICCHIA Simone,4,1,"11,11,9,11,11|9,8,11,1,3",,GRAND_SLAM,MS,1298,Qualification,CABESTANY Cedrik (FRA),SPINICCHIA Simone (ITA),CABESTANY Cedrik
Italy Open Courmayeur 2002,2002-05-02,CABESTANY Cedrik,SHIRIEV Albert,4,0,"11,11,11,12|0,6,8,10",QR2,GRAND_SLAM,MS,1298,Qualification,CABESTANY Cedrik (FRA),SHIRIEV Albert (UZB),CABESTANY Cedrik
Italy Open Courmayeur 2002,2002-05-02,SHIRIEV Albert,SPINICCHIA Simone,4,3,"10,11,6,8,11,11,11|12,9,11,11,6,8,7",3,GRAND_SLAM,MS,1298,Qualification,SHIRIEV Albert (UZB),SPINICCHIA Simone (ITA),SHIRIEV Albert
Italy Open Courmayeur 2002,2002-05-02,MITAMURA Muneaki,CROTTI Mattia,4,1,"11,11,11,2,12|3,3,9,11,10",3,GRAND_SLAM,MS,1298,Qualification,MITAMURA Muneaki (JPN),CROTTI Mattia (ITA),MITAMURA Muneaki
Italy Open Courmayeur 2002,2002-05-02,MARTINEZ Michel,ARAI Shu,4,3,"11,9,11,8,9,11,11|8,11,6,11,11,9,9",QR2,GRAND_SLAM,MS,1298,Qualification,MARTINEZ Michel (FRA),ARAI Shu (JPN),MARTINEZ Michel
