tournament,date,player_a,player_b,score_a,score_b,game_scores,round,tier,sub_event,event_id,stage,player_a_raw,player_b_raw,winner_raw
Pro Tour STAG Belarus Open Minsk 2008,2008-05-22,ZAKLADNYI Gennadii,BARKHATOV Evgenij,4,2,"7,11,2,11,11,11|11,5,11,9,5,6",,GRAND_SLAM,MS,793,Qualification,ZAKLADNYI Gennadii (UKR),BARKHATOV Evgenij (RUS),ZAKLADNYI Gennadii
Pro Tour STAG Belarus Open Minsk 2008,2008-05-22,ROGIERS Benjamin,BARKHATOV Evgenij,4,2,"11,9,11,11,5,14|5,11,7,3,11,12",,GRAND_SLAM,MS,793,Qualification,ROGIERS Benjamin (BEL),BARKHATOV Evgenij (RUS),ROGIERS Benjamin
Pro Tour STAG Belarus Open Minsk 2008,2008-05-22,ZAKLADNYI Gennadii,BARABANOV Kiryl,4,2,"11,11,5,11,10,11|7,7,11,3,12,5",,GRAND_SLAM,MS,793,Qualification,ZAKLADNYI Gennadii (UKR),BARABANOV Kiryl (BLR),ZAKLADNYI Gennadii
Pro Tour STAG Belarus Open Minsk 2008,2008-05-22,KRIVOSHEEV Viacheslav,HABESOHN Mathias,4,2,"11,11,6,11,6,11|7,4,11,9,11,6",,GRAND_SLAM,MS,793,Qualification,KRIVOSHEEV Viacheslav (RUS),HABESOHN Mathias (AUT),KRIVOSHEEV Viacheslav
Pro Tour STAG Belarus Open Minsk 2008,2008-05-22,FOREITOROV Dmitry,MISAK Mikhalai,4,0,"11,11,11,11|3,7,4,7",,GRAND_SLAM,MS,793,Qualification,FOREITOROV Dmitry (BLR),MISAK Mikhalai (BLR),FOREITOROV Dmitry
Pro Tour STAG Belarus Open Minsk 2008,2008-05-22,HABESOHN Mathias,MISAK Mikhalai,4,0,"11,11,11,11|4,8,8,3",,GRAND_SLAM,MS,793,Qualification,HABESOHN Mathias (AUT),MISAK Mikhalai (BLR),HABESOHN Mathias
Pro Tour STAG Belarus Open Minsk 2008,2008-05-22,KRIVOSHEEV Viacheslav,FOREITOROV Dmitry,4,3,"11,11,8,6,9,11,11|6,9,11,11,11,7,8",,GRAND_SLAM,MS,793,Qualification,KRIVOSHEEV Viacheslav (RUS),FOREITOROV Dmitry (BLR),KRIVOSHEEV Viacheslav
Pro Tour STAG Belarus Open Minsk 2008,2008-05-22,HABESOHN Mathias,FOREITOROV Dmitry,4,3,"12,8,7,11,5,11,11|10,11,11,9,11,8,7",,GRAND_SLAM,MS,793,Qualification,HABESOHN Mathias (AUT),FOREITOROV Dmitry (BLR),HABESOHN Mathias
Pro Tour STAG Belarus Open Minsk 2008,2008-05-22,KRIVOSHEEV Viacheslav,MISAK Mikhalai,4,2,"9,14,11,8,11,11|11,12,7,11,3,7",,GRAND_SLAM,MS,793,Qualification,KRIVOSHEEV Viacheslav (RUS),MISAK Mikhalai (BLR),KRIVOSHEEV Viacheslav
Pro Tour STAG Belarus Open Minsk 2008,2008-05-22,PIETKIEWICZ Maciej,LABANOUSKI Aliaksandr,4,1,"11,11,9,11,11|5,4,11,2,3",,GRAND_SLAM,MS,793,Qualification,PIETKIEWICZ Maciej (POL),LABANOUSKI Aliaksandr (BLR),PIETKIEWICZ Maciej
Pro Tour STAG Belarus Open Minsk 2008,2008-05-22,SMIRNOV Maksim,BOSMAN Jelle,4,3,"11,5,11,19,11,8,11|13,11,6,17,9,11,8",,GRAND_SLAM,MS,793,Qualification,SMIRNOV Maksim (RUS),BOSMAN Jelle (NED),SMIRNOV Maksim
Pro Tour STAG Belarus Open Minsk 2008,2008-05-22,PIETKIEWICZ Maciej,SMIRNOV Maksim,4,1,"12,11,13,11,11|10,4,15,7,6",,GRAND_SLAM,MS,793,Qualification,PIETKIEWICZ Maciej (POL),SMIRNOV Maksim (RUS),PIETKIEWICZ Maciej
Pro Tour STAG Belarus Open Minsk 2008,2008-05-22,BOSMAN Jelle,LABANOUSKI Aliaksandr,4,0,"11,11,11,11|4,6,4,3",,GRAND_SLAM,MS,793,Qualification,BOSMAN Jelle (NED),LABANOUSKI Aliaksandr (BLR),BOSMAN Jelle
Pro Tour STAG Belarus Open Minsk 2008,2008-05-22,PIETKIEWICZ Maciej,BOSMAN Jelle,4,2,"11,12,11,11,8,11|7,14,9,9,11,8",,GRAND_SLAM,MS,793,Qualification,PIETKIEWICZ Maciej (POL),BOSMAN Jelle (NED),PIETKIEWICZ Maciej
Pro Tour STAG Belarus Open Minsk 2008,2008-05-22,LABANOUSKI Aliaksandr,SMIRNOV Maksim,4,2,"11,8,11,7,11,14|9,11,8,11,3,12",,GRAND_SLAM,MS,793,Qualification,LABANOUSKI Aliaksandr (BLR),SMIRNOV Maksim (RUS),LABANOUSKI Aliaksandr
Pro Tour STAG Belarus Open Minsk 2008,2008-05-22,PLATONOV Pavel,VOITSEKHAU Tsimur,4,0,"11,11,11,11|5,4,8,6",,GRAND_SLAM,MS,793,Qualification,PLATONOV Pavel (BLR),VOITSEKHAU Tsimur (BLR),PLATONOV Pavel
Pro Tour STAG Belarus Open Minsk 2008,2008-05-22,IONESCU Ovidiu,POPOV Dmitry,4,0,"11,11,15,11|5,8,13,7",,GRAND_SLAM,MS,793,Qualification,IONESCU Ovidiu (ROU),POPOV Dmitry (RUS),IONESCU Ovidiu
Pro Tour STAG Belarus Open Minsk 2008,2008-05-22,PLATONOV Pavel,POPOV Dmitry,4,0,"11,12,11,11|6,10,9,8",,GRAND_SLAM,MS,793,Qualification,PLATONOV Pavel (BLR),POPOV Dmitry (RUS),PLATONOV Pavel
