tournament,date,player_a,player_b,score_a,score_b,game_scores,round,tier,sub_event,event_id,stage,player_a_raw,player_b_raw,winner_raw
Pro Tour STAG Belarus Open Minsk 2008,2008-05-22,XU Xin,PAIKOV Mikhail,4,0,"11,11,11,11|6,8,7,5",SF,GRAND_SLAM,MS,793,Main Draw,XU Xin (CHN),PAIKOV Mikhail (RUS),XU Xin
Pro Tour STAG Belarus Open Minsk 2008,2008-05-22,SAMSONOV Vladimir,XU Xin,4,1,"11,10,11,11,11|7,12,8,7,8",F,GRAND_SLAM,MS,793,Main Draw,SAMSONOV Vladimir (BLR),XU Xin (CHN),SAMSONOV Vladimir
Pro Tour STAG Belarus Open Minsk 2008,2008-05-22,LI Qian,MIKHAILOVA Polina,4,2,"11,7,11,7,11,11|3,11,4,11,4,6",R16,GRAND_SLAM,WS,793,Main Draw,LI Qian (POL),MIKHAILOVA Polina (RUS),LI Qian
Pro Tour STAG Belarus Open Minsk 2008,2008-05-22,STEFANSKA Kinga,BARTOSOVA Hana,4,1,"11,11,11,15,11|7,5,8,17,7",R16,GRAND_SLAM,WS,793,Main Draw,STEFANSKA Kinga (POL),BARTOSOVA Hana (CZE),STEFANSKA Kinga
Pro Tour STAG Belarus Open Minsk 2008,2008-05-22,MARKOVA Ekaterina,XU Jie (1982),4,1,"11,9,11,13,11|8,11,9,11,8",R16,GRAND_SLAM,WS,793,Main Draw,MARKOVA Ekaterina (RUS),XU Jie (1982) (POL),MARKOVA Ekaterina
Pro Tour STAG Belarus Open Minsk 2008,2008-05-22,YAN Xiaoshan,HU Melek,4,3,"11,8,11,11,9,3,11|9,11,9,7,11,11,9",R16,GRAND_SLAM,WS,793,Main Draw,YAN Xiaoshan (POL),HU Melek (TUR),YAN Xiaoshan
Pro Tour STAG Belarus Open Minsk 2008,2008-05-22,PAVLOVICH Veronika,ALI Meral Ildiz,4,0,"11,11,11,14|9,4,8,12",R16,GRAND_SLAM,WS,793,Main Draw,PAVLOVICH Veronika (BLR),ALI Meral Ildiz (TUR),PAVLOVICH Veronika
Pro Tour STAG Belarus Open Minsk 2008,2008-05-22,DOLGIKH Maria,BAK Natalia,4,1,"16,11,7,11,11|14,6,11,7,8",R16,GRAND_SLAM,WS,793,Main Draw,DOLGIKH Maria (RUS),BAK Natalia (POL),DOLGIKH Maria
Pro Tour STAG Belarus Open Minsk 2008,2008-05-22,CREEMERS Linda,FETUKHINA Margarita,4,0,"11,11,11,11|8,9,5,4",R16,GRAND_SLAM,WS,793,Main Draw,CREEMERS Linda (NED),FETUKHINA Margarita (RUS),CREEMERS Linda
Pro Tour STAG Belarus Open Minsk 2008,2008-05-22,PAVLOVICH Viktoria,NOUWEN Carla,4,1,"11,12,11,6,11|3,10,7,11,5",R16,GRAND_SLAM,WS,793,Main Draw,PAVLOVICH Viktoria (BLR),NOUWEN Carla (NED),PAVLOVICH Viktoria
Pro Tour STAG Belarus Open Minsk 2008,2008-05-22,LI Qian,STEFANSKA Kinga,4,0,"11,11,11,11|9,5,4,5",QF,GRAND_SLAM,WS,793,Main Draw,LI Qian (POL),STEFANSKA Kinga (POL),LI Qian
Pro Tour STAG Belarus Open Minsk 2008,2008-05-22,YAN Xiaoshan,MARKOVA Ekaterina,4,3,"11,2,11,11,8,7,13|4,11,5,6,11,11,11",QF,GRAND_SLAM,WS,793,Main Draw,YAN Xiaoshan (POL),MARKOVA Ekaterina (RUS),YAN Xiaoshan
Pro Tour STAG Belarus Open Minsk 2008,2008-05-22,PAVLOVICH Veronika,DOLGIKH Maria,4,0,"11,11,11,11|5,7,4,2",QF,GRAND_SLAM,WS,793,Main Draw,PAVLOVICH Veronika (BLR),DOLGIKH Maria (RUS),PAVLOVICH Veronika
Pro Tour STAG Belarus Open Minsk 2008,2008-05-22,PAVLOVICH Viktoria,CREEMERS Linda,4,2,"7,6,13,11,11,12|11,11,11,3,7,10",QF,GRAND_SLAM,WS,793,Main Draw,PAVLOVICH Viktoria (BLR),CREEMERS Linda (NED),PAVLOVICH Viktoria
Pro Tour STAG Belarus Open Minsk 2008,2008-05-22,YAN Xiaoshan,LI Qian,4,0,"11,13,11,11|5,11,2,7",SF,GRAND_SLAM,WS,793,Main Draw,YAN Xiaoshan (POL),LI Qian (POL),YAN Xiaoshan
