tournament,date,player_a,player_b,score_a,score_b,game_scores,round,tier,sub_event,event_id,stage,player_a_raw,player_b_raw
GAC Group 26th Table Tennis Asian Cup Hong Kong 2013,2013-04-12,LIU Shiwen,YU Mengyu,4,0,"11,11,11,11|8,4,7,4",,OTHER,WS,551,Qualification,LIU Shiwen (CHN),YU Mengyu (SGP)
GAC Group 26th Table Tennis Asian Cup Hong Kong 2013,2013-04-12,YANG Ha Eun,RI Myong Sun,4,1,"14,5,11,11,11|12,11,9,9,4",,OTHER,WS,551,Qualification,YANG Ha Eun (KOR),RI Myong Sun (PRK)
GAC Group 26th Table Tennis Asian Cup Hong Kong 2013,2013-04-12,LIU Shiwen,YANG Ha Eun,4,0,"12,11,13,11|10,4,11,1",,OTHER,WS,551,Qualification,LIU Shiwen (CHN),YANG Ha Eun (KOR)
GAC Group 26th Table Tennis Asian Cup Hong Kong 2013,2013-04-12,YU Mengyu,RI Myong Sun,4,0,"11,11,11,11|9,8,8,5",,OTHER,WS,551,Qualification,YU Mengyu (SGP),RI Myong Sun (PRK)
GAC Group 26th Table Tennis Asian Cup Hong Kong 2013,2013-04-12,LIU Shiwen,RI Myong Sun,4,1,"12,11,9,11,11|10,8,11,7,3",,OTHER,WS,551,Qualification,LIU Shiwen (CHN),RI Myong Sun (PRK)
GAC Group 26th Table Tennis Asian Cup Hong Kong 2013,2013-04-12,YANG Ha Eun,YU Mengyu,4,1,"13,11,9,11,11|11,8,11,3,2",,OTHER,WS,551,Qualification,YANG Ha Eun (KOR),YU Mengyu (SGP)
GAC Group 26th Table Tennis Asian Cup Hong Kong 2013,2013-04-12,FENG Tianwei,HIRANO Sayaka,4,1,"11,11,11,9,12|6,6,5,11,10",,OTHER,WS,551,Qualification,FENG Tianwei (SGP),HIRANO Sayaka (JPN)
GAC Group 26th Table Tennis Asian Cup Hong Kong 2013,2013-04-12,JIANG Huajun,HUANG Yi-Hua,4,1,"11,11,6,11,11|6,7,11,6,9",,OTHER,WS,551,Qualification,JIANG Huajun (HKG),HUANG Yi-Hua (TPE)
GAC Group 26th Table Tennis Asian Cup Hong Kong 2013,2013-04-12,FENG Tianwei,JIANG Huajun,4,0,"11,11,12,14|7,9,10,12",,OTHER,WS,551,Qualification,FENG Tianwei (SGP),JIANG Huajun (HKG)
GAC Group 26th Table Tennis Asian Cup Hong Kong 2013,2013-04-12,HIRANO Sayaka,HUANG Yi-Hua,4,1,"10,11,12,11,11|12,7,10,7,4",,OTHER,WS,551,Qualification,HIRANO Sayaka (JPN),HUANG Yi-Hua (TPE)
GAC Group 26th Table Tennis Asian Cup Hong Kong 2013,2013-04-12,FENG Tianwei,HUANG Yi-Hua,4,3,"11,5,11,6,11,11,14|7,11,13,11,1,7,12",,OTHER,WS,551,Qualification,FENG Tianwei (SGP),HUANG Yi-Hua (TPE)
GAC Group 26th Table Tennis Asian Cup Hong Kong 2013,2013-04-12,JIANG Huajun,HIRANO Sayaka,4,1,"13,13,7,11,11,11|14,11,11,8,6,5",,OTHER,WS,551,Qualification,JIANG Huajun (HKG),HIRANO Sayaka (JPN)
GAC Group 26th Table Tennis Asian Cup Hong Kong 2013,2013-04-12,SEOK Hajung,ISHIKAWA Kasumi,4,1,"12,8,11,11,11|10,11,5,6,8",,OTHER,WS,551,Qualification,SEOK Hajung (KOR),ISHIKAWA Kasumi (JPN)
