tournament,date,player_a,player_b,score_a,score_b,game_scores,round,tier,sub_event,event_id,stage,player_a_raw,player_b_raw,winner_raw
World Table Tennis Championships Paris 2013,2013-05-13,WANG Liqin/ZHOU Yu,GERELL Par/LUNDQVIST Jens,4,1,"9,11,11,11,11|11,5,8,7,2",R32,WORLD_CHAMPIONSHIPS,MD,599,Main Draw,WANG Liqin (CHN) / ZHOU Yu (CHN),GERELL Par (SWE) / LUNDQVIST Jens (SWE),WANG Liqin
World Table Tennis Championships Paris 2013,2013-05-13,CHIANG Hung-Chieh/HUANG Sheng-Sheng,KARLSSON Kristian/KARLSSON Mattias,4,1,"12,9,11,11,11|10,11,7,3,3",R16,WORLD_CHAMPIONSHIPS,MD,599,Main Draw,CHIANG Hung-Chieh (TPE) / HUANG Sheng-Sheng (TPE),KARLSSON Kristian (SWE) / KARLSSON Mattias (SWE),CHIANG Hung-Chieh
World Table Tennis Championships Paris 2013,2013-05-13,CHO Eonrae/YANG Ha Eun,POUNGSRI Max/KHETKHUAN Tamolwan,4,0,"11,12,11,11|2,10,7,7",R64,WORLD_CHAMPIONSHIPS,XD,599,Main Draw,CHO Eonrae (KOR) / YANG Ha Eun (KOR),POUNGSRI Max (THA) / KHETKHUAN Tamolwan (THA),CHO Eonrae
World Table Tennis Championships Paris 2013,2013-05-13,CHEN Szu-Yu/LIU Hsing-Yin,RAKOVAC Lea/TIAN Yuan,4,2,"11,11,7,12,10,11|8,7,11,10,12,8",R64,WORLD_CHAMPIONSHIPS,WD,599,Main Draw,CHEN Szu-Yu (TPE) / LIU Hsing-Yin (TPE),RAKOVAC Lea (CRO) / TIAN Yuan (CRO),CHEN Szu-Yu
World Table Tennis Championships Paris 2013,2013-05-13,FUKUHARA Ai/HIRANO Sayaka,CHEN Szu-Yu/LIU Hsing-Yin,4,1,"11,7,11,11,11|5,11,7,8,4",R32,WORLD_CHAMPIONSHIPS,WD,599,Main Draw,FUKUHARA Ai (JPN) / HIRANO Sayaka (JPN),CHEN Szu-Yu (TPE) / LIU Hsing-Yin (TPE),FUKUHARA Ai
World Table Tennis Championships Paris 2013,2013-05-13,LEE Sang Su/PARK Youngsook,CHEN Chien-An/HUANG Yi-Hua,4,2,"12,4,11,11,9,11|10,11,7,6,11,3",QF,WORLD_CHAMPIONSHIPS,XD,599,Main Draw,LEE Sang Su (KOR) / PARK Youngsook (KOR),CHEN Chien-An (TPE) / HUANG Yi-Hua (TPE),LEE Sang Su
World Table Tennis Championships Paris 2013,2013-05-13,MONTEIRO Thiago/TSUBOI Gustavo,LEE Chia-Sheng/WU Chih-Chi,4,2,"11,11,11,7,9,11|9,8,9,11,11,8",R64,WORLD_CHAMPIONSHIPS,MD,599,Main Draw,MONTEIRO Thiago (BRA) / TSUBOI Gustavo (BRA),LEE Chia-Sheng (TPE) / WU Chih-Chi (TPE),MONTEIRO Thiago
World Table Tennis Championships Paris 2013,2013-05-13,CHIANG Hung-Chieh/HUANG Sheng-Sheng,AKERSTROM Fabian/NORDBERG Hampus,4,0,"11,11,11,11|6,7,7,7",R64,WORLD_CHAMPIONSHIPS,MD,599,Main Draw,CHIANG Hung-Chieh (TPE) / HUANG Sheng-Sheng (TPE),AKERSTROM Fabian (SWE) / NORDBERG Hampus (SWE),CHIANG Hung-Chieh
World Table Tennis Championships Paris 2013,2013-05-13,CHIANG Hung-Chieh/HUANG Sheng-Sheng,GAO Ning/YANG Zi,4,2,"11,6,11,11,10,11|9,11,9,5,12,4",R32,WORLD_CHAMPIONSHIPS,MD,599,Main Draw,CHIANG Hung-Chieh (TPE) / HUANG Sheng-Sheng (TPE),GAO Ning (SGP) / YANG Zi (SGP),CHIANG Hung-Chieh
World Table Tennis Championships Paris 2013,2013-05-13,CHEN Chien-An/CHUANG Chih-Yuan,WANG Liqin/ZHOU Yu,4,2,"11,11,9,9,11,11|6,6,11,11,5,8",SF,WORLD_CHAMPIONSHIPS,MD,599,Main Draw,CHEN Chien-An (TPE) / CHUANG Chih-Yuan (TPE),WANG Liqin (CHN) / ZHOU Yu (CHN),CHEN Chien-An
World Table Tennis Championships Paris 2013,2013-05-13,MATTENET Adrien/ABBAT Alice,ST LOUIS Dexter/CHUNG Rheann,4,0,"14,11,13,12|12,9,11,10",R128,WORLD_CHAMPIONSHIPS,XD,599,Main Draw,MATTENET Adrien (FRA) / ABBAT Alice (FRA),ST LOUIS Dexter (TTO) / CHUNG Rheann (TTO),MATTENET Adrien
World Table Tennis Championships Paris 2013,2013-05-13,VANG Bora/HU Melek,FIGEL Jakub/JURKOVA Eva,4,0,"12,11,11,11|10,3,4,3",R128,WORLD_CHAMPIONSHIPS,XD,599,Main Draw,VANG Bora (TUR) / HU Melek (TUR),FIGEL Jakub (SVK) / JURKOVA Eva (SVK),VANG Bora
World Table Tennis Championships Paris 2013,2013-05-13,QIU Yike/WEN Jia,MENGE Gencay/KARAHAN Ipek,4,0,"11,11,11,11|6,3,8,6",R128,WORLD_CHAMPIONSHIPS,XD,599,Main Draw,QIU Yike (CHN) / WEN Jia (CHN),MENGE Gencay (TUR) / KARAHAN Ipek (TUR),QIU Yike
World Table Tennis Championships Paris 2013,2013-05-13,VANG Bora/HU Melek,JAKAB Janos/PERGEL Szandra,4,2,"11,12,11,11,8,12|9,14,4,7,11,10",R64,WORLD_CHAMPIONSHIPS,XD,599,Main Draw,VANG Bora (TUR) / HU Melek (TUR),JAKAB Janos (HUN) / PERGEL Szandra (HUN),VANG Bora
World Table Tennis Championships Paris 2013,2013-05-13,VANG Bora/HU Melek,KISHIKAWA Seiya/FUKUHARA Ai,4,1,"11,6,11,11,11|9,11,8,7,8",R32,WORLD_CHAMPIONSHIPS,XD,599,Main Draw,VANG Bora (TUR) / HU Melek (TUR),KISHIKAWA Seiya (JPN) / FUKUHARA Ai (JPN),VANG Bora
World Table Tennis Championships Paris 2013,2013-05-13,HE Zhiwen/MACHADO Carlos,HASSAN Rashed/OMAR Rashid,4,2,"8,11,7,11,11,11|11,9,11,2,4,4",R64,WORLD_CHAMPIONSHIPS,MD,599,Main Draw,HE Zhiwen (ESP) / MACHADO Carlos (ESP),HASSAN Rashed (UAE) / OMAR Rashid (UAE),HE Zhiwen
World Table Tennis Championships Paris 2013,2013-05-13,BILENKO Tetyana/HAPONOVA Hanna,KHETKHUAN Tamolwan/MUANGSUK Anisara,4,2,"11,11,11,8,6,11|5,9,4,11,11,9",R64,WORLD_CHAMPIONSHIPS,WD,599,Main Draw,BILENKO Tetyana (UKR) / HAPONOVA Hanna (UKR),KHETKHUAN Tamolwan (THA) / MUANGSUK Anisara (THA),BILENKO Tetyana
World Table Tennis Championships Paris 2013,2013-05-13,FENG Tianwei/YU Mengyu,BILENKO Tetyana/HAPONOVA Hanna,4,3,"5,10,11,7,11,11,11|11,12,8,11,2,4,4",R32,WORLD_CHAMPIONSHIPS,WD,599,Main Draw,FENG Tianwei (SGP) / YU Mengyu (SGP),BILENKO Tetyana (UKR) / HAPONOVA Hanna (UKR),FENG Tianwei
World Table Tennis Championships Paris 2013,2013-05-13,PRYSHCHEPA Ievgen/PESOTSKA Margaryta,SAKA Suraju/HAN Xing,4,0,,R128,WORLD_CHAMPIONSHIPS,XD,599,Main Draw,PRYSHCHEPA Ievgen (UKR) / PESOTSKA Margaryta (UKR),SAKA Suraju (CGO) / HAN Xing (CGO),PRYSHCHEPA Ievgen
World Table Tennis Championships Paris 2013,2013-05-13,JANCARIK Lubomir/VACENOVSKA Iveta,PRYSHCHEPA Ievgen/PESOTSKA Margaryta,4,2,"11,11,8,7,11,11|6,9,11,11,8,5",R64,WORLD_CHAMPIONSHIPS,XD,599,Main Draw,JANCARIK Lubomir (CZE) / VACENOVSKA Iveta (CZE),PRYSHCHEPA Ievgen (UKR) / PESOTSKA Margaryta (UKR),JANCARIK Lubomir
World Table Tennis Championships Paris 2013,2013-05-13,JEOUNG Youngsik/LEE Sang Su,KOU Lei/ZHMUDENKO Yaroslav,4,0,"11,11,11,11|3,7,9,6",R64,WORLD_CHAMPIONSHIPS,MD,599,Main Draw,JEOUNG Youngsik (KOR) / LEE Sang Su (KOR),KOU Lei (UKR) / ZHMUDENKO Yaroslav (UKR),JEOUNG Youngsik
World Table Tennis Championships Paris 2013,2013-05-13,ACHANTA Sharath/KUMARESAN Shamini,ZHANG Yahao/WU Erica,4,3,"7,13,7,11,9,11,11|11,11,11,4,11,2,7",R128,WORLD_CHAMPIONSHIPS,XD,599,Main Draw,ACHANTA Sharath (IND) / KUMARESAN Shamini (IND),ZHANG Yahao (USA) / WU Erica (USA),ACHANTA Sharath
World Table Tennis Championships Paris 2013,2013-05-13,FILIMON Andrei/SAMARA Elizabeta,NGUYEN Khoa/HSING Ariel,4,1,"11,11,11,9,11|5,6,8,11,6",R128,WORLD_CHAMPIONSHIPS,XD,599,Main Draw,FILIMON Andrei (ROU) / SAMARA Elizabeta (ROU),NGUYEN Khoa (USA) / HSING Ariel (USA),FILIMON Andrei
World Table Tennis Championships Paris 2013,2013-05-13,DIDUKH Oleksandr/BILENKO Tetyana,WANG Timothy/ZHANG Lily,4,2,"11,11,4,8,11,11|6,8,11,11,6,7",R128,WORLD_CHAMPIONSHIPS,XD,599,Main Draw,DIDUKH Oleksandr (UKR) / BILENKO Tetyana (UKR),WANG Timothy (USA) / ZHANG Lily (USA),DIDUKH Oleksandr
World Table Tennis Championships Paris 2013,2013-05-13,GUAN Mengyuan/NG Wing Nam,CAREY Charlotte/OWEN Naomi,4,3,"11,11,11,5,13,9,11|8,8,4,11,15,11,8",R64,WORLD_CHAMPIONSHIPS,WD,599,Main Draw,GUAN Mengyuan (HKG) / NG Wing Nam (HKG),CAREY Charlotte (WAL) / OWEN Naomi (WAL),GUAN Mengyuan
