tournament,date,player_a,player_b,score_a,score_b,game_scores,round,tier,sub_event,event_id,stage,player_a_raw,player_b_raw,winner_raw
World Table Tennis Championships Paris 2013,2013-05-13,CHO Eonrae/YANG Ha Eun,PAK Sin Hyok/RI Mi Gyong,4,3,"6,7,11,11,11,6,11|11,11,4,6,4,11,5",R32,WORLD_CHAMPIONSHIPS,XD,599,Main Draw,CHO Eonrae (KOR) / YANG Ha Eun (KOR),PAK Sin Hyok (PRK) / RI Mi Gyong (PRK),CHO Eonrae
World Table Tennis Championships Paris 2013,2013-05-13,KIM Hyok Bong/KIM Jong,CHEUNG Yuk/JIANG Huajun,4,3,"11,9,12,14,11,11,11|13,11,14,12,8,4,7",SF,WORLD_CHAMPIONSHIPS,XD,599,Main Draw,KIM Hyok Bong (PRK) / KIM Jong (PRK),CHEUNG Yuk (HKG) / JIANG Huajun (HKG),KIM Hyok Bong
World Table Tennis Championships Paris 2013,2013-05-13,JIANG Tianyi/LEUNG Chu Yan,KIM Hyok Bong/PAK Sin Hyok,4,0,"11,11,11,13|6,5,9,11",R32,WORLD_CHAMPIONSHIPS,MD,599,Main Draw,JIANG Tianyi (HKG) / LEUNG Chu Yan (HKG),KIM Hyok Bong (PRK) / PAK Sin Hyok (PRK),JIANG Tianyi
World Table Tennis Championships Paris 2013,2013-05-13,IACOB Camelia/SZOCS Bernadette,ERDELJI Anamaria/KNEZEVIC Monika,4,1,"7,11,11,11,11|11,8,4,9,4",R64,WORLD_CHAMPIONSHIPS,WD,599,Main Draw,IACOB Camelia (ROU) / SZOCS Bernadette (ROU),ERDELJI Anamaria (SRB) / KNEZEVIC Monika (SRB),IACOB Camelia
World Table Tennis Championships Paris 2013,2013-05-13,DODEAN Daniela/SAMARA Elizabeta,BEH Lee Wei/NG Sock Khim,4,0,"11,11,11,11|7,3,4,9",R64,WORLD_CHAMPIONSHIPS,WD,599,Main Draw,DODEAN Daniela (ROU) / SAMARA Elizabeta (ROU),BEH Lee Wei (MAS) / NG Sock Khim (MAS),DODEAN Daniela
World Table Tennis Championships Paris 2013,2013-05-13,PARK Youngsook/YANG Ha Eun,IACOB Camelia/SZOCS Bernadette,4,3,"11,12,7,11,9,11,11|9,10,11,9,11,13,5",R32,WORLD_CHAMPIONSHIPS,WD,599,Main Draw,PARK Youngsook (KOR) / YANG Ha Eun (KOR),IACOB Camelia (ROU) / SZOCS Bernadette (ROU),PARK Youngsook
World Table Tennis Championships Paris 2013,2013-05-13,GUAN Mengyuan/NG Wing Nam,DODEAN Daniela/SAMARA Elizabeta,4,3,"11,14,11,8,6,8,11|7,12,8,11,11,11,6",R32,WORLD_CHAMPIONSHIPS,WD,599,Main Draw,GUAN Mengyuan (HKG) / NG Wing Nam (HKG),DODEAN Daniela (ROU) / SAMARA Elizabeta (ROU),GUAN Mengyuan
World Table Tennis Championships Paris 2013,2013-05-13,SHIBAEV Alexander/SKACHKOV Kirill,IONESCU Ovidiu/SZOCS Hunor,4,1,"16,11,7,11,11|14,4,11,2,8",R64,WORLD_CHAMPIONSHIPS,MD,599,Main Draw,SHIBAEV Alexander (RUS) / SKACHKOV Kirill (RUS),IONESCU Ovidiu (ROU) / SZOCS Hunor (ROU),SHIBAEV Alexander
World Table Tennis Championships Paris 2013,2013-05-13,CRISAN Adrian/FILIMON Andrei,CHO Eonrae/KIM Kyungmin,4,2,"13,10,11,4,11,11|11,12,5,11,9,7",R64,WORLD_CHAMPIONSHIPS,MD,599,Main Draw,CRISAN Adrian (ROU) / FILIMON Andrei (ROU),CHO Eonrae (KOR) / KIM Kyungmin (KOR),CRISAN Adrian
World Table Tennis Championships Paris 2013,2013-05-13,KISHIKAWA Seiya/MIZUTANI Jun,CRISAN Adrian/FILIMON Andrei,4,0,"11,11,11,11|9,5,4,3",R32,WORLD_CHAMPIONSHIPS,MD,599,Main Draw,KISHIKAWA Seiya (JPN) / MIZUTANI Jun (JPN),CRISAN Adrian (ROU) / FILIMON Andrei (ROU),KISHIKAWA Seiya
World Table Tennis Championships Paris 2013,2013-05-13,LANG Kristin/WU Jiaduo,VOROBEVA Olga/NOSKOVA Yana,4,0,"11,11,11,11|5,7,4,7",R64,WORLD_CHAMPIONSHIPS,WD,599,Main Draw,LANG Kristin (GER) / WU Jiaduo (GER),VOROBEVA Olga (RUS) / NOSKOVA Yana (RUS),LANG Kristin
World Table Tennis Championships Paris 2013,2013-05-13,ARLOUSKAYA Alina/PAVLOVICH Viktoria,SAVELYEVA Antonina/KUZMINA Elena,4,1,"11,11,6,11,11|7,8,11,9,7",R64,WORLD_CHAMPIONSHIPS,WD,599,Main Draw,ARLOUSKAYA Alina (BLR) / PAVLOVICH Viktoria (BLR),SAVELYEVA Antonina (RUS) / KUZMINA Elena (RUS),ARLOUSKAYA Alina
World Table Tennis Championships Paris 2013,2013-05-13,DOLGIKH Maria/MIKHAILOVA Polina,HSING Ariel/ZHANG Lily,4,0,"11,11,11,11|7,3,3,3",R64,WORLD_CHAMPIONSHIPS,WD,599,Main Draw,DOLGIKH Maria (RUS) / MIKHAILOVA Polina (RUS),HSING Ariel (USA) / ZHANG Lily (USA),DOLGIKH Maria
World Table Tennis Championships Paris 2013,2013-05-13,LIVENTSOV Alexey/SAVELYEVA Antonina,JENKINS Ryan/OWEN Naomi,4,0,,R128,WORLD_CHAMPIONSHIPS,XD,599,Main Draw,LIVENTSOV Alexey (RUS) / SAVELYEVA Antonina (RUS),JENKINS Ryan (WAL) / OWEN Naomi (WAL),LIVENTSOV Alexey
