tournament,date,player_a,player_b,score_a,score_b,game_scores,round,tier,sub_event,event_id,stage,player_a_raw,player_b_raw
ITTF Asian Championships Wuxi 2017,2017-04-09,PATKAR Madhurika,NYYAZGYLYJOVA Oguljennet,3,0,"11,11,11|6,2,5",R128,OTHER,WS,515,Main Draw,NYYAZGYLYJOVA Oguljennet (TKM),PATKAR Madhurika (IND)
ITTF Asian Championships Wuxi 2017,2017-04-09,MADALIEVA Sugdiyona,ANSARI Aisha,3,0,"11,11,11|5,8,5",R128,OTHER,WS,515,Main Draw,MADALIEVA Sugdiyona (UZB),ANSARI Aisha (PAK)
ITTF Asian Championships Wuxi 2017,2017-04-09,NG Sock Khim,GIANG Phan Hoang Tuong,3,1,"11,11,11,11|13,7,4,6",R128,OTHER,WS,515,Main Draw,GIANG Phan Hoang Tuong (VIE),NG Sock Khim (MAS)
ITTF Asian Championships Wuxi 2017,2017-04-09,RI Hyon Sim,CHONG Weng I,3,0,"11,11,11|4,8,6",R128,OTHER,WS,515,Main Draw,RI Hyon Sim (PRK),CHONG Weng I (MAC)
ITTF Asian Championships Wuxi 2017,2017-04-09,SAMET Maryam,AIAZBEKOVA Zhyldyz,3,0,"11,11,11|3,3,9",R128,OTHER,WS,515,Main Draw,AIAZBEKOVA Zhyldyz (KGZ),SAMET Maryam (IRI)
ITTF Asian Championships Wuxi 2017,2017-04-09,SAWETTABUT Jinnipa,MADURANGI Ishara,3,0,"11,11,11|8,8,9",R128,OTHER,WS,515,Main Draw,SAWETTABUT Jinnipa (THA),MADURANGI Ishara (SRI)
ITTF Asian Championships Wuxi 2017,2017-04-09,AL-WEDIAN Bara,NIMAL Fathimath,3,1,"1,11,11,11|11,6,6,7",R128,OTHER,WS,515,Main Draw,NIMAL Fathimath (MDV),AL-WEDIAN Bara (JOR)
ITTF Asian Championships Wuxi 2017,2017-04-09,LEE Zion,AULIA Reza Amanda,3,0,"11,11,11|1,5,4",R128,OTHER,WS,515,Main Draw,AULIA Reza Amanda (INA),LEE Zion (KOR)
ITTF Asian Championships Wuxi 2017,2017-04-09,DAS Mouma,SAHAKIAN Mariana,3,0,"11,12,11|8,10,6",R128,OTHER,WS,515,Main Draw,DAS Mouma (IND),SAHAKIAN Mariana (LBN)
ITTF Asian Championships Wuxi 2017,2017-04-09,AL ABRI Noora,AKTER Rahima,3,0,"11,12,11|8,10,6",R128,OTHER,WS,515,Main Draw,AKTER Rahima (BAN),AL ABRI Noora (QAT)
ITTF Asian Championships Wuxi 2017,2017-04-09,ZHANG Wanling,MUNKHBAT Undram,3,1,"11,11,11,11|13,3,9,7",R128,OTHER,WS,515,Main Draw,ZHANG Wanling (SGP),MUNKHBAT Undram (MGL)
ITTF Asian Championships Wuxi 2017,2017-04-09,HO Ying,PLOTKO Mariya,3,0,"12,11,11|10,4,4",R128,OTHER,WS,515,Main Draw,HO Ying (MAS),PLOTKO Mariya (TKM)
ITTF Asian Championships Wuxi 2017,2017-04-09,NAZIM Aishath,ALAM Moumita,3,1,"10,11,11,11|12,8,3,7",R128,OTHER,WS,515,Main Draw,NAZIM Aishath (MDV),ALAM Moumita (BAN)
ITTF Asian Championships Wuxi 2017,2017-04-09,SOO Wai Yam,SAFARI Saba,3,0,"11,11,11|3,4,6",R128,OTHER,WS,515,Main Draw,SAFARI Saba (IRI),SOO Wai Yam (HKG)
ITTF Asian Championships Wuxi 2017,2017-04-09,RI Mi Gyong,MODUBASHOVA Elina,3,0,"11,11,11|1,3,2",R128,OTHER,WS,515,Main Draw,RI Mi Gyong (PRK),MODUBASHOVA Elina (KGZ)
ITTF Asian Championships Wuxi 2017,2017-04-09,LEE Nakyung,GATS Yuliya,3,0,"11,11,11|4,4,9",R128,OTHER,WS,515,Main Draw,LEE Nakyung (KOR),GATS Yuliya (KAZ)
ITTF Asian Championships Wuxi 2017,2017-04-09,OKTARIYANI Novita,WARUSAWITHANA Erandi,3,1,"11,11,9,11|9,8,11,9",R128,OTHER,WS,515,Main Draw,OKTARIYANI Novita (INA),WARUSAWITHANA Erandi (SRI)
ITTF Asian Championships Wuxi 2017,2017-04-09,NGUYEN Thi Viet Linh,TAO Chong,3,0,"11,11,11|6,9,9",R128,OTHER,WS,515,Main Draw,TAO Chong (MAC),NGUYEN Thi Viet Linh (VIE)
ITTF Asian Championships Wuxi 2017,2017-04-09,MUKHERJEE Sutirtha,YASIN Sanam,3,0,"11,11,11|7,8,7",R128,OTHER,WS,515,Main Draw,YASIN Sanam (PAK),MUKHERJEE Sutirtha (IND)
ITTF Asian Championships Wuxi 2017,2017-04-09,LIU Hsing-Yin,KIM Olga,3,0,"11,11,11|5,2,1",R128,OTHER,WS,515,Main Draw,KIM Olga (UZB),LIU Hsing-Yin (TPE)
ITTF Asian Championships Wuxi 2017,2017-04-09,KHETKHUAN Tamolwan,MOHAMED Aia,3,0,"11,11,11|3,3,4",R128,OTHER,WS,515,Main Draw,KHETKHUAN Tamolwan (THA),MOHAMED Aia (QAT)
ITTF Asian Championships Wuxi 2017,2017-04-09,WONG Xin Ru,ABO-YAMAN Taimmaa,3,0,"11,11,11|5,9,7",R128,OTHER,WS,515,Main Draw,WONG Xin Ru (SGP),ABO-YAMAN Taimmaa (JOR)
ITTF Asian Championships Wuxi 2017,2017-04-09,BATBAYAR Doljinzuu,DWIJAYANTI Gustin,3,2,"7,11,4,11,11|11,7,11,9,8",R128,OTHER,WS,515,Main Draw,BATBAYAR Doljinzuu (MGL),DWIJAYANTI Gustin (INA)
ITTF Asian Championships Wuxi 2017,2017-04-09,MALSEVA Vilena,FARAMARZI Maha,3,0,"11,11,11|4,4,7",R128,OTHER,WS,515,Main Draw,FARAMARZI Maha (QAT),MALSEVA Vilena (TKM)
ITTF Asian Championships Wuxi 2017,2017-04-09,NGUYEN Thi Nga,CHANG Li Sian,3,1,"11,9,11,11|7,11,4,4",R128,OTHER,WS,515,Main Draw,CHANG Li Sian (MAS),NGUYEN Thi Nga (VIE)
ITTF Asian Championships Wuxi 2017,2017-04-09,CHEN Szu-Yu,CHEONG Cheng I,3,1,"11,9,11,11|5,11,3,6",R128,OTHER,WS,515,Main Draw,CHEONG Cheng I (MAC),CHEN Szu-Yu (TPE)
ITTF Asian Championships Wuxi 2017,2017-04-09,KOMWONG Nanthana,BATMUNKH Bolor-Erdene,3,0,"11,12,11|2,10,5",R128,OTHER,WS,515,Main Draw,KOMWONG Nanthana (THA),BATMUNKH Bolor-Erdene (MGL)
ITTF Asian Championships Wuxi 2017,2017-04-09,HAWWA Kharisma Nur,FARYAL Sobia,3,0,"11,11,11|8,2,7",R128,OTHER,WS,515,Main Draw,FARYAL Sobia (PAK),HAWWA Kharisma Nur (INA)
ITTF Asian Championships Wuxi 2017,2017-04-09,SAHASRABUDHE Pooja,GUFRANOVA Rimma,3,1,"11,13,7,11|7,11,11,6",R128,OTHER,WS,515,Main Draw,GUFRANOVA Rimma (UZB),SAHASRABUDHE Pooja (IND)
ITTF Asian Championships Wuxi 2017,2017-04-09,KIM Kyungah,OMURALIEVA Altynai,3,0,"11,11,11|2,2,2",R128,OTHER,WS,515,Main Draw,OMURALIEVA Altynai (KGZ),KIM Kyungah (KOR)
ITTF Asian Championships Wuxi 2017,2017-04-09,LIM Eunice,SLADKOVA Nataliya,3,0,"11,11,11|6,8,8",R128,OTHER,WS,515,Main Draw,SLADKOVA Nataliya (KAZ),LIM Eunice (SGP)
ITTF Asian Championships Wuxi 2017,2017-04-09,LIU Yu-Hsin,RASHEED Aishath Fadhuwa,3,0,"11,11,11|3,2,8",R128,OTHER,WS,515,Main Draw,LIU Yu-Hsin (TPE),RASHEED Aishath Fadhuwa (MDV)
ITTF Asian Championships Wuxi 2017,2017-04-09,SHAHSAVARI Neda,KECHICHIAN Noel,3,0,"11,11,11|5,4,3",R128,OTHER,WS,515,Main Draw,SHAHSAVARI Neda (IRI),KECHICHIAN Noel (LBN)
ITTF Asian Championships Wuxi 2017,2017-04-09,CHA Hyo Sim,RAJAGURU Bandara,3,0,"11,11,11|5,1,1",R128,OTHER,WS,515,Main Draw,CHA Hyo Sim (PRK),RAJAGURU Bandara (SRI)
ITTF Asian Championships Wuxi 2017,2017-04-09,CHOE Hyon Hwa (1992),SHAREEF Aminath,3,0,"11,11,11|2,1,6",R128,OTHER,WS,515,Main Draw,SHAREEF Aminath (MDV),CHOE Hyon Hwa (1992) (PRK)
ITTF Asian Championships Wuxi 2017,2017-04-09,ASHTARI Mahshid,MOU Sadia,3,0,"11,11,11|3,4,4",R128,OTHER,WS,515,Main Draw,ASHTARI Mahshid (IRI),MOU Sadia (BAN)
ITTF Asian Championships Wuxi 2017,2017-04-09,NG Wing Nam,LEE Rou You,3,1,"11,10,11,11|7,12,6,7",R128,OTHER,WS,515,Main Draw,LEE Rou You (MAS),NG Wing Nam (HKG)
ITTF Asian Championships Wuxi 2017,2017-04-09,CHENG Hsien-Tzu,AIAZBEKOVA Nurkyz,3,0,"11,11,11|2,1,2",R128,OTHER,WS,515,Main Draw,CHENG Hsien-Tzu (TPE),AIAZBEKOVA Nurkyz (KGZ)
ITTF Asian Championships Wuxi 2017,2017-04-09,MAI Trang,AKASHEVA Zauresh,3,1,"11,11,8,11|6,8,11,8",R128,OTHER,WS,515,Main Draw,MAI Trang (VIE),AKASHEVA Zauresh (KAZ)
ITTF Asian Championships Wuxi 2017,2017-04-09,TAN En Hui,HUSSAIN Kholoud,3,0,"14,11,11|12,8,8",R128,OTHER,WS,515,Main Draw,TAN En Hui (SGP),HUSSAIN Kholoud (QAT)
ITTF Asian Championships Wuxi 2017,2017-04-09,BALLYYEVA Enejan,BAYARSAIKHAN Urantogos,3,2,"8,11,11,7,11|11,9,8,11,6",R128,OTHER,WS,515,Main Draw,BALLYYEVA Enejan (TKM),BAYARSAIKHAN Urantogos (MGL)
ITTF Asian Championships Wuxi 2017,2017-04-09,PARANANG Orawan,KAPUGEEKIYANA Hansani,3,0,"11,11,11|5,5,6",R128,OTHER,WS,515,Main Draw,KAPUGEEKIYANA Hansani (SRI),PARANANG Orawan (THA)
ITTF Asian Championships Wuxi 2017,2017-04-09,BATRA Manika,WANG Lu,3,1,"11,11,6,11|4,7,11,3",R128,OTHER,WS,515,Main Draw,BATRA Manika (IND),WANG Lu (MAC)
ITTF Asian Championships Wuxi 2017,2017-04-09,JAMALIFAR Fatemeh,ABUYAMAN Sewar,3,0,"11,11,11|8,7,5",R128,OTHER,WS,515,Main Draw,ABUYAMAN Sewar (JOR),JAMALIFAR Fatemeh (IRI)
ITTF Asian Championships Wuxi 2017,2017-04-09,INDRIANI Lilis,KHALIKOVA Kamila,3,0,"11,13,11|8,11,8",R128,OTHER,WS,515,Main Draw,INDRIANI Lilis (INA),KHALIKOVA Kamila (UZB)
ITTF Asian Championships Wuxi 2017,2017-04-09,DING Ning,PATKAR Madhurika,3,0,"11,11,11|9,3,4",R64,OTHER,WS,515,Main Draw,DING Ning (CHN),PATKAR Madhurika (IND)
ITTF Asian Championships Wuxi 2017,2017-04-09,NG Sock Khim,MADALIEVA Sugdiyona,3,0,"11,11,11|5,3,1",R64,OTHER,WS,515,Main Draw,MADALIEVA Sugdiyona (UZB),NG Sock Khim (MAS)
ITTF Asian Championships Wuxi 2017,2017-04-09,SAWETTABUT Suthasini,RI Hyon Sim,3,2,"7,11,12,11,11|11,9,14,7,9",R64,OTHER,WS,515,Main Draw,SAWETTABUT Suthasini (THA),RI Hyon Sim (PRK)
