tournament,date,player_a,player_b,score_a,score_b,game_scores,round,tier,sub_event,event_id,stage,player_a_raw,player_b_raw
Volkswagen China Open Kunshan 2006,2006-06-15,SVENSSON Robert,KANG Donghoon,4,0,"11,11,11,11|9,3,8,7",3,GRAND_SLAM,MS,1786,Qualification,SVENSSON Robert (SWE),KANG Donghoon (KOR)
Volkswagen China Open Kunshan 2006,2006-06-15,DRINKHALL Paul,LEE Chic Hsuan,4,1,"11,11,11,8,11|1,8,4,11,1",,GRAND_SLAM,MS,1786,Qualification,DRINKHALL Paul (ENG),LEE Chic Hsuan (TPE)
Volkswagen China Open Kunshan 2006,2006-06-15,LEE Jinkwon,LEE Chic Hsuan,4,0,"11,11,11,11|9,6,4,6",QR2,GRAND_SLAM,MS,1786,Qualification,LEE Jinkwon (KOR),LEE Chic Hsuan (TPE)
Volkswagen China Open Kunshan 2006,2006-06-15,DRINKHALL Paul,LEE Jinkwon,4,2,"11,7,11,10,11,11|4,11,5,12,7,9",3,GRAND_SLAM,MS,1786,Qualification,DRINKHALL Paul (ENG),LEE Jinkwon (KOR)
Volkswagen China Open Kunshan 2006,2006-06-15,ABE Kazuhiro,SKACHKOV Kirill,4,3,"11,5,9,11,11,8,12|7,11,11,5,7,11,10",,GRAND_SLAM,MS,1786,Qualification,ABE Kazuhiro (JPN),SKACHKOV Kirill (RUS)
Volkswagen China Open Kunshan 2006,2006-06-15,OVTCHAROV Dimitrij,ABE Kazuhiro,4,0,"13,11,11,12|11,6,6,10",QR2,GRAND_SLAM,MS,1786,Qualification,OVTCHAROV Dimitrij (GER),ABE Kazuhiro (JPN)
Volkswagen China Open Kunshan 2006,2006-06-15,TOKIYOSHI Yuichi,WANG Yi-Tse,4,1,"11,11,6,11,12|3,3,11,8,10",,GRAND_SLAM,MS,1786,Qualification,TOKIYOSHI Yuichi (JPN),WANG Yi-Tse (TPE)
Volkswagen China Open Kunshan 2006,2006-06-15,LIVENTSOV Alexey,WANG Yi-Tse,4,0,"16,12,11,11|14,10,7,6",QR2,GRAND_SLAM,MS,1786,Qualification,LIVENTSOV Alexey (RUS),WANG Yi-Tse (TPE)
Volkswagen China Open Kunshan 2006,2006-06-15,TOKIYOSHI Yuichi,LIVENTSOV Alexey,4,2,"12,7,11,11,11,11|14,11,5,4,9,7",3,GRAND_SLAM,MS,1786,Qualification,TOKIYOSHI Yuichi (JPN),LIVENTSOV Alexey (RUS)
Volkswagen China Open Kunshan 2006,2006-06-15,HU Bin,TAKAKIWA Taku,4,3,"6,11,1,11,11,6,11|11,7,11,8,8,11,6",,GRAND_SLAM,MS,1786,Qualification,HU Bin (CGO),TAKAKIWA Taku (JPN)
Volkswagen China Open Kunshan 2006,2006-06-15,LEE Jungsam,KVIST Andreas,4,0,"11,11,11,11|8,7,7,8",QR2,GRAND_SLAM,MS,1786,Qualification,LEE Jungsam (KOR),KVIST Andreas (SWE)
Volkswagen China Open Kunshan 2006,2006-06-15,HU Bin,LEE Jungsam,4,3,"16,9,6,11,4,11,11|14,11,11,7,11,6,6",3,GRAND_SLAM,MS,1786,Qualification,HU Bin (CGO),LEE Jungsam (KOR)
Volkswagen China Open Kunshan 2006,2006-06-15,TAKAKIWA Taku,KVIST Andreas,4,0,"11,11,11,11|5,6,2,8",QR4,GRAND_SLAM,MS,1786,Qualification,TAKAKIWA Taku (JPN),KVIST Andreas (SWE)
Volkswagen China Open Kunshan 2006,2006-06-15,TAKAKIWA Taku,LEE Jungsam,4,3,"10,11,7,11,11,8,11|12,9,11,8,4,11,8",5,GRAND_SLAM,MS,1786,Qualification,TAKAKIWA Taku (JPN),LEE Jungsam (KOR)
