tournament,date,player_a,player_b,score_a,score_b,game_scores,round,tier,sub_event,event_id,stage,player_a_raw,player_b_raw,winner_raw
ITTF Latin American Cup Rio de Janeiro 2011,2011-03-17,TSUBOI Gustavo,HOYAMA Hugo,4,0,"11,11,11,11|3,7,5,5",QF,OTHER,MS,740,Main Draw,TSUBOI Gustavo (BRA),HOYAMA Hugo (BRA),TSUBOI Gustavo
ITTF Latin American Cup Rio de Janeiro 2011,2011-03-17,AGUIRRE Marcelo,MANCINI Eric,4,2,"5,9,11,12,11,11|11,11,6,10,9,6",QF,OTHER,MS,740,Main Draw,AGUIRRE Marcelo (PAR),MANCINI Eric (BRA),AGUIRRE Marcelo
ITTF Latin American Cup Rio de Janeiro 2011,2011-03-17,MATSUMOTO Cazuo,ALTO Gaston,4,1,"8,11,12,11,11|11,5,10,8,5",QF,OTHER,MS,740,Main Draw,MATSUMOTO Cazuo (BRA),ALTO Gaston (ARG),MATSUMOTO Cazuo
ITTF Latin American Cup Rio de Janeiro 2011,2011-03-17,TSUBOI Gustavo,LIU Song,4,3,"11,11,11,4,5,11,11|4,9,9,11,11,13,8",SF,OTHER,MS,740,Main Draw,TSUBOI Gustavo (BRA),LIU Song (ARG),TSUBOI Gustavo
ITTF Latin American Cup Rio de Janeiro 2011,2011-03-17,AGUIRRE Marcelo,MATSUMOTO Cazuo,4,1,"11,11,4,11,11|8,4,11,9,8",SF,OTHER,MS,740,Main Draw,AGUIRRE Marcelo (PAR),MATSUMOTO Cazuo (BRA),AGUIRRE Marcelo
ITTF Latin American Cup Rio de Janeiro 2011,2011-03-17,TSUBOI Gustavo,AGUIRRE Marcelo,4,0,"11,11,11,11|5,7,5,6",F,OTHER,MS,740,Main Draw,TSUBOI Gustavo (BRA),AGUIRRE Marcelo (PAR),TSUBOI Gustavo
ITTF Latin American Cup Rio de Janeiro 2011,2011-03-17,WU Xue,CORDERO Carelyn,4,1,"11,9,11,11,11|8,11,4,2,7",,OTHER,WS,740,Qualification,WU Xue (DOM),CORDERO Carelyn (PUR),WU Xue
ITTF Latin American Cup Rio de Janeiro 2011,2011-03-17,WU Xue,YAMADA Jessica,4,0,"11,12,11,11|5,10,7,7",,OTHER,WS,740,Qualification,WU Xue (DOM),YAMADA Jessica (BRA),WU Xue
ITTF Latin American Cup Rio de Janeiro 2011,2011-03-17,YAMADA Jessica,CORDERO Carelyn,4,0,"11,11,11,11|7,4,3,4",,OTHER,WS,740,Qualification,YAMADA Jessica (BRA),CORDERO Carelyn (PUR),YAMADA Jessica
ITTF Latin American Cup Rio de Janeiro 2011,2011-03-17,SILVA Ligia,DIAS Priscila,4,0,"11,11,11,11|9,7,4,7",,OTHER,WS,740,Qualification,SILVA Ligia (BRA),DIAS Priscila (BRA),SILVA Ligia
