tournament,date,player_a,player_b,score_a,score_b,game_scores,round,tier,sub_event,event_id,stage,player_a_raw,player_b_raw,winner_raw
ITTF Africa Olympic Qualification Tournament Khartum 2016,2016-02-16,TIRSELT Mounaim,ABREFA Derek,3,2,"11,7,11,9,11|5,11,8,11,7",,OLYMPICS,MS,158,Qualification,ABREFA Derek (GHA),TIRSELT Mounaim (MAR),TIRSELT Mounaim
ITTF Africa Olympic Qualification Tournament Khartum 2016,2016-02-16,ABUSHUWASHI Adir,ABDELRAHMAN Farah,3,0,"11,11,11|7,8,9",,OLYMPICS,MS,158,Qualification,ABUSHUWASHI Adir (LBA),ABDELRAHMAN Farah (SUD),ABUSHUWASHI Adir
ITTF Africa Olympic Qualification Tournament Khartum 2016,2016-02-16,LARTEY Felix,ALASSANI Soudes,3,0,"11,11,11|7,7,8",,OLYMPICS,MS,158,Qualification,LARTEY Felix (GHA),ALASSANI Soudes (TOG),LARTEY Felix
ITTF Africa Olympic Qualification Tournament Khartum 2016,2016-02-16,NATIVEL Jonathan,BEN YAHIA Kerem,3,2,"11,11,13,14,11|13,9,11,16,8",,OLYMPICS,MS,158,Qualification,NATIVEL Jonathan (MAD),BEN YAHIA Kerem (TUN),NATIVEL Jonathan
ITTF Africa Olympic Qualification Tournament Khartum 2016,2016-02-16,NATIVEL Jonathan,LARTEY Felix,3,1,"11,11,15,11|7,13,13,7",,OLYMPICS,MS,158,Qualification,LARTEY Felix (GHA),NATIVEL Jonathan (MAD),NATIVEL Jonathan
ITTF Africa Olympic Qualification Tournament Khartum 2016,2016-02-16,BEN YAHIA Kerem,ALASSANI Soudes,3,1,"11,11,6,11|7,3,11,3",,OLYMPICS,MS,158,Qualification,ALASSANI Soudes (TOG),BEN YAHIA Kerem (TUN),BEN YAHIA Kerem
ITTF Africa Olympic Qualification Tournament Khartum 2016,2016-02-16,BEN YAHIA Kerem,LARTEY Felix,3,0,"11,11,11|4,7,8",,OLYMPICS,MS,158,Qualification,LARTEY Felix (GHA),BEN YAHIA Kerem (TUN),BEN YAHIA Kerem
ITTF Africa Olympic Qualification Tournament Khartum 2016,2016-02-16,NATIVEL Jonathan,ALASSANI Soudes,3,1,"11,11,11,11|13,5,8,8",,OLYMPICS,MS,158,Qualification,NATIVEL Jonathan (MAD),ALASSANI Soudes (TOG),NATIVEL Jonathan
ITTF Africa Olympic Qualification Tournament Khartum 2016,2016-02-16,EDEM Offiong,HUSSEIN Habab,3,0,"11,11,11|3,2,3",,OLYMPICS,WS,158,Qualification,EDEM Offiong (NGR),HUSSEIN Habab (SUD),EDEM Offiong
ITTF Africa Olympic Qualification Tournament Khartum 2016,2016-02-16,EDEM Offiong,FARAH Safa,3,0,"11,11,11|4,6,1",,OLYMPICS,WS,158,Qualification,EDEM Offiong (NGR),FARAH Safa (DJI),EDEM Offiong
