tournament,date,player_a,player_b,score_a,score_b,game_scores,round,tier,sub_event,event_id,stage,player_a_raw,player_b_raw
ITTF Europe Top 16 Cup Montreux 2019,2019-02-02,VARADY Barbora,EERLAND Britt,4,0,"11,11,16,11|9,8,14,8",R16,OTHER,WS,2000,Main Draw,EERLAND Britt (NED),VARADY Barbora (SVK)
ITTF Europe Top 16 Cup Montreux 2019,2019-02-02,GIONIS Panagiotis,KARLSSON Mattias,4,2,"11,12,10,11,11,11|8,14,12,4,7,8",R16,OTHER,MS,2000,Main Draw,GIONIS Panagiotis (GRE),KARLSSON Mattias (SWE)
ITTF Europe Top 16 Cup Montreux 2019,2019-02-02,PARTYKA Natalia,LI Jie,4,3,"7,12,11,8,11,7,11|11,10,8,11,5,11,7",R16,OTHER,WS,2000,Main Draw,LI Jie (NED),PARTYKA Natalia (POL)
ITTF Europe Top 16 Cup Montreux 2019,2019-02-02,POLCANOVA Sofia,MITTELHAM Nina,4,2,"11,11,11,8,10,15|6,8,6,11,12,13",QuarterFinal,OTHER,WS,2000,Main Draw,POLCANOVA Sofia (AUT),MITTELHAM Nina (GER)
ITTF Europe Top 16 Cup Montreux 2019,2019-02-02,HABESOHN Daniel,GAUZY Simon,4,2,"11,5,11,5,11,11|7,11,9,11,5,7",QuarterFinal,OTHER,MS,2000,Main Draw,GAUZY Simon (FRA),HABESOHN Daniel (AUT)
ITTF Europe Top 16 Cup Montreux 2019,2019-02-02,SOLJA Petrissa,SAMARA Elizabeta,4,1,"11,11,9,11,11|7,9,11,8,6",QuarterFinal,OTHER,WS,2000,Main Draw,SOLJA Petrissa (GER),SAMARA Elizabeta (ROU)
ITTF Europe Top 16 Cup Montreux 2019,2019-02-02,BOLL Timo,KARLSSON Kristian,4,1,"11,12,11,6,11|3,10,6,11,1",QuarterFinal,OTHER,MS,2000,Main Draw,BOLL Timo (GER),KARLSSON Kristian (SWE)
ITTF Europe Top 16 Cup Montreux 2019,2019-02-02,SZOCS Bernadette,VARADY Barbora,4,0,"11,11,11,11|7,8,5,9",QuarterFinal,OTHER,WS,2000,Main Draw,VARADY Barbora (SVK),SZOCS Bernadette (ROU)
ITTF Europe Top 16 Cup Montreux 2019,2019-02-02,OVTCHAROV Dimitrij,GROTH Jonathan,4,1,"11,4,11,11,11|9,11,9,8,3",QuarterFinal,OTHER,MS,2000,Main Draw,GROTH Jonathan (DEN),OVTCHAROV Dimitrij (GER)
ITTF Europe Top 16 Cup Montreux 2019,2019-02-02,PARTYKA Natalia,POTA Georgina,4,1,"11,11,11,6,13|7,9,6,11,11",QuarterFinal,OTHER,WS,2000,Main Draw,PARTYKA Natalia (POL),POTA Georgina (HUN)
ITTF Europe Top 16 Cup Montreux 2019,2019-02-02,SAMSONOV Vladimir,GIONIS Panagiotis,4,1,"11,10,11,11,11|7,12,4,2,7",QuarterFinal,OTHER,MS,2000,Main Draw,SAMSONOV Vladimir (BLR),GIONIS Panagiotis (GRE)
ITTF Europe Top 16 Cup Montreux 2019,2019-02-02,SOLJA Petrissa,POLCANOVA Sofia,4,2,"15,4,11,3,12,11|13,11,7,11,10,9",SemiFinal,OTHER,WS,2000,Main Draw,POLCANOVA Sofia (AUT),SOLJA Petrissa (GER)
ITTF Europe Top 16 Cup Montreux 2019,2019-02-02,SZOCS Bernadette,PARTYKA Natalia,4,3,"11,9,11,10,14,9,11|8,11,8,12,12,11,2",SemiFinal,OTHER,WS,2000,Main Draw,PARTYKA Natalia (POL),SZOCS Bernadette (ROU)
ITTF Europe Top 16 Cup Montreux 2019,2019-02-02,OVTCHAROV Dimitrij,BOLL Timo,4,3,"11,11,11,5,4,9,11|9,3,3,11,11,11,7",SemiFinal,OTHER,MS,2000,Main Draw,BOLL Timo (GER),OVTCHAROV Dimitrij (GER)
ITTF Europe Top 16 Cup Montreux 2019,2019-02-02,SAMSONOV Vladimir,HABESOHN Daniel,4,2,"11,11,9,11,6,11|9,4,11,9,11,9",SemiFinal,OTHER,MS,2000,Main Draw,HABESOHN Daniel (AUT),SAMSONOV Vladimir (BLR)
ITTF Europe Top 16 Cup Montreux 2019,2019-02-02,POLCANOVA Sofia,PARTYKA Natalia,4,2,"7,11,7,12,11,11|11,4,11,10,7,6",2,OTHER,WS,2000,Position Draw,POLCANOVA Sofia (AUT),PARTYKA Natalia (POL)
ITTF Europe Top 16 Cup Montreux 2019,2019-02-02,BOLL Timo,HABESOHN Daniel,4,3,"11,11,7,9,3,12,11|7,4,11,11,11,10,5",2,OTHER,MS,2000,Position Draw,BOLL Timo (GER),HABESOHN Daniel (AUT)
ITTF Europe Top 16 Cup Montreux 2019,2019-02-02,SOLJA Petrissa,SZOCS Bernadette,4,3,"9,9,6,12,11,11,11|11,11,11,10,8,8,4",Final,OTHER,WS,2000,Main Draw,SOLJA Petrissa (GER),SZOCS Bernadette (ROU)
ITTF Europe Top 16 Cup Montreux 2019,2019-02-02,OVTCHAROV Dimitrij,SAMSONOV Vladimir,4,3,"6,11,11,14,6,11,12|11,8,3,16,11,7,10",Final,OTHER,MS,2000,Main Draw,OVTCHAROV Dimitrij (GER),SAMSONOV Vladimir (BLR)
