tournament,date,player_a,player_b,score_a,score_b,game_scores,round,tier,sub_event,event_id,stage,player_a_raw,player_b_raw,winner_raw
WTT Star Contender São José dos Campos 2026,2026-07-21,MONTEIRO Kauan,CALABRIA Rodrigo,3,0,"11,11,11|8,7,6",QR1,WTT_STAR_CONTENDER,MS,3244,Qualification,MONTEIRO Kauan (BRA),CALABRIA Rodrigo (BRA),MONTEIRO Kauan
WTT Star Contender São José dos Campos 2026,2026-07-21,FUENTES Alvaro,CRUZ Theo,3,0,"13,11,11|11,4,8",QR1,WTT_STAR_CONTENDER,MS,3244,Qualification,FUENTES Alvaro (CHI),CRUZ Theo (BRA),FUENTES Alvaro
WTT Star Contender São José dos Campos 2026,2026-07-21,SILVA Caio,SALHEB Lucas,3,0,"12,11,11|10,2,4",QR1,WTT_STAR_CONTENDER,MS,3244,Qualification,SILVA Caio (BRA),SALHEB Lucas (BRA),SILVA Caio
WTT Star Contender São José dos Campos 2026,2026-07-21,SANTOS Felipe,ANTUNES Gabriel,3,2,"12,11,6,7,11|10,3,11,11,4",QR1,WTT_STAR_CONTENDER,MS,3244,Qualification,SANTOS Felipe (BRA),ANTUNES Gabriel (BRA),SANTOS Felipe
WTT Star Contender São José dos Campos 2026,2026-07-21,PANINI Breno,NEVES Neder,3,0,"11,12,11|5,10,1",QR1,WTT_STAR_CONTENDER,MS,3244,Qualification,PANINI Breno (BRA),NEVES Neder (BRA),PANINI Breno
WTT Star Contender São José dos Campos 2026,2026-07-21,SHIM Joon,SLEZYNGER Gabriel,3,0,"11,11,11|8,5,7",QR1,WTT_STAR_CONTENDER,MS,3244,Qualification,SHIM Joon (BRA),SLEZYNGER Gabriel (BRA),SHIM Joon
WTT Star Contender São José dos Campos 2026,2026-07-22,SARMENTO Allan,NARANJO Angel,3,2,"13,8,11,11,12|15,11,9,9,10",QR3,WTT_STAR_CONTENDER,MS,3244,Qualification,SARMENTO Allan (BRA),NARANJO Angel (PUR),SARMENTO Allan
WTT Star Contender São José dos Campos 2026,2026-07-22,OLIVARES Felipe,PICARD Vincent,3,2,"11,11,11,6,13|9,13,6,11,11",QR3,WTT_STAR_CONTENDER,MS,3244,Qualification,OLIVARES Felipe (CHI),PICARD Vincent (FRA),OLIVARES Felipe
WTT Star Contender São José dos Campos 2026,2026-07-22,KWAN Man Ho,HAUG Borgar,3,1,"7,11,11,11|11,3,6,4",QR3,WTT_STAR_CONTENDER,MS,3244,Qualification,KWAN Man Ho (HKG),HAUG Borgar (NOR),KWAN Man Ho
WTT Star Contender São José dos Campos 2026,2026-07-22,FUENTES Alvaro,VOS Eusebio,3,1,"13,11,10,11|11,5,12,7",QR3,WTT_STAR_CONTENDER,MS,3244,Qualification,FUENTES Alvaro (CHI),VOS Eusebio (CHI),FUENTES Alvaro
WTT Star Contender São José dos Campos 2026,2026-07-22,FONTANIVE Luiza,FRANCO Mariana,3,0,"11,11,11|4,3,5",QR1,WTT_STAR_CONTENDER,WS,3244,Qualification,FONTANIVE Luiza (BRA),FRANCO Mariana (BRA),FONTANIVE Luiza
