tournament,date,player_a,player_b,score_a,score_b,game_scores,round,tier,sub_event,event_id,stage,player_a_raw,player_b_raw,winner_raw
2017 European Championships Qualification 6th round 2017,2017-03-07,VERMAAS Kim,TOLIOU Aikaterini,3,0,"11,11,11|2,6,7",,OTHER,WT,841,Qualification,VERMAAS Kim (NED),TOLIOU Aikaterini (GRE),VERMAAS Kim
2017 European Championships Qualification 6th round 2017,2017-03-07,VAN DUIN Rianne,CHRISTOFORAKI Maria,3,1,"11,11,9,11|7,5,11,5",,OTHER,WT,841,Qualification,VAN DUIN Rianne (NED),CHRISTOFORAKI Maria (GRE),VAN DUIN Rianne
2017 European Championships Qualification 6th round 2017,2017-03-07,CRISAN Adrian,MENGE Gencay,3,0,"11,11,11|9,8,7",,OTHER,MT,841,Qualification,CRISAN Adrian (ROU),MENGE Gencay (TUR),CRISAN Adrian
2017 European Championships Qualification 6th round 2017,2017-03-07,IONESCU Ovidiu,GUNDUZ Ibrahim,3,1,"9,11,11,11|11,7,6,7",,OTHER,MT,841,Qualification,IONESCU Ovidiu (ROU),GUNDUZ Ibrahim (TUR),IONESCU Ovidiu
2017 European Championships Qualification 6th round 2017,2017-03-07,SZOCS Hunor,LI Ahmet,3,2,"11,7,11,4,11|8,11,9,11,9",,OTHER,MT,841,Qualification,SZOCS Hunor (ROU),LI Ahmet (TUR),SZOCS Hunor
2017 European Championships Qualification 6th round 2017,2017-03-07,GALIC Alex,SIBLEY Kelly,3,0,"11,11,13|9,6,11",,OTHER,WT,841,Qualification,GALIC Alex (SLO),SIBLEY Kelly (ENG),GALIC Alex
2017 European Championships Qualification 6th round 2017,2017-03-07,FAJMUT Manca,TSAPTSINOS Maria,3,0,"11,11,11|9,9,4",,OTHER,WT,841,Qualification,FAJMUT Manca (SLO),TSAPTSINOS Maria (ENG),FAJMUT Manca
2017 European Championships Qualification 6th round 2017,2017-03-07,HO Tin-Tin,TOFANT Ana,3,2,"7,9,11,11,11|11,11,9,5,8",,OTHER,WT,841,Qualification,TOFANT Ana (SLO),HO Tin-Tin (ENG),HO Tin-Tin
2017 European Championships Qualification 6th round 2017,2017-03-07,HO Tin-Tin,GALIC Alex,3,1,"11,11,9,11|7,9,11,7",,OTHER,WT,841,Qualification,GALIC Alex (SLO),HO Tin-Tin (ENG),HO Tin-Tin
2017 European Championships Qualification 6th round 2017,2017-03-07,SIBLEY Kelly,TOFANT Ana,3,0,"11,11,12|9,5,10",,OTHER,WT,841,Qualification,TOFANT Ana (SLO),SIBLEY Kelly (ENG),SIBLEY Kelly
2017 European Championships Qualification 6th round 2017,2017-03-07,TODOROVIC Andrea,PASKAUSKIENE Ruta,3,0,"14,11,11|12,6,8",,OTHER,WT,841,Qualification,TODOROVIC Andrea (SRB),PASKAUSKIENE Ruta (LTU),TODOROVIC Andrea
2017 European Championships Qualification 6th round 2017,2017-03-07,TODOROVIC Andrea,BASKUTYTE Ugne,3,1,"11,11,5,11|1,6,11,3",,OTHER,WT,841,Qualification,TODOROVIC Andrea (SRB),BASKUTYTE Ugne (LTU),TODOROVIC Andrea
2017 European Championships Qualification 6th round 2017,2017-03-07,MAKSUTI Aneta,BASKUTYTE Ugne,3,1,"11,7,13,11|3,11,11,5",,OTHER,WT,841,Qualification,MAKSUTI Aneta (SRB),BASKUTYTE Ugne (LTU),MAKSUTI Aneta
2017 European Championships Qualification 6th round 2017,2017-03-07,PASKAUSKIENE Ruta,MAKSUTI Aneta,3,2,"12,7,12,5,11|10,11,10,11,8",,OTHER,WT,841,Qualification,MAKSUTI Aneta (SRB),PASKAUSKIENE Ruta (LTU),PASKAUSKIENE Ruta
2017 European Championships Qualification 6th round 2017,2017-03-07,STUCKYTE Egle,TRUZSINSZKI Viktoria,3,0,"11,11,12|8,7,10",,OTHER,WT,841,Qualification,TRUZSINSZKI Viktoria (SRB),STUCKYTE Egle (LTU),STUCKYTE Egle
2017 European Championships Qualification 6th round 2017,2017-03-07,PETKOV Marko,KARIN Filip,3,0,"11,11,11|7,5,4",,OTHER,MT,841,Qualification,PETKOV Marko (SRB),KARIN Filip (SUI),PETKOV Marko
2017 European Championships Qualification 6th round 2017,2017-03-07,PETKOV Marko,CHAMPOD Nicolas,3,0,"12,11,11|10,7,3",,OTHER,MT,841,Qualification,PETKOV Marko (SRB),CHAMPOD Nicolas (SUI),PETKOV Marko
2017 European Championships Qualification 6th round 2017,2017-03-07,KATIC Ivor,CHAMPOD Nicolas,3,1,"11,8,11,11|7,11,8,8",,OTHER,MT,841,Qualification,KATIC Ivor (SRB),CHAMPOD Nicolas (SUI),KATIC Ivor
2017 European Championships Qualification 6th round 2017,2017-03-07,VENDE Gael,STRUGAREVIC Nikola,3,0,"11,11,11|9,8,9",,OTHER,MT,841,Qualification,STRUGAREVIC Nikola (SRB),VENDE Gael (SUI),VENDE Gael
2017 European Championships Qualification 6th round 2017,2017-03-07,PISTEJ Lubomir,LIBENE Toomas,3,0,"11,11,11|6,4,8",,OTHER,MT,841,Qualification,PISTEJ Lubomir (SVK),LIBENE Toomas (EST),PISTEJ Lubomir
2017 European Championships Qualification 6th round 2017,2017-03-07,NOVOTA Samuel,SMIRNOV Aleksandr,3,0,"12,11,11|10,8,8",,OTHER,MT,841,Qualification,NOVOTA Samuel (SVK),SMIRNOV Aleksandr (EST),NOVOTA Samuel
2017 European Championships Qualification 6th round 2017,2017-03-07,VALUCH Alexander,LUSIN Aleksandr,3,0,"11,11,11|4,5,4",,OTHER,MT,841,Qualification,VALUCH Alexander (SVK),LUSIN Aleksandr (EST),VALUCH Alexander
2017 European Championships Qualification 6th round 2017,2017-03-07,COLANTONI Chiara,KUKULKOVA Tatiana,3,1,"11,14,7,11|6,12,11,9",,OTHER,WT,841,Qualification,KUKULKOVA Tatiana (SVK),COLANTONI Chiara (ITA),COLANTONI Chiara
2017 European Championships Qualification 6th round 2017,2017-03-07,MOSCONI Veronica,JURKOVA Eva,3,0,"9,11,11|11,4,9",,OTHER,WT,841,Qualification,JURKOVA Eva (SVK),MOSCONI Veronica (ITA),MOSCONI Veronica
2017 European Championships Qualification 6th round 2017,2017-03-07,PICCOLIN Giorgia,PUCHOVANOVA Nikoleta,3,0,"11,11,11|8,7,4",,OTHER,WT,841,Qualification,PUCHOVANOVA Nikoleta (SVK),PICCOLIN Giorgia (ITA),PICCOLIN Giorgia
2017 European Championships Qualification 6th round 2017,2017-03-07,BERGSTROM Linda,LUNG Lisa,3,0,"11,11,11|4,8,6",,OTHER,WT,841,Qualification,BERGSTROM Linda (SWE),LUNG Lisa (BEL),BERGSTROM Linda
2017 European Championships Qualification 6th round 2017,2017-03-07,EKHOLM Matilda,MARCHETTI Nathalie,3,0,"11,11,12|5,5,10",,OTHER,WT,841,Qualification,EKHOLM Matilda (SWE),MARCHETTI Nathalie (BEL),EKHOLM Matilda
