tournament,date,player_a,player_b,score_a,score_b,game_scores,round,tier,sub_event,event_id,stage,player_a_raw,player_b_raw
WTT Star Contender Goa 2024,2024-01-23,KANG Dongsoo,ACHANTA Sharath Kamal,3,2,"6,10,11,17,11|11,12,4,15,3",QR2,WTT_STAR_CONTENDER,MS,2863,Qualification,KANG Dongsoo (KOR),ACHANTA Sharath Kamal (IND)
WTT Star Contender Goa 2024,2024-01-23,BOULOUSSA Mehdi,SHETTY Sanil,3,2,"14,11,11,7,11|12,9,13,11,6",QR2,WTT_STAR_CONTENDER,MS,2863,Qualification,BOULOUSSA Mehdi (ALG),SHETTY Sanil (IND)
WTT Star Contender Goa 2024,2024-01-23,STUMPER Kay,HUANG Yan-Cheng,3,2,"9,11,11,8,11|11,8,9,11,8",QR2,WTT_STAR_CONTENDER,MS,2863,Qualification,STUMPER Kay (GER),HUANG Yan-Cheng (TPE)
WTT Star Contender Goa 2024,2024-01-23,NUYTINCK Cedric,ECSEKI Nandor,3,0,"13,11,14|11,6,12",QR2,WTT_STAR_CONTENDER,MS,2863,Qualification,NUYTINCK Cedric (BEL),ECSEKI Nandor (HUN)
WTT Star Contender Goa 2024,2024-01-23,LIAO Cheng-Ting,KIM Taehyun,3,1,"11,11,11,11|9,13,8,7",QR2,WTT_STAR_CONTENDER,MS,2863,Qualification,LIAO Cheng-Ting (TPE),KIM Taehyun (AUT)
WTT Star Contender Goa 2024,2024-01-23,DIAW Ibrahima,SURESH RAJ Preyesh,3,1,"3,11,11,11|11,8,3,7",QR2,WTT_STAR_CONTENDER,MS,2863,Qualification,DIAW Ibrahima (SEN),SURESH RAJ Preyesh (IND)
WTT Star Contender Goa 2024,2024-01-23,OH Junsung,MENG Fanbo,3,0,"11,11,11|7,9,8",QR2,WTT_STAR_CONTENDER,MS,2863,Qualification,OH Junsung (KOR),MENG Fanbo (GER)
WTT Star Contender Goa 2024,2024-01-23,THAKKAR Manav Vikash,AGARWAL Anshuman,3,0,"11,11,11|7,4,4",QR2,WTT_STAR_CONTENDER,MS,2863,Qualification,THAKKAR Manav Vikash (IND),AGARWAL Anshuman (IND)
WTT Star Contender Goa 2024,2024-01-23,CHENG Hsien-Tzu,SIVASANKAR Yashini,3,0,"11,11,12|9,6,10",QR2,WTT_STAR_CONTENDER,WS,2863,Qualification,CHENG Hsien-Tzu (TPE),SIVASANKAR Yashini (IND)
WTT Star Contender Goa 2024,2024-01-23,MUKHERJEE Ayhika,WANI Sayali,3,0,"11,11,12|9,2,10",QR2,WTT_STAR_CONTENDER,WS,2863,Qualification,MUKHERJEE Ayhika (IND),WANI Sayali (IND)
WTT Star Contender Goa 2024,2024-01-23,WONG Xin Ru,NARANG Lakshita,3,0,"11,11,11|7,6,8",QR2,WTT_STAR_CONTENDER,WS,2863,Qualification,WONG Xin Ru (SGP),NARANG Lakshita (IND)
WTT Star Contender Goa 2024,2024-01-23,ALTINKAYA Sibel,CHIPIA Frenaz,3,0,"11,11,11|5,3,5",QR2,WTT_STAR_CONTENDER,WS,2863,Qualification,ALTINKAYA Sibel (TUR),CHIPIA Frenaz (IND)
WTT Star Contender Goa 2024,2024-01-23,WANG Yi-Ju,SAWETTABUT Jinnipa,3,1,"11,12,9,11|8,10,11,6",QR2,WTT_STAR_CONTENDER,WS,2863,Qualification,WANG Yi-Ju (TPE),SAWETTABUT Jinnipa (THA)
WTT Star Contender Goa 2024,2024-01-23,MANI Nithya,MASSART Lilou,3,0,"11,11,11|7,5,8",QR2,WTT_STAR_CONTENDER,WS,2863,Qualification,MANI Nithya (IND),MASSART Lilou (BEL)
